Date,Open,High,Low,Close,Volume,Change
2011-01-03,18720,20210,18436,19858,1269672,0.09803704727674867
2011-01-04,20139,20423,19288,20071,1128486,0.010726155705509166
2011-01-05,20280,22195,19997,21702,2710292,0.08126152159832589
2011-01-06,21630,22765,20921,22695,1863754,0.04575615150677348
2011-01-07,22765,23687,22127,23688,1608763,0.04375413086582958
2011-01-10,24325,24680,23120,24468,2193492,0.032928064842958404
2011-01-11,25246,25813,20848,20851,7915948,-0.14782573156776202
2011-01-12,20780,22056,19006,20780,3493859,-0.0034051124646300446
2011-01-13,20990,20990,19500,19858,1596166,-0.04436958614051978
2011-01-14,19716,20282,19290,19929,1444147,0.003575385235169648
2011-01-17,19998,20778,19855,20071,1283674,0.007125294796527681
2011-01-18,20070,20780,19716,20426,992293,0.017687210403069198
2011-01-19,20564,20635,19855,19858,823151,-0.02780769607363165
2011-01-20,19502,20070,18510,18865,1554789,-0.0500050357538524
2011-01-21,18863,19572,18508,18723,855229,-0.007527166710840194
2011-01-24,18508,19147,18367,18440,617011,-0.015115099076002725
2011-01-25,18297,18510,17801,17801,938854,-0.03465292841648593
2011-01-26,18012,19147,17869,18440,759099,0.035896859726981534
2011-01-27,18863,19004,18437,18440,419400,0.0
2011-01-28,18510,19078,17730,17730,676060,-0.03850325379609543
2011-01-31,17659,17659,16666,16667,804002,-0.059954878736604655
2011-02-01,16595,17021,15956,16383,672454,-0.017039659206815827
2011-02-07,16735,17515,16452,17092,512740,0.043276567173289315
2011-02-08,17160,17585,17089,17376,219243,0.016615960683360687
2011-02-09,17869,18579,16805,16879,680548,-0.028602670349907933
2011-02-10,16737,17730,16737,17021,383042,0.008412820664731369
2011-02-11,16948,17160,15529,15745,688126,-0.07496621820104576
2011-02-14,15744,16383,15531,15816,348029,0.004509368053350338
2011-02-15,15886,16311,15744,15887,219179,0.0044891249367728925
2011-02-16,15886,16240,15390,15603,381921,-0.017876251022848844
2011-02-17,15886,16595,14892,15319,418423,-0.018201627892072025
2011-02-18,15317,15954,15317,15957,164156,0.041647627129708154
2011-02-21,16097,16452,15672,15957,181341,0.0
2011-02-22,15815,16027,15106,15390,350782,-0.035532994923857864
2011-02-23,15246,15672,14466,14894,342034,-0.032228719948018236
2011-02-24,14962,15174,14182,14326,479733,-0.03813616221297167
2011-02-25,14323,15884,14182,14965,432258,0.044604216110568196
2011-02-28,15106,15886,14539,15603,267887,0.04263280988974283
2011-03-02,15318,16240,15318,15674,285029,0.004550406973018006
2011-03-03,15744,16454,15744,16099,327662,0.027114967462039008
2011-03-04,16168,16452,15954,16028,397540,-0.004410211814398379
2011-03-07,15954,16025,15174,15532,439163,-0.030945844771649633
2011-03-08,15388,16238,15316,15532,396182,0.0
2011-03-09,15529,15742,15317,15745,319503,0.013713623486994564
2011-03-10,15741,16096,15245,15248,254936,-0.03156557637345192
2011-03-11,14961,15458,14890,15248,390683,0.0
2011-03-14,15174,15388,14182,14326,653812,-0.0604669464847849
2011-03-15,14000,14539,12624,13972,770778,-0.024710316906324192
2011-03-16,13616,14085,12850,12993,600319,-0.07006870884626393
2011-03-17,12510,13319,12510,12950,237867,-0.0033094743323327513
2011-03-18,13120,13475,13064,13362,186300,0.0318146718146719
2011-03-21,13659,13900,13404,13730,171167,0.02754078730728926
2011-03-22,13772,13971,13574,13603,206845,-0.009249817916970104
2011-03-23,13898,14465,13884,14184,311185,0.042711166654414434
2011-03-24,14325,14396,13900,14000,152923,-0.012972363226170347
2011-03-25,13956,14183,13475,13716,166422,-0.02028571428571424
2011-03-28,13585,14182,13500,13617,184659,-0.007217847769028896
2011-03-29,13616,13985,13191,13348,235473,-0.01975471836674747
2011-03-30,13475,13560,12977,13348,368969,0.0
2011-03-31,13430,13473,13189,13333,167710,-0.0011237638597543231
2011-04-01,13330,13757,13317,13617,205541,0.021300532513312875
2011-04-04,13716,15602,13716,15603,1223693,0.14584710288609837
2011-04-05,16805,17869,15884,16312,5379786,0.04543997949112355
2011-04-06,16451,16805,15742,16596,1689228,0.01741049534085337
2011-04-07,16666,16666,15319,15603,942583,-0.0598336948662328
2011-04-08,15531,15531,14822,15106,1004144,-0.031852848811126044
2011-04-11,15174,16096,14961,15532,1039448,0.02820071494770282
2011-04-12,15458,15601,14394,14610,653439,-0.05936131856811744
2011-04-13,14466,14891,14182,14610,456813,0.0
2011-04-14,14680,14680,14170,14468,467901,-0.009719370294318908
2011-04-15,14467,14892,14042,14539,569422,0.0049073818081282194
2011-04-18,14323,15104,14323,14965,496359,0.02930050209780588
2011-04-19,14680,15319,14467,14539,399113,-0.028466421650517826
2011-04-20,14607,15600,14323,14965,891826,0.02930050209780588
2011-04-21,15245,15529,14394,14397,803536,-0.03795522886735714
2011-04-22,14394,14678,13926,14184,482123,-0.01479474890602206
2011-04-25,13983,14394,13927,14071,267318,-0.007966723068245862
2011-04-26,13927,14068,12906,13461,674015,-0.0433515741596191
2011-04-27,13432,13815,13149,13234,359895,-0.016863531684124466
2011-04-28,13091,13531,12481,12624,352484,-0.04609339579870031
2011-04-29,12622,12749,11912,11986,461233,-0.05053865652724965
2011-05-02,10196,10196,10196,10199,98194,-0.14909060570665778
2011-05-03,8678,9500,8678,8681,2712720,-0.1488381213844494
2011-05-04,8735,9062,8579,8681,679600,0.0
2011-05-06,8606,8791,8181,8227,485999,-0.0522981223361364
2011-05-09,7035,7602,6992,6993,4102918,-0.14999392245046794
2011-05-11,6467,6794,6255,6667,1966281,-0.04661804661804658
2011-05-12,6948,7189,6479,7007,1157963,0.05099745012749368
2011-05-13,6891,7019,6678,6809,707429,-0.028257456828885363
2011-05-16,7091,7786,6807,7603,918871,0.11661036862975482
2011-05-17,7318,8737,7318,8085,2063007,0.06339602788373
2011-05-18,8085,8481,7687,7730,430344,-0.04390847247990104
2011-05-19,7998,7998,6763,6851,764193,-0.11371280724450195
2011-05-20,6879,7348,6510,6794,380305,-0.008319953291490267
2011-05-23,6465,7004,6451,6511,241264,-0.041654400942007674
2011-05-24,6494,6593,6168,6567,217448,0.008600829365688734
2011-05-25,6382,6709,6197,6255,361543,-0.047510278666057615
2011-05-26,0,0,0,6255,0,0.0
2011-05-27,0,0,0,6255,0,0.0
2011-05-30,0,0,0,6255,0,0.0
2011-05-31,0,0,0,6255,0,0.0
2011-06-01,0,0,0,6255,0,0.0
2011-06-02,0,0,0,6255,0,0.0
2011-06-03,0,0,0,6255,0,0.0
2011-06-07,0,0,0,6255,0,0.0
2011-06-08,0,0,0,6255,0,0.0
2011-06-09,0,0,0,6255,0,0.0
2011-06-10,0,0,0,6255,0,0.0
2011-06-13,0,0,0,6255,0,0.0
2011-06-14,0,0,0,6255,0,0.0
2011-06-15,0,0,0,6255,0,0.0
2011-06-16,0,0,0,6255,0,0.0
2011-06-17,0,0,0,6255,0,0.0
2011-06-20,0,0,0,6255,0,0.0
2011-06-21,0,0,0,6255,0,0.0
2011-06-22,0,0,0,6255,0,0.0
2011-06-23,0,0,0,6255,0,0.0
2011-06-24,0,0,0,6255,0,0.0
2011-06-27,0,0,0,6255,0,0.0
2011-06-28,0,0,0,6255,0,0.0
2011-06-29,0,0,0,6255,0,0.0
2011-06-30,0,0,0,6255,0,0.0
2011-07-01,0,0,0,6255,0,0.0
2011-07-04,0,0,0,6255,0,0.0
2011-07-05,0,0,0,6255,0,0.0
2011-07-06,0,0,0,6255,0,0.0
2011-07-07,0,0,0,6255,0,0.0
2011-07-08,0,0,0,6255,0,0.0
2011-07-11,0,0,0,6255,0,0.0
2011-07-12,0,0,0,6255,0,0.0
2011-07-13,0,0,0,6255,0,0.0
2011-07-14,0,0,0,6255,0,0.0
2011-07-15,0,0,0,6255,0,0.0
2011-07-18,0,0,0,6255,0,0.0
2011-07-19,0,0,0,6255,0,0.0
2011-07-20,0,0,0,6255,0,0.0
2011-07-21,0,0,0,6255,0,0.0
2011-07-22,0,0,0,6255,0,0.0
2011-07-25,0,0,0,6255,0,0.0
2011-07-26,0,0,0,6255,0,0.0
2011-07-27,0,0,0,6255,0,0.0
2011-07-28,0,0,0,6255,0,0.0
2011-07-29,0,0,0,6255,0,0.0
2011-08-01,0,0,0,6255,0,0.0
2011-08-02,0,0,0,6255,0,0.0
2011-08-03,0,0,0,6255,0,0.0
2011-08-04,0,0,0,6255,0,0.0
2011-08-05,0,0,0,6255,0,0.0
2011-08-08,0,0,0,6255,0,0.0
2011-08-09,0,0,0,6255,0,0.0
2011-08-10,0,0,0,6255,0,0.0
2011-08-11,0,0,0,6255,0,0.0
2011-08-12,0,0,0,6255,0,0.0
2011-08-16,0,0,0,6255,0,0.0
2011-08-17,0,0,0,6255,0,0.0
2011-08-18,0,0,0,6255,0,0.0
2011-08-19,0,0,0,6255,0,0.0
2011-08-22,0,0,0,6255,0,0.0
2011-08-23,0,0,0,6255,0,0.0
2011-08-24,0,0,0,6255,0,0.0
2011-08-25,0,0,0,6255,0,0.0
2011-08-26,0,0,0,6255,0,0.0
2011-08-29,0,0,0,6255,0,0.0
2011-08-30,0,0,0,6255,0,0.0
2011-08-31,0,0,0,6255,0,0.0
2011-09-01,0,0,0,6255,0,0.0
2011-09-02,0,0,0,6255,0,0.0
2011-09-05,0,0,0,6255,0,0.0
2011-09-06,0,0,0,6255,0,0.0
2011-09-07,0,0,0,6255,0,0.0
2011-09-08,0,0,0,6255,0,0.0
2011-09-09,0,0,0,6255,0,0.0
2011-09-14,0,0,0,6255,0,0.0
2011-09-15,0,0,0,6255,0,0.0
2011-09-16,0,0,0,6255,0,0.0
2011-09-19,0,0,0,6255,0,0.0
2011-09-20,0,0,0,6255,0,0.0
2011-09-21,0,0,0,6255,0,0.0
2011-09-22,0,0,0,6255,0,0.0
2011-09-23,0,0,0,6255,0,0.0
2011-09-26,0,0,0,6255,0,0.0
2011-09-27,0,0,0,6255,0,0.0
2011-09-28,0,0,0,6255,0,0.0
2011-09-29,0,0,0,6255,0,0.0
2011-09-30,0,0,0,6255,0,0.0
2011-10-04,0,0,0,6255,0,0.0
2011-10-05,0,0,0,6255,0,0.0
2011-10-06,0,0,0,6255,0,0.0
2011-10-07,0,0,0,6255,0,0.0
2011-10-10,0,0,0,6255,0,0.0
2011-10-11,0,0,0,6255,0,0.0
2011-10-12,0,0,0,6255,0,0.0
2011-10-13,0,0,0,6255,0,0.0
2011-10-14,0,0,0,6255,0,0.0
2011-10-17,0,0,0,6255,0,0.0
2011-10-18,0,0,0,6255,0,0.0
2011-10-19,0,0,0,6255,0,0.0
2011-10-20,0,0,0,6255,0,0.0
2011-10-21,0,0,0,6255,0,0.0
2011-10-24,0,0,0,6255,0,0.0
2011-10-25,0,0,0,6255,0,0.0
2011-10-26,0,0,0,6255,0,0.0
2011-10-27,0,0,0,6255,0,0.0
2011-10-28,0,0,0,6255,0,0.0
2011-10-31,0,0,0,6255,0,0.0
2011-11-01,0,0,0,6255,0,0.0
2011-11-02,0,0,0,6255,0,0.0
2011-11-03,0,0,0,6255,0,0.0
2011-11-04,0,0,0,6255,0,0.0
2011-11-07,0,0,0,6255,0,0.0
2011-11-08,0,0,0,6255,0,0.0
2011-11-09,0,0,0,6255,0,0.0
2011-11-10,6255,7091,5319,5319,3402221,-0.14964028776978422
2011-11-11,5529,6110,4636,6113,3415366,0.14927617973303242
2011-11-14,7025,7025,6699,7028,4342576,0.14968100768853265
2011-11-15,6843,7695,6311,7411,3266769,0.05449630051223675
2011-11-16,7409,7657,6778,7092,1817729,-0.04304412360005394
2011-11-17,7089,7089,6025,6355,1768469,-0.10391990975747323
2011-11-18,6290,6290,5751,6000,1298957,-0.0558615263571991
2011-11-21,5991,6890,5672,6461,1125185,0.07683333333333331
2011-11-22,6061,6834,6033,6184,880592,-0.04287262033740902
