Date,Open,High,Low,Close,Volume,Change
2011-01-03,162500,164500,158500,160000,124,-0.006211180124223614
2011-01-04,160000,163000,159500,161500,74,0.009374999999999911
2011-01-05,164500,164500,157000,162000,353,0.003095975232198178
2011-01-06,163500,163500,159500,160500,139,-0.0092592592592593
2011-01-07,162000,162000,155000,161000,88,0.0031152647975076775
2011-01-10,161000,165000,158000,163000,678,0.012422360248447228
2011-01-11,162500,163000,160500,162000,113,-0.006134969325153339
2011-01-12,163000,168000,161500,166000,497,0.024691358024691468
2011-01-13,167500,167500,163000,164500,68,-0.009036144578313254
2011-01-14,166500,166500,158500,165500,59,0.006079027355623046
2011-01-17,165500,170000,165500,169000,291,0.02114803625377637
2011-01-18,170000,170000,165500,167000,144,-0.011834319526627168
2011-01-19,167000,170500,163000,165500,292,-0.008982035928143728
2011-01-20,163500,169000,162000,164000,475,-0.009063444108761365
2011-01-21,169500,169500,159000,160000,253,-0.024390243902439046
2011-01-24,160000,163500,155000,156000,587,-0.025000000000000022
2011-01-25,155500,159000,155500,158000,112,0.012820512820512775
2011-01-26,158000,158000,155000,158000,228,0.0
2011-01-27,160000,160000,155500,157500,88,-0.0031645569620253333
2011-01-28,161000,161000,154500,158000,161,0.0031746031746031633
2011-01-31,155500,158500,155500,158000,118,0.0
2011-02-01,161000,161000,156000,160000,136,0.012658227848101333
2011-02-07,160000,161500,158500,160000,54,0.0
2011-02-08,162500,162500,155000,157500,184,-0.015625
2011-02-09,159500,159500,153000,157000,91,-0.0031746031746031633
2011-02-10,157000,157000,155000,155000,27,-0.01273885350318471
2011-02-11,155000,157500,150000,153500,235,-0.009677419354838679
2011-02-14,153000,156000,151000,152000,168,-0.009771986970684043
2011-02-15,153000,155000,152000,152500,41,0.00328947368421062
2011-02-16,157000,157000,150000,153500,21,0.006557377049180246
2011-02-17,153500,156500,152500,154500,56,0.006514657980456029
2011-02-18,156500,156500,155500,155500,13,0.006472491909385036
2011-02-21,155000,155500,150500,151000,191,-0.02893890675241162
2011-02-22,151000,152000,149000,150000,35,-0.0066225165562914245
2011-02-23,152500,152500,152500,152500,5,0.016666666666666607
2011-02-24,149000,151500,147500,149000,249,-0.022950819672131195
2011-02-25,149000,150500,145500,149000,86,0.0
2011-02-28,150500,150500,147000,149000,28,0.0
2011-03-02,151500,151500,141000,148000,429,-0.006711409395973145
2011-03-03,147000,148000,143500,148000,114,0.0
2011-03-04,151000,151000,146000,148000,59,0.0
2011-03-07,148000,148000,146000,148000,78,0.0
2011-03-08,149000,155500,144500,155500,313,0.05067567567567566
2011-03-09,150500,155000,150500,155000,8,-0.003215434083601254
2011-03-10,154500,155000,150500,155000,16,0.0
2011-03-11,151000,155000,147500,151500,77,-0.022580645161290325
2011-03-14,147500,151500,147500,149500,78,-0.01320132013201325
2011-03-15,152000,152000,143000,146500,349,-0.02006688963210701
2011-03-16,151000,151000,147000,147500,53,0.006825938566553003
2011-03-17,145000,149500,141000,149500,198,0.013559322033898313
2011-03-18,150000,152000,144500,151500,38,0.013377926421404673
2011-03-21,151000,155000,149000,155000,97,0.02310231023102305
2011-03-22,155500,156000,153500,154500,131,-0.003225806451612856
2011-03-23,155000,155000,152500,155000,110,0.003236245954692629
2011-03-24,156000,156000,152000,155500,44,0.003225806451612856
2011-03-25,156000,158500,154000,157000,181,0.009646302250803762
2011-03-28,160000,160000,157000,157000,299,0.0
2011-03-29,157000,158500,153000,155000,79,-0.01273885350318471
2011-03-30,159000,159000,154000,157500,86,0.016129032258064502
2011-03-31,157500,159000,155000,157500,139,0.0
2011-04-01,159500,159500,154000,158000,158,0.0031746031746031633
2011-04-04,159500,159500,156000,158500,241,0.0031645569620253333
2011-04-05,159500,159500,156000,157000,108,-0.009463722397476393
2011-04-06,159500,159500,155000,156500,61,-0.0031847133757961776
2011-04-07,160000,160000,154500,156000,214,-0.0031948881789137795
2011-04-08,159500,159500,155000,155000,51,-0.0064102564102563875
2011-04-11,159500,159500,154000,155500,303,0.003225806451612856
2011-04-12,159000,159000,154000,156000,64,0.003215434083601254
2011-04-13,158500,158500,152500,156500,155,0.0032051282051281937
2011-04-14,158000,158000,155000,157000,301,0.0031948881789136685
2011-04-15,158500,158500,156500,157000,28,0.0
2011-04-18,159500,159500,154500,156000,60,-0.006369426751592355
2011-04-19,156000,156500,151500,156000,131,0.0
2011-04-20,156000,157000,152000,154000,269,-0.012820512820512775
2011-04-21,157500,157500,153500,154500,165,0.0032467532467532756
2011-04-22,154500,155000,153000,154000,99,-0.003236245954692518
2011-04-25,157000,157000,154000,154000,98,0.0
2011-04-26,156000,156000,151500,154500,402,0.0032467532467532756
2011-04-27,155000,155000,150500,155000,198,0.003236245954692629
2011-04-28,155000,165500,152000,154500,206,-0.003225806451612856
2011-04-29,154500,156500,154500,156000,115,0.009708737864077666
2011-05-02,156000,156500,152000,156000,53,0.0
2011-05-03,159000,159000,152500,154000,200,-0.012820512820512775
2011-05-04,157000,157000,153500,157000,6,0.01948051948051943
2011-05-06,158000,158000,153000,157000,34,0.0
2011-05-09,157000,158500,156500,157500,104,0.0031847133757962887
2011-05-11,156000,157500,151000,156500,209,-0.006349206349206327
2011-05-12,156000,157500,154500,155000,648,-0.009584664536741228
2011-05-13,155000,155500,151500,155500,384,0.003225806451612856
2011-05-16,154000,164000,154000,161500,654,0.03858520900321549
2011-05-17,158500,160000,156000,158500,422,-0.018575851393188847
2011-05-18,158500,161000,157000,159000,542,0.003154574132492094
2011-05-19,151000,160500,151000,159000,692,0.0
2011-05-20,159000,165000,157000,160000,579,0.0062893081761006275
2011-05-23,159000,159000,156000,156500,156,-0.021874999999999978
2011-05-24,152500,159500,152500,157500,467,0.006389776357827559
2011-05-25,157500,159000,155500,157000,878,-0.0031746031746031633
2011-05-26,157500,157500,157500,157500,1,0.0031847133757962887
2011-05-27,158500,158500,154000,155500,202,-0.012698412698412653
2011-05-30,155500,159500,152500,153500,212,-0.012861736334405127
2011-05-31,153500,157500,151500,156000,384,0.016286644951140072
2011-06-01,158000,158000,153500,157000,393,0.0064102564102563875
2011-06-02,156000,160000,156000,157500,50,0.0031847133757962887
2011-06-03,159000,159000,155500,157500,75,0.0
2011-06-07,157500,157500,157500,157500,1,0.0
2011-06-08,157500,157500,154500,157500,42,0.0
2011-06-09,157500,157500,155000,155000,5,-0.015873015873015928
2011-06-10,156500,156500,154000,154000,25,-0.006451612903225823
2011-06-13,154000,154000,150000,150500,1057,-0.022727272727272707
2011-06-14,150500,160000,150000,153500,36,0.019933554817275656
2011-06-15,151500,157500,151500,154500,136,0.006514657980456029
2011-06-16,154500,154500,150500,154000,10,-0.003236245954692518
2011-06-17,154000,154000,154000,154000,1,0.0
2011-06-20,153500,158000,149000,156000,27,0.01298701298701288
2011-06-21,155000,155000,152000,154000,14,-0.012820512820512775
2011-06-22,153500,154000,150000,153500,153,-0.0032467532467532756
2011-06-23,153000,159000,152000,154000,100,0.0032573289902280145
2011-06-24,154000,158000,152000,155000,136,0.006493506493506551
2011-06-27,156000,156000,150000,150000,154,-0.032258064516129004
2011-06-28,150000,152500,149000,152000,259,0.01333333333333342
2011-06-29,154000,154000,149500,152500,111,0.00328947368421062
2011-06-30,153500,153500,152500,153000,227,0.003278688524590123
2011-07-01,153000,153500,153000,153500,10,0.0032679738562091387
2011-07-04,154000,155000,151500,153000,315,-0.0032573289902280145
2011-07-05,153000,153000,150000,153000,125,0.0
2011-07-06,153000,153500,150000,152000,313,-0.006535947712418277
2011-07-07,149500,152500,149500,151500,68,-0.003289473684210509
2011-07-08,152500,152500,151000,151000,63,-0.0033003300330033403
2011-07-11,151500,151500,149000,151000,122,0.0
2011-07-12,150000,151000,148000,150000,93,-0.0066225165562914245
2011-07-13,151000,151000,151000,151000,11,0.006666666666666599
2011-07-14,151000,153500,150000,153500,242,0.01655629139072845
2011-07-15,153500,154500,150000,153500,94,0.0
2011-07-18,153500,155500,153000,153500,111,0.0
2011-07-19,154500,154500,152500,154000,39,0.0032573289902280145
2011-07-20,154000,155000,154000,154000,32,0.0
2011-07-21,154000,156500,153000,155500,343,0.009740259740259827
2011-07-22,155500,162000,155500,158000,230,0.016077170418006492
2011-07-25,157000,164000,157000,164000,527,0.03797468354430378
2011-07-26,163000,167500,163000,163500,89,-0.0030487804878048808
2011-07-27,164000,164500,162000,164000,275,0.003058103975535076
2011-07-28,167000,172000,164000,171500,1098,0.0457317073170731
2011-07-29,171500,179000,170500,172500,295,0.005830903790087438
2011-08-01,174500,174500,173000,174000,56,0.008695652173912993
2011-08-02,175500,179000,162000,174500,181,0.002873563218390718
2011-08-03,172000,175000,164000,174500,709,0.0
2011-08-04,174500,176000,167500,167500,234,-0.04011461318051579
2011-08-05,170000,170000,155500,165000,439,-0.014925373134328401
2011-08-08,167000,167000,150000,158500,504,-0.039393939393939426
2011-08-09,150500,160000,144000,150500,512,-0.050473186119873836
2011-08-10,156500,156500,150000,154000,150,0.023255813953488413
2011-08-11,155000,157500,147500,154500,76,0.0032467532467532756
2011-08-12,159000,160000,155500,158500,508,0.025889967637540368
2011-08-16,159000,165000,157000,164500,86,0.03785488958990535
2011-08-17,163500,171000,163500,171000,336,0.03951367781155013
2011-08-18,169500,173500,169500,171000,169,0.0
2011-08-19,165000,170000,163000,169000,140,-0.011695906432748537
2011-08-22,169500,169500,169000,169000,4,0.0
2011-08-23,168500,168500,165000,167500,213,-0.00887573964497046
2011-08-24,170000,170000,165000,167000,128,-0.0029850746268657025
2011-08-25,169500,169500,164000,167000,124,0.0
2011-08-26,167000,167000,158500,161500,232,-0.03293413173652693
2011-08-29,167500,167500,156500,162000,180,0.003095975232198178
2011-08-30,175000,175000,170000,171000,54,0.05555555555555558
2011-08-31,171000,171000,162500,170000,363,-0.005847953216374324
2011-09-01,170000,171000,165000,169500,120,-0.002941176470588225
2011-09-02,171000,171000,166000,169500,43,0.0
2011-09-05,161500,169500,161500,166000,318,-0.020648967551622377
2011-09-06,163000,165000,158500,165000,326,-0.0060240963855421326
2011-09-07,158500,164000,158500,163500,34,-0.009090909090909038
2011-09-08,168000,168000,162500,166000,25,0.015290519877675823
2011-09-09,168500,168500,159000,161000,253,-0.030120481927710885
2011-09-14,163500,163500,158000,158000,85,-0.018633540372670843
2011-09-15,158000,165000,158000,161000,47,0.018987341772152
2011-09-16,161000,163000,158500,160000,341,-0.006211180124223614
2011-09-19,162000,162000,156000,160000,69,0.0
2011-09-20,160000,160000,158000,160000,148,0.0
2011-09-21,160000,167000,157500,160000,142,0.0
2011-09-22,164500,164500,156000,158500,51,-0.009375000000000022
2011-09-23,155000,158000,153500,156500,34,-0.012618296529968487
2011-09-26,156000,156000,145000,146500,172,-0.06389776357827481
2011-09-27,148500,150500,146500,148500,135,0.013651877133105783
2011-09-28,145000,149500,145000,149000,92,0.0033670033670034627
2011-09-29,149000,149000,145500,146000,108,-0.020134228187919434
2011-09-30,148000,148000,145000,147000,123,0.006849315068493178
2011-10-04,138000,142500,137500,138500,938,-0.05782312925170063
2011-10-05,143500,143500,136000,138500,363,0.0
2011-10-06,146000,146000,138000,140000,63,0.010830324909747224
2011-10-07,139000,144500,139000,141000,177,0.0071428571428571175
2011-10-10,144500,144500,140000,141500,95,0.0035460992907800915
2011-10-11,145000,149000,141500,144500,23,0.021201413427561766
2011-10-12,144500,146000,144500,144500,103,0.0
2011-10-13,146000,150000,144000,149000,222,0.03114186851211076
2011-10-14,148000,150500,147500,149500,8,0.003355704697986628
2011-10-17,150500,151000,141000,150000,50,0.0033444816053511683
2011-10-18,149500,156000,143500,147500,119,-0.01666666666666672
2011-10-19,152000,152000,144000,150000,49,0.016949152542372836
2011-10-20,150000,151000,147500,147500,53,-0.01666666666666672
2011-10-21,154500,154500,148000,149500,15,0.013559322033898313
2011-10-24,149500,154500,149000,152000,87,0.01672240802675584
2011-10-25,156500,156500,149500,154000,95,0.013157894736842035
2011-10-26,157000,157000,150000,154500,101,0.0032467532467532756
2011-10-27,157500,159000,153000,154500,115,0.0
2011-10-28,157000,157500,154000,156000,83,0.009708737864077666
2011-10-31,159000,159000,154000,156000,125,0.0
2011-11-01,156000,156000,152000,155500,98,-0.0032051282051281937
2011-11-02,157500,157500,152000,155000,58,-0.003215434083601254
2011-11-03,155000,155000,151500,154500,57,-0.003225806451612856
2011-11-04,159500,159500,154000,157000,70,0.016181229773462702
2011-11-07,158000,158500,155000,156000,120,-0.006369426751592355
2011-11-08,158000,158000,152500,155500,61,-0.0032051282051281937
2011-11-09,156000,157500,153500,154500,59,-0.006430868167202619
2011-11-10,154000,154000,151000,152500,81,-0.012944983818770184
2011-11-11,157000,159000,150000,155000,95,0.016393442622950838
2011-11-14,155500,157000,155000,157000,75,0.012903225806451646
2011-11-15,159500,159500,155000,157000,154,0.0
2011-11-16,155000,159000,155000,157000,50,0.0
2011-11-17,159000,159000,155000,157000,22,0.0
2011-11-18,157000,158000,153500,157000,210,0.0
2011-11-21,157000,161000,157000,159500,125,0.015923566878981
2011-11-22,159500,160500,157500,160000,47,0.0031347962382444194
2011-11-23,160000,160000,155500,160000,167,0.0
2011-11-24,161500,161500,157000,159000,249,-0.006249999999999978
2011-11-25,158500,159500,153500,158500,467,-0.0031446540880503138
2011-11-28,153500,159000,153000,156500,296,-0.012618296529968487
2011-11-29,156000,160000,156000,158000,13,0.009584664536741228
2011-11-30,158000,160000,155000,157500,25,-0.0031645569620253333
2011-12-01,159500,159500,153000,154500,95,-0.01904761904761909
2011-12-02,160500,160500,154500,156000,216,0.009708737864077666
2011-12-05,165000,165000,154500,155500,203,-0.0032051282051281937
2011-12-06,155500,164500,153000,155000,257,-0.003215434083601254
2011-12-07,159500,159500,154500,156500,174,0.00967741935483879
2011-12-08,170000,170000,154000,156000,95,-0.0031948881789137795
2011-12-09,156000,159500,153000,155000,101,-0.0064102564102563875
2011-12-12,158500,158500,154000,155500,1536,0.003225806451612856
2011-12-13,158000,158000,154000,155000,35,-0.003215434083601254
2011-12-14,155000,155000,153000,155000,115,0.0
2011-12-15,157000,157000,156500,156500,16,0.00967741935483879
2011-12-16,158000,158000,156500,156500,4,0.0
2011-12-19,154000,156500,150000,153500,59,-0.019169329073482455
2011-12-20,156500,158000,150500,154000,36,0.0032573289902280145
2011-12-21,153000,155500,151500,154000,156,0.0
2011-12-22,156000,156000,152000,154500,99,0.0032467532467532756
2011-12-23,156000,156000,151000,151000,130,-0.02265372168284785
2011-12-26,153000,153000,149000,152000,230,0.0066225165562914245
2011-12-27,155000,155000,152000,153500,87,0.009868421052631637
2011-12-28,154000,154500,152000,153500,35,0.0
2011-12-29,151000,154000,150500,154000,21,0.0032573289902280145
2012-01-02,154000,154000,152000,154000,34,0.0
2012-01-03,155000,155000,152000,153500,26,-0.0032467532467532756
2012-01-04,153500,154500,152000,153500,22,0.0
2012-01-05,153500,154000,151000,153500,81,0.0
2012-01-06,154000,154000,152000,153500,47,0.0
2012-01-09,153500,154000,149500,150500,39,-0.019543973941368087
2012-01-10,152500,153000,150500,153000,25,0.01661129568106312
2012-01-11,153000,153500,152000,153500,27,0.0032679738562091387
2012-01-12,153500,153500,151000,151500,21,-0.013029315960912058
