Date,Open,High,Low,Close,Volume,Change
2011-01-03,1426,1440,1392,1394,439492,-0.023125437981779906
2011-01-04,1417,1417,1325,1329,671688,-0.046628407460545196
2011-01-05,1333,1351,1260,1321,470690,-0.0060195635816403525
2011-01-06,1287,1333,1276,1333,422197,0.009084027252081794
2011-01-07,1300,1363,1287,1319,167534,-0.010502625656414133
2011-01-10,1339,1368,1268,1369,383549,0.037907505686125775
2011-01-11,1396,1546,1394,1501,2997562,0.09642074506939369
2011-01-12,1514,1639,1509,1558,2742264,0.03797468354430378
2011-01-13,1594,1635,1558,1629,2265357,0.04557124518613609
2011-01-14,1635,1649,1603,1637,1542237,0.0049109883364026885
2011-01-17,1653,1736,1649,1730,2290670,0.056811240073304736
2011-01-18,1783,1797,1495,1702,1907568,-0.016184971098265888
2011-01-19,1702,1706,1610,1674,907243,-0.016451233842538215
2011-01-20,1673,1693,1617,1692,1143776,0.010752688172043001
2011-01-21,1700,1891,1637,1838,2173480,0.08628841607565008
2011-01-24,1799,1927,1799,1856,2319326,0.009793253536452662
2011-01-25,1882,1891,1799,1847,859227,-0.004849137931034475
2011-01-26,1855,2017,1855,1955,1695876,0.05847319978343268
2011-01-27,1963,1990,1936,1963,1116553,0.004092071611253134
2011-01-28,1945,1972,1872,1973,802454,0.005094243504839557
2011-01-31,1963,2053,1918,1928,1176908,-0.022807906741003525
2011-02-01,1972,1972,1872,1928,673597,0.0
2011-02-07,1936,1936,1819,1874,462429,-0.028008298755186734
2011-02-08,1882,2026,1837,1963,533316,0.04749199573105667
2011-02-09,1999,2035,1953,2009,506987,0.023433520122261742
2011-02-10,1999,2026,1927,1982,660661,-0.013439522150323513
2011-02-11,1990,1990,1855,1973,589955,-0.004540867810292615
2011-02-14,1909,1990,1909,1982,414851,0.004561581348200727
2011-02-15,1954,1990,1918,1963,338146,-0.009586276488395606
2011-02-16,1963,2008,1837,1892,1239940,-0.036169128884360635
2011-02-17,1918,1936,1631,1639,1611316,-0.13372093023255816
2011-02-18,1714,1801,1714,1784,1225524,0.08846857840146427
2011-02-21,1837,1872,1765,1784,578375,0.0
2011-02-22,1801,1837,1684,1784,733497,0.0
2011-02-23,1712,1761,1621,1634,1014391,-0.0840807174887892
2011-02-24,1657,1779,1562,1631,907420,-0.001835985312117483
2011-02-25,1693,1693,1639,1694,951858,0.03862660944205998
2011-02-28,1702,1765,1691,1748,1619179,0.031877213695395534
2011-03-02,1745,1748,1678,1702,457961,-0.02631578947368418
2011-03-03,1726,1726,1694,1712,462207,0.005875440658049458
2011-03-04,1720,1720,1696,1712,920185,0.0
2011-03-07,1704,1716,1669,1681,433844,-0.01810747663551404
2011-03-08,1698,1698,1576,1613,670356,-0.04045211183819153
2011-03-09,1621,1691,1612,1669,769050,0.03471791692498449
2011-03-10,1702,1702,1643,1657,849583,-0.0071899340922708666
2011-03-11,1689,1689,1647,1676,586651,0.011466505733252808
2011-03-14,1671,1671,1424,1450,2253859,-0.1348448687350835
2011-03-15,1459,1459,1244,1436,1314371,-0.0096551724137931
2011-03-16,1475,1475,1374,1440,430904,0.0027855153203342198
2011-03-17,1428,1483,1368,1436,506534,-0.002777777777777768
2011-03-18,1444,1446,1386,1412,787645,-0.01671309192200554
2011-03-21,1388,1422,1367,1367,579257,-0.03186968838526916
2011-03-22,1367,1404,1271,1396,392100,0.02121433796634964
2011-03-23,1422,1562,1414,1526,815071,0.09312320916905437
2011-03-24,1536,1584,1525,1584,421148,0.038007863695937116
2011-03-25,1583,1583,1513,1566,540821,-0.011363636363636354
2011-03-28,1564,1615,1530,1616,695536,0.03192848020434225
2011-03-29,1615,1657,1610,1651,1098406,0.021658415841584233
2011-03-30,1665,1671,1574,1607,555164,-0.026650514839491213
2011-03-31,1588,1710,1580,1712,1312173,0.06533914125700058
2011-04-01,1734,1734,1665,1710,459348,-0.001168224299065379
2011-04-04,1709,1709,1657,1708,694093,-0.0011695906432748204
2011-04-05,1710,1730,1682,1732,648033,0.014051522248243575
2011-04-06,1747,1747,1710,1732,450040,0.0
2011-04-07,1720,1745,1710,1735,380137,0.0017321016166280678
2011-04-08,1726,1768,1677,1769,955389,0.019596541786743416
2011-04-11,1768,1783,1742,1766,646807,-0.0016958733747880483
2011-04-12,1748,1767,1669,1670,633396,-0.05436013590033972
2011-04-13,1643,1718,1643,1669,482615,-0.0005988023952095967
