Date,Open,High,Low,Close,Volume,Change
2011-01-03,0,0,0,28894,0,0.0
2011-01-04,0,0,0,28894,0,0.0
2011-01-05,0,0,0,28894,0,0.0
2011-01-06,0,0,0,28894,0,0.0
2011-01-07,0,0,0,28894,0,0.0
2011-01-10,0,0,0,28894,0,0.0
2011-01-11,0,0,0,28894,0,0.0
2011-01-12,28891,28891,24588,24590,76374,-0.14895826123070532
2011-01-13,21079,22743,20896,20902,258068,-0.14997966653111017
2011-01-14,21512,21512,20066,21046,25479,0.006889292890632559
2011-01-17,21407,21407,19889,20143,18727,-0.042906015394849395
2011-01-18,19921,20354,17210,19166,35001,-0.04850320210494963
2011-01-19,20173,20173,18078,18660,20785,-0.026400918292810216
2011-01-20,19453,19453,18551,18805,8723,0.007770632368703012
2011-01-21,19815,20498,18836,19890,20032,0.057697420898697116
2011-01-24,19888,21513,19054,19491,30229,-0.020060331825037747
2011-01-25,20790,20790,18439,18877,13761,-0.03150171874198349
2011-01-26,20464,20464,16051,16056,34195,-0.14944111882184674
2011-01-27,16249,18078,16051,16996,43089,0.05854509217737913
2011-01-28,17716,18763,16667,16961,10484,-0.0020593080724876645
2011-01-31,16957,17481,16268,17250,7575,0.017039089676316177
2011-02-01,17538,17538,16272,17467,10561,0.012579710144927647
2011-02-07,17464,17536,16629,17358,12587,-0.006240338924829669
2011-02-08,17536,17536,16741,17159,8589,-0.011464454430233917
2011-02-09,17319,17319,16703,17213,7514,0.0031470365405910083
2011-02-10,17046,17318,16774,17303,4213,0.005228606285946569
2011-02-11,17297,17461,16957,16996,13149,-0.017742587990521863
2011-02-14,16941,17447,16562,16599,2728,-0.023358437279359823
2011-02-15,16598,16976,15186,16273,15499,-0.01963973733357427
2011-02-16,15945,16991,15726,16255,17957,-0.001106126712960065
2011-02-17,16539,16918,15691,16382,18135,0.007812980621347387
2011-02-18,16052,16773,15978,16779,2791,0.024233915272860562
2011-02-21,16812,16812,15978,16725,12626,-0.003218308600035802
2011-02-22,16815,16815,15855,16599,15382,-0.007533632286995551
2011-02-23,16776,16776,15999,16418,9350,-0.010904271341647065
2011-02-24,16126,18874,16017,18877,42692,0.1497746375928859
2011-02-25,19559,19671,17716,18081,29092,-0.042167717327965204
2011-02-28,16290,18405,16271,17286,11600,-0.04396880703500916
2011-03-02,15836,18226,15836,17268,2945,-0.0010413051023949738
2011-03-03,17245,18224,16376,17231,7307,-0.002142691684039799
2011-03-04,16811,17626,16792,16852,16691,-0.02199524113516338
2011-03-07,16775,17246,15620,16490,4936,-0.02148112983622119
2011-03-08,16615,16615,15620,16418,12570,-0.004366282595512416
2011-03-09,16414,16448,15546,15911,11396,-0.0308807406505055
2011-03-10,15906,15906,15401,15911,11912,0.0
2011-03-11,15908,15946,15312,15875,12486,-0.0022625856325811933
2011-03-14,15873,15945,15331,15948,12163,0.0045984251968504974
2011-03-15,15547,15853,14965,15713,16383,-0.014735390017557082
2011-03-16,15706,18059,15454,15911,20215,0.012601030993445006
2011-03-17,15874,15908,15185,15875,5035,-0.0022625856325811933
2011-03-18,15874,15894,15041,15604,29390,-0.017070866141732255
2011-03-21,15166,15583,14515,15279,11213,-0.02082799282235326
2011-03-22,15294,15363,14752,15261,15772,-0.0011780875711761007
2011-03-23,15329,15364,14751,15116,1617,-0.009501343293362163
2011-03-24,14752,15096,14462,15098,6327,-0.0011907912146070787
2011-03-25,14824,15094,14353,14790,9406,-0.02040005298715064
2011-03-28,14787,15096,13667,14881,6553,0.006152805949966256
2011-03-29,14641,14859,14462,14827,2584,-0.0036287883878771687
2011-03-30,14877,16974,14824,16961,34388,0.14392662035475823
2011-03-31,16995,19164,15694,19130,86205,0.127881610754083
2011-04-01,18980,18980,17045,17051,27853,-0.10867746994249872
2011-04-04,17048,17358,16544,16544,60303,-0.029734326432467317
2011-04-05,16450,16741,15907,16364,22436,-0.010880077369439078
2011-04-06,16502,16502,15779,16128,19510,-0.01442190173551694
2011-04-07,16124,16162,15673,15785,22802,-0.02126736111111116
2011-04-08,16126,16126,15549,15803,5508,0.00114032309154255
2011-04-11,15800,15980,15365,15424,10726,-0.02398278807821297
2011-04-12,15329,15853,14713,14773,19515,-0.042206950207468896
2011-04-13,14661,15164,14389,14700,10896,-0.004941447234820262
2011-04-14,14679,14679,14282,14573,7986,-0.008639455782312955
2011-04-15,14680,14878,14408,14827,2054,0.017429492897824694
2011-04-18,15728,15728,14211,14682,16354,-0.009779456397113417
2011-04-19,14785,14785,14282,14646,1466,-0.002451982018798482
2011-04-20,14731,14731,14100,14465,11139,-0.012358323091629098
2011-04-21,14824,14824,13990,14628,5273,0.011268579329415829
2011-04-22,14607,14641,14118,14356,11824,-0.01859447634673228
2011-04-25,14172,14428,13395,14429,13310,0.005084981889105666
2011-04-26,14480,14480,14116,14447,3960,0.00124748769838523
2011-04-27,14534,14534,14263,14284,1670,-0.01128261922890561
2011-04-28,14462,15385,12979,13742,73895,-0.037944553346401566
2011-04-29,14390,14390,13288,13507,26833,-0.017100858681414643
2011-05-02,13216,13812,13070,13488,25448,-0.0014066780188051187
2011-05-03,13143,13560,13124,13416,9822,-0.005338078291814985
2011-05-04,13610,13610,13374,13525,7227,0.008124627310673871
2011-05-06,13830,13830,13374,13652,2974,0.009390018484288332
2011-05-09,13831,13831,13448,13778,1130,0.009229416935247592
2011-05-11,13774,13832,13522,13742,6010,-0.00261286108288572
2011-05-12,13738,13738,13573,13705,1172,-0.0026924756221802237
2011-05-13,13699,13699,13538,13670,2264,-0.002553812477198103
2011-05-16,13446,13810,13411,13670,2744,0.0
2011-05-17,13646,13646,13015,13652,5066,-0.0013167520117044473
2011-05-18,14425,14425,13447,13922,10553,0.019777322004101983
2011-05-19,13666,14101,12725,13904,9436,-0.0012929176842407797
2011-05-20,13992,13992,12327,13814,7740,-0.006472957422324566
2011-05-23,13920,13920,13070,13742,8444,-0.005212103662950662
2011-05-24,13195,13665,13175,13181,7303,-0.04082375200116428
