Date,Open,High,Low,Close,Volume,Change
2016-12-19,2278,2948,1976,2385,20519560,
2016-12-20,2459,2680,2281,2489,14295741,0.04360587002096428
2016-12-21,2402,2408,2234,2238,4330607,-0.10084371233427081
2016-12-22,2392,2907,2318,2727,27464221,0.2184986595174263
2016-12-23,2733,2743,2485,2539,8270124,-0.06894022735606897
2016-12-26,2532,2780,2388,2422,12785582,-0.046081134304844396
2016-12-27,2489,2770,2472,2546,12112609,0.051197357555738954
2016-12-28,2569,2743,2512,2643,4235051,0.03809897879025925
2016-12-29,2606,2656,2499,2519,2492470,-0.04691638289822175
2017-01-02,2519,2526,2298,2348,2000082,-0.0678840809845177
2017-01-03,2341,2445,2308,2352,2325357,0.0017035775127767216
2017-01-04,2371,2375,2268,2278,1033387,-0.03146258503401356
2017-01-05,2278,2291,2204,2214,889212,-0.028094820017559252
2017-01-06,2227,2291,2207,2211,674116,-0.0013550135501354532
2017-01-09,2227,2304,2217,2248,900185,0.01673450927182274
2017-01-10,2247,2365,2224,2312,1495526,0.028469750889679624
2017-01-11,2308,2613,2284,2526,5252317,0.09256055363321791
2017-01-12,2485,2556,2348,2442,1635549,-0.0332541567695962
2017-01-13,2455,2529,2412,2432,1878618,-0.004095004095004073
2017-01-16,2459,2656,2452,2513,4751470,0.03330592105263164
2017-01-17,2673,2700,2381,2382,2973514,-0.05212892956625548
2017-01-18,2378,2398,2278,2298,1028458,-0.035264483627204024
2017-01-19,2348,2425,2278,2281,759973,-0.007397737162750273
2017-01-20,2281,2298,2211,2225,590174,-0.024550635686102606
2017-01-23,2234,2338,2134,2147,844992,-0.03505617977528086
2017-01-24,2110,2137,2013,2013,684845,-0.062412668840242214
2017-01-25,2020,2023,1862,1873,984394,-0.06954793840039741
2017-01-26,1892,1966,1889,1943,572682,0.03737319807794992
2017-01-31,1943,2000,1943,1963,314699,0.01029336078229548
2017-02-01,1986,1993,1949,1960,247253,-0.0015282730514518672
2017-02-02,1943,1966,1782,1782,443081,-0.09081632653061222
2017-02-03,1842,2274,1842,2080,9854302,0.16722783389450058
2017-02-06,2070,2083,1976,2003,1663932,-0.03701923076923075
2017-02-07,2023,2110,1989,2107,1919895,0.051922116824762776
2017-02-08,2264,2505,2140,2144,13748435,0.017560512577123877
2017-02-09,2117,2395,2077,2305,5727220,0.07509328358208944
2017-02-10,2284,2432,2197,2225,2242684,-0.03470715835141003
2017-02-13,2274,2328,2150,2174,1236695,-0.022921348314606793
2017-02-14,2194,2221,2093,2198,798314,0.011039558417663242
2017-02-15,2164,2194,2134,2168,461510,-0.013648771610555
