Date,Open,High,Low,Close,Volume,Change
2011-01-03,2780,2835,2730,2785,9120,0.0017985611510791255
2011-01-04,2785,2850,2760,2820,32910,0.012567324955116588
2011-01-05,2820,2900,2810,2875,74277,0.019503546099290725
2011-01-06,2900,2900,2850,2875,69340,0.0
2011-01-07,2890,2920,2850,2870,38685,-0.0017391304347825765
2011-01-10,2805,2900,2805,2900,17172,0.010452961672473782
2011-01-11,2920,3045,2900,2990,25782,0.03103448275862064
2011-01-12,3000,3055,3000,3000,21350,0.0033444816053511683
2011-01-13,3045,3045,2950,3000,4816,0.0
2011-01-14,3000,3040,2950,2955,5363,-0.015000000000000013
2011-01-17,3035,3035,3010,3010,10710,0.01861252115059231
2011-01-18,3050,3100,3025,3035,5870,0.008305647840531671
2011-01-19,3100,3200,3020,3075,27535,0.01317957166392092
2011-01-20,3200,3200,3050,3075,15630,0.0
2011-01-21,3080,3125,2895,2975,18350,-0.03252032520325199
2011-01-24,2915,3070,2915,3050,19290,0.025210084033613356
2011-01-25,3100,3100,3040,3090,12970,0.013114754098360715
2011-01-26,3025,3140,3025,3110,3082,0.006472491909385036
2011-01-27,3100,3110,3085,3095,4860,-0.004823151125401881
2011-01-28,3100,3105,3075,3095,4130,0.0
2011-01-31,3095,3135,2975,2975,27959,-0.03877221324717284
2011-02-01,3100,3145,3060,3100,33822,0.04201680672268915
2011-02-07,3105,3285,3105,3245,21098,0.04677419354838719
2011-02-08,3250,3290,3170,3180,31830,-0.02003081664098616
2011-02-09,3185,3215,3075,3100,13910,-0.02515723270440251
2011-02-10,3125,3170,3095,3110,39840,0.003225806451612856
2011-02-11,3150,3215,3140,3170,9660,0.019292604501607746
2011-02-14,3220,3220,3120,3175,5940,0.001577287066246047
2011-02-15,3175,3175,3115,3165,10940,-0.0031496062992125706
2011-02-16,3165,3200,3125,3200,6200,0.011058451816745585
2011-02-17,3200,3255,3100,3220,5340,0.006250000000000089
2011-02-18,3220,3220,3135,3180,16440,-0.012422360248447228
2011-02-21,3160,3200,3105,3105,16360,-0.02358490566037741
2011-02-22,3050,3085,3000,3050,9030,-0.017713365539452464
2011-02-23,3050,3100,3045,3075,10541,0.008196721311475308
2011-02-24,3085,3150,3000,3040,46598,-0.011382113821138184
2011-02-25,3050,3055,3025,3045,7300,0.00164473684210531
2011-02-28,3045,3070,2905,3065,54086,0.006568144499178974
2011-03-02,3075,3125,3050,3125,16660,0.019575856443719397
2011-03-03,3125,3125,3055,3080,30400,-0.014399999999999968
2011-03-04,3100,3125,3000,3115,14728,0.011363636363636465
2011-03-07,3115,3145,3105,3125,38030,0.0032102728731941976
2011-03-08,3145,3150,3125,3130,24910,0.0016000000000000458
