Date,Open,High,Low,Close,Volume,Change
2015-03-25,17060,18005,16985,17440,215452,
2015-03-26,17475,17665,17250,17475,51131,0.00200688073394506
2015-03-27,17360,17850,17360,17400,22667,-0.0042918454935622075
2015-03-30,17550,17550,17135,17365,4225,-0.0020114942528736135
2015-03-31,17095,17550,17095,17440,6932,0.004319032536711731
2015-04-01,17510,17590,17325,17365,5688,-0.004300458715596367
2015-04-02,17175,17360,17135,17290,5575,-0.004319032536711731
2015-04-03,17285,17360,17135,17290,11571,0.0
2015-04-06,17400,17400,17250,17400,18138,0.0063620589936379535
2015-04-07,17400,17740,17360,17400,21017,0.0
2015-04-08,17435,18685,17435,18155,16681,0.04339080459770117
2015-04-09,19210,19285,18190,18875,11799,0.0396584962820159
2015-04-10,19175,19515,18720,18985,20216,0.005827814569536516
2015-04-13,19285,19400,18985,19325,3071,0.017908875427969484
2015-04-14,19700,19815,19360,19815,3967,0.02535575679172064
2015-04-15,19855,20610,19740,20570,5345,0.03810244764067616
2015-04-16,20760,21100,20154,20460,7894,-0.005347593582887722
2015-04-17,21099,21099,19625,20235,3871,-0.010997067448680342
2015-04-20,20229,20269,18265,18910,20701,-0.0654806029157401
2015-04-21,19625,19625,18909,18950,5213,0.0021152829190904665
2015-04-22,19590,19590,19099,19215,2063,0.013984168865435409
2015-04-23,19020,19100,18645,18950,7495,-0.013791308873276065
2015-04-24,18835,18910,18345,18645,3941,-0.016094986807387857
2015-04-27,18605,19400,18380,18645,2132,0.0
2015-04-28,18645,18835,18530,18535,653,-0.005899705014749235
2015-04-29,18455,18605,18455,18495,3077,-0.0021580793094145845
2015-04-30,18795,18795,18345,18385,3075,-0.005947553392808835
2015-05-04,18190,18495,17700,17855,1393,-0.02882784878977429
2015-05-06,18115,18115,17890,18120,1662,0.014841781013721578
2015-05-07,18115,18190,18080,18195,1361,0.004139072847682224
2015-05-08,18040,18040,17740,17855,1073,-0.01868645232206645
2015-05-11,17740,17850,17665,17815,4404,-0.0022402688322599174
2015-05-12,17815,18040,17815,17970,5182,0.008700533258489962
2015-05-13,18455,20495,18455,18645,1984,0.037562604340567685
2015-05-14,19815,19815,18870,19140,2456,0.026548672566371723
2015-05-15,19550,19550,18985,19555,1033,0.0216823406478579
2015-05-18,17740,20115,17740,19065,2933,-0.025057530043467113
2015-05-19,18910,19625,18495,18685,1495,-0.01993181222134799
2015-05-20,18605,19210,18605,18685,2787,0.0
2015-05-21,18685,19175,18230,18875,6196,0.010168584426010208
2015-05-22,19475,19475,18720,19140,891,0.014039735099337758
2015-05-26,18760,18835,17890,18645,5661,-0.025862068965517238
2015-05-27,18645,18870,18570,18875,1640,0.012335746849021278
2015-05-28,19250,19250,18720,18760,1690,-0.006092715231788115
2015-05-29,18605,19210,18605,18835,600,0.003997867803837929
2015-06-01,18834,20345,18645,19740,12111,0.04804884523493502
2015-06-02,19740,19740,19250,19630,4953,-0.005572441742654477
2015-06-03,20230,20230,19929,19930,2706,0.015282730514518672
2015-06-04,20720,20720,19625,19630,2613,-0.015052684395383875
2015-06-05,20080,20835,19250,20835,4616,0.06138563423331633
2015-06-08,21175,21175,20115,20345,1853,-0.023518118550516
2015-06-09,20380,21025,20380,20385,3242,0.0019660850331777446
2015-06-10,20230,20380,20080,20080,591,-0.01496198184939912
2015-06-11,20080,20305,19775,20270,1767,0.009462151394422413
2015-06-12,20155,20155,19699,19705,3034,-0.027873704982733116
2015-06-15,20305,20305,19135,19325,503,-0.01928444557218978
2015-06-16,19134,19625,18155,18460,2422,-0.044760672703751614
2015-06-17,19855,19855,18345,18345,246,-0.006229685807150553
2015-06-18,18265,18869,18265,18270,451,-0.00408830744071953
2015-06-19,17360,19515,17360,18045,136,-0.012315270935960632
2015-06-22,19250,19250,17850,18310,1491,0.014685508451094398
2015-06-23,18190,19210,18005,18155,955,-0.008465319497542367
2015-06-24,18155,18305,18115,18195,571,0.0022032497934454387
2015-06-25,18190,19175,18115,19175,1337,0.05386095081066222
2015-06-26,18155,20495,18155,19140,2780,-0.0018252933507171276
2015-06-29,20305,20305,18835,20080,8021,0.04911180773249746
2015-06-30,20530,20530,20005,20005,2032,-0.0037350597609562275
2015-07-01,20495,20495,20155,20310,133,0.015246188452886722
2015-07-02,20610,21550,20080,20195,1396,-0.005662235352043354
