Date,Open,High,Low,Close,Volume,Change
2011-01-03,20750,20750,20400,20500,285826,-0.007263922518159771
2011-01-04,20500,20850,20500,20800,404104,0.014634146341463428
2011-01-05,20800,20900,20350,20400,408366,-0.019230769230769273
2011-01-06,20400,20600,20300,20350,372119,-0.002450980392156854
2011-01-07,20250,20450,20200,20300,327478,-0.002457002457002422
2011-01-10,20200,20600,20200,20500,408480,0.009852216748768461
2011-01-11,20500,21850,20500,21800,930254,0.06341463414634152
2011-01-12,21650,22150,21650,21750,769937,-0.002293577981651418
2011-01-13,21900,22050,21350,21700,515609,-0.0022988505747126853
2011-01-14,21350,21500,19700,20200,1645157,-0.06912442396313367
2011-01-17,20450,20550,19600,20000,668362,-0.00990099009900991
2011-01-18,20000,20000,19600,19750,437661,-0.012499999999999956
2011-01-19,19600,19850,19400,19750,384195,0.0
2011-01-20,19500,19750,19300,19300,332527,-0.02278481012658229
2011-01-21,19300,19700,19150,19600,222447,0.015544041450777257
2011-01-24,19600,19650,19150,19500,228739,-0.005102040816326481
2011-01-25,19350,20400,19300,20150,569328,0.03333333333333344
2011-01-26,20200,20250,19500,19500,267548,-0.032258064516129004
2011-01-27,19650,19700,18550,18700,930248,-0.04102564102564099
2011-01-28,18800,19250,18700,19000,608161,0.016042780748663166
2011-01-31,18950,18950,18550,18550,197275,-0.023684210526315752
2011-02-01,18700,19650,18700,19650,348549,0.059299191374662996
2011-02-07,19750,19900,19300,19300,167622,-0.01781170483460559
2011-02-08,19500,19850,19450,19700,232070,0.020725388601036343
2011-02-09,19700,19800,19100,19400,341379,-0.015228426395939132
2011-02-10,19450,19450,18850,18900,192887,-0.02577319587628868
2011-02-11,19100,19800,19100,19550,617313,0.03439153439153442
2011-02-14,19700,19900,19600,19800,197510,0.01278772378516635
2011-02-15,20000,20000,19350,19500,188207,-0.015151515151515138
2011-02-16,19500,19500,19000,19100,252649,-0.02051282051282055
2011-02-17,19250,19300,18500,18800,293833,-0.015706806282722474
2011-02-18,18750,19550,18750,19500,289656,0.037234042553191404
2011-02-21,19500,19550,19100,19550,136509,0.002564102564102555
2011-02-22,19350,19400,19100,19200,244152,-0.01790281329923271
2011-02-23,19200,19650,19100,19200,250175,0.0
2011-02-24,19150,19250,18850,19050,206152,-0.0078125
2011-02-25,19000,19100,18800,18850,258987,-0.01049868766404205
2011-02-28,18850,19000,18700,18900,195251,0.0026525198938991412
2011-03-02,18800,19150,18750,18800,377114,-0.005291005291005346
2011-03-03,18800,18950,18350,18750,874450,-0.0026595744680850686
2011-03-04,18850,18900,18550,18750,361731,0.0
2011-03-07,18750,18950,18700,18900,307062,0.008000000000000007
2011-03-08,18700,18800,18450,18500,468683,-0.021164021164021163
2011-03-09,18600,18650,18100,18150,396757,-0.018918918918918948
2011-03-10,18100,18100,16900,17050,794201,-0.06060606060606055
2011-03-11,16700,17300,16500,17100,406024,0.0029325513196480912
2011-03-14,15750,16100,14550,14600,3328065,-0.14619883040935677
2011-03-15,14700,15200,13450,14350,2074440,-0.017123287671232834
2011-03-16,14500,15150,14400,15150,1220635,0.05574912891986061
2011-03-17,14700,15450,14650,15300,828056,0.00990099009900991
2011-03-18,15350,16300,15350,16300,995705,0.065359477124183
2011-03-21,16550,16850,15900,15950,833099,-0.021472392638036797
2011-03-22,16100,16300,15800,15900,438556,-0.0031347962382445305
2011-03-23,15950,16050,15500,15550,377303,-0.022012578616352196
2011-03-24,15650,15750,14850,15000,807432,-0.03536977491961413
2011-03-25,15250,15750,15100,15750,636140,0.050000000000000044
2011-03-28,16000,16350,15900,16200,481487,0.02857142857142847
2011-03-29,16250,16450,16050,16100,266872,-0.006172839506172867
2011-03-30,16150,16400,16050,16300,298718,0.012422360248447228
2011-03-31,16600,16950,16350,16550,682342,0.015337423312883347
2011-04-01,16500,16650,16200,16200,293226,-0.02114803625377648
2011-04-04,16250,16800,16250,16400,635309,0.012345679012345734
2011-04-05,16350,16450,16000,16150,398078,-0.015243902439024404
2011-04-06,16100,16200,15900,16050,301217,-0.006191950464396245
2011-04-07,16050,16200,15900,16000,303270,-0.0031152647975077885
2011-04-08,16000,16100,15700,15750,444324,-0.015625
2011-04-11,15600,15700,15150,15200,577465,-0.03492063492063491
2011-04-12,15300,15500,15100,15100,283842,-0.006578947368421018
2011-04-13,15000,15250,15000,15100,220914,0.0
2011-04-14,15050,15800,15050,15300,492415,0.013245033112582849
2011-04-15,15500,15800,15350,15800,296622,0.03267973856209161
2011-04-18,15900,15900,15400,15500,255814,-0.01898734177215189
2011-04-19,15250,15400,15000,15050,238084,-0.029032258064516148
2011-04-20,15200,15550,15100,15450,287245,0.02657807308970095
2011-04-21,15800,16100,15650,15850,660572,0.025889967637540368
2011-04-22,15800,15800,15150,15400,482050,-0.028391167192429068
2011-04-25,15400,15550,15100,15400,262843,0.0
2011-04-26,15300,15500,14800,14950,383854,-0.02922077922077926
2011-04-27,14950,15100,14450,14800,486592,-0.010033444816053505
2011-04-28,14800,15000,14050,14150,681297,-0.04391891891891897
2011-04-29,14000,14700,13900,14650,462007,0.035335689045936425
2011-05-02,14900,16050,14900,15900,945092,0.0853242320819112
2011-05-03,15900,16150,15650,16150,563852,0.01572327044025168
2011-05-04,16200,16300,15600,16050,383089,-0.006191950464396245
2011-05-06,16000,16350,15700,16200,507091,0.009345794392523255
2011-05-09,16500,17150,16400,16700,848234,0.030864197530864113
2011-05-11,17200,17650,16900,17450,900175,0.04491017964071853
2011-05-12,17450,17700,17150,17450,451004,0.0
2011-05-13,17600,17700,16900,17400,480294,-0.002865329512893977
2011-05-16,17150,17650,17000,17300,233210,-0.005747126436781658
2011-05-17,17000,17400,16850,17000,245691,-0.017341040462427793
2011-05-18,17000,17350,16500,16800,218496,-0.0117647058823529
2011-05-19,17050,17950,17050,17550,809241,0.044642857142857206
2011-05-20,17800,18200,17500,17500,660071,-0.002849002849002802
2011-05-23,17650,18150,17500,17750,423866,0.014285714285714235
2011-05-24,17900,18050,17650,17900,636574,0.008450704225352101
2011-05-25,18150,18200,17600,17600,274230,-0.016759776536312887
2011-05-26,17800,17800,17250,17400,259153,-0.011363636363636354
2011-05-27,17400,17650,16950,17550,330053,0.008620689655172376
2011-05-30,17700,17800,17300,17350,275583,-0.01139601139601143
2011-05-31,17300,17350,16600,17050,374006,-0.01729106628242072
2011-06-01,16650,17750,16300,17650,925331,0.035190615835777095
2011-06-02,17400,18550,17000,18150,1053354,0.028328611898017053
2011-06-03,18300,19400,18300,19150,1502523,0.05509641873278226
2011-06-07,19350,19500,19000,19050,532276,-0.005221932114882533
2011-06-08,19150,19450,18850,19100,426666,0.002624671916010568
2011-06-09,19300,19300,18450,18450,373654,-0.03403141361256545
2011-06-10,18650,18650,18100,18400,425900,-0.0027100271002710175
2011-06-13,18600,19650,18500,18950,590903,0.029891304347826164
2011-06-14,19200,19750,18950,19750,407380,0.04221635883905006
2011-06-15,19700,19900,19350,19900,273714,0.0075949367088608
2011-06-16,19550,19900,19400,19700,238906,-0.01005025125628145
2011-06-17,19800,19850,18850,19050,348749,-0.032994923857868064
2011-06-20,19100,19450,18750,19250,333767,0.01049868766404205
2011-06-21,19200,19300,18700,18950,450899,-0.01558441558441559
2011-06-22,19200,19750,18900,19300,451020,0.01846965699208436
2011-06-23,19800,20150,19300,19300,793686,0.0
2011-06-24,19350,19600,19000,19450,305466,0.007772020725388629
2011-06-27,19500,19650,19050,19200,272403,-0.01285347043701801
2011-06-28,19500,19950,18500,18500,618911,-0.03645833333333337
2011-06-29,18750,19350,18550,19150,334934,0.03513513513513522
2011-06-30,19300,20400,19300,20250,904775,0.05744125326370764
2011-07-01,20500,21400,20300,21100,1021011,0.041975308641975406
2011-07-04,21200,21350,20900,21100,792171,0.0
2011-07-05,21400,21600,21000,21100,437751,0.0
2011-07-06,21400,21700,21100,21600,585540,0.023696682464454888
2011-07-07,22200,22200,21550,21600,656899,0.0
2011-07-08,21600,21800,21400,21400,359430,-0.0092592592592593
2011-07-11,21050,22200,20950,22200,427116,0.03738317757009346
2011-07-12,22050,22400,21750,21950,429888,-0.011261261261261257
2011-07-13,21950,22150,21450,22100,269078,0.006833712984054774
2011-07-14,22000,22100,21700,21700,355326,-0.018099547511312264
2011-07-15,21600,22300,21450,22100,508484,0.018433179723502224
2011-07-18,22100,22200,21500,21700,410948,-0.018099547511312264
2011-07-19,22200,22700,22050,22050,820814,0.016129032258064502
2011-07-20,22500,23650,22300,23650,1012068,0.07256235827664392
2011-07-21,23450,23500,22650,23000,487344,-0.02748414376321351
2011-07-22,23300,23300,22350,23000,367162,0.0
2011-07-25,22700,23250,22700,23000,247414,0.0
2011-07-26,22800,23200,22500,22850,386301,-0.006521739130434745
2011-07-27,23250,23700,22900,23400,358770,0.024070021881838155
2011-07-28,22950,23650,22950,23650,162798,0.010683760683760646
2011-07-29,23650,23700,22600,23350,449021,-0.012684989429175508
2011-08-01,23500,23650,23200,23400,258470,0.0021413276231263545
2011-08-02,23500,24200,23450,23800,336955,0.017094017094017033
2011-08-03,23550,24050,23450,23550,458788,-0.010504201680672232
