Date,Open,High,Low,Close,Volume,Change
2011-01-03,66100,66700,64900,65800,1259518,0.009202453987730008
2011-01-04,66200,67800,65800,66700,1045623,0.013677811550151908
2011-01-05,66700,66800,64300,65500,1319437,-0.01799100449775115
2011-01-06,66000,66300,64700,65000,985514,-0.007633587786259555
2011-01-07,64800,66000,64100,65200,1211964,0.003076923076922977
2011-01-10,65700,68000,65300,67400,1686101,0.033742331288343586
2011-01-11,68100,68500,66900,67900,1033450,0.007418397626112849
2011-01-12,68400,71700,67100,71200,1552271,0.048600883652430094
2011-01-13,71200,71800,70300,71100,1031156,-0.001404494382022503
2011-01-14,69400,70000,68400,69600,954486,-0.021097046413502074
2011-01-17,69000,71200,67600,71200,1004248,0.02298850574712641
2011-01-18,70600,74900,70400,73100,1790362,0.026685393258427004
2011-01-19,73700,74900,71900,74000,914866,0.012311901504787892
2011-01-20,74200,76800,73700,75100,1003213,0.014864864864864824
2011-01-21,74700,75800,73300,74200,639862,-0.011984021304926817
2011-01-24,73800,77500,73000,77500,933965,0.04447439353099725
2011-01-25,77900,78500,76700,77800,676620,0.003870967741935516
2011-01-26,78300,78500,76600,77500,481995,-0.003856041131105381
2011-01-27,77500,84300,77500,81700,1622226,0.05419354838709678
2011-01-28,81600,83800,81000,83300,581131,0.019583843329253448
2011-01-31,83000,85900,82400,83300,880473,0.0
2011-02-01,83300,83700,78700,78800,984768,-0.0540216086434574
2011-02-07,79700,79800,76600,77000,948218,-0.022842639593908642
2011-02-08,77000,78900,76200,77900,1053802,0.011688311688311748
2011-02-09,79200,79500,75800,77000,683298,-0.011553273427471145
2011-02-10,76200,77000,74500,75400,554770,-0.020779220779220786
2011-02-11,75200,77900,75100,76200,541645,0.010610079575596787
2011-02-14,77200,77200,73300,75700,570725,-0.006561679790026198
2011-02-15,75500,79200,74500,78300,708395,0.034346103038309206
2011-02-16,78200,79200,74700,76400,610911,-0.024265644955300147
2011-02-17,76700,76700,71000,74100,937276,-0.030104712041884807
2011-02-18,74500,76100,72900,75800,513129,0.02294197031039147
2011-02-21,76100,79500,76000,78500,665052,0.03562005277044844
2011-02-22,78700,79800,76500,76500,725178,-0.02547770700636942
2011-02-23,77100,78000,76200,76400,577125,-0.0013071895424836555
2011-02-24,76500,77000,71700,71900,959346,-0.05890052356020947
2011-02-25,71200,73300,70100,72900,647993,0.013908205841446364
2011-02-28,72700,73700,69500,69500,572998,-0.04663923182441698
2011-03-02,69900,70900,67800,68400,569143,-0.015827338129496438
2011-03-03,69600,72000,69000,71800,792301,0.04970760233918137
2011-03-04,73500,73700,72400,73300,573788,0.02089136490250687
2011-03-07,73200,74300,72400,74000,423893,0.009549795361528002
2011-03-08,73900,76500,72800,76000,854548,0.027027027027026973
2011-03-09,75800,77400,75600,77400,536905,0.018421052631578894
2011-03-10,76900,79900,76500,79000,902488,0.02067183462532296
2011-03-11,78200,78300,76300,77000,491861,-0.025316455696202556
2011-03-14,82200,84200,79600,83400,2200719,0.08311688311688314
2011-03-15,83800,84800,77700,82700,1249258,-0.008393285371702586
2011-03-16,83900,84400,79800,80700,888445,-0.024183796856106388
2011-03-17,79400,83500,79000,82600,1054466,0.023543990086740907
2011-03-18,84000,85800,83200,84000,1031831,0.016949152542372836
2011-03-21,85400,87100,85400,86000,997356,0.023809523809523725
2011-03-22,87000,95400,86600,93000,1499473,0.08139534883720922
2011-03-23,93700,97800,89100,91500,1665857,-0.016129032258064502
2011-03-24,89500,94000,89500,93400,1180338,0.02076502732240426
2011-03-25,94000,94200,90800,91100,791903,-0.024625267665952855
2011-03-28,90200,92900,89600,92700,736928,0.01756311745334793
2011-03-29,92900,97000,92500,97000,871806,0.04638619201725991
2011-03-30,98100,99500,94500,94600,1309294,-0.024742268041237137
2011-03-31,93000,93900,91000,93400,1524450,-0.012684989429175508
2011-04-01,94000,96000,93100,95000,600909,0.017130620985010614
2011-04-04,90500,91400,87100,87900,2466832,-0.07473684210526321
2011-04-05,88200,90900,86600,89800,1374535,0.021615472127417545
2011-04-06,91300,95000,90600,93400,1737008,0.04008908685968815
2011-04-07,93400,96000,93200,94700,783937,0.013918629550321304
2011-04-08,95000,95800,93300,94700,686823,0.0
2011-04-11,94900,97800,94000,94000,1041448,-0.007391763463569179
2011-04-12,94500,94500,91200,92000,699632,-0.021276595744680882
2011-04-13,90500,91500,87400,91000,1464425,-0.010869565217391353
2011-04-14,91200,92500,89600,91300,1061900,0.003296703296703285
2011-04-15,91600,93300,89700,89900,945131,-0.01533406352683464
2011-04-18,89900,96800,89900,96800,1414127,0.07675194660734141
2011-04-19,95500,97500,94600,95800,1235992,-0.010330578512396715
2011-04-20,97500,99000,95500,96400,1439127,0.006263048016701411
2011-04-21,98000,103500,96700,103000,2134306,0.06846473029045641
2011-04-22,102000,104500,100000,100500,1798625,-0.024271844660194164
2011-04-25,101000,102500,98500,101000,1051866,0.004975124378109541
2011-04-26,101000,105000,97100,98500,1888701,-0.024752475247524774
