Date,Open,High,Low,Close,Volume,Change
2011-01-03,25168,25875,24982,25503,459895,0.008821202531645644
2011-01-04,25577,25726,25205,25615,394371,0.004391640199192359
2011-01-05,25428,26507,25428,26321,1070327,0.02756197540503602
2011-01-06,26804,27213,26283,26953,1404116,0.024011245773336798
2011-01-07,26915,27696,26581,27362,846112,0.015174563128408813
2011-01-10,27213,27436,26172,26172,708287,-0.043490972882099244
2011-01-11,26209,29295,26209,28775,1832292,0.099457435427174
2011-01-12,29369,30075,28960,28961,1212310,0.006463944396177146
2011-01-13,28849,29927,28403,29741,1297450,0.026932771658437105
2011-01-14,29518,29890,28811,29890,1037883,0.005009918967082472
2011-01-17,29741,29890,29369,29407,610852,-0.016159250585480067
2011-01-18,29109,30113,28811,29332,685167,-0.002550413166933052
2011-01-19,29369,29555,28700,28738,361025,-0.020250920496386215
2011-01-20,29146,29481,28440,28886,462291,0.005149975642007032
2011-01-21,28700,29220,27585,27585,524097,-0.04503911929654503
2011-01-24,27845,29518,27585,29295,540304,0.06199021207177813
2011-01-25,29369,29890,28514,28552,433039,-0.025362689878818956
2011-01-26,28923,28923,28068,28106,342111,-0.01562062202297565
2011-01-27,28291,28849,28031,28477,342432,0.013200028463673297
2011-01-28,28700,29667,28551,29407,782908,0.03265793447343479
2011-01-31,29109,29109,27659,27771,638913,-0.05563301254803277
2011-02-01,27845,28068,26915,27176,592469,-0.021425227755572318
2011-02-07,27659,27845,26730,26767,447461,-0.015050044156608822
2011-02-08,26841,27808,26841,27176,455236,0.015280008966264358
2011-02-09,27436,27436,26172,26321,325129,-0.031461583750368005
2011-02-10,26023,26098,24164,24165,1339823,-0.08191178146726952
2011-02-11,24387,25391,24127,24499,1029724,0.013821642871922224
2011-02-14,24759,25094,24239,24834,519836,0.013674027511326958
2011-02-15,24648,25019,24164,24314,319163,-0.020939035193686117
2011-02-16,24425,24685,23644,23867,252958,-0.018384469852759766
2011-02-17,23867,23867,22752,23310,413456,-0.02333766288180328
2011-02-18,23086,24016,23086,24016,566355,0.030287430287430306
2011-02-21,23978,24425,23272,23459,424353,-0.023192871419054018
2011-02-22,23086,23086,22008,22120,630555,-0.05707830683319837
2011-02-23,22306,23421,22194,23012,639384,0.04032549728752266
2011-02-24,23123,24425,23123,23942,588339,0.04041369720146015
2011-02-25,24387,24387,23495,23756,272585,-0.007768774538467915
2011-02-28,23867,23867,22714,22752,299179,-0.042263007240276096
2011-03-02,22677,23123,22603,22603,308885,-0.006548874824191309
2011-03-03,22789,23532,22714,23421,487043,0.03618988629827902
2011-03-04,24053,25242,23570,25057,787043,0.06985184236369069
2011-03-07,24722,25354,24202,24388,449957,-0.026699125992736605
2011-03-08,24350,25280,23867,24648,490071,0.010660980810234477
2011-03-09,24834,25057,23830,23979,454821,-0.027142161635832496
2011-03-10,23978,24648,23978,24351,402615,0.015513574377580275
2011-03-11,23793,24387,23198,23942,348116,-0.016796024803909515
2011-03-14,23235,23793,22417,23050,455780,-0.03725670370060985
2011-03-15,23086,23309,22045,22529,665494,-0.022603036876355787
