Date,Open,High,Low,Close,Volume,Change
2011-01-03,3485,3580,3475,3490,35905,0.0014347202295552641
2011-01-04,3495,3630,3480,3605,108498,0.03295128939828085
2011-01-05,3650,3675,3590,3645,55731,0.01109570041608876
2011-01-06,3635,3680,3570,3645,52167,0.0
2011-01-07,3645,3660,3595,3640,49705,-0.00137174211248281
2011-01-10,3640,3680,3605,3640,37912,0.0
2011-01-11,3625,3685,3570,3615,57524,-0.006868131868131844
2011-01-12,3615,3655,3595,3640,58446,0.006915629322268302
2011-01-13,3670,4025,3640,3855,447556,0.05906593406593408
2011-01-14,3865,3930,3750,3905,139805,0.012970168612191912
2011-01-17,3855,4060,3850,3980,115612,0.019206145966709443
2011-01-18,3990,4010,3800,3815,79368,-0.041457286432160845
2011-01-19,3840,3915,3735,3860,82587,0.011795543905635641
2011-01-20,3850,3900,3820,3825,31690,-0.0090673575129534
2011-01-21,3805,3805,3670,3685,125758,-0.036601307189542465
2011-01-24,3685,3740,3685,3730,41459,0.012211668928086894
2011-01-25,3730,3795,3615,3615,52315,-0.030831099195710476
2011-01-26,3740,3740,3560,3600,72833,-0.004149377593360981
2011-01-27,3605,3645,3575,3620,41597,0.005555555555555536
2011-01-28,3600,3680,3550,3550,29222,-0.01933701657458564
2011-01-31,3500,4060,3490,3580,117584,0.008450704225352101
2011-02-01,3635,3635,3555,3610,19843,0.008379888268156499
2011-02-07,3650,3650,3520,3600,36192,-0.0027700831024930483
2011-02-08,3555,3600,3535,3540,42798,-0.01666666666666672
2011-02-09,3550,3565,3500,3500,35071,-0.011299435028248594
2011-02-10,3490,3500,3440,3440,44820,-0.017142857142857126
2011-02-11,3445,3460,3235,3280,78015,-0.046511627906976716
2011-02-14,3280,3320,3255,3300,13294,0.0060975609756097615
2011-02-15,3280,3460,3170,3170,47182,-0.039393939393939426
2011-02-16,3170,3290,3125,3125,34110,-0.014195583596214534
2011-02-17,3125,3185,3025,3085,53594,-0.012800000000000034
2011-02-18,3085,3235,3065,3200,44170,0.037277147487844386
2011-02-21,3250,3375,3225,3305,64660,0.03281249999999991
2011-02-22,3340,3340,3210,3225,17281,-0.024205748865355536
2011-02-23,3225,3300,3135,3230,11174,0.0015503875968991832
2011-02-24,3230,3345,3175,3210,24828,-0.006191950464396245
2011-02-25,3220,3335,3190,3250,38290,0.012461059190031154
2011-02-28,3250,3320,3220,3240,11313,-0.003076923076923088
2011-03-02,3280,3280,3170,3170,14278,-0.021604938271604923
2011-03-03,3160,3245,3160,3205,25650,0.011041009463722329
2011-03-04,3180,3340,3180,3315,22986,0.0343213728549141
2011-03-07,3385,3385,3095,3140,93480,-0.052790346907994
2011-03-08,3110,3185,3110,3180,26630,0.01273885350318471
2011-03-09,3180,3205,3100,3160,40157,-0.0062893081761006275
2011-03-10,3185,3185,3100,3155,37352,-0.0015822784810126667
2011-03-11,3100,3135,3080,3115,31032,-0.01267828843106178
2011-03-14,3120,3120,2915,3000,75163,-0.036918138041733495
2011-03-15,2945,3000,2795,2990,100330,-0.0033333333333332993
2011-03-16,2915,3000,2915,2940,40386,-0.01672240802675584
2011-03-17,2910,2910,2785,2830,60418,-0.0374149659863946
2011-03-18,2810,3050,2810,3050,75780,0.07773851590106018
2011-03-21,3005,3130,3000,3080,27150,0.009836065573770592
2011-03-22,3100,3140,3040,3050,35203,-0.009740259740259716
2011-03-23,3035,3195,3035,3120,24526,0.022950819672131084
2011-03-24,3150,3550,3130,3300,467329,0.05769230769230771
2011-03-25,3380,3435,3300,3330,80983,0.009090909090909038
2011-03-28,3410,3575,3355,3430,174363,0.03003003003003002
2011-03-29,3400,3595,3400,3580,188072,0.0437317784256559
2011-03-30,3600,3625,3515,3530,99725,-0.013966480446927387
2011-03-31,3580,3610,3390,3470,89389,-0.016997167138810165
2011-04-01,3435,3540,3340,3355,71849,-0.033141210374639796
2011-04-04,3400,3450,3350,3440,66013,0.0253353204172877
2011-04-05,3480,3480,3360,3410,60085,-0.008720930232558155
2011-04-06,3450,3515,3390,3405,41604,-0.0014662756598240456
2011-04-07,3375,3480,3375,3425,23402,0.005873715124816492
2011-04-08,3430,3435,3370,3420,45651,-0.0014598540145985828
2011-04-11,3395,3500,3395,3495,62591,0.021929824561403466
2011-04-12,3465,3500,3405,3410,38511,-0.024320457796852657
2011-04-13,3410,3620,3410,3585,145979,0.0513196480938416
2011-04-14,3595,3740,3580,3675,119205,0.025104602510460206
2011-04-15,3730,3730,3600,3650,65696,-0.006802721088435382
2011-04-18,3615,3685,3560,3570,78223,-0.021917808219178103
2011-04-19,3590,3600,3435,3500,71091,-0.019607843137254943
2011-04-20,3500,3550,3395,3470,77623,-0.008571428571428563
2011-04-21,3470,3530,3355,3355,69676,-0.033141210374639796
2011-04-22,3310,3340,3210,3240,89250,-0.03427719821162445
2011-04-25,3250,3300,3190,3230,40710,-0.0030864197530864335
2011-04-26,3175,3295,3170,3240,58669,0.003095975232198178
2011-04-27,3240,3290,3170,3180,55495,-0.01851851851851849
2011-04-28,3200,3220,3100,3100,25963,-0.02515723270440251
2011-04-29,3100,3100,3000,3065,32336,-0.011290322580645107
2011-05-02,3050,3160,3050,3160,22190,0.030995106035889064
2011-05-03,3120,3220,3120,3160,11810,0.0
2011-05-04,3200,3210,3145,3165,13272,0.0015822784810126667
2011-05-06,3210,3230,3130,3175,20789,0.003159557661927437
2011-05-09,3200,3240,3075,3190,9130,0.0047244094488188
2011-05-11,3155,3245,3125,3200,23490,0.0031347962382444194
2011-05-12,3160,3300,3120,3250,45325,0.015625
2011-05-13,3290,3290,3210,3220,25544,-0.009230769230769265
2011-05-16,3220,3220,3160,3170,10612,-0.01552795031055898
2011-05-17,3170,3170,3070,3130,18735,-0.012618296529968487
2011-05-18,3130,3130,3085,3085,11477,-0.014376996805111841
2011-05-19,3085,3120,3040,3040,13921,-0.014586709886547866
2011-05-20,3030,3115,2950,3070,29511,0.009868421052631637
2011-05-23,3020,3050,2960,2975,18604,-0.030944625407166138
2011-05-24,2900,2980,2900,2945,21718,-0.010084033613445342
2011-05-25,2960,2995,2905,2905,17274,-0.01358234295415961
2011-05-26,2935,3025,2930,2990,20375,0.029259896729776358
2011-05-27,3000,3230,2970,3155,23530,0.05518394648829439
2011-05-30,3155,3290,3145,3145,13881,-0.0031695721077654726
2011-05-31,3200,3245,3065,3200,50125,0.01748807631160565
2011-06-01,3255,3315,3220,3275,61714,0.0234375
2011-06-02,3170,3270,3170,3240,19370,-0.010687022900763399
2011-06-03,3200,3315,3160,3230,26480,-0.0030864197530864335
2011-06-07,3190,3230,3155,3195,21940,-0.010835913312693513
2011-06-08,3165,3230,3115,3125,17861,-0.021909233176838794
2011-06-09,3200,3200,3135,3200,10890,0.02400000000000002
2011-06-10,3230,3230,3100,3140,22800,-0.018750000000000044
2011-06-13,3060,3125,3000,3065,17134,-0.023885350318471388
2011-06-14,3085,3270,2950,3120,29000,0.01794453507340954
2011-06-15,3165,3165,3025,3030,18880,-0.028846153846153855
2011-06-16,3000,3030,2970,2980,10640,-0.01650165016501648
2011-06-17,2955,3200,2915,2980,42215,0.0
2011-06-20,2990,3010,2935,2980,33821,0.0
2011-06-21,3015,3015,2855,2890,64929,-0.030201342281879207
2011-06-22,2915,2930,2885,2890,34029,0.0
2011-06-23,2905,2905,2850,2885,26108,-0.0017301038062284002
2011-06-24,2870,2930,2870,2895,30609,0.0034662045060658286
2011-06-27,2895,2960,2890,2955,40773,0.020725388601036343
2011-06-28,2995,2995,2900,2920,24800,-0.011844331641285955
2011-06-29,2945,2945,2890,2900,19160,-0.006849315068493178
2011-06-30,2855,2895,2850,2870,30227,-0.010344827586206917
2011-07-01,2890,2900,2860,2860,44367,-0.0034843205574912606
2011-07-04,2895,2935,2860,2930,41257,0.02447552447552437
2011-07-05,2950,3020,2910,2990,49259,0.020477815699658786
2011-07-06,3030,3030,2975,2995,11131,0.0016722408026756952
2011-07-07,2970,3025,2970,2990,19583,-0.0016694490818029983
2011-07-08,2995,3010,2950,2985,22111,-0.0016722408026755842
2011-07-11,2950,2990,2950,2985,11454,0.0
2011-07-12,2955,3010,2900,2995,30030,0.003350083752093891
2011-07-13,3025,3025,2920,2950,88287,-0.015025041736227096
2011-07-14,2955,2995,2910,2975,27084,0.008474576271186418
2011-07-15,2990,2995,2930,2995,36030,0.006722689075630228
2011-07-18,3000,3070,3000,3035,50037,0.013355592654423987
2011-07-19,3090,3170,3070,3095,45192,0.01976935749588149
2011-07-20,3150,3190,3000,3045,164567,-0.016155088852988664
2011-07-21,3000,3100,3000,3100,64691,0.01806239737274229
2011-07-22,3090,3140,3060,3070,48697,-0.009677419354838679
2011-07-25,3120,3140,3090,3120,38517,0.016286644951140072
2011-07-26,3135,3335,3135,3320,199056,0.0641025641025641
2011-07-27,3320,3350,3270,3350,69006,0.009036144578313143
2011-07-28,3300,3430,3275,3420,67886,0.020895522388059806
2011-07-29,3430,3470,3325,3420,74528,0.0
2011-08-01,3455,3455,3240,3300,75925,-0.03508771929824561
2011-08-02,3300,3300,3100,3240,134099,-0.018181818181818188
2011-08-03,3170,3170,3085,3120,42038,-0.03703703703703709
2011-08-04,3150,3150,3020,3070,37585,-0.01602564102564108
2011-08-05,2860,2960,2810,2950,58007,-0.039087947882736174
2011-08-08,2850,2965,2700,2845,99980,-0.035593220338983045
2011-08-09,2845,2900,2420,2735,98325,-0.038664323374341
2011-08-10,2840,2850,2700,2760,82244,0.009140767824497242
2011-08-11,2700,2765,2610,2740,45762,-0.007246376811594235
2011-08-12,2830,2835,2725,2725,62492,-0.005474452554744547
2011-08-16,2765,2835,2765,2830,59810,0.038532110091743066
2011-08-17,2825,2840,2780,2830,36821,0.0
2011-08-18,2840,2845,2700,2700,78741,-0.04593639575971731
2011-08-19,2655,2695,2450,2470,126476,-0.08518518518518514
2011-08-22,2400,2480,2305,2320,166048,-0.06072874493927127
2011-08-23,2390,2420,2350,2385,46863,0.028017241379310276
2011-08-24,2385,2420,2340,2340,84637,-0.018867924528301883
2011-08-25,2350,2450,2350,2390,45767,0.02136752136752129
2011-08-26,2390,2415,2350,2400,23884,0.004184100418409997
2011-08-29,2415,2600,2415,2465,72600,0.027083333333333348
2011-08-30,2525,2550,2490,2520,38041,0.022312373225152227
2011-08-31,2560,2625,2500,2585,56075,0.025793650793650702
2011-09-01,2700,2720,2600,2650,78129,0.025145067698259194
2011-09-02,2630,2675,2590,2590,29191,-0.02264150943396226
2011-09-05,2510,2555,2465,2500,27349,-0.03474903474903479
2011-09-06,2405,2480,2375,2400,66162,-0.040000000000000036
2011-09-07,2435,2500,2435,2495,21379,0.039583333333333304
2011-09-08,2545,2550,2460,2500,24504,0.002004008016031955
