Date,Open,High,Low,Close,Volume,Change
2011-01-03,4987,5152,4813,5061,501488,0.022217733791153327
2011-01-04,5042,5198,4877,4896,635603,-0.03260225251926496
2011-01-05,4978,5326,4877,5015,1294859,0.02430555555555558
2011-01-06,5042,5051,4813,4951,456788,-0.012761714855433648
2011-01-07,4913,5005,4904,4960,304693,0.0018178145829126358
2011-01-10,4950,5115,4923,4987,612415,0.005443548387096708
2011-01-11,4996,5198,4950,5042,716454,0.011028674553839934
2011-01-12,5033,5060,4950,4960,334938,-0.016263387544625196
2011-01-13,4932,4950,4758,4813,388977,-0.029637096774193572
2011-01-14,4721,4923,4721,4795,262902,-0.00373987118221486
2011-01-17,4813,4996,4785,4996,308475,0.04191866527632948
2011-01-18,4996,5042,4895,4896,201433,-0.02001601281024823
2011-01-19,4950,5216,4950,5134,711150,0.04861111111111116
2011-01-20,5106,5656,5005,5262,2204280,0.02493182703544994
2011-01-21,5179,5408,5106,5106,454259,-0.029646522234891726
2011-01-24,5106,5381,4996,5015,505897,-0.017822169996082993
2011-01-25,5023,5088,4868,4868,423968,-0.029312063808574318
2011-01-26,4868,4996,4675,4676,402217,-0.039441248972884146
2011-01-27,4675,4767,4528,4529,370964,-0.03143712574850299
2011-01-28,4446,4574,4354,4355,491719,-0.03841907705895342
2011-01-31,4235,4345,3809,3970,1283603,-0.08840413318025253
2011-02-01,3960,4198,3955,3988,701951,0.00453400503778334
2011-02-07,3987,4093,3960,4034,307125,0.01153460381143434
2011-02-08,4052,4125,3997,4025,369647,-0.002231036192364866
2011-02-09,4042,4042,3836,3938,329178,-0.021614906832298164
2011-02-10,3937,4079,3923,4038,221360,0.02539360081259523
2011-02-11,4065,4130,3951,4011,211010,-0.006686478454680511
2011-02-14,4020,4061,3868,3974,138450,-0.009224632261281451
2011-02-15,3951,3983,3877,3905,157640,-0.01736285858077502
2011-02-16,3905,3937,3777,3846,264201,-0.015108834827144646
2011-02-17,3845,3882,3667,3699,253367,-0.038221528861154486
2011-02-18,3708,3877,3685,3860,173101,0.043525277101919446
2011-02-21,3896,4377,3804,4226,790380,0.094818652849741
2011-02-22,4249,4423,4116,4194,970880,-0.007572172266919086
2011-02-23,4189,4240,3969,3988,326802,-0.049117787315212214
2011-02-24,3923,4075,3864,3951,222904,-0.009277833500501487
2011-02-25,3951,4116,3951,4020,113818,0.01746393318147299
2011-02-28,3997,4079,3836,3855,155804,-0.04104477611940294
2011-03-02,3767,3845,3735,3795,200026,-0.015564202334630295
2011-03-03,3822,3987,3800,3988,204562,0.050856389986824846
2011-03-04,3987,4157,3946,4098,249533,0.027582748244734168
2011-03-07,4102,4345,4102,4272,775115,0.04245973645680823
2011-03-08,4345,4354,4052,4208,368427,-0.014981273408239737
2011-03-09,4262,4262,4120,4125,234394,-0.019724334600760507
2011-03-10,4171,4391,4134,4378,856742,0.06133333333333324
2011-03-11,4308,4368,4249,4309,220035,-0.015760621288259502
2011-03-14,4180,4331,3804,4075,353213,-0.05430494314226042
2011-03-15,3987,4139,3685,3956,325631,-0.029202453987730026
2011-03-16,3910,4047,3905,3988,189192,0.008088978766430666
2011-03-17,3914,3942,3804,3933,167021,-0.013791374122367084
2011-03-18,3960,4253,3960,4125,334658,0.048817696414950484
2011-03-21,4152,4304,4143,4304,348304,0.04339393939393932
2011-03-22,4354,4354,4226,4277,303371,-0.006273234200743549
2011-03-23,4304,4657,4249,4483,1357368,0.0481646013560908
2011-03-24,4510,4593,4418,4556,351010,0.01628373856792331
2011-03-25,4620,4648,4340,4387,436166,-0.037093942054433726
2011-03-28,4359,4538,4295,4437,322431,0.01139731023478463
2011-03-29,4446,4464,4308,4345,274382,-0.020734730673878765
2011-03-30,4363,4510,4322,4501,343338,0.03590333716915994
2011-03-31,4583,4629,4455,4478,302764,-0.005109975560986468
2011-04-01,4487,4538,4368,4446,204868,-0.007146047342563633
2011-04-04,4446,4501,4423,4465,113133,0.004273504273504258
2011-04-05,4487,4570,4460,4529,289729,0.014333706606942886
2011-04-06,4579,4579,4482,4497,345361,-0.007065577390152344
2011-04-07,4510,4932,4501,4749,1559150,0.05603735823882583
2011-04-08,4739,4840,4657,4795,476771,0.009686249736786667
2011-04-11,4831,4996,4730,4822,488666,0.00563086548488001
2011-04-12,4758,4868,4574,4575,484342,-0.051223558689340476
2011-04-13,4583,4620,4510,4579,203260,0.0008743169398908179
2011-04-14,4638,4776,4611,4767,290384,0.04105699934483509
2011-04-15,4813,4858,4648,4721,270070,-0.009649674847912681
2011-04-18,4703,4730,4441,4455,356130,-0.05634399491633124
2011-04-19,4409,4437,4313,4327,287885,-0.028731762065095423
2011-04-20,4363,4505,4350,4465,182450,0.03189276635082039
2011-04-21,4501,4533,4272,4364,278001,-0.02262038073908179
2011-04-22,4313,4501,4313,4359,177843,-0.0011457378551786856
2011-04-25,4391,5005,4363,5006,1708651,0.14842853865565497
2011-04-26,4886,5207,4730,4795,2252441,-0.04214942069516581
2011-04-27,4849,5005,4648,4657,844760,-0.02877997914494268
2011-04-28,4657,4877,4583,4584,585355,-0.015675327464032662
2011-04-29,4583,4648,4377,4474,383454,-0.023996509598603888
2011-05-02,4450,4560,4450,4483,168294,0.00201162270898525
2011-05-03,4538,4703,4496,4533,283220,0.011153245594468064
2011-05-04,4542,4666,4538,4566,112190,0.007279947054930513
2011-05-06,4510,4648,4510,4566,141863,0.0
2011-05-09,4611,4620,4437,4543,118175,-0.005037231712658796
2011-05-11,4583,4583,4455,4488,114518,-0.01210653753026636
2011-05-12,4423,4648,4377,4511,281174,0.005124777183600715
2011-05-13,4515,4593,4464,4492,141524,-0.0042119264021280856
2011-05-16,4492,4556,4460,4529,146688,0.008236865538735483
2011-05-17,4574,4574,4482,4483,104438,-0.010156767498344044
2011-05-18,4446,4492,4097,4254,332611,-0.051081864822663414
2011-05-19,4235,4336,4052,4203,179357,-0.011988716502115637
2011-05-20,4171,4831,4171,4666,1233030,0.11015940994527718
2011-05-23,4666,4721,4262,4286,720219,-0.08144020574367772
2011-05-24,4244,4400,4189,4263,184482,-0.005366308912739148
2011-05-25,4230,4382,4084,4103,243475,-0.0375322542810228
2011-05-26,4139,4253,4125,4190,140509,0.021203997075310843
2011-05-27,4240,4350,4230,4304,179850,0.027207637231503545
2011-05-30,4317,4372,4258,4258,115894,-0.010687732342007483
2011-05-31,4217,4308,4217,4263,55757,0.001174260216063816
2011-06-01,4262,4345,4262,4341,100024,0.018296973961998697
2011-06-02,4272,4308,4171,4235,87919,-0.024418336788758377
2011-06-03,4207,4299,4194,4245,67872,0.0023612750885477762
2011-06-07,4244,4244,4097,4098,80187,-0.034628975265017625
2011-06-08,4079,4166,4029,4052,82728,-0.011224987798926334
2011-06-09,3997,4097,3997,4057,71016,0.0012339585389931074
2011-06-10,4056,4097,3946,4034,124482,-0.005669213704707965
2011-06-13,3997,4244,3951,4139,176387,0.026028755577590434
2011-06-14,4052,4217,4052,4167,81378,0.006764919062575592
2011-06-15,4166,4217,4125,4153,84457,-0.003359731221502238
2011-06-16,4143,4143,3896,4089,51778,-0.015410546592824481
2011-06-17,4042,4065,3978,4025,87802,-0.01565174859378826
2011-06-20,3928,4327,3928,4148,310730,0.030559006211180018
2011-06-21,4088,4152,4033,4080,126466,-0.016393442622950838
2011-06-22,4125,4207,4084,4139,112035,0.014460784313725439
2011-06-23,4102,4194,4047,4052,157523,-0.021019569944430994
2011-06-24,4052,4116,4033,4052,85290,0.0
2011-06-27,4006,4116,3997,4107,63103,0.013573543928923959
2011-06-28,4130,4281,4120,4125,179492,0.0043827611395179655
2011-06-29,4194,4226,4130,4208,99947,0.020121212121212206
2011-06-30,4249,4345,4180,4313,124431,0.024952471482889704
2011-07-01,4267,4395,4262,4300,161795,-0.0030141432877347496
2011-07-04,4304,4359,4295,4336,56405,0.008372093023255811
2011-07-05,4317,4368,4281,4281,73295,-0.012684501845018459
2011-07-06,4327,4492,4281,4414,126283,0.031067507591684196
2011-07-07,4423,4469,4354,4428,86731,0.0031717263253285832
2011-07-08,4487,4492,4226,4428,87350,0.0
2011-07-11,4418,4427,4331,4345,63094,-0.018744354110207806
2011-07-12,4203,4203,3804,3915,618416,-0.09896432681242806
2011-07-13,3969,4033,3868,3919,165122,0.0010217113665389466
2011-07-14,3905,4020,3905,3924,142477,0.001275835672365444
2011-07-15,3914,3969,3887,3938,100177,0.0035677879714577365
2011-07-18,3946,3955,3900,3924,135992,-0.003555104113763363
2011-07-19,3923,3983,3887,3887,178102,-0.00942915392456678
2011-07-20,3937,3951,3864,3905,137615,0.004630820684332404
2011-07-21,3905,4001,3905,3979,171017,0.01895006402048649
2011-07-22,4029,4207,3983,4080,366130,0.025383262126162265
2011-07-25,4079,4111,3942,3974,217536,-0.025980392156862764
2011-07-26,3942,4075,3942,3979,132552,0.0012581781580272011
2011-07-27,4024,4143,3978,4057,303882,0.019602915305353186
2011-07-28,4006,4075,3955,3960,134589,-0.023909292580724717
2011-07-29,3960,4001,3841,3887,151617,-0.01843434343434347
2011-08-01,3900,3992,3887,3960,155085,0.018780550553125774
2011-08-02,3987,3992,3845,3878,123132,-0.020707070707070674
2011-08-03,3772,3827,3694,3786,136404,-0.02372356884992266
2011-08-04,3845,3850,3671,3676,146394,-0.02905441098785
2011-08-05,3419,3460,3126,3255,709290,-0.11452665941240481
2011-08-08,3190,3346,2832,3085,464036,-0.05222734254992323
2011-08-09,2887,2979,2635,2842,420957,-0.07876823338735817
2011-08-10,3043,3144,2933,3048,275760,0.07248416608022512
2011-08-11,2759,3098,2754,3090,226337,0.013779527559055094
2011-08-12,3199,3291,3117,3195,235483,0.03398058252427183
2011-08-16,3364,3424,3295,3401,190693,0.06447574334898287
2011-08-17,3355,3712,3355,3520,320477,0.034989708909144435
2011-08-18,3552,3804,3437,3507,486195,-0.00369318181818179
2011-08-19,3309,3474,3162,3300,243319,-0.05902480752780159
2011-08-22,3332,3447,3245,3310,101820,0.003030303030302939
2011-08-23,3323,3401,3309,3351,99593,0.012386706948640525
2011-08-24,3396,3437,3332,3355,91619,0.0011936735302895407
2011-08-25,3392,3447,3217,3250,184204,-0.03129657228017879
2011-08-26,3194,3373,3181,3305,117611,0.01692307692307682
2011-08-29,3341,3465,3341,3420,137493,0.03479576399394846
2011-08-30,3483,3534,3465,3479,113982,0.017251461988304184
2011-08-31,3515,3524,3419,3465,51386,-0.004024144869215318
2011-09-01,3414,3506,3410,3438,82499,-0.007792207792207795
2011-09-02,3396,3424,3277,3401,131426,-0.010762070971495064
2011-09-05,3387,3387,3236,3245,70852,-0.04586886209938257
2011-09-06,3117,3286,3103,3149,137667,-0.02958397534668722
