Date,Open,High,Low,Close,Volume,Change
2015-10-22,2730,2730,2691,2718,1144309,
2015-10-23,2730,2730,2704,2711,318099,-0.002575423105224406
2015-10-26,2730,2730,2711,2718,169063,0.0025820730357801747
2015-10-27,2730,2730,2717,2724,104577,0.002207505518763808
2015-10-28,2737,2737,2724,2731,71804,0.0025697503671071598
2015-10-29,2743,2743,2717,2731,114136,0.0
2015-10-30,2743,2743,2724,2731,84972,0.0
2015-11-02,2743,2743,2717,2718,74078,-0.004760161113145367
2015-11-03,2717,2730,2711,2711,50957,-0.002575423105224406
2015-11-04,2711,2711,2697,2705,2652,-0.0022132054592400863
2015-11-05,2691,2704,2671,2705,19870,0.0
2015-11-06,2652,2704,2652,2698,18536,-0.0025878003696857554
2015-11-09,2684,2691,2652,2665,8991,-0.012231282431430679
2015-11-10,2711,2711,2645,2678,5668,0.004878048780487809
2015-11-11,2678,2678,2658,2672,1081,-0.0022404779686333587
2015-11-12,2658,2658,2632,2639,26183,-0.012350299401197584
2015-11-13,2632,2639,2632,2639,5010,0.0
2015-11-16,2639,2652,2626,2626,11876,-0.0049261083743842304
2015-11-17,2626,2639,2613,2633,17910,0.0026656511805027705
2015-11-18,2619,2632,2619,2626,5366,-0.002658564375237371
2015-11-19,2626,2626,2613,2626,2297,0.0
2015-11-20,2632,2632,2626,2626,2001,0.0
2015-11-23,2613,2626,2606,2626,74329,0.0
2015-11-24,2626,2626,2606,2626,28180,0.0
2015-11-25,2613,2626,2606,2626,84960,0.0
2015-11-26,2626,2626,2613,2613,10801,-0.004950495049504955
2015-11-27,2613,2626,2606,2613,10162,0.0
2015-11-30,2613,2626,2613,2626,14788,0.004975124378109541
2015-12-01,2613,2619,2613,2613,409,-0.004950495049504955
2015-12-02,2613,2619,2613,2613,2914,0.0
2015-12-03,2613,2626,2606,2626,122779,0.004975124378109541
2015-12-04,2626,2626,2619,2620,4317,-0.0022848438690022954
2015-12-07,2606,2613,2606,2613,1011,-0.0026717557251908497
2015-12-08,2613,2613,2606,2607,2094,-0.0022962112514350874
2015-12-09,2606,2613,2606,2613,9595,0.0023014959723819395
2015-12-10,2613,2613,2599,2613,3953,0.0
2015-12-11,2626,2626,2600,2600,11070,-0.00497512437810943
2015-12-14,2613,2613,2600,2600,52,0.0
2015-12-15,2613,2613,2599,2613,12270,0.004999999999999893
2015-12-16,2613,2613,2599,2613,6473,0.0
2015-12-17,2613,2613,2606,2613,1437,0.0
2015-12-18,2613,2613,2613,2613,1009,0.0
2015-12-21,2600,2600,2600,2600,1307,-0.00497512437810943
2015-12-22,2606,2606,2606,2607,6008,0.0026923076923077716
2015-12-23,2600,2606,2593,2607,1070,0.0
2015-12-24,2593,2613,2593,2600,431,-0.00268507863444567
2015-12-28,2600,2606,2593,2593,19943,-0.0026923076923076605
2015-12-29,2613,2619,2599,2613,13191,0.007713073659853409
2015-12-30,2613,2613,2599,2613,15559,0.0
2016-01-04,2613,2613,2600,2600,841,-0.00497512437810943
2016-01-05,2600,2600,2600,2600,2,0.0
2016-01-06,2613,2613,2593,2607,6120,0.0026923076923077716
2016-01-07,2599,2613,2599,2613,5233,0.0023014959723819395
2016-01-08,2613,2613,2599,2613,3502,0.0
2016-01-11,2600,2619,2600,2600,495,-0.00497512437810943
2016-01-12,2600,2619,2600,2620,6696,0.007692307692307665
2016-01-13,2606,2619,2606,2607,721,-0.004961832061068705
2016-01-14,2600,2600,2600,2600,1473,-0.00268507863444567
2016-01-15,2613,2613,2599,2613,1906,0.004999999999999893
2016-01-18,2613,2613,2606,2613,694,0.0
2016-01-19,2619,2619,2613,2613,20845,0.0
2016-01-20,2613,2613,2560,2580,8101,-0.012629161882893203
2016-01-21,2600,2613,2580,2607,3236,0.010465116279069875
2016-01-22,2606,2619,2606,2613,21866,0.0023014959723819395
2016-01-25,2606,2606,2580,2580,4352,-0.012629161882893203
2016-01-26,2613,2613,2586,2587,13275,0.002713178294573737
2016-01-27,2613,2613,2586,2587,7738,0.0
2016-01-28,2586,2613,2580,2613,2248,0.01005025125628145
2016-01-29,2613,2619,2606,2620,10840,0.0026789131266742316
2016-02-01,2613,2613,2599,2613,14,-0.0026717557251908497
2016-02-02,2613,2619,2600,2620,1934,0.0026789131266742316
2016-02-03,2613,2613,2580,2613,860,-0.0026717557251908497
2016-02-04,2600,2619,2600,2620,2577,0.0026789131266742316
2016-02-05,2619,2626,2573,2580,3557,-0.01526717557251911
2016-02-11,2606,2626,2606,2626,26,0.01782945736434116
2016-02-12,2626,2639,2580,2626,3805,0.0
2016-02-15,2626,2626,2606,2626,14058,0.0
2016-02-16,2626,2626,2606,2626,2463,0.0
2016-02-17,2626,2626,2606,2607,1203,-0.00723533891850725
2016-02-18,2626,2632,2606,2633,18898,0.009973149213655441
2016-02-19,2613,2613,2599,2613,44,-0.00759589821496387
2016-02-22,2599,2613,2599,2613,1812,0.0
2016-02-23,2613,2613,2613,2613,1,0.0
2016-02-24,2600,2600,2586,2587,296,-0.00995024875621886
2016-02-25,2586,2613,2580,2607,1445,0.007730962504831851
2016-02-26,2606,2606,2580,2587,2681,-0.007671653241273502
2016-02-29,2586,2606,2567,2600,11133,0.005025125628140614
2016-03-02,2600,2606,2573,2580,10955,-0.007692307692307665
2016-03-03,2580,2586,2580,2587,2635,0.002713178294573737
2016-03-04,2560,2613,2560,2613,18971,0.01005025125628145
2016-03-07,2573,2626,2573,2613,1676,0.0
2016-03-08,2613,2613,2567,2567,40,-0.017604286261002633
2016-03-09,2573,2573,2567,2574,1269,0.002726918582002247
2016-03-10,2573,2573,2560,2574,2353,0.0
2016-03-11,2567,2573,2560,2561,30780,-0.005050505050505083
2016-03-14,2567,2573,2547,2567,10819,0.0023428348301444135
2016-03-15,2567,2606,2560,2561,8465,-0.002337358784573418
2016-03-16,2560,2560,2560,2561,52,0.0
2016-03-17,2560,2593,2554,2554,22386,-0.002733307301835186
2016-03-18,2554,2580,2554,2554,2971,0.0
2016-03-21,2554,2567,2554,2567,461,0.005090054815974909
2016-03-22,2586,2586,2560,2561,2161,-0.002337358784573418
2016-03-23,2560,2573,2554,2561,7734,0.0
2016-03-24,2613,2613,2560,2561,41,0.0
2016-03-25,2606,2606,2560,2607,2020,0.017961733697774207
2016-03-28,2606,2606,2600,2600,2092,-0.00268507863444567
2016-03-29,2600,2600,2560,2600,1486,0.0
2016-03-30,2600,2600,2560,2587,1028,-0.0050000000000000044
2016-03-31,2600,2600,2560,2587,2272,0.0
2016-04-01,2586,2606,2560,2567,12354,-0.007730962504831851
2016-04-04,2567,2606,2560,2607,179,0.015582391897156267
2016-04-05,2600,2606,2586,2607,1662,0.0
2016-04-06,2600,2613,2600,2607,1682,0.0
2016-04-07,2600,2600,2560,2600,127,-0.00268507863444567
2016-04-08,2600,2613,2560,2607,4926,0.0026923076923077716
2016-04-11,2600,2606,2560,2600,124,-0.00268507863444567
2016-04-12,2600,2600,2554,2561,10839,-0.015000000000000013
2016-04-14,2600,2600,2586,2600,3,0.015228426395939021
2016-04-15,2600,2600,2547,2600,3969,0.0
2016-04-18,2600,2600,2554,2561,157,-0.015000000000000013
2016-04-19,2560,2567,2554,2567,4127,0.0023428348301444135
2016-04-20,2567,2567,2541,2567,58583,0.0
2016-04-21,2567,2573,2560,2574,123,0.002726918582002247
2016-04-22,2573,2573,2541,2541,2038,-0.012820512820512775
2016-04-25,2567,2573,2534,2554,9324,0.0051160960251870335
2016-04-26,2547,2567,2541,2561,2172,0.0027407987470633444
2016-04-27,2560,2567,2541,2567,1658,0.0023428348301444135
2016-04-28,2541,2573,2534,2574,2590,0.002726918582002247
2016-04-29,2560,2600,2541,2593,3632,0.007381507381507335
2016-05-02,2606,2606,2586,2587,2,-0.0023139220979560005
2016-05-03,2606,2606,2567,2607,514,0.007730962504831851
2016-05-04,2600,2600,2593,2600,1331,-0.00268507863444567
2016-05-09,2600,2606,2560,2587,552,-0.0050000000000000044
2016-05-10,2600,2600,2573,2600,623,0.005025125628140614
2016-05-11,2600,2600,2560,2561,3986,-0.015000000000000013
2016-05-12,2593,2593,2554,2554,444,-0.002733307301835186
2016-05-13,2606,2613,2547,2548,24223,-0.002349256068911565
2016-05-16,2593,2593,2560,2593,1554,0.017660910518053408
2016-05-17,2593,2593,2560,2561,462,-0.01234091785576552
2016-05-18,2560,2580,2547,2574,4557,0.0050761421319796
2016-05-19,2580,2580,2573,2574,12,0.0
2016-05-20,2573,2580,2547,2580,6411,0.002331002331002363
2016-05-23,2580,2580,2560,2561,1114,-0.0073643410852712865
2016-05-24,2580,2580,2554,2580,53,0.007418976962124235
2016-05-25,2580,2580,2580,2580,1,0.0
2016-05-26,2573,2580,2560,2561,6003,-0.0073643410852712865
2016-05-27,2560,2593,2541,2548,30617,-0.005076142131979711
2016-05-30,2573,2573,2541,2561,35496,0.005102040816326481
2016-05-31,2573,2573,2534,2535,87,-0.010152284263959421
2016-06-01,2567,2567,2534,2541,188,0.002366863905325367
2016-06-02,2560,2560,2560,2561,1,0.007870916961826069
