Date,Open,High,Low,Close,Volume,Change
2011-05-25,2850,2850,2423,2424,1540742,
2011-05-26,2283,2363,2099,2334,4155814,-0.03712871287128716
2011-05-27,2366,2476,2253,2337,2609666,0.0012853470437017567
2011-05-30,2396,2666,2366,2554,3255819,0.09285408643560111
2011-05-31,2556,2573,2416,2434,982904,-0.04698512137823019
2011-06-01,2466,2466,2190,2217,1356210,-0.08915365653245688
2011-06-02,2126,2273,2096,2144,655385,-0.0329273793414524
2011-06-03,2173,2196,1923,1940,796162,-0.09514925373134331
2011-06-07,1913,2090,1870,1887,571188,-0.027319587628865993
2011-06-08,1913,1970,1866,1867,439321,-0.010598834128245915
2011-06-09,1883,1966,1883,1910,404228,0.023031601499732268
2011-06-10,1940,1980,1860,1884,324246,-0.013612565445026203
2011-06-13,1880,1900,1650,1734,455456,-0.07961783439490444
2011-06-14,1736,1883,1680,1780,607602,0.026528258362168433
2011-06-15,1780,1783,1710,1710,187436,-0.0393258426966292
2011-06-16,1676,1800,1666,1767,284295,0.03333333333333344
2011-06-17,1790,1833,1710,1754,279384,-0.007357102433503071
2011-06-20,1793,1816,1733,1737,242093,-0.009692132269099152
2011-06-21,1760,1793,1683,1784,248034,0.02705814622913061
2011-06-22,1850,2013,1843,1870,1205640,0.04820627802690591
2011-06-23,1866,1970,1816,1970,460364,0.053475935828877
2011-06-24,2020,2090,1983,1984,457637,0.007106598984771617
2011-06-27,1960,1980,1853,1884,340404,-0.050403225806451624
2011-06-28,1910,2120,1886,1997,510272,0.05997876857749462
2011-06-29,2020,2066,1966,2010,257680,0.006509764646970506
2011-06-30,2016,2076,1976,2044,216591,0.01691542288557213
2011-07-01,2070,2083,1943,1997,168878,-0.022994129158512733
2011-07-04,2006,2040,1933,1977,172414,-0.01001502253380071
2011-07-05,1983,2010,1936,1977,162332,0.0
2011-07-06,2003,2209,2000,2134,860910,0.07941325240263031
2011-07-07,2133,2206,2109,2134,320192,0.0
2011-07-08,2166,2166,2116,2157,126642,0.010777881911902432
2011-07-11,2166,2203,2133,2167,184590,0.004636068613815381
2011-07-12,2166,2210,2090,2090,315861,-0.035532994923857864
2011-07-13,2093,2133,1776,2090,150853,0.0
2011-07-14,2089,2266,2033,2254,473115,0.07846889952153102
2011-07-15,2300,2333,2223,2260,650392,0.002661934338952898
2011-07-18,2283,2330,2230,2267,249693,0.003097345132743401
2011-07-19,2316,2433,2313,2317,640183,0.022055580061755675
2011-07-20,2316,2383,2313,2380,297954,0.027190332326284095
2011-07-21,2400,2460,2373,2384,356063,0.001680672268907557
2011-07-22,2400,2400,2316,2384,205058,0.0
2011-07-25,2406,2436,2366,2367,212527,-0.007130872483221529
2011-07-26,2360,2496,2316,2420,425964,0.022391212505280977
2011-07-27,2433,2720,2426,2634,996282,0.0884297520661157
2011-07-28,2593,2653,2540,2597,503811,-0.014047076689445714
2011-07-29,2583,2610,2500,2550,369031,-0.01809780515979975
2011-08-01,2566,2673,2500,2554,551276,0.0015686274509802978
2011-08-02,2530,2560,2400,2510,236138,-0.017227877838684402
2011-08-03,2453,2476,2376,2457,274250,-0.021115537848605537
2011-08-04,2466,2496,2266,2334,221833,-0.050061050061050105
2011-08-05,2100,2263,2070,2200,286869,-0.05741216795201376
2011-08-08,2160,2333,1873,2247,290243,0.021363636363636473
2011-08-09,2200,2280,1976,2247,288420,0.0
2011-08-10,2303,2550,2303,2414,882868,0.07432131731197145
2011-08-11,2266,2433,2239,2414,314640,0.0
2011-08-12,2483,2633,2420,2517,921100,0.04266777133388566
2011-08-16,2590,2606,2536,2537,388819,0.00794596742153364
2011-08-17,2536,2570,2456,2517,313117,-0.00788332676389436
2011-08-18,2550,2756,2550,2687,2894786,0.06754072308303538
2011-08-19,2533,2660,2500,2550,613062,-0.05098622999627833
2011-08-22,2560,2770,2560,2624,1115846,0.029019607843137285
2011-08-23,2633,2676,2556,2610,457850,-0.005335365853658569
2011-08-24,2666,2676,2503,2517,328871,-0.03563218390804601
2011-08-25,2550,2573,2416,2450,327071,-0.02661899086213748
2011-08-26,2450,2483,2333,2407,219303,-0.017551020408163254
2011-08-29,2460,2486,2403,2414,213383,0.002908184461985819
2011-08-30,2413,2430,2250,2260,440282,-0.06379453189726592
2011-08-31,2286,2320,2223,2250,167388,-0.004424778761061954
2011-09-01,2270,2356,2250,2300,241940,0.022222222222222143
2011-09-02,2376,2396,2303,2344,181897,0.019130434782608674
2011-09-05,2313,2319,2216,2234,156063,-0.04692832764505117
2011-09-06,2150,2203,2056,2067,209080,-0.07475380483437777
2011-09-07,2126,2130,2060,2080,185537,0.0062893081761006275
2011-09-08,2100,2206,2083,2200,204128,0.05769230769230771
2011-09-09,2196,2303,2160,2270,152851,0.031818181818181746
2011-09-14,2243,2266,2073,2084,90200,-0.08193832599118944
2011-09-15,2123,2206,2123,2190,111878,0.050863723608445266
2011-09-16,2256,2303,2233,2254,98177,0.029223744292237397
2011-09-19,2236,2280,2236,2260,63606,0.002661934338952898
2011-09-20,2319,2359,2266,2344,158982,0.03716814159292037
2011-09-21,2363,2363,2296,2320,103804,-0.010238907849829393
2011-09-22,2216,2550,2200,2550,425393,0.09913793103448265
2011-09-23,2450,2623,2413,2577,857952,0.010588235294117565
2011-09-26,2670,2750,2286,2400,788959,-0.06868451688009314
2011-09-27,2496,2620,2450,2594,509965,0.08083333333333331
2011-09-28,2600,2660,2513,2550,322527,-0.016962220508866643
2011-09-29,2500,2570,2420,2547,291505,-0.0011764705882353343
2011-09-30,2533,2646,2533,2604,358206,0.022379269729092988
2011-10-04,2560,2563,2403,2514,365751,-0.03456221198156684
2011-10-05,2576,2760,2573,2590,1601956,0.03023070803500394
2011-10-06,2683,2730,2233,2327,1282323,-0.10154440154440159
2011-10-07,2366,2443,2336,2384,465732,0.02449505801461105
2011-10-10,2386,2433,2310,2400,383298,0.006711409395973256
2011-10-11,2450,2500,2336,2347,577829,-0.022083333333333344
2011-10-12,2383,2600,2303,2520,854887,0.07371112057946316
2011-10-13,2593,2633,2486,2540,814427,0.007936507936507908
2011-10-14,2536,2570,2466,2560,338644,0.007874015748031482
2011-10-17,2586,2646,2540,2567,524668,0.0027343749999999556
2011-10-18,2496,2560,2426,2500,408425,-0.026100506427736647
2011-10-19,2523,2706,2483,2700,1373771,0.08000000000000007
2011-10-20,2806,3103,2776,3017,5091847,0.1174074074074074
2011-10-21,3050,3060,2850,2944,1495026,-0.02419622141199862
2011-10-24,3006,3156,2933,3004,1662732,0.020380434782608647
2011-10-25,2986,3202,2950,3204,1369814,0.06657789613848197
2011-10-26,3166,3213,3060,3084,766958,-0.03745318352059923
2011-10-27,3103,3133,2883,2910,1000217,-0.05642023346303504
2011-10-28,2980,3000,2800,3000,731199,0.030927835051546282
2011-10-31,2966,2973,2833,2894,375305,-0.03533333333333333
2011-11-01,2846,2990,2842,2974,303174,0.02764340013821709
2011-11-02,2892,3132,2850,3057,565456,0.02790854068594495
2011-11-03,3056,3070,2920,2934,340600,-0.04023552502453387
2011-11-04,2986,3013,2902,2924,322853,-0.0034083162917518672
2011-11-07,2950,3036,2866,3034,375070,0.037619699042407584
2011-11-08,3036,3086,2913,2914,417835,-0.039551746868820015
2011-11-09,2950,3142,2913,3114,703929,0.06863417982155107
2011-11-10,3020,3050,2923,3000,567104,-0.036608863198458574
2011-11-11,3076,3210,3023,3050,1082731,0.016666666666666607
2011-11-14,3050,3166,2976,3157,697829,0.03508196721311485
2011-11-15,3172,3223,3072,3117,502566,-0.012670256572695604
2011-11-16,3140,3173,2883,2930,732183,-0.05999358357394935
2011-11-17,2926,2982,2860,2964,220482,0.011604095563140016
2011-11-18,2916,2956,2853,2857,239800,-0.036099865047233504
2011-11-21,2826,2906,2756,2867,223785,0.003500175008750439
2011-11-22,2856,2896,2760,2807,359360,-0.020927799093128696
2011-11-23,2966,3030,2780,2800,639324,-0.0024937655860348684
2011-11-24,2800,2800,2600,2700,238114,-0.0357142857142857
2011-11-25,2750,2800,2590,2717,277608,0.006296296296296244
2011-11-28,2690,2793,2676,2730,193086,0.004784688995215225
2011-11-29,2753,2773,2700,2764,170419,0.01245421245421241
2011-11-30,2783,2863,2730,2860,229740,0.0347322720694645
2011-12-01,2900,2930,2813,2814,234047,-0.016083916083916128
2011-12-02,2790,2962,2790,2924,404565,0.039090262970860046
2011-12-05,2933,2933,2826,2850,492052,-0.025307797537619692
2011-12-06,2880,2962,2873,2934,489022,0.02947368421052632
2011-12-07,2963,2963,2816,2880,304773,-0.018404907975460127
2011-12-08,2880,2880,2743,2770,383594,-0.03819444444444442
2011-12-09,2750,2826,2680,2790,237887,0.0072202166064982976
2011-12-12,2846,2846,2733,2810,281050,0.007168458781362075
2011-12-13,2753,2850,2730,2834,208095,0.008540925266903976
2011-12-14,2863,2963,2823,2870,496163,0.01270289343683828
