Date,Open,High,Low,Close,Volume,Change
2011-01-03,4250,4284,3957,4056,102202,-0.04587155963302747
2011-01-04,4071,4071,3655,3703,228840,-0.08703155818540431
2011-01-05,3774,3851,3664,3724,98956,0.005671077504725952
2011-01-06,3731,3799,3663,3749,57575,0.006713211600429592
2011-01-07,3702,3974,3702,3953,60771,0.05441451053614288
2011-01-10,3939,3952,3825,3843,43045,-0.027826966860612146
2011-01-11,3846,4386,3791,4251,96999,0.10616705698672901
2011-01-12,4212,4344,4114,4158,75381,-0.02187720536344384
2011-01-13,4123,4166,4034,4162,56043,0.0009620009620010528
2011-01-14,4242,4242,4114,4187,38391,0.006006727534838996
2011-01-17,4190,4241,4054,4077,48408,-0.026271793647002606
2011-01-18,4134,4275,4050,4277,72604,0.049055678194751096
2011-01-19,4327,4904,4293,4676,319992,0.09328968903436996
2011-01-20,4752,4761,4531,4634,78458,-0.008982035928143728
2011-01-21,4548,4965,4548,4761,123583,0.02740612861458791
2011-01-24,4684,4982,4641,4889,99549,0.02688510817055234
2011-01-25,5033,5118,4795,5059,158975,0.034771937001431885
2011-01-26,5049,5092,4922,5042,55008,-0.003360347894840854
2011-01-27,5067,5185,4981,5169,77998,0.02518841729472432
2011-01-28,5109,5169,4888,4965,59066,-0.03946604759141037
2011-01-31,5006,5405,4844,5186,104938,0.04451158106747233
2011-02-01,5135,5381,5135,5271,98396,0.016390281527188577
2011-02-07,5338,5338,5219,5271,42843,0.0
2011-02-08,5347,5347,5169,5305,65514,0.006450388920508532
2011-02-09,5303,5398,5262,5382,80318,0.014514608859566458
2011-02-10,5440,5653,5381,5467,152459,0.01579338535860275
2011-02-11,5439,5610,5398,5450,84005,-0.00310956648984817
2011-02-14,5466,5823,5466,5815,178189,0.06697247706422016
2011-02-15,5771,6103,5771,6105,229315,0.04987102321582104
2011-02-16,6290,6740,6222,6547,377639,0.07239967239967249
2011-02-17,6545,6665,6154,6351,160362,-0.029937375897357565
2011-02-18,6257,6665,6257,6632,117073,0.044245000787277666
2011-02-21,6707,6938,6682,6861,133590,0.034529553679131464
2011-02-22,6861,6963,6759,6861,90475,0.0
2011-02-23,6842,7302,6842,7218,165187,0.05203323130738968
2011-02-24,7269,7353,6137,6139,392770,-0.14948739262953725
2011-02-25,6036,6802,6019,6725,201538,0.09545528587717866
2011-02-28,6733,7030,6733,6887,92271,0.02408921933085506
2011-03-02,6724,6860,6545,6717,101467,-0.024684187599825713
2011-03-03,6715,7174,6656,7116,156085,0.05940151853506026
2011-03-04,7149,7217,6895,7031,60185,-0.011944912872400182
2011-03-07,7260,7354,6970,7295,161763,0.03754800170672734
2011-03-08,7294,7353,6843,7142,175575,-0.02097326936257715
2011-03-09,7124,7158,7022,7125,59056,-0.002380285634276058
2011-03-10,7183,7183,6724,6802,125060,-0.04533333333333334
2011-03-11,6724,6945,6163,6844,145693,0.006174654513378508
2011-03-14,6911,7158,6502,6844,189974,0.0
2011-03-15,6971,6971,5823,5824,329046,-0.14903565166569255
2011-03-16,5483,5678,4981,5271,528591,-0.09495192307692313
2011-03-17,5236,5347,4931,5203,117005,-0.012900777841016842
2011-03-18,5142,5584,5142,5484,99750,0.05400730347876226
2011-03-21,5525,5687,5466,5543,105588,0.010758570386579125
2011-03-22,5516,5525,4785,5016,466625,-0.095074869204402
