Date,Open,High,Low,Close,Volume,Change
2011-01-03,650,655,637,652,6031,-0.01062215477996964
2011-01-04,646,649,632,643,2691,-0.013803680981595123
2011-01-05,643,643,630,640,3290,-0.004665629860031051
2011-01-06,640,640,624,630,5805,-0.015625
2011-01-07,630,630,614,622,10367,-0.012698412698412653
2011-01-10,622,622,612,612,4459,-0.01607717041800638
2011-01-11,606,616,605,612,6780,0.0
2011-01-12,607,618,606,614,2329,0.0032679738562091387
2011-01-13,614,620,603,609,3304,-0.008143322475570036
2011-01-14,609,611,600,608,2458,-0.0016420361247947435
2011-01-17,610,610,600,606,2804,-0.003289473684210509
2011-01-18,601,606,598,600,1539,-0.00990099009900991
2011-01-19,603,603,585,595,2832,-0.008333333333333304
2011-01-20,599,605,573,583,18213,-0.020168067226890796
2011-01-21,583,589,576,589,2101,0.010291595197255532
2011-01-24,589,589,573,584,928,-0.008488964346349714
2011-01-25,585,590,569,584,854,0.0
2011-01-26,564,584,564,577,1492,-0.011986301369863006
2011-01-27,577,578,565,577,5404,0.0
2011-01-28,577,577,565,576,267,-0.0017331022530329143
2011-01-31,562,574,560,566,1821,-0.01736111111111116
2011-02-01,575,575,549,555,27870,-0.019434628975265045
2011-02-07,538,545,506,506,52762,-0.08828828828828827
2011-02-08,511,525,508,510,10088,0.007905138339920903
2011-02-09,511,520,509,520,2180,0.019607843137254832
2011-02-10,525,536,517,530,4364,0.019230769230769162
2011-02-11,534,550,530,539,16966,0.016981132075471805
2011-02-14,539,544,536,536,7548,-0.005565862708719838
2011-02-15,536,540,530,539,8774,0.005597014925373234
2011-02-16,541,554,532,552,3696,0.024118738404452778
2011-02-17,558,558,541,546,5410,-0.010869565217391353
2011-02-18,539,553,535,547,2555,0.001831501831501825
2011-02-21,547,556,546,556,7240,0.01645338208409508
2011-02-22,557,557,541,548,2546,-0.014388489208633115
2011-02-23,548,556,548,553,3436,0.009124087591240837
2011-02-24,551,564,551,563,3653,0.018083182640144635
2011-02-25,569,569,558,563,6281,0.0
2011-02-28,557,569,556,559,3947,-0.007104795737122527
2011-03-02,545,568,545,548,8360,-0.019677996422182487
2011-03-03,542,558,536,550,17178,0.0036496350364962904
2011-03-04,560,560,545,558,3486,0.014545454545454639
2011-03-07,566,566,551,560,2244,0.0035842293906809264
2011-03-08,564,564,551,563,4535,0.005357142857142838
2011-03-09,557,570,557,570,5848,0.01243339253996445
2011-03-10,570,591,566,576,12850,0.010526315789473717
2011-03-11,576,576,563,572,4011,-0.00694444444444442
2011-03-14,558,574,558,567,5301,-0.00874125874125875
2011-03-15,567,572,556,570,7223,0.005291005291005346
2011-03-16,561,573,561,571,7438,0.0017543859649122862
2011-03-17,566,580,566,580,3165,0.015761821366024442
2011-03-18,576,605,576,595,3047,0.02586206896551735
2011-03-21,595,605,591,603,4117,0.013445378151260456
2011-03-22,602,603,593,601,5855,-0.0033167495854062867
2011-03-23,595,601,590,600,7313,-0.0016638935108153063
2011-03-24,595,600,580,593,5992,-0.011666666666666714
2011-03-25,593,597,587,595,3763,0.003372681281618828
2011-03-28,594,603,590,590,2788,-0.008403361344537785
2011-03-29,591,602,585,600,3006,0.016949152542372836
2011-03-30,600,603,595,595,2207,-0.008333333333333304
2011-03-31,600,608,590,604,4275,0.015126050420168013
2011-04-01,599,604,590,603,11883,-0.0016556291390728006
2011-04-04,594,601,584,600,4719,-0.00497512437810943
2011-04-05,600,600,592,599,8050,-0.0016666666666667052
2011-04-06,599,604,593,602,6185,0.005008347245408995
2011-04-07,602,602,597,602,5243,0.0
2011-04-08,602,602,596,601,5247,-0.0016611295681062677
2011-04-11,594,605,594,604,9383,0.004991680532445919
2011-04-12,604,604,580,603,2224,-0.0016556291390728006
2011-04-13,603,608,590,602,4930,-0.0016583747927031434
2011-04-14,602,607,590,607,9779,0.008305647840531671
2011-04-15,606,606,599,603,7206,-0.00658978583196046
2011-04-18,603,603,593,600,5128,-0.00497512437810943
2011-04-19,600,601,592,601,4222,0.0016666666666667052
2011-04-20,601,604,598,599,1680,-0.0033277870216306127
2011-04-21,597,600,597,600,883,0.0016694490818029983
2011-04-22,599,599,590,599,2855,-0.0016666666666667052
2011-04-25,599,600,595,599,4322,0.0
2011-04-26,599,607,594,596,3304,-0.005008347245408995
2011-04-27,596,600,591,600,2754,0.006711409395973256
2011-04-28,590,599,577,598,5991,-0.0033333333333332993
2011-04-29,590,601,580,601,2543,0.0050167224080268635
2011-05-02,601,605,590,600,3352,-0.0016638935108153063
2011-05-03,600,600,595,599,1670,-0.0016666666666667052
2011-05-04,599,600,595,600,805,0.0016694490818029983
2011-05-06,600,600,574,597,5295,-0.0050000000000000044
2011-05-09,596,599,596,599,1596,0.003350083752093891
2011-05-11,598,599,585,585,5060,-0.023372287145242088
2011-05-12,593,596,589,590,5304,0.008547008547008517
2011-05-13,592,593,534,584,13696,-0.01016949152542368
2011-05-16,566,590,565,590,4652,0.010273972602739656
2011-05-17,576,592,575,590,2916,0.0
2011-05-18,590,590,588,589,2430,-0.0016949152542372614
2011-05-19,590,591,586,589,4073,0.0
2011-05-20,590,590,555,579,23318,-0.01697792869269954
2011-05-23,570,580,550,580,4207,0.0017271157167531026
2011-05-24,579,580,573,579,1977,-0.0017241379310344307
2011-05-25,579,579,564,576,3380,-0.005181347150259086
2011-05-26,575,584,572,578,3002,0.003472222222222321
2011-05-27,585,585,567,579,2115,0.0017301038062282892
2011-05-30,581,581,560,580,2848,0.0017271157167531026
2011-05-31,580,580,575,578,6427,-0.0034482758620689724
2011-06-01,581,581,575,576,2705,-0.0034602076124568004
2011-06-02,576,578,574,574,1187,-0.00347222222222221
2011-06-03,576,577,573,574,1760,0.0
2011-06-07,583,583,575,575,1198,0.0017421602787457413
2011-06-08,581,587,577,577,3141,0.003478260869565153
2011-06-09,563,576,563,576,55886,-0.0017331022530329143
2011-06-10,580,580,568,579,408,0.005208333333333259
2011-06-13,595,595,566,580,12,0.0017271157167531026
2011-06-14,580,580,500,505,30410,-0.1293103448275862
2011-06-15,524,530,506,515,2341,0.01980198019801982
2011-06-16,515,524,500,504,1653,-0.021359223300970842
2011-06-17,497,534,497,515,1630,0.021825396825396748
2011-06-20,525,525,520,522,2261,0.013592233009708687
2011-06-21,526,534,517,519,3175,-0.005747126436781658
2011-06-22,529,529,515,516,5070,-0.005780346820809301
2011-06-23,520,525,520,520,1653,0.007751937984496138
2011-06-24,532,532,507,530,3123,0.019230769230769162
2011-06-27,535,550,526,545,1120,0.028301886792452935
2011-06-28,550,550,519,520,3527,-0.04587155963302747
2011-06-29,550,550,519,538,3806,0.034615384615384714
2011-06-30,538,538,520,536,2894,-0.0037174721189591198
2011-07-01,544,544,520,537,1756,0.001865671641791078
2011-07-04,549,549,528,537,31,0.0
2011-07-05,518,549,518,538,3603,0.0018621973929235924
2011-07-06,538,538,535,535,20,-0.005576208178438624
2011-07-07,540,540,526,535,193,0.0
2011-07-08,535,535,534,535,316,0.0
2011-07-11,506,533,506,527,9098,-0.01495327102803734
2011-07-12,520,530,519,529,3804,0.00379506641366234
2011-07-13,528,528,518,528,2189,-0.001890359168241984
2011-07-14,526,526,517,524,2891,-0.007575757575757569
2011-07-15,524,530,515,526,15674,0.003816793893129722
2011-07-18,506,525,506,524,2427,-0.0038022813688213253
2011-07-19,537,537,519,531,1106,0.013358778625954137
2011-07-20,543,543,521,530,3057,-0.0018832391713747842
2011-07-21,538,543,523,543,11424,0.02452830188679256
2011-07-22,543,543,535,543,1313,0.0
2011-07-25,540,560,540,560,3528,0.03130755064456725
2011-07-26,550,560,533,540,38766,-0.0357142857142857
2011-07-27,537,559,537,559,12032,0.03518518518518521
2011-07-28,550,557,550,555,31,-0.007155635062611854
2011-07-29,550,560,547,560,4829,0.009009009009008917
2011-08-01,565,572,560,568,2047,0.014285714285714235
2011-08-02,550,575,543,573,9839,0.008802816901408494
2011-08-03,557,578,557,578,9091,0.008726003490401313
2011-08-04,580,580,575,580,3367,0.0034602076124568004
2011-08-05,550,579,550,577,10119,-0.005172413793103403
2011-08-08,577,580,555,571,2842,-0.010398613518197597
2011-08-09,570,574,544,574,6847,0.005253940455341555
2011-08-10,579,583,561,582,7133,0.013937282229965264
2011-08-11,578,609,541,590,10675,0.013745704467353903
2011-08-12,600,614,556,612,4891,0.03728813559322042
2011-08-16,612,620,581,619,8198,0.011437908496731986
2011-08-17,620,620,605,619,7048,0.0
2011-08-18,620,621,610,621,12772,0.003231017770597644
2011-08-19,600,621,593,620,18482,-0.0016103059581320522
2011-08-22,605,621,605,619,2601,-0.001612903225806428
2011-08-23,620,620,605,620,438,0.001615508885298933
2011-08-24,620,620,604,620,1653,0.0
2011-08-25,620,621,606,615,3283,-0.008064516129032251
2011-08-26,616,617,581,610,1136,-0.008130081300813052
2011-08-29,606,619,606,606,5267,-0.006557377049180357
2011-08-30,608,608,604,605,8327,-0.0016501650165016146
2011-08-31,606,620,605,620,2442,0.024793388429751984
2011-09-01,612,640,612,624,8431,0.006451612903225712
2011-09-02,618,640,617,635,8288,0.017628205128205066
2011-09-05,620,635,617,618,8141,-0.026771653543307128
2011-09-06,617,619,598,616,3418,-0.003236245954692518
2011-09-07,618,618,600,618,354,0.0032467532467532756
2011-09-08,605,635,605,634,9872,0.025889967637540368
2011-09-09,638,638,633,633,633,-0.001577287066246047
2011-09-14,635,635,609,609,7029,-0.03791469194312791
2011-09-15,619,619,606,606,3163,-0.0049261083743842304
2011-09-16,610,628,582,592,4055,-0.02310231023102305
2011-09-19,606,606,600,603,679,0.01858108108108114
2011-09-20,603,614,592,594,678,-0.014925373134328401
2011-09-21,597,605,593,604,2089,0.01683501683501687
2011-09-22,609,609,595,600,929,-0.0066225165562914245
2011-09-23,595,596,591,595,3975,-0.008333333333333304
2011-09-26,590,590,581,581,2250,-0.02352941176470591
2011-09-27,577,609,577,579,573,-0.0034423407917383297
2011-09-28,575,582,575,580,3901,0.0017271157167531026
2011-09-29,583,591,571,591,149,0.018965517241379404
2011-09-30,584,628,580,587,4069,-0.006768189509306244
2011-10-04,575,600,575,597,1707,0.017035775127768327
2011-10-05,595,599,584,590,449,-0.011725293132328285
2011-10-06,577,598,577,598,510,0.013559322033898313
2011-10-07,598,600,597,600,360,0.0033444816053511683
2011-10-10,592,600,592,599,279,-0.0016666666666667052
2011-10-11,600,610,583,598,2708,-0.0016694490818029983
2011-10-12,599,600,599,600,507,0.0033444816053511683
2011-10-13,600,620,600,619,699,0.03166666666666673
2011-10-14,590,617,585,596,3246,-0.037156704361874016
2011-10-17,599,600,599,600,331,0.006711409395973256
2011-10-18,600,600,597,599,1247,-0.0016666666666667052
2011-10-19,600,610,590,610,2139,0.01836393989983298
2011-10-20,620,620,605,605,1785,-0.008196721311475419
2011-10-21,607,610,603,610,412,0.008264462809917328
2011-10-24,610,610,599,609,1156,-0.0016393442622950616
2011-10-25,600,620,598,619,4456,0.016420361247947435
2011-10-26,610,610,599,599,3041,-0.03231017770597733
2011-10-27,605,624,605,624,3248,0.04173622704507518
2011-10-28,616,616,601,603,387,-0.033653846153846145
2011-10-31,606,610,600,610,433,0.011608623548922115
2011-11-01,610,620,605,616,333,0.009836065573770592
2011-11-02,611,611,600,600,841,-0.025974025974025983
2011-11-03,603,610,600,601,142,0.0016666666666667052
2011-11-04,602,608,601,607,945,0.009983361064891838
2011-11-07,606,612,599,610,282,0.0049423393739702615
2011-11-08,610,610,600,607,62,-0.004918032786885296
2011-11-09,570,605,570,603,4102,-0.00658978583196046
2011-11-10,599,603,599,601,1655,-0.0033167495854062867
2011-11-11,600,609,600,601,383,0.0
2011-11-14,603,605,601,601,689,0.0
2011-11-15,600,619,600,619,603,0.029950083194675514
2011-11-16,605,605,601,601,175,-0.029079159935379684
2011-11-17,600,604,600,604,83,0.004991680532445919
2011-11-18,607,607,602,602,81,-0.0033112582781457123
2011-11-21,606,610,606,610,504,0.013289036544850585
2011-11-22,609,615,605,615,627,0.008196721311475308
2011-11-23,615,635,612,633,6703,0.029268292682926855
2011-11-24,643,643,625,630,4868,-0.004739336492891044
2011-11-25,630,630,610,628,3112,-0.0031746031746031633
