Date,Open,High,Low,Close,Volume,Change
2011-01-03,83130,83224,81524,82753,469265,0.003443718245643712
2011-01-04,82658,82941,80957,81336,794938,-0.01712324628714368
2011-01-05,81052,81335,80013,80296,876647,-0.012786466017507658
2011-01-06,80863,82563,80674,81997,700005,0.0211841187605859
2011-01-07,81996,84075,81524,84075,801247,0.025342390575264995
2011-01-10,84358,84736,82469,83130,635745,-0.01123996431757357
2011-01-11,82658,82752,80674,81052,758153,-0.02499699266209554
2011-01-12,81052,82752,81052,81525,507332,0.0058357597591669474
2011-01-13,81618,82847,80485,81808,659465,0.0034713278135540815
2011-01-14,81996,82091,79351,81052,888316,-0.009241150009778987
2011-01-17,81052,81807,80296,80769,585731,-0.0034915856487193198
2011-01-18,80390,81713,80201,80580,426332,-0.00234000668573342
2011-01-19,80485,82469,79351,82280,831986,0.021097046413502074
2011-01-20,83035,84169,82280,83508,1167671,0.014924647544968472
2011-01-21,83697,84547,81146,81713,986800,-0.021494946591943287
2011-01-24,81335,82374,80390,81619,538611,-0.0011503677505415588
2011-01-25,82091,84830,81902,83319,1042464,0.02082848356387612
2011-01-26,84264,85681,82658,85681,812289,0.02834887600667324
2011-01-27,86247,87098,85208,85681,886208,0.0
2011-01-28,85397,86720,83224,83225,730592,-0.02866446470045869
2011-01-31,81713,82563,80485,80485,677785,-0.032922799639531375
2011-02-01,81241,81902,80107,80391,429359,-0.0011679194881033528
2011-02-07,81430,82658,81146,81997,400588,0.019977360649823916
2011-02-08,82185,82658,80863,81336,404754,-0.008061270534287845
2011-02-09,82280,82563,80674,80769,390492,-0.006971082915314231
2011-02-10,80201,80390,76612,77179,1226677,-0.04444774604117918
2011-02-11,77084,77745,75384,75857,631500,-0.01712901177781523
2011-02-14,76706,77934,76139,77085,605959,0.016188354403680716
2011-02-15,77084,79446,76706,77746,600010,0.008574949730816739
2011-02-16,78879,79068,76423,76896,471967,-0.010933038355671054
2011-02-17,76706,78123,76517,77462,415534,0.007360590928006561
2011-02-18,77273,79257,77084,78974,417282,0.01951924814747885
2011-02-21,78501,78690,76423,77085,563494,-0.023919264568085685
2011-02-22,76706,77179,74628,75573,526567,-0.019614711033274945
2011-02-23,76045,76139,74817,75101,326973,-0.006245616820822253
