Date,Open,High,Low,Close,Volume,Change
2016-09-22,7200,7200,6330,6350,3346717,
2016-09-23,6410,6870,6350,6590,1203796,0.03779527559055129
2016-09-26,6650,7090,6510,6970,1087013,0.05766312594840661
2016-09-27,6950,7100,6730,6890,449980,-0.011477761836441891
2016-09-28,6890,7060,6660,6660,354530,-0.03338171262699563
2016-09-29,6680,6970,6650,6890,183261,0.03453453453453448
2016-09-30,6890,6900,6720,6750,90210,-0.020319303338171224
2016-10-04,6720,6880,6620,6710,122618,-0.00592592592592589
2016-10-05,6780,6780,6550,6600,90513,-0.016393442622950838
2016-10-06,6640,6640,6470,6500,110384,-0.015151515151515138
2016-10-07,6500,6570,6400,6440,90763,-0.009230769230769265
2016-10-10,6440,6590,6400,6560,67692,0.01863354037267073
2016-10-11,6570,6860,6520,6790,129120,0.035060975609756184
2016-10-12,6750,6800,6600,6610,61713,-0.026509572901325495
2016-10-13,6630,6650,6550,6610,56688,0.0
2016-10-14,6610,6750,6590,6680,66161,0.010590015128593144
2016-10-17,6690,6690,6600,6620,56815,-0.008982035928143728
2016-10-18,6740,6740,6570,6590,30485,-0.004531722054380682
2016-10-19,6580,6600,6520,6530,114221,-0.009104704097116834
2016-10-20,6530,6630,6420,6470,73358,-0.009188361408882129
2016-10-21,6470,6640,6470,6480,64026,0.0015455950540959051
2016-10-24,6560,6600,6440,6440,38161,-0.006172839506172867
2016-10-25,6490,6500,6370,6460,28630,0.0031055900621117516
2016-10-26,6390,6390,5940,5980,292849,-0.07430340557275539
2016-10-27,6000,6080,5510,5540,482600,-0.0735785953177257
2016-10-28,5560,5560,5300,5380,240258,-0.028880866425992746
2016-10-31,5370,5410,5200,5210,107814,-0.03159851301115246
2016-11-01,5210,5410,5200,5320,132610,0.02111324376199608
2016-11-02,5280,5280,4995,5100,231582,-0.041353383458646586
2016-11-03,5170,5270,5000,5130,101521,0.00588235294117645
2016-11-04,5190,5190,5020,5160,62842,0.005847953216374213
2016-11-07,5160,5580,5160,5450,219966,0.056201550387597
2016-11-08,5580,5580,5350,5370,64517,-0.014678899082568808
2016-11-09,5320,5470,5000,5180,123800,-0.035381750465549366
2016-11-10,5200,5430,5140,5350,95925,0.032818532818532864
2016-11-11,5300,5630,5270,5570,88805,0.04112149532710285
2016-11-14,5570,5870,5500,5850,111073,0.050269299820466795
2016-11-15,5810,5850,5750,5770,34204,-0.013675213675213627
2016-11-16,5880,5990,5620,5900,106214,0.022530329289428108
2016-11-17,5930,6020,5800,5980,65209,0.013559322033898313
2016-11-18,5950,6030,5720,5900,62820,-0.013377926421404673
2016-11-21,5880,5880,5630,5800,100529,-0.016949152542372836
2016-11-22,5930,5940,5660,5690,67791,-0.018965517241379293
2016-11-23,5700,5700,5330,5400,104354,-0.05096660808435849
2016-11-24,5400,5480,5100,5120,242096,-0.051851851851851816
2016-11-25,5270,5340,5160,5200,74860,0.015625
2016-11-28,5240,5390,5090,5300,86515,0.019230769230769162
2016-11-29,5200,5420,5130,5410,83572,0.020754716981132182
2016-11-30,5410,5470,5300,5370,52314,-0.007393715341959317
2016-12-01,5400,5440,5280,5390,47861,0.003724394785847407
2016-12-02,5400,5430,5250,5370,57689,-0.0037105751391465214
2016-12-05,5370,5370,5240,5250,64260,-0.022346368715083775
2016-12-06,5340,5990,5280,5680,321626,0.08190476190476192
2016-12-07,5730,5910,5720,5800,144279,0.021126760563380254
2016-12-08,5900,5920,5630,5700,105819,-0.017241379310344862
2016-12-09,5740,5760,5540,5680,104643,-0.0035087719298245723
2016-12-12,5680,5780,5550,5750,75101,0.012323943661971759
2016-12-13,5740,5780,5630,5650,81626,-0.017391304347826098
2016-12-14,5660,5720,5570,5700,78102,0.008849557522123908
2016-12-15,5710,5910,5620,5900,102910,0.03508771929824572
2016-12-16,5930,5930,5710,5800,125717,-0.016949152542372836
2016-12-19,5810,5810,5640,5660,87818,-0.024137931034482807
2016-12-20,5610,5790,5600,5640,60691,-0.0035335689045936647
2016-12-21,5640,5640,5480,5580,132725,-0.010638297872340385
2016-12-22,5610,5630,5500,5570,120543,-0.0017921146953404632
2016-12-23,5540,5600,5500,5590,91517,0.0035906642728904536
2016-12-26,5590,5590,5520,5560,105816,-0.00536672629695889
2016-12-27,5560,5730,5530,5700,126661,0.02517985611510798
2016-12-28,5690,5700,5540,5580,57101,-0.021052631578947323
2016-12-29,5590,5770,5570,5660,45228,0.014336917562723928
2017-01-02,5690,5690,5530,5590,109867,-0.012367491166077715
2017-01-03,5540,5560,5440,5480,147640,-0.019677996422182487
2017-01-04,5470,5550,5420,5490,83357,0.0018248175182482562
2017-01-05,5490,5890,5490,5690,145842,0.03642987249544616
2017-01-06,5780,5890,5720,5830,143820,0.024604569420035194
2017-01-09,5860,5860,5730,5780,26825,-0.00857632933104635
