Date,Open,High,Low,Close,Volume,Change
2011-01-03,8820,8910,8740,8810,45798,0.006857142857142895
2011-01-04,8860,8900,8740,8760,92277,-0.005675368898978461
2011-01-05,8660,8840,8600,8650,128390,-0.01255707762557079
2011-01-06,8630,8650,8430,8480,165908,-0.01965317919075149
2011-01-07,8520,8800,8510,8700,146063,0.02594339622641506
2011-01-10,8860,8860,8400,8530,146647,-0.019540229885057436
2011-01-11,8490,8600,8400,8530,128001,0.0
2011-01-12,8570,8660,8390,8390,125656,-0.016412661195779554
2011-01-13,8410,8460,8340,8400,91217,0.0011918951132301459
2011-01-14,8360,8530,8340,8480,59368,0.00952380952380949
2011-01-17,8590,8590,8340,8340,129541,-0.01650943396226412
2011-01-18,8270,8380,8200,8280,88809,-0.007194244604316502
2011-01-19,8220,8390,8210,8210,58034,-0.008454106280193274
2011-01-20,8300,8450,8220,8260,66663,0.006090133982947554
2011-01-21,8200,8330,8100,8240,74165,-0.002421307506053294
2011-01-24,8240,8310,8190,8280,41278,0.004854368932038833
2011-01-25,8210,8330,8160,8190,85283,-0.010869565217391353
2011-01-26,8190,8200,8010,8010,79910,-0.02197802197802201
2011-01-27,8090,8090,7900,7900,80486,-0.013732833957553092
2011-01-28,7920,7970,7800,7830,74618,-0.008860759493670933
2011-01-31,7710,7800,7580,7630,105545,-0.025542784163473775
2011-02-01,7630,7800,7620,7710,39253,0.010484927916120546
2011-02-07,7740,8080,7740,7900,86438,0.024643320363164634
2011-02-08,7900,8060,7880,7910,30314,0.0012658227848101333
2011-02-09,7850,8000,7600,7620,116356,-0.036662452591656125
2011-02-10,7600,7690,7500,7600,32256,-0.002624671916010457
2011-02-11,7600,7840,7600,7650,65847,0.006578947368421018
2011-02-14,7600,7870,7450,7450,64774,-0.02614379084967322
2011-02-15,7450,7530,7190,7220,96320,-0.03087248322147651
2011-02-16,7200,7370,7080,7140,39862,-0.011080332409972304
2011-02-17,7130,7180,6850,6860,87228,-0.039215686274509776
2011-02-18,6800,7170,6800,7120,62106,0.03790087463556846
2011-02-21,7100,7280,7000,7110,32653,-0.001404494382022503
2011-02-22,7100,7200,6850,7170,41646,0.00843881856540074
2011-02-23,7280,7280,7100,7220,20304,0.0069735006973501434
2011-02-24,7200,7210,7100,7150,39265,-0.00969529085872578
2011-02-25,7200,7470,7140,7370,29940,0.03076923076923066
2011-02-28,7300,7420,7170,7310,29828,-0.008141112618724522
2011-03-02,7050,7290,7050,7160,57328,-0.020519835841313228
2011-03-03,7110,7290,7110,7240,30558,0.011173184357541999
2011-03-04,7300,7430,7280,7350,20634,0.015193370165745845
2011-03-07,7450,7700,7380,7590,50639,0.03265306122448974
2011-03-08,7650,7730,7480,7590,20232,0.0
2011-03-09,7650,7650,7380,7380,17489,-0.02766798418972327
2011-03-10,7400,7590,7370,7470,31662,0.012195121951219523
2011-03-11,7300,7450,7000,7300,47588,-0.022757697456492587
2011-03-14,7120,7300,7110,7270,89576,-0.004109589041095929
2011-03-15,7140,7270,6950,7190,98023,-0.011004126547455306
2011-03-16,7060,7290,7060,7100,36312,-0.012517385257301838
2011-03-17,7000,7180,6810,7090,49164,-0.0014084507042253502
2011-03-18,7270,7300,7100,7280,20933,0.026798307475317307
2011-03-21,7300,7790,7300,7700,80155,0.05769230769230771
2011-03-22,7790,7950,7620,7860,67451,0.020779220779220786
2011-03-23,7900,8090,7720,7870,65062,0.0012722646310432406
2011-03-24,8000,8000,7750,7750,37978,-0.015247776365946653
2011-03-25,7750,7880,7640,7670,55675,-0.010322580645161339
2011-03-28,7660,7800,7600,7740,39321,0.009126466753585305
2011-03-29,7780,7820,7650,7810,39116,0.009043927648578753
2011-03-30,7890,7890,7720,7780,30147,-0.003841229193341844
2011-03-31,7790,7900,7720,7860,56808,0.010282776349614497
2011-04-01,7800,8060,7780,8040,58221,0.022900763358778553
2011-04-04,8050,8100,7850,8000,26313,-0.00497512437810943
2011-04-05,7940,8290,7940,8260,73705,0.03249999999999997
2011-04-06,8320,8320,8170,8250,59725,-0.001210653753026647
2011-04-07,8330,8330,8100,8100,67342,-0.018181818181818188
2011-04-08,8150,8300,8100,8250,41366,0.0185185185185186
2011-04-11,8250,8260,8120,8240,46752,-0.00121212121212122
2011-04-12,8240,8350,8150,8200,42964,-0.004854368932038833
2011-04-13,8150,8300,8150,8160,24672,-0.004878048780487809
2011-04-14,8270,8300,8040,8250,33791,0.011029411764705843
2011-04-15,8150,9090,8150,8650,344590,0.048484848484848575
2011-04-18,8700,9190,8650,9000,263599,0.040462427745664664
2011-04-19,8970,9220,8950,9170,213403,0.018888888888888955
2011-04-20,9240,9250,9080,9130,106296,-0.004362050163576936
2011-04-21,9240,9680,9150,9670,293395,0.05914567360350498
2011-04-22,10000,10050,9480,9540,450698,-0.013443640124095158
2011-04-25,9600,9930,9600,9730,221709,0.01991614255765195
2011-04-26,9600,9640,9150,9390,182864,-0.03494347379239471
2011-04-27,9260,9430,9180,9300,83884,-0.009584664536741228
2011-04-28,9320,9490,9150,9290,77195,-0.0010752688172043223
2011-04-29,9290,9300,9000,9230,82854,-0.006458557588805203
2011-05-02,9290,9930,9290,9700,149033,0.050920910075839654
2011-05-03,9700,9740,9400,9450,53183,-0.02577319587628868
2011-05-04,9580,9580,9120,9300,65806,-0.015873015873015928
2011-05-06,9150,9400,9140,9210,64456,-0.009677419354838679
2011-05-09,9400,9500,9200,9200,33901,-0.0010857763300760048
2011-05-11,9210,9330,9050,9050,58986,-0.016304347826086918
2011-05-12,9000,9500,8830,9450,89757,0.04419889502762442
2011-05-13,10500,10850,9370,9440,2145640,-0.0010582010582010914
2011-05-16,9100,9300,8880,8880,295924,-0.05932203389830504
2011-05-17,8900,9030,8630,8650,151704,-0.025900900900900914
2011-05-18,8560,8720,8390,8590,100847,-0.006936416184971095
2011-05-19,8590,8600,8200,8220,77075,-0.043073341094295725
2011-05-20,8090,8370,8090,8240,60920,0.0024330900243310083
2011-05-23,8240,8590,8060,8100,41077,-0.016990291262135915
2011-05-24,8050,8350,8050,8350,40864,0.030864197530864113
2011-05-25,8280,8350,8160,8250,47507,-0.0119760479041916
2011-05-26,8230,8440,8200,8440,22018,0.023030303030302957
2011-05-27,8510,8550,8400,8550,29859,0.013033175355450233
2011-05-30,8550,8590,8450,8480,19335,-0.008187134502923965
2011-05-31,8360,8600,8360,8600,32662,0.014150943396226356
2011-06-01,8600,8730,8470,8600,19327,0.0
2011-06-02,8390,8650,8390,8640,21736,0.0046511627906977715
2011-06-03,8560,8670,8440,8590,27638,-0.0057870370370370905
2011-06-07,8480,8590,8360,8550,21647,-0.00465657741559955
2011-06-08,8550,8580,8390,8460,21724,-0.010526315789473717
2011-06-09,8630,8630,8320,8370,11360,-0.010638297872340385
2011-06-10,8380,8500,8200,8270,16144,-0.01194743130227005
2011-06-13,8270,8370,8210,8270,22689,0.0
2011-06-14,8300,8490,8260,8470,34197,0.0241837968561065
2011-06-15,8590,8590,8310,8500,25576,0.0035419126328217754
2011-06-16,8500,8550,8360,8550,28971,0.00588235294117645
2011-06-17,8450,8640,8450,8590,32444,0.004678362573099504
2011-06-20,8680,9070,8400,8620,24877,0.0034924330616996624
2011-06-21,8490,8800,8490,8680,12624,0.006960556844547661
2011-06-22,8790,9110,8710,9060,46470,0.04377880184331806
2011-06-23,9100,9300,8990,9010,43648,-0.0055187637969095205
2011-06-24,9020,9350,8960,9000,94008,-0.0011098779134295356
2011-06-27,8990,9160,8950,9000,19435,0.0
2011-06-28,9050,9170,8010,8820,43682,-0.020000000000000018
2011-06-29,8990,9000,8860,8900,18641,0.009070294784580435
2011-06-30,8900,9080,8850,8940,13877,0.004494382022471877
2011-07-01,8940,9070,8860,9000,16093,0.006711409395973256
2011-07-04,9080,9080,8890,8970,12908,-0.0033333333333332993
2011-07-05,8970,9180,8960,9170,32046,0.02229654403567438
2011-07-06,9250,9830,9020,9470,356321,0.03271537622682663
2011-07-07,9450,9450,9140,9220,54554,-0.026399155227032733
2011-07-08,9210,9350,9160,9300,35248,0.008676789587852562
2011-07-11,9330,9400,9210,9290,31195,-0.0010752688172043223
2011-07-12,9230,9290,8830,9110,71853,-0.019375672766415497
2011-07-13,9000,9120,8850,9100,23774,-0.001097694840834218
2011-07-14,8990,9190,8900,9040,18416,-0.00659340659340657
2011-07-15,9040,9370,9040,9200,48411,0.017699115044247815
2011-07-18,9160,9440,9160,9330,58414,0.01413043478260878
2011-07-19,9500,9540,9300,9360,73361,0.003215434083601254
2011-07-20,9410,9410,9010,9070,85329,-0.030982905982905984
2011-07-21,9150,9150,8750,8890,68441,-0.019845644983461974
2011-07-22,9090,9110,8920,9090,23672,0.022497187851518552
2011-07-25,9290,9290,8930,9080,19944,-0.0011001100110010764
2011-07-26,9000,9090,8810,8910,27727,-0.018722466960352402
2011-07-27,8830,9190,8630,8770,50475,-0.015712682379349086
2011-07-28,8800,9180,8800,9140,83746,0.04218928164196134
2011-07-29,9170,9370,9060,9250,66855,0.012035010940919078
2011-08-01,9210,9710,9210,9500,210212,0.027027027027026973
2011-08-02,9540,9540,8970,9150,99052,-0.0368421052631579
2011-08-03,9100,9100,8800,9000,52536,-0.016393442622950838
2011-08-04,9150,10350,9000,10350,1574891,0.1499999999999999
2011-08-05,10050,11700,9500,10750,3226238,0.03864734299516903
2011-08-08,11300,11700,9400,10400,2266748,-0.032558139534883734
2011-08-09,9990,10100,8850,8850,1166847,-0.14903846153846156
2011-08-10,9430,10150,9160,10150,1680315,0.14689265536723162
2011-08-11,9800,11450,9710,11050,2230452,0.08866995073891615
2011-08-12,11550,12500,11150,11450,2564293,0.03619909502262453
2011-08-16,12250,13150,12050,13150,836112,0.14847161572052392
2011-08-17,13750,14250,12600,13000,2513166,-0.011406844106463865
2011-08-18,13800,14950,13450,14950,2412653,0.1499999999999999
2011-08-19,15300,17100,14750,16600,3804697,0.11036789297658856
2011-08-22,17150,17350,14150,14150,1850220,-0.14759036144578308
2011-08-23,14500,15200,13150,14700,3129643,0.03886925795053009
2011-08-24,14900,16350,14300,15250,3168813,0.03741496598639449
2011-08-25,15350,16250,14350,14500,1592322,-0.049180327868852514
2011-08-26,14750,15350,14000,14650,922312,0.010344827586206806
2011-08-29,15000,15350,14500,14900,884496,0.017064846416382284
2011-08-30,15200,16900,14900,16400,2666848,0.10067114093959728
2011-08-31,16400,17050,15700,16350,1457274,-0.0030487804878048808
2011-09-01,16400,16900,15600,15800,902395,-0.033639143730886834
2011-09-02,15750,16600,15650,16300,774486,0.03164556962025311
2011-09-05,15700,16800,15350,15450,547286,-0.05214723926380371
2011-09-06,15250,15450,13150,13600,983387,-0.11974110032362462
2011-09-07,14050,14700,13700,14300,959778,0.05147058823529416
2011-09-08,14650,16050,14400,15150,1606227,0.05944055944055937
2011-09-09,15150,15350,13650,14400,812386,-0.04950495049504955
2011-09-14,14700,15050,13650,13800,291486,-0.04166666666666663
2011-09-15,14300,14500,12900,13950,312355,0.010869565217391353
2011-09-16,14250,14650,13500,14050,622132,0.007168458781362075
2011-09-19,14050,14400,13400,13400,262061,-0.0462633451957295
2011-09-20,13400,15400,13100,15400,1378265,0.14925373134328357
2011-09-21,15400,16350,14850,14950,1333293,-0.02922077922077926
2011-09-22,14700,15600,14500,14950,737095,0.0
2011-09-23,14650,14900,13550,13600,693928,-0.09030100334448166
2011-09-26,14050,14450,12100,12600,634813,-0.07352941176470584
2011-09-27,13100,14450,13100,14450,607635,0.14682539682539675
2011-09-28,14450,14750,13850,13850,673996,-0.04152249134948094
2011-09-29,13800,14400,13750,14200,369904,0.025270758122743597
2011-09-30,14600,15850,14550,15000,1096664,0.05633802816901401
2011-10-04,14450,14900,14050,14900,518047,-0.00666666666666671
2011-10-05,15050,15500,13350,13650,757312,-0.08389261744966447
2011-10-06,14400,14550,12950,13650,408583,0.0
2011-10-07,14150,14150,13300,14050,597558,0.0293040293040292
2011-10-10,14100,16150,14100,15800,1477625,0.12455516014234869
2011-10-11,15800,16350,15500,15800,1004155,0.0
2011-10-12,16300,18000,15650,16100,2868410,0.018987341772152
2011-10-13,16200,17700,16050,17400,1591569,0.08074534161490687
2011-10-14,17200,18250,16900,17900,1508949,0.028735632183908066
2011-10-17,18150,18400,17550,18050,799422,0.008379888268156499
2011-10-18,18100,20100,18100,19500,1559497,0.08033240997229907
2011-10-19,19900,20700,18800,19250,1570847,-0.012820512820512775
2011-10-20,19600,19950,17500,17500,812712,-0.09090909090909094
2011-10-21,18000,18800,17550,18800,597392,0.07428571428571429
2011-10-24,19100,19350,18350,18750,552747,-0.0026595744680850686
2011-10-25,18750,20300,18600,19050,1014134,0.016000000000000014
2011-10-26,19250,19900,18950,19400,489296,0.018372703412073532
2011-10-27,19450,19900,18050,18500,454801,-0.046391752577319534
2011-10-28,18000,18750,17200,17450,449666,-0.05675675675675673
2011-10-31,17350,17750,17150,17400,206489,-0.002865329512893977
2011-11-01,17400,17950,17350,17800,210074,0.02298850574712641
2011-11-02,17400,18550,17250,18400,441732,0.03370786516853941
2011-11-03,18450,18750,17650,17650,283984,-0.040760869565217406
2011-11-04,17950,18300,17700,17850,187650,0.011331444759206777
2011-11-07,17850,18050,17250,17300,314274,-0.03081232492997199
2011-11-08,17400,17850,15900,16550,857580,-0.043352601156069315
2011-11-09,16800,17100,16550,16850,357739,0.01812688821752273
2011-11-10,16500,16600,15600,15600,213109,-0.0741839762611276
2011-11-11,15950,16950,15900,16950,209204,0.08653846153846145
2011-11-14,17200,17400,16800,17050,165190,0.005899705014749346
2011-11-15,16850,17250,16300,16350,129399,-0.04105571847507328
2011-11-16,16700,16750,15800,15800,237245,-0.033639143730886834
2011-11-17,16100,16300,15650,16300,212780,0.03164556962025311
2011-11-18,15800,16050,14700,14800,295165,-0.09202453987730064
2011-11-21,14850,14950,14150,14150,129386,-0.04391891891891897
2011-11-22,13900,15400,13900,15400,241492,0.08833922261484095
2011-11-23,15500,15500,13200,13500,410443,-0.12337662337662336
2011-11-24,13550,14150,13150,13400,258843,-0.007407407407407418
2011-11-25,13300,13850,12300,12900,255243,-0.03731343283582089
2011-11-28,13200,14300,13000,13800,365043,0.06976744186046502
2011-11-29,13900,14150,13400,13850,211228,0.0036231884057971175
2011-11-30,13650,14350,13400,13400,237634,-0.032490974729241895
2011-12-01,13800,14100,13600,13650,225224,0.018656716417910557
2011-12-02,13550,14350,13450,13600,259641,-0.00366300366300365
2011-12-05,13800,13800,12800,13150,237409,-0.03308823529411764
2011-12-06,13150,13400,12400,12500,324349,-0.049429657794676785
2011-12-07,12650,12750,12200,12300,172008,-0.016000000000000014
2011-12-08,12400,12650,12150,12350,164692,0.004065040650406582
2011-12-09,12200,12450,12050,12050,129701,-0.02429149797570851
2011-12-12,12200,12950,12050,12900,333496,0.0705394190871369
2011-12-13,12650,12850,12500,12550,106675,-0.027131782945736482
2011-12-14,12750,13600,12650,13500,475707,0.07569721115537842
2011-12-15,13250,13650,13000,13500,226215,0.0
2011-12-16,13800,14050,13250,13350,329176,-0.011111111111111072
2011-12-19,13200,13350,11350,11900,336929,-0.10861423220973787
2011-12-20,12000,12450,12000,12250,110534,0.02941176470588225
2011-12-21,12550,13000,12450,12450,134441,0.01632653061224487
2011-12-22,12450,13850,12250,13700,481985,0.10040160642570273
2011-12-23,13650,13750,13200,13350,173808,-0.025547445255474477
2011-12-26,13500,13650,13100,13100,123205,-0.01872659176029967
2011-12-27,13050,13350,12000,12750,178654,-0.026717557251908386
2011-12-28,12800,13050,12550,13000,79676,0.019607843137254832
2011-12-29,13150,13150,12650,12800,63075,-0.01538461538461533
2012-01-02,12550,13600,12550,13200,165201,0.03125
2012-01-03,13300,14500,13050,14250,494886,0.07954545454545459
2012-01-04,14100,14900,13950,14400,523139,0.010526315789473717
2012-01-05,14700,16550,14600,16550,1388884,0.14930555555555558
2012-01-06,17350,17950,15100,15300,1873359,-0.07552870090634445
2012-01-09,15250,15500,14400,15250,431560,-0.0032679738562091387
2012-01-10,15500,15650,14750,14850,309194,-0.02622950819672132
2012-01-11,15150,15350,14650,14650,325369,-0.013468013468013518
2012-01-12,14750,14900,14000,14700,203453,0.0034129692832765013
2012-01-13,14900,15450,14200,14500,412306,-0.013605442176870763
2012-01-16,14450,14600,13800,14000,312965,-0.03448275862068961
2012-01-17,14200,14450,14050,14250,201118,0.017857142857142794
2012-01-18,14300,14750,13600,13600,326962,-0.04561403508771933
2012-01-19,13600,13800,12800,12950,472127,-0.047794117647058876
2012-01-20,12950,13300,12800,12950,181041,0.0
2012-01-25,13200,13550,13050,13300,180472,0.027027027027026973
2012-01-26,13100,13500,13050,13050,226820,-0.018796992481203034
2012-01-27,13050,13150,12650,12700,218501,-0.026819923371647514
2012-01-30,13250,13700,12900,13050,423548,0.027559055118110187
2012-01-31,13000,13350,12900,13350,139961,0.02298850574712641
2012-02-01,13400,13500,13150,13150,134038,-0.014981273408239737
2012-02-02,13400,13400,12850,13100,144678,-0.0038022813688213253
2012-02-03,13300,13350,12800,12850,156515,-0.01908396946564883
2012-02-06,13050,13150,12050,12200,312438,-0.05058365758754868
2012-02-07,12200,12650,12000,12400,240293,0.016393442622950838
2012-02-08,12450,13050,12450,12550,213567,0.012096774193548487
2012-02-09,12600,12900,12300,12500,118957,-0.003984063745019917
2012-02-10,12600,12750,12500,12700,73154,0.016000000000000014
2012-02-13,12650,12800,12400,12700,124552,0.0
2012-02-14,12650,13000,12050,12450,311684,-0.019685039370078705
2012-02-15,12600,12600,12150,12250,164437,-0.016064257028112428
2012-02-16,12250,13100,12250,12350,511849,0.008163265306122547
2012-02-17,12450,12500,12250,12300,126654,-0.004048582995951455
2012-02-20,12400,12450,12000,12050,193944,-0.020325203252032575
2012-02-21,12100,12100,11500,11750,213138,-0.024896265560165998
2012-02-22,11750,12450,11650,12400,273912,0.05531914893617018
2012-02-23,12300,12950,12150,12750,247931,0.02822580645161299
2012-02-24,12850,12850,12250,12500,124115,-0.019607843137254943
