Date,Open,High,Low,Close,Volume,Change
2011-01-03,882,950,842,848,138160,-0.05986696230598665
2011-01-04,721,721,721,722,79701,-0.1485849056603774
2011-01-05,636,691,636,676,1352511,-0.06371191135734067
2011-01-06,686,694,647,681,500895,0.007396449704142105
2011-01-07,680,772,680,754,587900,0.10719530102790009
2011-01-10,751,819,751,792,426122,0.05039787798408479
2011-01-11,775,805,737,767,183518,-0.031565656565656575
2011-01-12,756,766,713,747,130179,-0.026075619295958252
2011-01-13,734,760,711,734,137111,-0.01740294511378848
2011-01-14,734,754,696,725,145236,-0.012261580381471404
2011-01-17,724,756,697,718,120333,-0.0096551724137931
2011-01-18,718,794,702,719,107872,0.0013927576601671099
2011-01-19,718,733,710,711,39248,-0.011126564673157202
2011-01-20,710,743,691,711,114122,0.0
2011-01-21,692,713,656,657,133852,-0.07594936708860756
2011-01-24,657,729,657,694,217649,0.05631659056316596
2011-01-25,719,722,653,654,79897,-0.057636887608069176
2011-01-26,664,690,650,660,125618,0.00917431192660545
2011-01-27,660,694,562,582,461740,-0.11818181818181817
2011-01-28,580,624,571,615,158073,0.05670103092783507
2011-01-31,615,648,588,619,152347,0.006504065040650486
2011-02-01,612,644,584,613,74173,-0.009693053311793265
2011-02-07,615,653,615,645,70084,0.05220228384991854
2011-02-08,637,666,612,627,101694,-0.027906976744186074
2011-02-09,620,642,606,615,144440,-0.019138755980861233
2011-02-10,615,623,585,599,128123,-0.026016260162601612
2011-02-11,599,688,599,689,420908,0.15025041736227052
2011-02-14,781,790,749,792,379724,0.14949201741654572
2011-02-15,820,909,820,909,1349804,0.1477272727272727
2011-02-16,922,931,844,908,600234,-0.0011001100110010764
2011-02-17,931,966,808,821,334118,-0.0958149779735683
2011-02-18,796,931,796,886,264809,0.0791717417783191
2011-02-21,894,953,893,912,404725,0.02934537246049662
2011-02-22,953,955,900,941,166000,0.0317982456140351
2011-02-23,931,945,858,906,225953,-0.03719447396386821
2011-02-24,877,953,870,944,106700,0.04194260485651213
2011-02-25,906,943,857,895,180053,-0.05190677966101698
2011-02-28,895,942,762,809,228654,-0.09608938547486034
2011-03-02,808,882,806,837,129228,0.034610630407911014
2011-03-03,918,923,795,837,64355,0.0
2011-03-04,837,846,711,765,225765,-0.08602150537634412
2011-03-07,742,804,742,776,151046,0.01437908496732021
2011-03-08,775,827,754,776,95889,0.0
2011-03-09,794,804,761,787,171549,0.014175257731958713
2011-03-10,786,786,727,738,136663,-0.06226175349428209
2011-03-11,767,767,700,718,92819,-0.027100271002710064
2011-03-14,710,757,636,664,122504,-0.07520891364902504
2011-03-15,667,722,567,637,300722,-0.04066265060240959
2011-03-16,638,649,609,613,122484,-0.03767660910518056
2011-03-17,670,703,624,705,175104,0.15008156606851553
2011-03-18,809,809,809,810,48752,0.14893617021276606
2011-03-21,906,931,820,841,1270667,0.03827160493827164
2011-03-22,864,864,715,716,458026,-0.14863258026159332
2011-03-23,715,821,695,797,456068,0.11312849162011163
2011-03-24,795,901,712,801,207355,0.005018820577164407
2011-03-25,800,836,746,772,176479,-0.03620474406991259
2011-03-28,804,804,737,774,119485,0.002590673575129543
2011-03-29,761,789,739,778,105468,0.0051679586563306845
2011-03-30,777,789,739,746,80142,-0.041131105398457546
2011-03-31,759,857,759,858,543851,0.15013404825737275
2011-04-01,916,986,833,866,3503416,0.00932400932400923
2011-04-04,844,844,738,797,1265118,-0.07967667436489612
2011-04-05,811,814,761,797,424881,0.0
2011-04-06,795,806,773,784,273174,-0.016311166875784155
2011-04-07,786,804,765,779,264785,-0.0063775510204081565
2011-04-08,786,894,778,816,867826,0.047496790757381335
2011-04-11,817,853,784,788,190259,-0.03431372549019607
2011-04-12,783,783,732,735,554245,-0.06725888324873097
2011-04-13,734,746,704,718,446381,-0.023129251700680253
2011-04-14,717,741,675,694,193637,-0.03342618384401119
2011-04-15,682,759,682,754,398694,0.08645533141210371
2011-04-18,746,763,704,719,238415,-0.04641909814323608
2011-04-19,712,722,679,717,227104,-0.0027816411682892728
2011-04-20,721,734,690,696,195628,-0.029288702928870314
2011-04-21,724,724,643,668,343678,-0.04022988505747127
2011-04-22,688,710,637,665,364786,-0.004491017964071808
2011-04-25,694,694,646,658,263819,-0.010526315789473717
2011-04-26,653,680,633,635,211822,-0.03495440729483279
2011-04-27,634,659,624,657,160525,0.03464566929133861
2011-04-28,661,661,624,658,195502,0.0015220700152207556
2011-04-29,669,669,634,652,99973,-0.00911854103343468
2011-05-02,639,654,622,636,74507,-0.024539877300613466
2011-05-03,635,643,612,619,127608,-0.026729559748427723
2011-05-04,618,633,615,620,115118,0.001615508885298933
2011-05-06,621,678,610,632,163723,0.019354838709677358
2011-05-09,653,661,626,652,80240,0.03164556962025311
2011-05-11,637,649,607,614,177127,-0.05828220858895705
2011-05-12,613,623,588,605,128494,-0.014657980456026065
2011-05-13,622,622,583,600,149013,-0.008264462809917328
2011-05-16,610,621,599,610,47785,0.016666666666666607
2011-05-17,602,619,540,556,342928,-0.08852459016393444
2011-05-18,575,575,541,551,130016,-0.008992805755395739
2011-05-19,537,546,487,498,469721,-0.0961887477313974
2011-05-20,490,569,490,505,545836,0.014056224899598346
2011-05-23,535,535,473,502,290985,-0.005940594059405946
2011-05-24,492,502,476,493,148879,-0.017928286852589626
2011-05-25,499,539,482,493,538286,0.0
2011-05-26,524,524,460,473,370503,-0.04056795131845847
2011-05-27,473,498,465,488,108104,0.031712473572938604
2011-05-30,490,529,484,491,170995,0.006147540983606481
