Date,Open,High,Low,Close,Volume,Change
2011-01-03,1081,1081,1030,1039,562470,-0.020735155513666337
2011-01-04,1040,1046,1020,1043,354929,0.0038498556304138454
2011-01-05,1046,1048,1012,1021,287550,-0.021093000958772756
2011-01-06,1004,1032,1004,1021,302882,0.0
2011-01-07,1020,1038,1018,1025,200036,0.003917727717923647
2011-01-10,1022,1038,1014,1029,168926,0.0039024390243902474
2011-01-11,1034,1038,1020,1029,187811,0.0
2011-01-12,1030,1137,1030,1093,1585958,0.06219630709426638
2011-01-13,1101,1109,1067,1085,575909,-0.007319304666056681
2011-01-14,1085,1099,1067,1077,315521,-0.007373271889400956
2011-01-17,1093,1129,1083,1101,779445,0.022284122562674202
2011-01-18,1115,1123,982,1103,846531,0.0018165304268846771
2011-01-19,1111,1113,1071,1103,333878,0.0
2011-01-20,1081,1107,1067,1079,333535,-0.021758839528558505
2011-01-21,1079,1095,1030,1045,305694,-0.03151065801668207
2011-01-24,1060,1060,1006,1017,264636,-0.026794258373205704
2011-01-25,1002,1030,996,999,300252,-0.017699115044247815
2011-01-26,1012,1012,986,991,233087,-0.00800800800800805
2011-01-27,998,1010,980,985,279858,-0.006054490413723523
2011-01-28,988,994,944,963,310177,-0.022335025380710638
2011-01-31,944,962,940,945,79313,-0.01869158878504673
2011-02-01,956,956,924,931,197028,-0.014814814814814836
2011-02-07,938,946,916,931,231508,0.0
2011-02-08,930,966,924,947,315091,0.017185821697099923
2011-02-09,948,976,942,953,156369,0.006335797254487963
2011-02-10,952,960,820,829,1073950,-0.13011542497376705
2011-02-11,920,920,836,855,802381,0.031363088057901
2011-02-14,852,866,790,831,721664,-0.028070175438596467
2011-02-15,822,880,788,833,733514,0.002406738868832692
2011-02-16,832,846,818,831,211810,-0.0024009603841537164
2011-02-17,822,836,802,821,212968,-0.012033694344163681
2011-02-18,826,834,808,827,216811,0.0073081607795371095
2011-02-21,826,844,818,821,245056,-0.00725513905683195
2011-02-22,830,832,796,815,330835,-0.0073081607795371095
2011-02-23,814,814,762,763,290645,-0.06380368098159506
2011-02-24,762,800,748,749,366611,-0.01834862385321101
2011-02-25,732,748,682,699,732520,-0.06675567423230977
2011-02-28,698,758,698,731,416535,0.045779685264663916
2011-03-02,730,750,714,751,331112,0.02735978112175097
2011-03-03,752,766,716,753,577887,0.0026631158455392434
2011-03-04,734,780,732,753,356084,0.0
2011-03-07,770,774,750,769,558780,0.021248339973439556
2011-03-08,774,774,750,761,293397,-0.01040312093628093
2011-03-09,768,768,748,753,245478,-0.010512483574244391
2011-03-10,758,760,744,757,1168070,0.005312084993359889
2011-03-11,760,770,752,765,318219,0.010568031704095038
2011-03-14,780,780,734,755,324855,-0.013071895424836555
2011-03-15,758,778,642,779,590329,0.03178807947019857
2011-03-16,754,770,722,751,509557,-0.03594351732991019
2011-03-17,746,750,720,737,214107,-0.018641810918774926
2011-03-18,746,752,722,749,125178,0.016282225237449044
2011-03-21,748,778,742,777,194811,0.03738317757009346
2011-03-22,770,774,756,771,177799,-0.007722007722007707
2011-03-23,770,770,748,763,152747,-0.01037613488975353
2011-03-24,762,800,746,801,382335,0.04980340760157276
2011-03-25,822,822,778,783,204628,-0.022471910112359605
2011-03-28,772,820,766,773,242513,-0.012771392081736943
2011-03-29,790,790,750,773,150465,0.0
2011-03-30,768,796,760,785,280769,0.015523932729624823
2011-03-31,784,802,770,803,204079,0.02292993630573248
2011-04-01,792,818,788,817,199126,0.01743462017434627
2011-04-04,818,918,800,893,1186888,0.09302325581395343
2011-04-05,866,892,860,887,335881,-0.006718924972004436
2011-04-06,886,888,864,889,325723,0.0022547914317925244
2011-04-07,892,892,866,873,161044,-0.017997750281214864
2011-04-08,850,870,750,835,369876,-0.043528064146620804
2011-04-11,846,892,816,849,676969,0.016766467065868262
2011-04-12,848,854,810,811,295443,-0.044758539458186086
2011-04-13,818,828,802,815,182483,0.004932182490752224
