Date,Open,High,Low,Close,Volume,Change
2011-01-03,18244,18244,17754,17799,8830,-0.019608923161663405
2011-01-04,17754,17888,17665,17799,6450,0.0
2011-01-05,17799,17843,17665,17666,6859,-0.007472329906174524
2011-01-06,17710,17710,17087,17310,12660,-0.020151703837880675
2011-01-07,17443,17443,17042,17310,10540,0.0
2011-01-10,17354,17354,17042,17087,4610,-0.01288272674754476
2011-01-11,17087,17799,17087,17710,3530,0.03646046702171235
2011-01-12,17977,17977,17265,17488,5850,-0.012535290796160337
2011-01-13,17443,17665,17354,17399,3940,-0.005089204025617522
2011-01-14,17487,17799,17443,17710,2370,0.017874590493706544
2011-01-17,17799,17799,17532,17532,1811,-0.010050818746470958
2011-01-18,17532,17532,17042,17043,6619,-0.02789185489390833
2011-01-19,16909,17220,16820,16820,8701,-0.013084550841987896
2011-01-20,16864,17176,16775,16998,3010,0.010582639714625364
2011-01-21,16731,16998,16508,16954,7565,-0.002588539828215053
2011-01-24,17131,17131,16642,16820,2747,-0.00790373953049428
2011-01-25,16775,16909,16553,16687,4957,-0.007907253269916814
2011-01-26,16686,16686,16375,16509,2810,-0.01066698627674234
2011-01-27,16508,16731,16375,16598,2135,0.005390998849112538
2011-01-28,16820,16820,16375,16598,1400,0.0
2011-01-31,16375,16909,16375,16598,2770,0.0
2011-02-01,16909,17799,16731,17221,4030,0.037534642728039413
2011-02-07,17176,17176,16820,16954,3905,-0.015504326113466083
2011-02-08,16820,17087,16775,17043,2039,0.005249498643387973
2011-02-09,16909,17042,16775,16776,2621,-0.015666255940855467
2011-02-10,16775,16775,16375,16375,3550,-0.023903195040534064
2011-02-11,16642,16642,16241,16242,2549,-0.008122137404580121
2011-02-14,16375,16375,15752,15975,6290,-0.016438862209087524
2011-02-15,16241,16241,15129,15841,6290,-0.00838810641627541
2011-02-16,16375,16419,15485,15485,5400,-0.022473328703995987
2011-02-17,15040,15618,15040,15441,5252,-0.0028414594769131662
2011-02-18,16019,17621,15574,15975,4860,0.03458325238002713
2011-02-21,16019,16019,15440,15485,6078,-0.030672926447574356
