Date,Open,High,Low,Close,Volume,Change
2011-01-03,386,390,385,387,841616,0.002590673575129543
2011-01-04,387,392,383,388,1398061,0.0025839793281654533
2011-01-05,389,413,386,404,4386475,0.04123711340206193
2011-01-06,406,409,396,398,2361846,-0.014851485148514865
2011-01-07,399,400,392,393,1179408,-0.012562814070351758
2011-01-10,392,400,392,395,1115315,0.0050890585241729624
2011-01-11,395,403,394,400,1052031,0.012658227848101333
2011-01-12,402,406,396,397,1418893,-0.007499999999999951
2011-01-13,400,400,394,397,1082160,0.0
2011-01-14,396,399,392,397,858188,0.0
2011-01-17,399,400,395,396,1195970,-0.0025188916876573986
2011-01-18,396,397,391,393,1417610,-0.007575757575757569
2011-01-19,394,394,389,390,935582,-0.007633587786259555
2011-01-20,388,394,388,393,783032,0.007692307692307665
2011-01-21,393,393,387,388,1041569,-0.012722646310432517
2011-01-24,387,393,387,390,1348131,0.005154639175257714
2011-01-25,388,392,386,388,1064924,-0.00512820512820511
2011-01-26,389,390,384,386,1015667,-0.005154639175257714
2011-01-27,387,388,384,385,504417,-0.002590673575129543
2011-01-28,385,387,384,384,587288,-0.0025974025974025983
2011-01-31,381,382,378,381,966562,-0.0078125
2011-02-01,381,384,380,381,391463,0.0
2011-02-07,381,386,381,381,563813,0.0
2011-02-08,384,386,381,384,1013610,0.007874015748031482
2011-02-09,384,387,382,384,977099,0.0
2011-02-10,382,385,382,383,578090,-0.0026041666666666297
2011-02-11,382,385,377,380,1255320,-0.007832898172323799
2011-02-14,378,381,371,375,1351771,-0.013157894736842146
2011-02-15,373,376,368,372,1661908,-0.008000000000000007
2011-02-16,372,374,365,365,1480094,-0.018817204301075252
2011-02-17,365,367,358,362,1640595,-0.008219178082191747
2011-02-18,359,365,359,363,658146,0.0027624309392264568
2011-02-21,361,366,360,361,939188,-0.0055096418732781816
2011-02-22,361,361,349,354,1437835,-0.01939058171745156
2011-02-23,351,360,350,355,694602,0.0028248587570620654
2011-02-24,353,360,352,354,673182,-0.0028169014084507005
2011-02-25,355,355,350,354,597275,0.0
2011-02-28,352,354,349,352,723060,-0.005649717514124242
2011-03-02,347,348,320,322,2144996,-0.08522727272727271
2011-03-03,322,330,320,328,1122043,0.01863354037267073
2011-03-04,329,331,325,328,591080,0.0
2011-03-07,329,332,325,329,779613,0.0030487804878047697
2011-03-08,330,333,327,330,688540,0.003039513677811634
2011-03-09,333,345,332,344,863052,0.042424242424242475
2011-03-10,345,346,338,340,591250,-0.011627906976744207
2011-03-11,340,341,336,337,497070,-0.008823529411764675
2011-03-14,333,334,319,327,961390,-0.029673590504451064
2011-03-15,324,338,303,318,1707410,-0.02752293577981646
2011-03-16,318,325,313,318,763278,0.0
2011-03-17,315,322,308,322,847281,0.012578616352201255
2011-03-18,320,325,319,322,670032,0.0
2011-03-21,318,329,318,327,833919,0.01552795031055898
2011-03-22,326,332,325,328,894509,0.003058103975535076
2011-03-23,330,332,325,329,849585,0.0030487804878047697
2011-03-24,328,334,328,333,684262,0.012158054711246091
2011-03-25,337,341,329,338,1010959,0.01501501501501501
2011-03-28,340,345,334,341,908583,0.008875739644970349
2011-03-29,337,345,336,345,998479,0.011730205278592365
2011-03-30,348,349,340,349,923691,0.011594202898550732
2011-03-31,350,351,344,349,601194,0.0
2011-04-01,349,355,346,355,946621,0.017191977077363862
2011-04-04,356,357,349,355,922880,0.0
2011-04-05,352,354,348,354,912820,-0.0028169014084507005
2011-04-06,351,354,346,347,527936,-0.019774011299435013
2011-04-07,345,347,338,340,898733,-0.02017291066282423
2011-04-08,345,345,336,342,464667,0.00588235294117645
2011-04-11,342,344,337,342,424777,0.0
2011-04-12,338,340,333,338,969020,-0.011695906432748537
2011-04-13,338,345,334,338,1085308,0.0
2011-04-14,341,341,335,336,237558,-0.00591715976331364
2011-04-15,338,338,330,333,574306,-0.008928571428571397
2011-04-18,333,335,322,325,1037333,-0.024024024024024038
2011-04-19,324,324,317,320,656133,-0.01538461538461533
2011-04-20,321,322,316,320,510680,0.0
2011-04-21,323,350,323,340,2559660,0.0625
2011-04-22,340,340,329,335,597185,-0.014705882352941124
2011-04-25,333,335,328,329,673081,-0.017910447761193993
2011-04-26,330,333,322,323,448320,-0.018237082066869248
2011-04-27,323,326,321,324,565961,0.003095975232198178
2011-04-28,322,324,318,320,433486,-0.012345679012345734
2011-04-29,320,320,314,318,497772,-0.006249999999999978
2011-05-02,322,322,315,317,516696,-0.0031446540880503138
2011-05-03,314,318,311,317,666822,0.0
2011-05-04,316,318,313,318,439466,0.003154574132492094
2011-05-06,315,319,311,314,893048,-0.012578616352201255
2011-05-09,312,317,310,315,819322,0.0031847133757962887
2011-05-11,316,316,311,311,241436,-0.012698412698412653
2011-05-12,307,310,304,308,904093,-0.009646302250803873
2011-05-13,307,314,305,307,674802,-0.0032467532467532756
2011-05-16,304,308,304,307,501049,0.0
2011-05-17,307,313,306,310,523100,0.009771986970684043
2011-05-18,308,316,308,312,890140,0.006451612903225712
2011-05-19,313,314,297,303,679238,-0.028846153846153855
2011-05-20,303,304,298,300,425875,-0.00990099009900991
2011-05-23,299,304,290,294,734050,-0.020000000000000018
2011-05-24,292,297,292,295,412471,0.00340136054421758
2011-05-25,295,298,292,297,568351,0.006779661016949046
2011-05-26,295,298,293,294,324669,-0.010101010101010055
2011-05-27,294,297,292,297,428002,0.010204081632652962
2011-05-30,296,298,293,297,240330,0.0
2011-05-31,296,297,292,296,379890,-0.0033670033670033517
2011-06-01,298,317,297,308,1111404,0.04054054054054057
2011-06-02,303,306,301,306,523564,-0.00649350649350644
2011-06-03,308,308,299,304,522623,-0.006535947712418277
2011-06-07,301,304,299,304,283983,0.0
2011-06-08,305,307,303,305,533991,0.00328947368421062
2011-06-09,306,313,305,308,868331,0.009836065573770592
2011-06-10,307,311,305,309,757648,0.0032467532467532756
2011-06-13,306,313,305,309,719620,0.0
2011-06-14,308,310,304,307,444386,-0.006472491909385147
2011-06-15,306,307,304,306,329442,-0.0032573289902280145
2011-06-16,301,305,298,301,259774,-0.016339869281045805
2011-06-17,302,306,301,303,341270,0.006644518272425293
2011-06-20,303,305,300,305,256912,0.0066006600660066805
2011-06-21,306,307,301,303,187093,-0.006557377049180357
2011-06-22,303,304,300,301,357741,-0.0066006600660065695
2011-06-23,302,306,301,304,532046,0.009966777408637828
2011-06-24,303,307,303,305,298164,0.00328947368421062
2011-06-27,304,304,298,300,1040918,-0.016393442622950838
2011-06-28,300,303,298,301,386311,0.0033333333333334103
2011-06-29,304,304,299,301,321010,0.0
2011-06-30,302,302,300,302,325044,0.0033222591362125353
2011-07-01,302,304,300,302,352551,0.0
2011-07-04,302,308,302,306,707810,0.013245033112582849
2011-07-05,306,310,305,309,492941,0.009803921568627416
2011-07-06,309,313,306,311,398635,0.006472491909385036
2011-07-07,310,313,309,313,235378,0.006430868167202508
2011-07-08,314,317,310,311,571270,-0.006389776357827448
2011-07-11,309,312,305,308,635382,-0.009646302250803873
2011-07-12,306,306,300,304,640459,-0.012987012987012991
2011-07-13,303,308,301,308,653314,0.013157894736842035
2011-07-14,304,307,303,305,377287,-0.009740259740259716
2011-07-15,305,309,302,306,814322,0.003278688524590123
2011-07-18,308,312,303,305,1246303,-0.0032679738562091387
2011-07-19,304,308,304,305,483335,0.0
2011-07-20,307,307,304,305,725412,0.0
2011-07-21,306,311,305,310,916855,0.016393442622950838
2011-07-22,313,325,308,320,2256650,0.032258064516129004
2011-07-25,320,323,316,323,834170,0.009374999999999911
2011-07-26,320,325,317,319,528222,-0.012383900928792602
2011-07-27,319,327,317,324,1570306,0.01567398119122254
2011-07-28,320,322,315,315,978867,-0.02777777777777779
2011-07-29,317,320,311,313,527780,-0.006349206349206327
2011-08-01,312,318,311,316,923624,0.009584664536741228
2011-08-02,316,316,305,308,1084631,-0.025316455696202556
2011-08-03,304,306,299,301,1647784,-0.022727272727272707
2011-08-04,301,304,299,301,842689,0.0
2011-08-05,290,292,277,288,1179131,-0.04318936877076407
2011-08-08,275,286,250,282,1306731,-0.02083333333333337
2011-08-09,259,275,245,269,1543920,-0.046099290780141855
2011-08-10,271,288,270,274,1030749,0.018587360594795488
2011-08-11,259,279,251,279,668475,0.018248175182481674
2011-08-12,286,290,280,285,704470,0.021505376344086002
2011-08-16,292,299,288,296,826169,0.03859649122807007
2011-08-17,292,298,290,294,494724,-0.006756756756756799
2011-08-18,296,305,289,291,1030832,-0.010204081632653073
2011-08-19,280,280,265,271,1257627,-0.06872852233676974
2011-08-22,269,277,268,275,302276,0.014760147601476037
2011-08-23,278,283,275,282,675660,0.025454545454545396
2011-08-24,285,293,283,291,1099342,0.03191489361702127
2011-08-25,294,302,288,301,1128722,0.03436426116838498
2011-08-26,298,307,295,304,1039450,0.009966777408637828
2011-08-29,304,316,297,316,1368491,0.03947368421052633
2011-08-30,319,321,310,315,1481660,-0.0031645569620253333
2011-08-31,313,318,304,311,630182,-0.012698412698412653
2011-09-01,310,318,306,315,751903,0.012861736334405238
2011-09-02,315,317,305,305,713737,-0.031746031746031744
2011-09-05,302,302,295,296,442223,-0.02950819672131144
2011-09-06,297,297,286,293,399670,-0.010135135135135087
2011-09-07,295,300,294,298,272120,0.017064846416382284
2011-09-08,304,314,298,307,657630,0.030201342281879207
2011-09-09,306,306,298,303,421571,-0.013029315960912058
2011-09-14,300,302,288,291,521126,-0.03960396039603964
2011-09-15,293,295,287,289,575386,-0.0068728522336769515
2011-09-16,290,292,286,291,453193,0.006920415224913601
2011-09-19,291,293,286,287,334180,-0.013745704467353903
2011-09-20,285,296,284,293,369086,0.020905923344947785
2011-09-21,291,298,291,297,325379,0.013651877133105783
2011-09-22,293,295,288,288,208261,-0.030303030303030276
2011-09-23,269,286,269,272,581769,-0.05555555555555558
2011-09-26,273,286,257,262,711249,-0.03676470588235292
2011-09-27,265,276,265,274,156725,0.04580152671755733
2011-09-28,280,284,269,274,226379,0.0
2011-09-29,265,282,265,280,221520,0.021897810218978186
2011-09-30,289,289,273,281,382873,0.0035714285714285587
2011-10-04,274,274,239,271,781362,-0.03558718861209964
2011-10-05,272,276,263,268,294031,-0.011070110701106972
2011-10-06,268,274,268,272,198190,0.014925373134328401
2011-10-07,272,276,270,276,278451,0.014705882352941124
2011-10-10,276,278,273,278,476315,0.007246376811594235
2011-10-11,281,282,276,276,456617,-0.007194244604316502
2011-10-12,276,279,273,275,287965,-0.0036231884057971175
2011-10-13,277,282,275,281,768903,0.021818181818181737
2011-10-14,281,282,276,280,568412,-0.003558718861209953
2011-10-17,280,285,279,284,684649,0.014285714285714235
2011-10-18,279,282,276,280,354450,-0.014084507042253502
2011-10-19,282,284,277,282,557123,0.0071428571428571175
2011-10-20,282,282,276,276,534829,-0.021276595744680882
2011-10-21,277,281,276,278,206034,0.007246376811594235
2011-10-24,280,283,278,281,260629,0.010791366906474753
2011-10-25,283,284,275,278,768307,-0.010676156583629859
