Date,Open,High,Low,Close,Volume,Change
2011-01-03,4700,4740,4590,4665,45660,0.003225806451612856
2011-01-04,4700,4720,4660,4690,11472,0.005359056806002238
2011-01-05,4690,4750,4555,4690,13678,0.0
2011-01-06,4690,4695,4570,4575,21890,-0.024520255863539453
2011-01-07,4550,4605,4520,4540,19387,-0.007650273224043769
2011-01-10,4545,4655,4530,4655,20372,0.025330396475770955
2011-01-11,4655,4670,4560,4640,15859,-0.0032223415682062218
2011-01-12,4630,4650,4600,4635,17541,-0.0010775862068965747
2011-01-13,4635,4720,4635,4670,37181,0.007551240560949246
2011-01-14,4680,4990,4680,4920,73824,0.05353319057815842
2011-01-17,4965,5050,4840,4840,29861,-0.016260162601625994
2011-01-18,4840,4855,4595,4690,31657,-0.030991735537190035
2011-01-19,4690,4720,4540,4595,15310,-0.02025586353944564
2011-01-20,4595,4595,4520,4550,9942,-0.009793253536452662
2011-01-21,4580,4580,4430,4430,9494,-0.02637362637362639
2011-01-24,4490,4490,4325,4425,10421,-0.0011286681715575453
2011-01-25,4350,4465,4350,4420,9120,-0.001129943502824804
2011-01-26,4580,4580,4275,4330,25301,-0.020361990950226283
2011-01-27,4330,4360,4290,4310,8095,-0.004618937644341847
2011-01-28,4270,4370,4270,4350,5160,0.009280742459396807
2011-01-31,4155,4350,4155,4260,10330,-0.020689655172413834
2011-02-01,4155,4440,4155,4295,4605,0.008215962441314506
2011-02-07,4290,4400,4255,4255,10247,-0.0093131548311991
2011-02-08,4255,4315,4205,4290,11567,0.008225616921269108
2011-02-09,4290,4290,4190,4220,9470,-0.01631701631701632
2011-02-10,4100,4230,4100,4230,7869,0.0023696682464455776
2011-02-11,4350,4350,4145,4145,7760,-0.02009456264775411
2011-02-14,4080,4230,4020,4020,14128,-0.030156815440289475
2011-02-15,4040,4115,4025,4065,3660,0.011194029850746245
2011-02-16,4065,4175,4000,4130,9150,0.01599015990159902
2011-02-17,4120,4195,4000,4130,10601,0.0
2011-02-18,4110,4145,4100,4140,5273,0.002421307506053294
2011-02-21,4105,4150,4080,4140,4900,0.0
2011-02-22,4130,4130,3910,4025,13174,-0.02777777777777779
2011-02-23,4025,4025,3900,4025,10260,0.0
2011-02-24,4025,4050,3975,4050,5870,0.006211180124223503
2011-02-25,4080,4080,3900,3985,6061,-0.016049382716049387
2011-02-28,3920,3980,3820,3875,4840,-0.027603513174404015
2011-03-02,3800,3860,3800,3840,5094,-0.00903225806451613
2011-03-03,3980,3980,3770,3900,10480,0.015625
2011-03-04,3930,4040,3810,3935,4290,0.008974358974358942
2011-03-07,3860,3990,3740,3805,10460,-0.03303684879288438
2011-03-08,3815,3880,3750,3815,4450,0.0026281208935610145
2011-03-09,3825,3900,3810,3820,4390,0.001310615989515096
2011-03-10,3760,3860,3735,3780,8527,-0.010471204188481686
2011-03-11,3700,3825,3680,3780,5540,0.0
2011-03-14,3800,3875,3680,3770,17771,-0.002645502645502673
2011-03-15,3800,3980,3600,3630,21007,-0.037135278514588865
2011-03-16,3650,3855,3525,3650,10970,0.005509641873278293
2011-03-17,3660,3660,3490,3570,21740,-0.021917808219178103
2011-03-18,3605,3680,3530,3680,5390,0.03081232492997188
2011-03-21,3660,3810,3660,3760,16583,0.021739130434782705
2011-03-22,3800,3840,3705,3760,2431,0.0
2011-03-23,3680,3785,3625,3675,5144,-0.022606382978723416
2011-03-24,3675,3745,3610,3615,14560,-0.01632653061224487
2011-03-25,3670,3670,3560,3615,15210,0.0
2011-03-28,3615,3615,3515,3580,14644,-0.009681881051175623
2011-03-29,3535,3590,3500,3560,19505,-0.005586592178770999
2011-03-30,3560,3650,3560,3570,15683,0.002808988764045006
2011-03-31,3620,3620,3545,3595,6140,0.007002801120448154
2011-04-01,3610,3620,3545,3605,5710,0.0027816411682892728
2011-04-04,3640,3690,3600,3670,11720,0.018030513176144236
2011-04-05,3670,3740,3615,3710,8252,0.01089918256130784
2011-04-06,3675,3840,3645,3775,16886,0.017520215633423097
2011-04-07,3800,3845,3700,3755,25290,-0.005298013245033095
2011-04-08,3755,3880,3720,3865,15190,0.02929427430093212
2011-04-11,3950,4075,3870,3955,23578,0.023285899094437346
2011-04-12,3900,4030,3830,3840,20634,-0.029077117572692823
2011-04-13,3800,3850,3790,3825,14786,-0.00390625
2011-04-14,3840,3950,3830,3890,12567,0.01699346405228752
2011-04-15,3915,4100,3875,4060,32667,0.04370179948586128
2011-04-18,4080,4200,4020,4130,28660,0.01724137931034475
2011-04-19,4020,4070,3935,3980,30600,-0.03631961259079908
2011-04-20,4010,4170,3955,4150,25320,0.04271356783919589
2011-04-21,4170,4235,4015,4025,29013,-0.030120481927710885
2011-04-22,4030,4035,3920,4020,14871,-0.001242236024844745
2011-04-25,4030,4140,4000,4130,19489,0.027363184079602032
2011-04-26,4160,4170,4070,4120,27900,-0.002421307506053294
2011-04-27,4120,4150,3985,3985,27500,-0.03276699029126218
2011-04-28,3975,4025,3880,3965,11903,-0.005018820577164407
2011-04-29,4000,4000,3750,3870,25890,-0.023959646910466592
2011-05-02,3895,3970,3840,3860,12882,-0.0025839793281653423
2011-05-03,3820,3885,3710,3710,19491,-0.03886010362694303
2011-05-04,3715,3715,3605,3645,24875,-0.01752021563342321
2011-05-06,3660,3665,3590,3600,12705,-0.012345679012345734
2011-05-09,3700,3700,3605,3655,7550,0.015277777777777724
2011-05-11,3680,3785,3615,3660,9281,0.001367989056087593
2011-05-12,3660,3705,3640,3685,8970,0.006830601092896238
2011-05-13,3690,3780,3630,3780,13351,0.02578018995929443
2011-05-16,3745,3840,3745,3770,12332,-0.002645502645502673
2011-05-17,3770,3780,3630,3635,15940,-0.035809018567639295
2011-05-18,3670,3750,3645,3650,9307,0.004126547455295837
2011-05-19,3660,3800,3600,3740,17960,0.024657534246575352
2011-05-20,3655,3770,3635,3695,12283,-0.012032085561497374
2011-05-23,3690,3690,3560,3560,11330,-0.03653585926928282
2011-05-24,3600,3600,3530,3550,8914,-0.002808988764044895
2011-05-25,3550,3630,3500,3505,8140,-0.012676056338028152
2011-05-26,3530,3700,3510,3700,3810,0.05563480741797422
2011-05-27,3750,3750,3600,3685,4108,-0.004054054054054013
2011-05-30,3680,3690,3515,3605,4790,-0.02170963364993217
2011-05-31,3600,3655,3565,3640,7960,0.009708737864077666
2011-06-01,3665,3670,3515,3645,4640,0.0013736263736263687
2011-06-02,3645,3650,3600,3650,3470,0.00137174211248281
2011-06-03,3610,3690,3600,3650,11730,0.0
2011-06-07,3695,3695,3555,3620,3330,-0.008219178082191747
2011-06-08,3620,3635,3530,3610,3940,-0.002762430939226568
2011-06-09,3610,3625,3575,3625,3060,0.0041551246537396835
2011-06-10,3630,3670,3610,3650,4140,0.006896551724137945
2011-06-13,3645,3695,3590,3690,6835,0.010958904109588996
2011-06-14,3660,3675,3600,3605,6247,-0.023035230352303482
2011-06-15,3640,3640,3585,3615,4250,0.00277392510402219
2011-06-16,3615,3640,3560,3580,3432,-0.009681881051175623
2011-06-17,3575,3650,3550,3650,3600,0.019553072625698276
2011-06-20,3605,3890,3605,3830,53050,0.049315068493150704
2011-06-21,3850,3890,3785,3860,35465,0.007832898172323688
2011-06-22,3890,3900,3805,3870,17692,0.002590673575129543
2011-06-23,3820,3920,3765,3860,6970,-0.0025839793281653423
2011-06-24,3880,3880,3780,3800,3610,-0.015544041450777257
2011-06-27,3800,3800,3655,3655,25622,-0.03815789473684206
