Date,Open,High,Low,Close,Volume,Change
2019-12-04,2100,2100,2000,2010,657977,
2019-12-05,2010,2025,2005,2010,337797,0.0
2019-12-06,2010,2015,2000,2000,59560,-0.00497512437810943
2019-12-09,2005,2010,2005,2010,3915,0.004999999999999893
2019-12-10,2005,2015,2005,2010,16822,0.0
2019-12-11,2005,2015,2005,2015,47237,0.0024875621890547706
2019-12-12,2015,2020,2010,2020,32211,0.002481389578163684
2019-12-13,2005,2020,2000,2015,13918,-0.0024752475247524774
2019-12-16,2015,2015,2005,2015,224,0.0
2019-12-17,2015,2020,2000,2015,36447,0.0
2019-12-18,2010,2010,2005,2010,2419,-0.002481389578163795
2019-12-19,2005,2010,2005,2010,13,0.0
2019-12-20,2010,2010,2010,2010,18578,0.0
2019-12-23,2010,2010,2010,2010,20,0.0
2019-12-24,2005,2010,2005,2010,1141,0.0
2019-12-26,2005,2010,2000,2010,1002,0.0
2019-12-27,2015,2015,2005,2015,512,0.0024875621890547706
2019-12-30,2015,2020,2015,2020,45520,0.002481389578163684
2020-01-02,2020,2020,2005,2020,1012,0.0
2020-01-03,2005,2020,2005,2020,4619,0.0
2020-01-06,2020,2020,2020,2020,20,0.0
2020-01-07,2005,2020,2005,2020,151,0.0
2020-01-08,2010,2020,2010,2020,232,0.0
2020-01-09,2005,2035,2005,2020,23542,0.0
2020-01-10,2020,2020,2015,2020,6820,0.0
2020-01-13,2005,2015,2000,2015,37841,-0.0024752475247524774
2020-01-14,2015,2015,2010,2015,16801,0.0
2020-01-15,2010,2015,2005,2005,82,-0.00496277915632759
2020-01-16,2010,2010,2005,2005,4315,0.0
2020-01-17,2010,2010,2000,2010,13286,0.0024937655860348684
2020-01-20,2010,2010,2005,2010,10152,0.0
2020-01-21,2005,2010,2005,2010,32399,0.0
2020-01-22,2005,2010,2005,2010,5412,0.0
2020-01-23,2015,2015,2005,2010,252,0.0
2020-01-28,2010,2010,2005,2010,911,0.0
2020-01-29,2010,2010,2005,2010,15061,0.0
2020-01-30,2010,2010,2010,2010,0,0.0
2020-01-31,2010,2010,2005,2010,21,0.0
2020-02-03,2010,2010,2010,2010,1,0.0
2020-02-04,2005,2010,2005,2010,1512,0.0
2020-02-05,2005,2010,2005,2010,20635,0.0
2020-02-06,2005,2010,2005,2010,6111,0.0
2020-02-07,2010,2010,2010,2010,0,0.0
2020-02-10,2010,2010,2005,2010,5951,0.0
2020-02-11,2010,2010,2010,2010,0,0.0
2020-02-12,2010,2010,2005,2010,22454,0.0
2020-02-13,2010,2010,2010,2010,3416,0.0
2020-02-14,2010,2010,2005,2010,89640,0.0
2020-02-17,2015,2025,2010,2025,42843,0.00746268656716409
2020-02-18,2025,2025,2025,2025,0,0.0
2020-02-19,2020,2025,2020,2020,5106,-0.0024691358024691024
2020-02-20,2020,2020,2015,2020,5721,0.0
2020-02-21,2010,2020,2010,2020,43710,0.0
2020-02-24,2020,2020,2020,2020,5100,0.0
2020-02-25,2005,2020,2005,2020,18398,0.0
2020-02-26,2010,2020,2010,2020,12236,0.0
2020-02-27,2010,2025,2010,2025,18233,0.0024752475247524774
2020-02-28,2005,2040,2005,2005,46962,-0.00987654320987652
2020-03-02,2005,2035,2005,2005,14674,0.0
2020-03-03,2010,2035,2000,2030,23085,0.012468827930174564
2020-03-04,2030,2030,2030,2030,0,0.0
2020-03-05,2005,2030,2005,2030,33,0.0
2020-03-06,2030,2030,2030,2030,2,0.0
2020-03-09,2015,2045,2010,2035,10227,0.0024630541871921707
2020-03-10,2035,2035,2035,2035,0,0.0
2020-03-11,2045,2045,2010,2035,31,0.0
2020-03-12,2005,2045,2005,2040,1290,0.002457002457002533
