Date,Open,High,Low,Close,Volume,Change
2011-01-03,104200,106800,87300,106000,168649,0.033138401559454245
2011-01-04,106600,115000,105900,114700,302684,0.08207547169811313
2011-01-05,113600,116500,111400,116400,124938,0.01482127288578905
2011-01-06,116500,117300,114000,115300,82157,-0.009450171821305808
2011-01-07,115200,115600,112200,112500,78023,-0.024284475281873386
2011-01-10,112600,115000,110300,111600,89989,-0.008000000000000007
2011-01-11,111600,112600,110000,112600,60315,0.008960573476702427
2011-01-12,111700,112900,111300,111800,58696,-0.007104795737122527
2011-01-13,111800,114700,110900,112600,73156,0.007155635062611854
2011-01-14,113300,113300,111200,112200,36709,-0.003552397868561319
2011-01-17,112200,112700,108100,109500,76010,-0.024064171122994638
2011-01-18,110200,111500,108400,109900,52375,0.0036529680365295913
2011-01-19,110300,110600,107000,107600,124790,-0.020928116469517755
2011-01-20,109800,112400,109500,112200,196356,0.04275092936802971
2011-01-21,113100,118900,111300,117400,252680,0.04634581105169344
2011-01-24,118600,118900,113300,114600,132781,-0.023850085178875657
2011-01-25,115100,116500,112600,115000,100046,0.003490401396160525
2011-01-26,116900,118900,112800,114000,144154,-0.008695652173912993
2011-01-27,113300,114500,112300,113100,83215,-0.007894736842105288
2011-01-28,113600,114900,111800,113200,83473,0.0008841732979663064
2011-01-31,112000,112200,108100,108700,90830,-0.039752650176678395
2011-02-01,109100,109500,105000,105000,112393,-0.03403863845446187
2011-02-07,105900,108100,105100,105100,67396,0.0009523809523810378
2011-02-08,106000,106600,103000,104000,62689,-0.010466222645099887
2011-02-09,103100,104900,101700,104500,55222,0.004807692307692291
2011-02-10,104400,104800,102900,104200,43692,-0.002870813397129135
2011-02-11,105400,105400,103100,104200,37104,0.0
2011-02-14,105200,106600,102900,106600,75308,0.02303262955854124
2011-02-15,106700,107000,102700,103700,63099,-0.027204502814258902
2011-02-16,103000,104500,99700,101700,130391,-0.01928640308582452
2011-02-17,102300,102300,99300,101900,100674,0.001966568338249708
2011-02-18,101900,103000,100500,103000,63920,0.01079489695780178
2011-02-21,105500,106400,104000,105500,111773,0.024271844660194164
2011-02-22,105000,105300,102100,103000,72277,-0.023696682464455
2011-02-23,101300,104300,101300,103700,46404,0.006796116504854455
2011-02-24,102700,103900,101300,102700,27700,-0.009643201542912205
2011-02-25,105600,105600,103400,104800,61986,0.020447906523855863
2011-02-28,103700,105300,103600,103700,64711,-0.010496183206106902
2011-03-02,103000,106500,102800,106300,65677,0.025072324011571778
2011-03-03,107800,111400,107000,111100,84740,0.04515522107243641
2011-03-04,112000,114000,109800,113500,86949,0.021602160216021682
2011-03-07,113000,114200,112800,113400,31426,-0.0008810572687224516
2011-03-08,113300,114200,111300,113400,48816,0.0
2011-03-09,112100,114900,112000,114900,69435,0.013227513227513255
2011-03-10,114000,115300,112300,115000,59151,0.0008703220191470518
2011-03-11,113500,113900,111600,113700,53942,-0.011304347826086913
2011-03-14,113700,119700,112600,116200,183764,0.021987686895338587
2011-03-15,117500,119400,111000,114800,167357,-0.012048192771084376
2011-03-16,116200,116800,112700,112900,55238,-0.016550522648083654
2011-03-17,111000,114300,111000,114000,82234,0.009743135518157642
2011-03-18,114500,114500,112400,113900,64278,-0.0008771929824561431
2011-03-21,113500,114400,111700,114400,115757,0.004389815627743543
2011-03-22,117300,129400,117300,126200,438726,0.10314685314685312
2011-03-23,128600,132600,124500,127500,310883,0.010301109350237647
2011-03-24,127100,130000,125700,130000,134895,0.019607843137254832
2011-03-25,130100,131500,127900,130000,94888,0.0
2011-03-28,129000,130400,126200,127800,94933,-0.01692307692307693
2011-03-29,128000,130200,126000,128400,125962,0.0046948356807512415
2011-03-30,130000,139500,130000,134600,296479,0.04828660436137078
2011-03-31,135000,138800,132400,134200,114112,-0.002971768202080227
2011-04-01,134300,136600,133000,133000,106198,-0.008941877794336861
2011-04-04,133800,134000,131800,131800,58725,-0.009022556390977488
2011-04-05,132000,134400,131100,133700,57379,0.014415781487101764
2011-04-06,136400,138700,136000,136000,142665,0.01720269259536278
2011-04-07,138300,138400,135700,137200,75494,0.008823529411764675
2011-04-08,137500,138100,135500,135600,47434,-0.011661807580174877
2011-04-11,134600,135900,132300,135600,66698,0.0
2011-04-12,137000,138700,134000,135000,59582,-0.004424778761061954
2011-04-13,135000,137000,133900,135000,73497,0.0
2011-04-14,135500,138500,135000,136000,59870,0.007407407407407307
2011-04-15,137500,141000,136400,141000,115102,0.03676470588235303
2011-04-18,143400,143400,138600,138700,87605,-0.01631205673758862
2011-04-19,136800,138000,132400,132500,126127,-0.044700793078586876
2011-04-20,134100,136500,133200,136200,74820,0.027924528301886742
2011-04-21,138800,151000,137500,141100,324944,0.03597650513950068
2011-04-22,144500,146600,140200,140800,136028,-0.002126151665485465
2011-04-25,143000,147100,141400,146000,96020,0.03693181818181812
2011-04-26,147500,147500,142200,142300,85028,-0.025342465753424692
2011-04-27,144000,146700,138300,139800,84833,-0.017568517217146917
2011-04-28,141000,143000,140400,142000,77393,0.01573676680972813
2011-04-29,142100,142200,132800,133200,131895,-0.06197183098591552
2011-05-02,131800,134500,130000,131700,97868,-0.011261261261261257
2011-05-03,132300,133000,126500,129100,93857,-0.019741837509491322
2011-05-04,129200,130200,127600,128500,45234,-0.004647560030983766
2011-05-06,127300,128900,124600,128000,44385,-0.0038910505836575737
2011-05-09,128500,130500,127800,130400,31555,0.018750000000000044
2011-05-11,131400,131500,129200,130500,21856,0.0007668711656441118
2011-05-12,128000,132000,127500,131000,31299,0.003831417624521105
2011-05-13,130100,131200,126400,129100,48613,-0.01450381679389312
2011-05-16,129000,132800,128100,131900,39439,0.021688613477924168
2011-05-17,132900,132900,130500,132000,24860,0.0007581501137225999
2011-05-18,131500,135900,131100,134300,51865,0.017424242424242342
2011-05-19,135000,135300,128400,128700,65287,-0.04169769173492177
2011-05-20,128000,128700,121500,124800,99795,-0.030303030303030276
2011-05-23,123700,124300,119900,119900,34785,-0.039262820512820484
2011-05-24,120000,124800,119000,124800,47709,0.0408673894912428
2011-05-25,124700,124800,119800,120500,60045,-0.034455128205128194
2011-05-26,120900,125000,120900,124200,38798,0.03070539419087126
2011-05-27,124400,128000,123000,127900,35069,0.029790660225442744
