Date,Open,High,Low,Close,Volume,Change
2011-01-03,1005,1095,973,1070,625933,0.07000000000000006
2011-01-04,1090,1145,1015,1055,450810,-0.014018691588784993
2011-01-05,1040,1090,990,1015,259946,-0.03791469194312791
2011-01-06,998,1025,980,985,151546,-0.029556650246305383
2011-01-07,975,996,943,945,143073,-0.040609137055837574
2011-01-10,940,994,935,983,83355,0.04021164021164014
2011-01-11,963,1130,957,1130,440516,0.14954221770091558
2011-01-12,1140,1215,1050,1100,561298,-0.026548672566371723
2011-01-13,1100,1265,1060,1265,825419,0.1499999999999999
2011-01-14,1385,1450,1190,1340,2173239,0.059288537549407216
2011-01-17,1300,1425,1270,1340,621945,0.0
2011-01-18,1380,1380,1270,1295,291819,-0.03358208955223885
2011-01-19,1235,1295,1200,1250,381415,-0.03474903474903479
2011-01-20,1220,1275,1175,1210,198432,-0.03200000000000003
2011-01-21,1245,1370,1210,1310,560068,0.0826446280991735
2011-01-24,1300,1490,1285,1320,269044,0.007633587786259444
2011-01-25,1340,1350,1210,1275,207758,-0.03409090909090906
2011-01-26,1290,1345,1250,1290,117892,0.0117647058823529
2011-01-27,1280,1335,1255,1300,117768,0.007751937984496138
2011-01-28,1295,1390,1280,1320,212273,0.01538461538461533
2011-01-31,1350,1385,1265,1290,235219,-0.022727272727272707
2011-02-01,1290,1345,1290,1330,73759,0.03100775193798455
2011-02-07,1380,1485,1340,1350,234108,0.015037593984962516
2011-02-08,1340,1420,1330,1350,173504,0.0
2011-02-09,1370,1370,1270,1350,78057,0.0
2011-02-10,1350,1350,1295,1315,50253,-0.025925925925925908
2011-02-11,1280,1325,1275,1300,101705,-0.011406844106463865
2011-02-14,1300,1360,1295,1340,296186,0.03076923076923066
2011-02-15,1355,1360,1305,1310,127061,-0.02238805970149249
2011-02-16,1310,1310,1270,1295,78082,-0.011450381679389277
2011-02-17,1290,1300,1200,1220,290665,-0.05791505791505791
2011-02-18,1220,1220,1040,1150,511254,-0.05737704918032782
2011-02-21,1180,1245,1155,1200,176096,0.04347826086956519
2011-02-22,1200,1200,1145,1185,93507,-0.012499999999999956
2011-02-23,1180,1185,1140,1155,99615,-0.025316455696202556
2011-02-24,1115,1190,1115,1190,36592,0.030303030303030276
2011-02-25,1195,1240,1175,1195,93491,0.004201680672268893
2011-02-28,1195,1310,1195,1270,394849,0.06276150627615062
2011-03-02,1320,1355,1280,1345,317883,0.059055118110236116
2011-03-03,1330,1375,1330,1370,278653,0.018587360594795488
2011-03-04,1380,1420,1355,1400,316430,0.021897810218978186
2011-03-07,1380,1440,1365,1380,124114,-0.014285714285714235
2011-03-08,1420,1420,1365,1420,138072,0.02898550724637672
2011-03-09,1430,1430,1375,1420,150677,0.0
2011-03-10,1400,1440,1370,1440,146915,0.014084507042253502
2011-03-11,1440,1440,1375,1435,90427,-0.00347222222222221
2011-03-14,1380,1390,1265,1350,325316,-0.059233449477351874
2011-03-15,1350,1400,1270,1350,109536,0.0
2011-03-16,1355,1355,1320,1335,33448,-0.011111111111111072
2011-03-17,1330,1340,1290,1335,49600,0.0
2011-03-18,1345,1430,1300,1430,125243,0.07116104868913853
2011-03-21,1430,1485,1405,1450,48830,0.013986013986013957
2011-03-22,1450,1460,1410,1455,38390,0.0034482758620688614
2011-03-23,1470,1480,1400,1470,67396,0.010309278350515427
2011-03-24,1470,1470,1405,1405,84331,-0.04421768707482998
2011-03-25,1490,1490,1405,1440,19220,0.02491103202846978
2011-03-28,1420,1440,1395,1415,53497,-0.01736111111111116
2011-03-29,1415,1430,1365,1420,40691,0.0035335689045936647
2011-03-30,1390,1430,1305,1415,137630,-0.0035211267605633756
2011-03-31,1415,1415,1345,1405,31366,-0.007067137809187329
2011-04-01,1410,1430,1260,1430,93878,0.017793594306049876
2011-04-04,1450,1475,1390,1420,50833,-0.006993006993006978
2011-04-05,1400,1425,1300,1400,96351,-0.014084507042253502
2011-04-06,1400,1400,1290,1310,148187,-0.06428571428571428
2011-04-07,1310,1390,1310,1355,79784,0.03435114503816794
2011-04-08,1340,1380,1320,1370,51865,0.011070110701107083
2011-04-11,1350,1415,1350,1390,40594,0.014598540145985384
2011-04-12,1390,1395,1330,1375,28872,-0.010791366906474864
2011-04-13,1375,1375,1330,1360,31096,-0.010909090909090868
2011-04-14,1330,1350,1300,1335,68951,-0.018382352941176516
2011-04-15,1335,1340,1235,1290,128681,-0.0337078651685393
2011-04-18,1320,1325,1200,1270,63341,-0.015503875968992276
2011-04-19,1265,1265,1195,1210,54651,-0.047244094488189003
2011-04-20,1225,1300,1225,1270,63602,0.04958677685950419
2011-04-21,1295,1295,1160,1240,97394,-0.023622047244094446
2011-04-22,1240,1240,1140,1160,101076,-0.06451612903225812
2011-04-25,1160,1235,1115,1140,108250,-0.017241379310344862
2011-04-26,1140,1140,1040,1100,80727,-0.03508771929824561
2011-04-27,1075,1135,974,1010,201950,-0.08181818181818179
2011-04-28,1010,1155,1010,1145,179824,0.13366336633663356
2011-04-29,1100,1200,1025,1085,128576,-0.05240174672489084
2011-05-02,1100,1185,1040,1100,96329,0.01382488479262678
2011-05-03,1150,1150,1065,1100,21707,0.0
2011-05-04,1120,1120,1025,1050,22092,-0.045454545454545414
2011-05-06,1025,1050,980,980,76755,-0.06666666666666665
2011-05-09,980,1020,970,988,24537,0.008163265306122547
2011-05-11,1020,1035,986,1025,22313,0.037449392712550544
2011-05-12,1020,1020,990,1015,11506,-0.009756097560975618
2011-05-13,1020,1020,985,1015,7959,0.0
2011-05-16,1015,1015,980,995,23752,-0.019704433497536922
2011-05-17,1000,1000,980,985,8534,-0.01005025125628145
2011-05-18,994,1010,940,950,23166,-0.035532994923857864
2011-05-19,968,968,920,940,43767,-0.010526315789473717
2011-05-20,949,980,905,938,21258,-0.0021276595744680327
2011-05-23,947,949,910,940,12195,0.002132196162046851
2011-05-24,940,940,899,930,44776,-0.010638297872340385
2011-05-25,906,950,902,930,26806,0.0
2011-05-26,950,1065,918,1005,97795,0.08064516129032251
2011-05-27,1045,1060,900,1010,106555,0.004975124378109541
2011-05-30,1015,1040,930,990,25564,-0.01980198019801982
2011-05-31,1000,1025,970,988,10909,-0.002020202020202033
2011-06-01,999,1010,941,999,21050,0.011133603238866474
2011-06-02,961,1000,961,998,8036,-0.0010010010010009784
2011-06-03,1000,1000,933,933,36704,-0.0651302605210421
2011-06-07,932,1065,794,916,48214,-0.018220793140407254
2011-06-08,882,955,800,935,64433,0.020742358078602585
2011-06-09,935,981,888,969,27153,0.036363636363636376
2011-06-10,970,1005,920,986,13101,0.01754385964912286
2011-06-13,986,986,935,978,5315,-0.008113590263691739
2011-06-14,928,953,898,934,57028,-0.04498977505112478
2011-06-15,949,949,900,918,46335,-0.017130620985010725
2011-06-16,910,925,881,914,18250,-0.004357298474945481
2011-06-17,901,918,901,907,3110,-0.007658643326039383
2011-06-20,920,920,901,913,3273,0.006615214994487362
2011-06-21,902,919,872,872,20315,-0.04490690032858713
2011-06-22,879,902,870,884,45298,0.013761467889908285
2011-06-23,890,904,880,890,5866,0.006787330316742057
2011-06-24,897,897,875,893,4267,0.003370786516853963
2011-06-27,875,892,860,871,10946,-0.024636058230683044
2011-06-28,897,900,876,889,9743,0.02066590126291623
2011-06-29,899,902,890,900,6874,0.012373453318335281
2011-06-30,909,1010,908,1005,21204,0.1166666666666667
2011-07-01,1145,1145,945,1030,49089,0.02487562189054726
2011-07-04,1030,1050,981,1045,16378,0.014563106796116498
2011-07-05,997,1085,997,1080,68815,0.03349282296650724
2011-07-06,1045,1200,1045,1115,66746,0.03240740740740744
2011-07-07,1180,1180,1035,1085,96343,-0.026905829596412523
2011-07-08,1050,1125,1025,1055,13852,-0.027649769585253448
2011-07-11,1020,1065,1010,1030,32251,-0.023696682464455
2011-07-12,1030,1030,967,989,37765,-0.03980582524271847
2011-07-13,965,999,965,998,28157,0.009100101112234471
2011-07-14,996,1030,970,1025,67517,0.027054108216432837
2011-07-15,1035,1050,1000,1050,59826,0.024390243902439046
2011-07-18,1045,1070,1005,1030,80099,-0.01904761904761909
2011-07-19,1035,1035,1000,1030,134978,0.0
2011-07-20,1055,1055,1000,1045,140990,0.014563106796116498
2011-07-21,1040,1090,1005,1090,91794,0.04306220095693769
2011-07-22,1110,1250,1080,1250,467465,0.14678899082568808
2011-07-25,1300,1335,1220,1280,313887,0.02400000000000002
2011-07-26,1245,1275,1210,1270,85270,-0.0078125
2011-07-27,1250,1320,1245,1295,109389,0.019685039370078705
2011-07-28,1260,1305,1215,1240,60939,-0.0424710424710425
2011-07-29,1220,1255,1155,1255,147259,0.012096774193548487
2011-08-01,1280,1290,1215,1280,70974,0.019920318725099584
2011-08-02,1280,1360,1250,1305,169417,0.01953125
2011-08-03,1300,1395,1280,1310,286751,0.003831417624521105
2011-08-04,1355,1460,1315,1345,408474,0.026717557251908497
2011-08-05,1185,1380,1185,1320,106169,-0.018587360594795488
2011-08-08,1330,1335,1200,1240,116353,-0.06060606060606055
2011-08-09,1235,1245,1055,1200,158110,-0.032258064516129004
2011-08-10,1155,1300,1155,1200,72243,0.0
2011-08-11,1155,1250,1070,1250,122267,0.04166666666666674
2011-08-12,1285,1380,1210,1265,115026,0.01200000000000001
2011-08-16,1315,1315,1240,1250,44215,-0.011857707509881465
2011-08-17,1210,1290,1130,1230,93756,-0.016000000000000014
2011-08-18,1230,1255,1140,1200,96394,-0.024390243902439046
2011-08-19,1180,1210,1120,1125,22148,-0.0625
2011-08-22,1130,1170,1125,1135,9698,0.008888888888888946
2011-08-23,1165,1165,1065,1115,97906,-0.017621145374449365
2011-08-24,1150,1150,1040,1040,47997,-0.06726457399103136
2011-08-25,1095,1150,1045,1050,27801,0.009615384615384581
2011-08-26,1050,1100,1030,1030,18379,-0.01904761904761909
2011-08-29,1050,1075,998,1050,86848,0.01941747572815533
2011-08-30,1065,1130,1000,1130,119856,0.07619047619047614
2011-08-31,1145,1145,1065,1100,88634,-0.026548672566371723
2011-09-01,1130,1140,1000,1095,53243,-0.004545454545454519
2011-09-02,1085,1090,1050,1090,10713,-0.004566210045662156
2011-09-05,1050,1085,1030,1030,10007,-0.05504587155963303
2011-09-06,1065,1095,980,993,107319,-0.03592233009708734
2011-09-07,1000,1050,977,990,23276,-0.0030211480362537513
2011-09-08,995,995,944,944,54451,-0.04646464646464643
2011-09-09,922,978,903,941,128118,-0.0031779661016949623
2011-09-14,907,965,869,899,81888,-0.04463336875664192
2011-09-15,899,949,885,911,28504,0.013348164627363657
2011-09-16,901,926,870,890,36891,-0.023051591657519244
2011-09-19,863,909,796,848,176855,-0.04719101123595504
2011-09-20,845,877,820,877,57087,0.034198113207547065
2011-09-21,876,900,826,900,139358,0.026225769669327326
2011-09-22,860,889,827,838,60256,-0.06888888888888889
2011-09-23,838,900,820,889,92476,0.06085918854415273
2011-09-26,889,903,833,875,63377,-0.015748031496062964
2011-09-27,836,950,836,910,33997,0.040000000000000036
2011-09-28,909,910,860,880,75951,-0.03296703296703296
2011-09-29,850,899,840,899,17030,0.021590909090908994
2011-09-30,900,900,829,829,77681,-0.07786429365962177
2011-10-04,820,839,722,838,52716,0.010856453558504287
2011-10-05,838,838,777,793,49956,-0.05369928400954649
2011-10-06,794,830,750,823,68265,0.03783102143757877
2011-10-07,821,827,752,789,115613,-0.04131227217496958
2011-10-10,788,818,750,775,72342,-0.017743979721166037
2011-10-11,775,784,750,770,80342,-0.006451612903225823
2011-10-12,760,769,714,757,308399,-0.016883116883116833
2011-10-13,760,763,730,763,164090,0.00792602377807139
2011-10-14,760,762,721,757,104583,-0.007863695937090465
2011-10-17,747,763,722,722,162884,-0.04623513870541607
2011-10-18,720,734,713,716,45475,-0.008310249307479256
2011-10-19,713,727,713,724,35788,0.011173184357541999
2011-10-20,724,726,665,717,143963,-0.00966850828729282
2011-10-21,719,719,675,680,92132,-0.051603905160390484
2011-10-24,705,781,680,740,159484,0.08823529411764697
2011-10-25,736,774,720,765,94996,0.03378378378378377
2011-10-26,765,779,736,736,96994,-0.03790849673202612
2011-10-27,736,762,721,722,60440,-0.01902173913043481
2011-10-28,726,745,706,706,82137,-0.02216066481994461
2011-10-31,704,721,701,710,40646,0.0056657223796034994
2011-11-01,712,716,696,710,37756,0.0
2011-11-02,687,719,684,715,15607,0.007042253521126751
2011-11-03,705,730,705,724,11178,0.012587412587412583
2011-11-04,723,740,715,737,32228,0.017955801104972302
2011-11-07,739,740,708,715,56240,-0.02985074626865669
2011-11-08,715,735,710,730,97144,0.020979020979021046
2011-11-09,737,828,730,780,398313,0.06849315068493156
2011-11-10,759,780,722,763,72961,-0.02179487179487183
2011-11-11,763,770,731,740,17116,-0.03014416775884665
2011-11-14,770,851,745,851,1192013,0.1499999999999999
2011-11-15,851,930,793,818,491251,-0.03877790834312578
2011-11-16,829,829,760,790,171951,-0.03422982885085579
