Date,Open,High,Low,Close,Volume,Change
2011-01-03,22136,22136,21745,21795,91098,-0.024046211714132237
2011-01-04,21990,22087,21745,22088,104141,0.013443450332645046
2011-01-05,22087,22234,21403,21648,144986,-0.019920318725099584
2011-01-06,21647,22380,21647,22137,169812,0.022588691796008975
2011-01-07,22136,23211,22136,23212,369113,0.048561232325970094
2011-01-10,23260,23407,22478,22967,362896,-0.010554885404101322
2011-01-11,23016,23162,22625,22967,202344,0.0
2011-01-12,22967,23260,22625,23114,133391,0.0064004876562022694
2011-01-13,23113,23113,22332,22381,222267,-0.03171238210608285
2011-01-14,22332,22380,21501,21990,337287,-0.017470175595371118
2011-01-17,22185,22723,21794,22479,194331,0.02223738062755798
2011-01-18,22136,22723,21794,21843,130116,-0.02829307353529964
2011-01-19,21892,22185,21501,21501,137767,-0.015657189946435945
2011-01-20,21501,21892,20963,21208,274542,-0.01362727315008605
2011-01-21,21012,21550,20963,21159,335302,-0.002310448887212324
2011-01-24,21354,21354,20719,21159,235283,0.0
2011-01-25,21305,21403,20817,20866,141365,-0.01384753532775651
2011-01-26,20817,20914,20230,20377,278113,-0.023435253522476773
2011-01-27,20279,20524,19497,20377,340796,0.0
2011-01-28,20426,20768,20230,20426,111140,0.0024046719340433675
2011-01-31,20230,20426,19644,19986,126044,-0.021541173014785087
2011-02-01,20035,20230,19253,19449,266777,-0.02686880816571602
2011-02-07,19644,19644,19253,19400,108388,-0.0025194097382899017
2011-02-08,19351,20035,19351,19693,134258,0.01510309278350519
2011-02-09,19937,20377,19595,20377,128223,0.03473315391255771
2011-02-10,20377,20475,19742,19889,211217,-0.023948569465573888
2011-02-11,20035,20035,19058,19742,345342,-0.0073910201618985205
2011-02-14,19546,20230,19204,19400,133907,-0.017323472799108508
2011-02-15,19400,19546,18569,18863,275266,-0.027680412371134056
2011-02-16,18471,18618,17103,17152,830769,-0.0907066744420294
2011-02-17,16907,17543,16321,16761,558226,-0.022796175373134275
2011-02-18,16663,17347,16663,17348,224669,0.03502177674363094
2011-02-21,17249,17347,16516,16566,325808,-0.04507724233341015
2011-02-22,16321,16370,15637,15979,428579,-0.03543402148979835
2011-02-23,15930,16223,15393,16028,647096,0.0030665248138181944
2011-02-24,15832,16468,15783,16224,331246,0.012228599950087293
2011-02-25,16321,17005,16028,16908,296184,0.04215976331360949
2011-02-28,16859,16859,16321,16321,244874,-0.034717293588833686
2011-03-02,16077,16907,16077,16566,340675,0.015011335089761602
2011-03-03,16614,17396,16614,17201,215117,0.03833152239526738
2011-03-04,17347,17543,17005,17543,199997,0.019882564967153016
2011-03-07,17298,17592,16761,17006,263663,-0.030610499914495826
2011-03-08,16956,17152,16565,16957,251566,-0.0028813359990591536
2011-03-09,17054,17738,16956,17054,342536,0.005720351477266128
2011-03-10,17005,17543,16956,17152,194099,0.005746452445174244
2011-03-11,16761,17005,16370,16419,215344,-0.04273554104477617
2011-03-14,16028,16419,15490,15588,325062,-0.05061209574273706
2011-03-15,15832,16174,14708,15295,337940,-0.01879651013600203
2011-03-16,15490,15686,15050,15295,279581,0.0
2011-03-17,14904,15197,14757,15149,274260,-0.009545603138280456
2011-03-18,15344,15832,15246,15735,226813,0.03868242128193278
2011-03-21,15881,16516,15783,16321,259643,0.03724181760406742
2011-03-22,16419,16712,16223,16468,197655,0.009006801053857094
2011-03-23,16321,16516,16077,16419,211482,-0.0029754675734758873
2011-03-24,17005,17347,16468,17201,531755,0.04762774834033734
2011-03-25,17152,17689,16761,16761,416157,-0.02557990814487532
2011-03-28,16907,16956,15930,15931,334449,-0.04951971839389058
2011-03-29,15930,16761,15637,16419,369027,0.030632100935283457
2011-03-30,16565,16761,16321,16566,300706,0.008953042207199058
2011-03-31,16614,17592,16565,17299,588960,0.044247253410599985
2011-04-01,17298,17836,17249,17592,350672,0.01693739522515747
2011-04-04,17640,17738,17298,17592,204541,0.0
2011-04-05,17494,17640,17201,17494,228221,-0.00557071396089126
2011-04-06,17640,18178,17543,17543,345069,0.0028009603292558083
2011-04-07,17738,18080,17396,18081,326551,0.030667502707632632
2011-04-08,17982,18667,17934,17934,309495,-0.008130081300813052
2011-04-11,17836,17836,17201,17201,201669,-0.04087208653953389
2011-04-12,17298,17494,17005,17103,173741,-0.005697343177722192
2011-04-13,17298,17787,17103,17397,176632,0.01718996667251349
2011-04-14,17445,17934,17152,17299,260700,-0.005633155141691049
2011-04-15,17249,17836,17249,17445,318147,0.008439794207757645
2011-04-18,17592,18276,17396,17787,416232,0.019604471195184825
2011-04-19,17494,17592,16370,16468,504161,-0.07415528194748977
2011-04-20,16712,16761,16125,16273,430345,-0.011841146465873198
2011-04-21,16370,16614,15735,15833,457773,-0.027038652983469524
2011-04-22,15783,15881,15099,15442,542931,-0.02469525674224715
2011-04-25,15441,16516,15344,16468,312540,0.06644217070327674
2011-04-26,16565,16956,15783,15931,376978,-0.03260869565217395
2011-04-27,16077,16516,16077,16273,319008,0.02146757893415363
2011-04-28,16370,16565,16174,16370,199521,0.0059607939531740595
2011-04-29,16419,16468,15588,16224,514387,-0.008918753817959701
2011-05-02,15979,16223,15832,15979,235211,-0.015101084812623289
2011-05-03,15979,16028,15686,15735,241266,-0.015270041930033118
2011-05-04,15637,15979,15637,15833,109230,0.006228153797267266
2011-05-06,15637,16028,15441,15979,143741,0.009221246763089663
2011-05-09,16126,16174,15588,15637,164430,-0.021403091557669396
2011-05-11,15735,16174,15686,16175,151968,0.03440557651723486
2011-05-12,15930,16516,15881,16321,229688,0.00902627511591958
2011-05-13,16614,16614,16223,16419,216491,0.0060045340359047294
2011-05-16,16321,17054,16272,16908,256187,0.029782568974968004
2011-05-17,16907,17005,16077,16077,289429,-0.04914833215046133
2011-05-18,16174,16272,15735,15735,271487,-0.02127262548983022
2011-05-19,15783,16321,15588,15686,251381,-0.003114076898633633
2011-05-20,15735,15930,15490,15686,139357,0.0
2011-05-23,15588,15637,15148,15198,162714,-0.031110544434527654
2011-05-24,15148,15441,14953,15393,92724,0.01283063560994857
2011-05-25,15344,15832,15050,15393,166148,0.0
2011-05-26,15490,15930,15295,15588,133938,0.012668095887741204
2011-05-27,15490,15686,15197,15198,143040,-0.02501924557351809
2011-05-30,15344,15539,15197,15442,113708,0.016054744045269187
2011-05-31,15637,15930,15637,15686,170660,0.015801062038595992
2011-06-01,15686,15832,15588,15637,197244,-0.0031238046665816865
2011-06-02,15344,15832,15246,15735,139688,0.006267186800537283
2011-06-03,15686,15832,15344,15344,155223,-0.024849062599300975
2011-06-07,15197,15295,14904,15149,168059,-0.012708550573514055
2011-06-08,15197,15246,14757,14855,198259,-0.019407221598785385
2011-06-09,14855,14855,14269,14611,412227,-0.01642544597778528
2011-06-10,14659,14708,14317,14611,119289,0.0
2011-06-13,14464,14513,13975,14074,214101,-0.03675313120251866
2011-06-14,14073,14220,13731,14025,223860,-0.003481597271564607
2011-06-15,14220,14708,13975,14709,209598,0.04877005347593588
2011-06-16,14513,14611,14024,14171,213781,-0.036576245835882815
2011-06-17,14269,14611,14122,14122,286923,-0.003457765859854578
2011-06-20,14220,14757,14122,14709,341743,0.04156635037530099
2011-06-21,14953,15099,14171,14416,440240,-0.01991977700727443
