Date,Open,High,Low,Close,Volume,Change
2011-01-03,123042,123390,120609,121131,213317,0.00431970815023619
2011-01-04,121652,126866,121304,126171,543287,0.04160784605096968
2011-01-05,125301,126865,123042,125650,435976,-0.004129316562443086
2011-01-06,126865,129125,124954,125302,438155,-0.002769598089932379
2011-01-07,125996,129298,125128,128604,358054,0.02635233276404203
2011-01-10,128603,128951,124953,125476,344447,-0.024322727131348976
2011-01-11,125128,126866,123216,126171,243774,0.005538907838949392
2011-01-12,125475,127387,123563,126345,495258,0.0013790807713340847
2011-01-13,127561,132600,127039,131558,922908,0.04126004194863264
2011-01-14,132427,136945,130341,135208,1083789,0.027744416911172243
2011-01-17,136597,139205,129994,129994,887476,-0.03856280693450087
2011-01-18,129820,134512,128256,131385,460432,0.010700493868947891
2011-01-19,132427,136945,131731,136077,559487,0.03571183925105603
2011-01-20,136598,138336,134165,135034,508733,-0.007664778030085917
2011-01-21,136076,138162,128951,129299,551965,-0.042470785135595435
2011-01-24,129298,133296,128951,130168,395699,0.006720856309793577
2011-01-25,131036,134512,118871,127214,791252,-0.022693749615880998
2011-01-26,127734,131558,121999,130516,558598,0.02595626267549167
2011-01-27,132427,133817,129124,129647,475120,-0.006658187501915491
2011-01-28,129994,131905,126344,126866,371603,-0.021450554197166127
2011-01-31,123042,125475,121130,121305,386815,-0.04383365125407912
2011-02-01,123216,123390,119567,119741,464946,-0.012893120646304768
2011-02-07,121652,124606,121652,122348,344345,0.02177199121437101
2011-02-08,122173,123390,113136,114527,676123,-0.06392421617026844
2011-02-09,113484,114700,110355,112615,441514,-0.016694753202301627
2011-02-10,112615,115221,107748,107923,405513,-0.04166407672157346
2011-02-11,108096,109313,104620,104795,764877,-0.028983627215700136
2011-02-14,106706,107748,99754,101840,655471,-0.028197910205639554
2011-02-15,102361,104620,101492,101840,349301,0.0
2011-02-16,101666,103577,98190,98538,378459,-0.032423409269442316
2011-02-17,98711,99406,91412,93846,856386,-0.047616148085002696
2011-02-18,93845,102187,92977,99060,1180061,0.05555910747394677
2011-02-21,99233,99406,95062,98191,602474,-0.008772461134665899
2011-02-22,97321,97321,93324,94541,338637,-0.03717244961350841
2011-02-23,94019,97147,93671,95584,390683,0.011032250557958978
2011-02-24,95062,97669,92803,93325,561832,-0.02363366253766319
