Date,Open,High,Low,Close,Volume,Change
2011-01-03,5573414,5618755,5482793,5573484,126325,0.004081734127185044
2011-01-04,5618731,5777310,5618731,5709422,173164,0.02439013012327651
2011-01-05,5754729,5777338,5618705,5664109,123537,-0.007936530177660717
2011-01-06,5664096,5754724,5550743,5573484,137016,-0.01599986864659564
2011-01-07,5618686,5641357,5505449,5596140,112846,0.0040649618802170995
2011-01-10,5596120,5596120,5505492,5528171,107164,-0.01214569328144044
2011-01-11,5528136,5573416,5437446,5482858,98278,-0.008196743552252639
2011-01-12,5505466,5550745,5460063,5482858,76337,0.0
2011-01-13,5550748,5732059,5550748,5664109,283636,0.03305775929268995
2011-01-14,5731989,6502280,5596081,6502397,2655955,0.1479999766953637
2011-01-17,6570259,6638271,6117187,6185207,1735798,-0.04878047280103015
2011-01-18,6162486,6434363,6094528,6253177,809482,0.010989122918602323
2011-01-19,6366422,6479659,6117153,6139894,433340,-0.018116071238667986
2011-01-20,6071891,6230469,5981208,6026612,311194,-0.018450155654152978
2011-01-21,6026552,6253143,5981265,6207864,448861,0.03007527280667821
2011-01-24,6207850,6321088,6117168,6117238,319065,-0.014598580123533655
2011-01-25,6162438,6615564,5799940,5958643,916611,-0.025925916238668467
2011-01-26,5981292,6275777,5890609,6253177,335203,0.049429710757969536
2011-01-27,6298484,6411721,6162460,6207864,308796,-0.007246396511725206
2011-01-28,6185156,6321126,5981291,5981299,252428,-0.03649645030883408
2011-01-31,5800014,5935922,5732002,5754735,170831,-0.03787872834981165
2011-02-01,5799943,6049204,5799943,5868017,141265,0.019685007215797024
2011-02-07,5958518,6117158,5935848,5958643,129399,0.015444058870313526
2011-02-08,5981277,6049235,5732070,5732079,223136,-0.03802275115324072
2011-02-09,5777262,5799933,5550734,5686766,168248,-0.007905159716047216
2011-02-10,5641357,5777327,5573399,5596140,102413,-0.01593629841635824
2011-02-11,5596120,5709357,5505492,5528171,89817,-0.01214569328144044
2011-02-14,5641407,5641407,5074981,5256293,239376,-0.04918046131351583
2011-02-15,5256231,5369530,5233560,5256293,112322,0.0
2011-02-16,5256274,5346902,5165645,5188324,71533,-0.012930976260265514
2011-02-17,5188262,5301498,4871097,4916447,178372,-0.05240170043351189
2011-02-18,4916384,5278944,4916384,5188324,110241,0.05529948761778569
2011-02-21,5142937,5188278,5029692,5075042,109276,-0.021834025785590905
2011-02-22,4984320,5006991,4893699,4939103,115835,-0.026785788176728387
2011-02-23,4871111,5052360,4871111,4893790,86300,-0.009174337931401766
2011-02-24,4916308,5142898,4871021,4939103,101435,0.00925928574785595
2011-02-25,4984416,5074982,4939067,4984416,75327,0.009174337931401766
2011-02-28,5006994,5052335,4848353,4848478,91941,-0.027272603249808958
2011-03-02,4757792,4871083,4644493,4667226,110242,-0.037383277803879844
2011-03-03,4712460,4848430,4712460,4825821,80421,0.03398057004310484
2011-03-04,4939067,5052366,4871117,4984416,80692,0.03286383809096938
2011-03-07,4916356,5074934,4916356,4961760,42879,-0.004545366999865186
2011-03-08,4961737,5052366,4939067,4984416,91491,0.004566121698752035
2011-03-09,5052346,5052346,4893768,4916447,63003,-0.013636301624904479
2011-03-10,4893782,4961732,4871111,4893790,55100,-0.004608409284184267
2011-03-11,4825827,4871114,4780486,4803165,49270,-0.018518367155108795
2011-03-14,4803099,4803099,4445137,4526756,197444,-0.05754726310672231
2011-03-15,4499510,4644551,4168754,4295661,248320,-0.05105090709550064
2011-03-16,4336420,4522204,4254863,4359099,145447,0.014767925122582959
2011-03-17,4259361,4440602,4236690,4422537,102864,0.014553007399006113
2011-03-18,4440637,4526722,4440637,4481443,87698,0.013319504166952045
2011-03-21,4494992,4689849,4494992,4644570,150198,0.036400552232841
2011-03-22,4667192,4712471,4621851,4621913,82913,-0.004878169561444823
