Date,Open,High,Low,Close,Volume,Change
2011-01-03,2655,2655,2561,2599,21472,-0.02109227871939734
2011-01-04,2588,2615,2548,2565,23365,-0.013081954597922274
2011-01-05,2568,2591,2535,2542,18729,-0.008966861598440512
2011-01-06,2535,2535,2448,2502,35220,-0.015735641227380026
2011-01-07,2598,2598,2501,2555,9594,0.02118305355715422
2011-01-10,2605,2608,2508,2542,23271,-0.0050880626223092085
2011-01-11,2555,2591,2515,2555,14397,0.005114083398898517
2011-01-12,2595,2661,2535,2662,38513,0.04187866927592965
2011-01-13,2668,2681,2561,2649,32637,-0.00488354620586029
2011-01-14,2721,3045,2721,2909,612768,0.09815024537561334
2011-01-17,2878,2902,2788,2789,116660,-0.041251289102784416
2011-01-18,2802,2815,2658,2722,84420,-0.024022947292936525
2011-01-19,2728,2751,2658,2712,70232,-0.0036737692872887973
2011-01-20,2708,2721,2671,2695,53524,-0.0062684365781711104
2011-01-21,2748,2748,2661,2669,70058,-0.009647495361781111
2011-01-24,2668,2705,2645,2702,37471,0.012364181341326441
2011-01-25,2735,2835,2661,2755,32471,0.01961509992598076
2011-01-26,2812,2822,2685,2735,22773,-0.007259528130671544
2011-01-27,2735,2768,2688,2742,33213,0.00255941499085921
2011-01-28,2728,2728,2671,2695,54828,-0.017140773158278666
2011-01-31,2691,2695,2635,2672,13100,-0.008534322820037077
2011-02-01,2671,2698,2668,2679,15841,0.0026197604790418882
2011-02-07,2701,2788,2678,2702,16978,0.008585293019783391
2011-02-08,2735,2748,2701,2725,29657,0.00851221317542561
2011-02-09,2751,2765,2695,2722,29293,-0.0011009174311926717
2011-02-10,2721,2835,2701,2782,48154,0.02204261572373256
2011-02-11,2781,2802,2721,2802,49335,0.007189072609633307
2011-02-14,2768,2855,2768,2855,46772,0.01891506067094939
2011-02-15,3022,3128,2862,2862,186243,0.0024518388791594514
2011-02-16,2801,2928,2738,2902,55448,0.013976240391334827
2011-02-17,2868,2982,2788,2869,60018,-0.011371467953135816
2011-02-18,2835,2875,2741,2869,21193,0.0
2011-02-21,2868,2895,2788,2802,25417,-0.02335308469850117
2011-02-22,2855,2855,2691,2722,47238,-0.028551034975017875
2011-02-23,2708,2708,2621,2685,58624,-0.013592946362968372
2011-02-24,2728,2728,2535,2592,70088,-0.03463687150837991
2011-02-25,2511,2688,2511,2662,35322,0.027006172839506126
2011-02-28,2658,2658,2268,2535,23769,-0.04770848985725018
2011-03-02,2461,2578,2461,2492,21173,-0.01696252465483239
2011-03-03,2521,2561,2475,2562,18580,0.028089887640449396
2011-03-04,2595,2735,2561,2689,38636,0.04957064793130361
2011-03-07,2695,2725,2591,2669,17396,-0.007437709185570851
