Date,Open,High,Low,Close,Volume,Change
2011-01-03,2635,2640,2610,2620,183973,-0.0019047619047618536
2011-01-04,2640,2640,2600,2620,351329,0.0
2011-01-05,2625,2640,2600,2615,311040,-0.001908396946564861
2011-01-06,2615,2730,2605,2720,840391,0.040152963671128195
2011-01-07,2700,2745,2670,2745,437890,0.009191176470588314
2011-01-10,2750,2770,2710,2720,325028,-0.00910746812386154
2011-01-11,2715,2730,2670,2685,298330,-0.012867647058823484
2011-01-12,2695,2730,2675,2680,386481,-0.0018621973929237035
2011-01-13,2700,2765,2680,2745,563138,0.02425373134328357
2011-01-14,2745,2780,2705,2720,450313,-0.00910746812386154
2011-01-17,2730,2760,2660,2675,374342,-0.016544117647058876
2011-01-18,2700,2700,2655,2670,180502,-0.0018691588785046953
2011-01-19,2670,2690,2620,2635,311238,-0.01310861423220977
2011-01-20,2625,2650,2620,2625,197670,-0.003795066413662229
2011-01-21,2620,2670,2560,2595,349954,-0.011428571428571455
2011-01-24,2595,2630,2590,2605,191330,0.003853564547206201
2011-01-25,2645,2660,2600,2610,244316,0.0019193857965451588
2011-01-26,2625,2625,2580,2610,243121,0.0
2011-01-27,2610,2630,2585,2610,161560,0.0
2011-01-28,2620,2655,2610,2645,279278,0.013409961685823646
2011-01-31,2610,2630,2515,2515,466700,-0.04914933837429114
2011-02-01,2525,2550,2505,2535,275953,0.007952286282306265
2011-02-07,2550,2575,2535,2545,183722,0.0039447731755424265
2011-02-08,2550,2700,2550,2640,779433,0.037328094302554016
2011-02-09,2680,2680,2585,2640,411270,0.0
2011-02-10,2645,2650,2555,2555,328210,-0.032196969696969724
2011-02-11,2565,2595,2505,2510,322546,-0.017612524461839585
2011-02-14,2510,2540,2440,2480,231189,-0.01195219123505975
2011-02-15,2490,2490,2445,2445,183686,-0.014112903225806495
2011-02-16,2430,2450,2410,2410,373687,-0.014314928425357865
2011-02-17,2415,2430,2320,2350,301335,-0.024896265560165998
2011-02-18,2350,2430,2350,2400,144216,0.02127659574468077
2011-02-21,2395,2420,2350,2405,178124,0.002083333333333437
2011-02-22,2390,2410,2305,2360,326122,-0.018711018711018657
2011-02-23,2320,2375,2280,2310,326242,-0.021186440677966156
2011-02-24,2280,2320,2260,2280,251936,-0.012987012987012991
2011-02-25,2255,2340,2255,2330,185447,0.021929824561403466
2011-02-28,2310,2335,2275,2300,198812,-0.012875536480686733
2011-03-02,2260,2300,2260,2280,169455,-0.008695652173912993
2011-03-03,2285,2350,2280,2335,172432,0.02412280701754388
2011-03-04,2350,2385,2330,2365,204620,0.012847965738758127
2011-03-07,2365,2405,2360,2360,170880,-0.0021141649048626032
2011-03-08,2380,2400,2360,2375,115220,0.006355932203389925
2011-03-09,2385,2405,2375,2385,138740,0.004210526315789442
2011-03-10,2395,2395,2350,2380,110929,-0.002096436058700246
2011-03-11,2350,2375,2335,2355,148560,-0.010504201680672232
2011-03-14,2340,2365,2285,2335,354773,-0.00849256900212314
2011-03-15,2315,2345,2060,2230,374449,-0.04496788008565311
2011-03-16,2205,2260,2205,2230,160551,0.0
2011-03-17,2195,2195,2130,2190,308948,-0.017937219730941756
2011-03-18,2215,2235,2200,2235,120310,0.020547945205479534
2011-03-21,2235,2310,2235,2295,160432,0.02684563758389258
2011-03-22,2285,2325,2285,2295,128987,0.0
2011-03-23,2310,2325,2295,2310,165650,0.006535947712418277
2011-03-24,2310,2385,2310,2370,281227,0.025974025974025983
2011-03-25,2395,2430,2365,2370,195481,0.0
2011-03-28,2395,2395,2355,2355,107069,-0.006329113924050667
2011-03-29,2345,2425,2345,2405,223866,0.02123142250530785
2011-03-30,2405,2435,2395,2395,158462,-0.004158004158004158
2011-03-31,2400,2420,2375,2400,161421,0.0020876826722338038
2011-04-01,2425,2445,2395,2420,240443,0.008333333333333304
2011-04-04,2420,2450,2410,2420,195803,0.0
2011-04-05,2440,2445,2410,2420,134671,0.0
2011-04-06,2420,2515,2405,2480,528755,0.024793388429751984
2011-04-07,2480,2520,2435,2455,316148,-0.01008064516129037
2011-04-08,2495,2495,2440,2450,169591,-0.0020366598778004397
2011-04-11,2455,2475,2400,2405,201912,-0.01836734693877551
2011-04-12,2415,2425,2375,2385,179828,-0.008316008316008316
2011-04-13,2400,2420,2385,2415,139130,0.012578616352201255
2011-04-14,2420,2465,2390,2450,188580,0.01449275362318847
2011-04-15,2440,2475,2430,2465,291169,0.00612244897959191
2011-04-18,2480,2770,2460,2645,2155370,0.0730223123732252
2011-04-19,2660,2735,2610,2720,1124772,0.02835538752362954
2011-04-20,2740,2785,2645,2665,712187,-0.020220588235294157
2011-04-21,2700,2820,2620,2765,1494911,0.03752345215759845
2011-04-22,2800,2805,2630,2695,695157,-0.025316455696202556
2011-04-25,2710,3010,2710,2930,2270694,0.08719851576994442
2011-04-26,2970,3015,2835,2855,1534585,-0.025597269624573427
2011-04-27,2900,2960,2765,2845,890837,-0.003502626970227629
2011-04-28,2855,2890,2745,2800,645518,-0.01581722319859402
2011-04-29,2770,2805,2635,2670,781059,-0.046428571428571375
2011-05-02,2685,2760,2685,2715,413843,0.016853932584269593
2011-05-03,2700,2780,2650,2675,540502,-0.014732965009208066
2011-05-04,2700,2875,2665,2855,934681,0.06728971962616814
2011-05-06,2840,2920,2760,2785,594949,-0.024518388791593737
2011-05-09,2800,2825,2715,2750,314152,-0.012567324955116699
2011-05-11,2755,2800,2700,2740,268163,-0.0036363636363636598
2011-05-12,2710,2835,2700,2825,410008,0.031021897810219023
2011-05-13,2835,2980,2790,2900,1476262,0.026548672566371723
2011-05-16,2920,3050,2910,2990,1046536,0.03103448275862064
2011-05-17,2975,2995,2895,2940,573739,-0.01672240802675584
2011-05-18,2915,2985,2905,2960,502845,0.006802721088435382
2011-05-19,2960,3080,2825,2830,1327581,-0.04391891891891897
2011-05-20,2835,2885,2720,2765,611420,-0.02296819787985871
2011-05-23,2750,2765,2655,2670,262613,-0.03435804701627487
2011-05-24,2625,2720,2625,2680,181876,0.0037453183520599342
2011-05-25,2710,2815,2695,2710,285224,0.011194029850746245
2011-05-26,2725,2785,2710,2785,230705,0.027675276752767486
2011-05-27,2790,2880,2755,2825,315922,0.014362657091562037
2011-05-30,2855,2870,2755,2760,274870,-0.023008849557522137
2011-05-31,2780,2865,2720,2865,446614,0.03804347826086962
2011-06-01,2840,2920,2825,2865,482403,0.0
2011-06-02,2815,2990,2770,2920,1558051,0.01919720767888311
2011-06-03,2950,2975,2865,2870,504377,-0.017123287671232834
2011-06-07,2875,2875,2755,2760,370036,-0.0383275261324042
2011-06-08,2785,2800,2730,2775,170376,0.005434782608695565
2011-06-09,2780,2805,2745,2795,154670,0.007207207207207134
2011-06-10,2820,2840,2735,2745,222126,-0.017889087656529523
2011-06-13,2745,2765,2670,2670,237027,-0.02732240437158473
2011-06-14,2670,2750,2670,2750,203182,0.029962546816479474
2011-06-15,2835,2905,2790,2795,568275,0.016363636363636358
2011-06-16,2755,2825,2740,2805,253499,0.003577817531305927
2011-06-17,2835,2965,2820,2890,1167470,0.030303030303030276
2011-06-20,2900,2940,2845,2850,439261,-0.01384083044982698
2011-06-21,2875,3100,2875,3100,1599544,0.08771929824561409
2011-06-22,3140,3185,3060,3140,1899828,0.012903225806451646
2011-06-23,3150,3235,3095,3110,1523759,-0.009554140127388533
2011-06-24,3110,3185,3060,3180,1004236,0.022508038585209
2011-06-27,3180,3185,3110,3110,565203,-0.022012578616352196
2011-06-28,3120,3140,2980,3125,915950,0.004823151125401992
2011-06-29,3170,3185,3065,3115,610121,-0.0031999999999999806
2011-06-30,3125,3300,3080,3290,1351577,0.05617977528089879
2011-07-01,3300,3380,3235,3235,1325418,-0.016717325227963542
