Date,Open,High,Low,Close,Volume,Change
2011-01-03,2860,2930,2850,2850,55767,-0.0017513134851138146
2011-01-04,2860,2925,2855,2920,27415,0.024561403508772006
2011-01-05,2920,2950,2865,2930,26696,0.003424657534246478
2011-01-06,2930,2945,2850,2855,39533,-0.025597269624573427
2011-01-07,2900,2935,2860,2885,28993,0.01050788091068311
2011-01-10,2935,3055,2890,2980,44088,0.032928942807625594
2011-01-11,2995,3070,2980,3060,49721,0.02684563758389258
2011-01-12,3065,3090,2980,2980,31550,-0.02614379084967322
2011-01-13,3040,3070,2915,3045,46924,0.02181208053691286
2011-01-14,3045,3055,2950,3010,45161,-0.011494252873563204
2011-01-17,3060,3460,3015,3300,1216288,0.09634551495016619
2011-01-18,3220,3225,3060,3070,378401,-0.0696969696969697
2011-01-19,3110,3125,3005,3105,98506,0.01140065146579805
2011-01-20,3105,3110,3030,3065,60057,-0.012882447665056307
2011-01-21,3025,3110,3020,3040,47177,-0.00815660685154973
2011-01-24,3060,3090,3010,3055,34390,0.004934210526315708
2011-01-25,3075,3145,3025,3055,47610,0.0
2011-01-26,3055,3115,3010,3080,36141,0.008183306055646433
2011-01-27,3110,3110,3000,3045,48607,-0.011363636363636354
2011-01-28,3040,3080,2950,2980,55838,-0.021346469622331665
2011-01-31,2975,2975,2795,2850,96017,-0.043624161073825496
2011-02-01,2895,2990,2860,2950,26970,0.03508771929824572
2011-02-07,2950,3020,2910,2910,29863,-0.013559322033898313
2011-02-08,2965,2965,2885,2935,28325,0.00859106529209619
2011-02-09,2965,3000,2915,3000,20978,0.022146507666098714
2011-02-10,3005,3330,3000,3070,152826,0.023333333333333428
2011-02-11,3110,3140,3025,3050,40040,-0.006514657980456029
2011-02-14,3060,3250,3050,3055,99507,0.0016393442622950616
2011-02-15,3095,3510,3095,3280,669656,0.07364975450081834
2011-02-16,3200,3410,3195,3350,188957,0.021341463414634054
2011-02-17,3325,3660,3325,3500,387021,0.04477611940298498
2011-02-18,3510,3595,3395,3550,162984,0.014285714285714235
2011-02-21,3555,3585,3440,3440,81446,-0.030985915492957705
2011-02-22,3420,3420,3280,3400,65006,-0.011627906976744207
