Date,Open,High,Low,Close,Volume,Change
2011-01-03,1796,1816,1770,1812,5840,0.01342281879194629
2011-01-04,1816,1816,1778,1804,11011,-0.004415011037527616
2011-01-05,1804,1840,1776,1840,2300,0.019955654101995624
2011-01-06,1838,1838,1770,1772,11840,-0.036956521739130443
2011-01-07,1778,1806,1778,1806,4780,0.019187358916478603
2011-01-10,1802,1816,1790,1806,2030,0.0
2011-01-11,1806,1808,1800,1806,5520,0.0
2011-01-12,1810,1810,1780,1780,1740,-0.01439645625692132
2011-01-13,1788,2040,1788,2040,54203,0.146067415730337
2011-01-14,2260,2340,2140,2340,617892,0.1470588235294117
2011-01-17,2280,2340,2090,2120,324989,-0.09401709401709402
2011-01-18,2140,2430,2140,2430,447423,0.14622641509433953
2011-01-19,2470,2790,2350,2560,1134794,0.053497942386831365
2011-01-20,2530,2790,2520,2590,390893,0.01171875
2011-01-21,2640,2740,2530,2700,171820,0.042471042471042386
2011-01-24,2660,2720,2420,2430,117830,-0.09999999999999998
2011-01-25,2450,2490,2300,2460,198914,0.012345679012345734
2011-01-26,2500,2500,2170,2170,187179,-0.11788617886178865
2011-01-27,2210,2280,2210,2280,122401,0.05069124423963123
2011-01-28,2280,2290,2200,2270,56591,-0.004385964912280715
2011-01-31,2250,2280,2190,2260,27521,-0.004405286343612369
2011-02-01,2260,2300,2220,2260,33730,0.0
2011-02-07,2280,2390,2220,2240,81871,-0.008849557522123908
2011-02-08,2290,2450,2240,2360,125570,0.0535714285714286
2011-02-09,2400,2400,2300,2360,45441,0.0
2011-02-10,2360,2480,2310,2360,62544,0.0
2011-02-11,2370,2440,2300,2300,39207,-0.025423728813559365
2011-02-14,2220,2280,2060,2200,47450,-0.04347826086956519
2011-02-15,2200,2270,2200,2210,29237,0.00454545454545463
2011-02-16,2230,2490,2230,2380,114304,0.07692307692307687
2011-02-17,2460,2460,2250,2290,46377,-0.037815126050420145
2011-02-18,2290,2360,2240,2240,32284,-0.02183406113537123
2011-02-21,2260,2330,2240,2280,25530,0.017857142857142794
2011-02-22,2320,2400,2280,2390,71800,0.04824561403508776
2011-02-23,2390,2390,2290,2320,34258,-0.029288702928870314
2011-02-24,2260,2300,2220,2240,22780,-0.03448275862068961
2011-02-25,2240,2320,2240,2290,19068,0.022321428571428603
2011-02-28,2270,2480,2270,2390,54160,0.04366812227074246
2011-03-02,2330,2380,2280,2300,24237,-0.03765690376569042
2011-03-03,2290,2390,2290,2350,26420,0.021739130434782705
2011-03-04,2370,2520,2350,2480,52645,0.05531914893617018
2011-03-07,2490,2560,2420,2450,31337,-0.012096774193548376
2011-03-08,2470,2810,2470,2640,415031,0.07755102040816331
2011-03-09,2620,2640,2560,2600,62760,-0.015151515151515138
2011-03-10,2560,2730,2560,2630,73168,0.011538461538461497
2011-03-11,2630,2630,2370,2370,70648,-0.09885931558935357
2011-03-14,2400,2450,2070,2370,163562,0.0
2011-03-15,2320,2330,2070,2190,71420,-0.07594936708860756
2011-03-16,2210,2280,2140,2230,61661,0.0182648401826484
2011-03-17,2170,2240,2140,2240,22781,0.004484304932735439
2011-03-18,2330,2330,2240,2290,31550,0.022321428571428603
2011-03-21,2300,2300,2230,2290,41250,0.0
2011-03-22,2290,2290,2250,2260,36381,-0.013100436681222738
2011-03-23,2260,2310,2250,2260,28290,0.0
2011-03-24,2280,2280,2250,2250,25820,-0.004424778761061954
2011-03-25,2250,2290,2250,2250,29790,0.0
2011-03-28,2270,2320,2250,2280,13691,0.01333333333333342
2011-03-29,2260,2290,2160,2200,27770,-0.03508771929824561
2011-03-30,2210,2210,2150,2180,32800,-0.009090909090909038
2011-03-31,2180,2190,2090,2180,41340,0.0
2011-04-01,2190,2260,2160,2230,19180,0.022935779816513735
2011-04-04,2240,2280,2220,2260,13710,0.013452914798206317
2011-04-05,2280,2290,2240,2260,15650,0.0
2011-04-06,2280,2280,2190,2200,9110,-0.026548672566371723
2011-04-07,2200,2250,2190,2220,13141,0.009090909090909038
2011-04-08,2200,2240,2160,2160,14910,-0.027027027027026973
2011-04-11,2150,2150,2110,2110,12921,-0.02314814814814814
2011-04-12,2120,2240,2110,2150,18703,0.018957345971563955
2011-04-13,2170,2200,2140,2170,7652,0.009302325581395321
2011-04-14,2240,2490,2230,2490,210132,0.14746543778801846
2011-04-15,2490,2520,2400,2520,144051,0.012048192771084265
2011-04-18,2890,2890,2890,2890,48433,0.14682539682539675
2011-04-19,3180,3320,3100,3320,911256,0.1487889273356402
2011-04-20,3250,3260,2830,2980,623946,-0.10240963855421692
2011-04-21,3000,3050,2710,2830,364188,-0.05033557046979864
2011-04-22,2850,3220,2830,3100,941817,0.09540636042402828
2011-04-25,3220,3560,3200,3430,902556,0.1064516129032258
2011-04-26,3400,3400,2940,2980,462042,-0.13119533527696792
2011-04-27,2980,3090,2800,2820,211515,-0.05369127516778527
2011-04-28,2810,2980,2720,2880,184131,0.02127659574468077
2011-04-29,2840,3030,2720,2720,157160,-0.05555555555555558
2011-05-02,2670,2850,2660,2840,135674,0.044117647058823595
2011-05-03,2880,2960,2720,2760,97511,-0.028169014084507005
2011-05-04,2760,2860,2730,2760,53390,0.0
2011-05-06,2780,2780,2650,2650,54692,-0.03985507246376807
2011-05-09,2590,2640,2500,2540,87125,-0.04150943396226414
2011-05-11,2560,2790,2440,2790,211884,0.09842519685039375
