Date,Open,High,Low,Close,Volume,Change
2011-01-03,666,715,655,660,575952,-0.03649635036496346
2011-01-04,659,676,628,660,736300,0.0
2011-01-05,663,685,661,681,257079,0.031818181818181746
2011-01-06,677,686,675,679,223771,-0.002936857562408246
2011-01-07,684,684,665,676,127020,-0.004418262150220897
2011-01-10,676,684,662,674,262520,-0.00295857988165682
2011-01-11,677,677,654,654,187627,-0.029673590504451064
2011-01-12,659,660,641,641,273100,-0.019877675840978548
2011-01-13,646,648,630,645,306310,0.006240249609984483
2011-01-14,648,655,635,646,152200,0.0015503875968991832
2011-01-17,641,655,640,651,99940,0.007739938080495445
2011-01-18,660,660,640,650,169770,-0.001536098310291889
2011-01-19,650,650,636,640,203090,-0.01538461538461533
2011-01-20,645,645,638,644,90790,0.006250000000000089
2011-01-21,659,659,637,647,180580,0.004658385093167627
2011-01-24,647,650,639,647,82008,0.0
2011-01-25,650,667,642,656,170050,0.01391035548686248
2011-01-26,658,666,648,660,165820,0.0060975609756097615
2011-01-27,670,680,659,680,245236,0.030303030303030276
2011-01-28,682,730,682,695,606900,0.022058823529411686
2011-01-31,677,704,660,702,295022,0.010071942446043147
2011-02-01,710,710,683,698,284422,-0.005698005698005715
2011-02-07,698,699,678,687,194141,-0.015759312320916874
2011-02-08,680,696,666,668,212851,-0.027656477438136817
2011-02-09,668,674,655,657,117380,-0.01646706586826352
2011-02-10,644,663,643,650,31930,-0.010654490106544956
2011-02-11,653,665,646,662,67900,0.01846153846153853
2011-02-14,665,665,648,663,91450,0.0015105740181269312
2011-02-15,668,668,643,645,55670,-0.02714932126696834
2011-02-16,648,650,625,639,141340,-0.009302325581395321
2011-02-17,642,642,608,608,169940,-0.04851330203442883
2011-02-18,609,625,600,624,78832,0.026315789473684292
2011-02-21,612,630,610,624,44170,0.0
2011-02-22,624,624,600,617,101070,-0.011217948717948678
2011-02-23,610,616,598,613,125037,-0.00648298217179899
2011-02-24,610,611,594,599,144631,-0.022838499184339334
2011-02-25,599,603,596,600,59079,0.0016694490818029983
2011-02-28,600,601,590,591,121460,-0.015000000000000013
2011-03-02,575,600,575,594,25857,0.0050761421319796
2011-03-03,595,599,580,598,98109,0.006734006734006703
2011-03-04,603,614,602,610,90490,0.02006688963210701
2011-03-07,612,619,605,612,18155,0.003278688524590123
2011-03-08,612,618,607,609,41745,-0.004901960784313708
2011-03-09,580,620,580,615,173552,0.009852216748768461
2011-03-10,618,618,600,611,150795,-0.006504065040650375
2011-03-11,610,621,600,614,133880,0.004909983633387904
2011-03-14,615,615,590,608,72890,-0.009771986970684043
2011-03-15,613,613,580,603,67573,-0.008223684210526327
2011-03-16,600,610,597,607,43527,0.0066334991708125735
2011-03-17,609,609,580,605,106050,-0.0032948929159802853
2011-03-18,608,609,590,596,191161,-0.014876033057851235
2011-03-21,592,605,591,591,121144,-0.008389261744966459
2011-03-22,602,609,591,609,111919,0.030456852791878264
2011-03-23,609,613,605,610,68037,0.0016420361247948545
2011-03-24,605,613,593,608,43500,-0.003278688524590123
2011-03-25,608,620,595,608,81269,0.0
2011-03-28,608,610,594,600,154536,-0.013157894736842146
2011-03-29,596,608,593,605,92300,0.008333333333333304
2011-03-30,600,613,595,604,78987,-0.0016528925619834212
2011-03-31,596,609,596,603,68524,-0.0016556291390728006
2011-04-01,605,605,593,603,216368,0.0
2011-04-04,602,605,596,598,335560,-0.008291873963515717
2011-04-05,598,601,595,596,192015,-0.0033444816053511683
2011-04-06,599,610,595,605,298460,0.015100671140939603
2011-04-07,605,669,602,649,726545,0.07272727272727275
2011-04-08,654,660,622,630,497495,-0.02927580893682591
2011-04-11,631,660,631,643,219038,0.02063492063492056
