Date,Open,High,Low,Close,Volume,Change
2011-01-03,90500,91000,89900,90200,73007,-0.0022123893805309214
2011-01-04,91000,95600,90700,94900,218385,0.05210643015521055
2011-01-05,95000,100500,94000,97800,226906,0.030558482613277205
2011-01-06,99700,112000,99200,108000,687952,0.10429447852760743
2011-01-07,109500,111500,105000,107500,283286,-0.00462962962962965
2011-01-10,108500,120000,106000,113500,411704,0.05581395348837215
2011-01-11,115000,119000,112500,114000,337351,0.004405286343612369
2011-01-12,114500,116000,109500,111500,376883,-0.021929824561403466
2011-01-13,113500,117500,111500,115000,271027,0.03139013452914807
2011-01-14,115000,118000,112500,116000,146333,0.008695652173912993
2011-01-17,114500,122500,114500,118000,257254,0.01724137931034475
2011-01-18,119500,124000,118500,121500,246177,0.029661016949152463
2011-01-19,124500,128500,120000,120500,292356,-0.008230452674897082
2011-01-20,121000,123000,117500,120000,183089,-0.004149377593360981
2011-01-21,118500,124500,117500,124500,268599,0.03750000000000009
2011-01-24,125500,132000,124000,131500,298683,0.05622489959839361
2011-01-25,134500,134500,129500,131500,213493,0.0
2011-01-26,132000,135000,129000,132500,159297,0.0076045627376426506
2011-01-27,132500,136500,132000,134500,185228,0.015094339622641506
2011-01-28,135000,140500,133500,140000,179079,0.040892193308550207
2011-01-31,139000,148500,138000,145000,260324,0.03571428571428581
2011-02-01,147500,148000,134500,136500,369264,-0.05862068965517242
2011-02-07,137500,141000,127000,133500,577044,-0.02197802197802201
2011-02-08,135500,140000,132000,138500,321542,0.03745318352059934
2011-02-09,138500,143500,134000,142000,267904,0.025270758122743597
2011-02-10,142500,150000,139000,145500,292045,0.02464788732394374
2011-02-11,146500,149500,142000,142000,187100,-0.02405498281786944
2011-02-14,144500,145000,138000,145000,184870,0.021126760563380254
2011-02-15,147000,152000,144500,151500,310814,0.04482758620689653
2011-02-16,151000,153000,144500,146500,279768,-0.03300330033003296
2011-02-17,146000,147500,130500,133500,608489,-0.0887372013651877
2011-02-18,133000,142000,132000,140500,389961,0.05243445692883886
2011-02-21,140500,146500,139500,143500,251242,0.021352313167259718
2011-02-22,143500,145500,138000,141500,220315,-0.013937282229965153
2011-02-23,139500,145500,139000,143000,194099,0.010600706713780994
2011-02-24,143000,143500,134000,135000,229273,-0.05594405594405594
2011-02-25,134500,142000,134000,140000,158869,0.03703703703703698
2011-02-28,140000,141000,133000,134000,159383,-0.042857142857142816
2011-03-02,132000,134500,122500,128000,404874,-0.04477611940298509
2011-03-03,128500,133000,127500,133000,275830,0.0390625
2011-03-04,135000,137500,133500,137000,201563,0.03007518796992481
2011-03-07,136000,141500,135000,138000,215645,0.007299270072992803
2011-03-08,138000,142000,137000,137500,122611,-0.0036231884057971175
2011-03-09,138500,139000,131500,132500,298086,-0.036363636363636376
