Date,Open,High,Low,Close,Volume,Change
2011-01-03,19000,19350,18900,19200,1491028,0.02400000000000002
2011-01-04,19300,19500,19000,19500,1184814,0.015625
2011-01-05,19300,19500,18900,19150,1989150,-0.017948717948717996
2011-01-06,19100,19100,18250,18400,2845912,-0.03916449086161877
2011-01-07,18400,18750,18300,18500,1595919,0.005434782608695565
2011-01-10,18300,18550,18100,18400,1309559,-0.00540540540540535
2011-01-11,18300,18550,18250,18550,1172971,0.008152173913043459
2011-01-12,18700,18700,18050,18200,1770358,-0.018867924528301883
2011-01-13,18400,18800,18000,18150,3635777,-0.0027472527472527375
2011-01-14,18300,18350,17850,18200,2435683,0.0027548209366390353
2011-01-17,18200,18300,17650,17900,2285718,-0.016483516483516536
2011-01-18,17800,18100,17750,17950,1582358,0.0027932960893854997
2011-01-19,18000,18150,17800,18050,1517845,0.0055710306406684396
2011-01-20,17900,17900,17500,17550,2103796,-0.027700831024930705
2011-01-21,17650,17650,16700,17100,2905096,-0.02564102564102566
2011-01-24,17000,17050,16550,16750,2868904,-0.020467836257309968
2011-01-25,16900,17450,16800,17100,2774351,0.020895522388059806
2011-01-26,17250,17550,17150,17350,1693045,0.014619883040935644
2011-01-27,17400,17550,17250,17450,1764534,0.0057636887608070175
2011-01-28,17350,17700,17250,17650,1564601,0.011461318051575908
2011-01-31,17400,17450,16950,16950,1111020,-0.03966005665722383
2011-02-01,16900,17350,16800,17300,1257868,0.020648967551622377
2011-02-07,17650,17950,17400,17500,1621197,0.011560693641618602
2011-02-08,17600,17750,17000,17050,1821919,-0.02571428571428569
2011-02-09,17100,17350,16700,16950,1322362,-0.0058651026392961825
2011-02-10,16800,16900,16300,16550,2532100,-0.02359882005899705
2011-02-11,16400,16650,16000,16200,2269569,-0.02114803625377648
2011-02-14,16350,16550,16200,16450,1113697,0.015432098765432167
2011-02-15,16400,16500,16200,16350,1505253,-0.006079027355623046
2011-02-16,16300,16500,16200,16300,925605,-0.003058103975535187
2011-02-17,16300,16350,15900,16300,1584454,0.0
2011-02-18,16300,16650,16100,16650,1223645,0.021472392638036908
2011-02-21,16400,16500,16000,16150,1518044,-0.03003003003003002
2011-02-22,15850,15950,15350,15600,3341119,-0.034055727554179516
2011-02-23,15700,16800,15650,16450,4020137,0.054487179487179516
2011-02-24,16600,16900,16450,16800,2495190,0.02127659574468077
2011-02-25,16700,17050,16600,16700,1307755,-0.005952380952380931
2011-02-28,16550,17050,16500,16900,901762,0.011976047904191711
2011-03-02,16850,16900,16450,16800,917165,-0.00591715976331364
2011-03-03,16800,17050,16600,16900,729239,0.005952380952380931
2011-03-04,17200,17300,17050,17200,1413644,0.01775147928994092
2011-03-07,17050,17400,17050,17150,595743,-0.0029069767441860517
2011-03-08,17300,17600,17100,17300,1331642,0.008746355685131268
2011-03-09,17500,17800,17400,17750,1675095,0.026011560693641522
2011-03-10,17750,17800,17300,17350,1658953,-0.022535211267605604
2011-03-11,17150,17400,16800,17200,1048389,-0.008645533141210415
2011-03-14,16700,16950,16450,16900,1206040,-0.01744186046511631
2011-03-15,16750,17100,16350,16500,1510119,-0.023668639053254448
2011-03-16,16600,17000,16600,16800,1060331,0.018181818181818077
2011-03-17,16550,17050,16400,17000,840721,0.011904761904761862
2011-03-18,17150,17600,16950,17200,1512337,0.0117647058823529
2011-03-21,17300,17600,17200,17500,806167,0.01744186046511631
2011-03-22,17500,17650,17300,17600,998716,0.005714285714285783
2011-03-23,17600,17950,17350,17700,1927517,0.005681818181818121
2011-03-24,17850,17950,17700,17700,854678,0.0
2011-03-25,17850,17900,17500,17700,980419,0.0
2011-03-28,17750,18000,17250,17450,1359063,-0.01412429378531077
2011-03-29,17550,17650,17250,17600,816602,0.008595988538681931
2011-03-30,17800,18350,17700,18350,2490681,0.042613636363636465
2011-03-31,18600,19100,18550,18900,3828269,0.02997275204359684
2011-04-01,19000,19050,18650,18850,1293879,-0.002645502645502673
2011-04-04,18850,19350,18600,19300,2338626,0.023872679045092937
2011-04-05,19450,19550,18850,19000,1262898,-0.015544041450777257
2011-04-06,19000,19150,18300,18400,2184724,-0.03157894736842104
2011-04-07,18550,18600,18150,18400,1182923,0.0
2011-04-08,18450,18650,18000,18300,2041560,-0.005434782608695676
2011-04-11,18350,18350,17800,18050,1805567,-0.013661202185792365
2011-04-12,17950,18450,17850,18100,1605766,0.0027700831024930483
2011-04-13,18300,18400,18150,18350,1234196,0.013812154696132506
2011-04-14,18250,18300,17950,18300,1644287,-0.0027247956403270157
2011-04-15,18400,18800,18250,18600,1809665,0.016393442622950838
2011-04-18,18600,18650,17600,17750,2115835,-0.045698924731182755
2011-04-19,17450,17900,17300,17650,1370027,-0.005633802816901401
2011-04-20,17750,18450,17650,18150,1535780,0.028328611898017053
2011-04-21,18300,18500,17500,17800,2030251,-0.019283746556473802
2011-04-22,18000,18450,17800,18200,1945754,0.022471910112359605
2011-04-25,18350,18450,18000,18200,984712,0.0
2011-04-26,18350,18900,18050,18750,2128126,0.030219780219780112
2011-04-27,18850,19500,18500,19350,3493999,0.03200000000000003
2011-04-28,19900,20150,19400,19950,4769032,0.03100775193798455
2011-04-29,19850,20950,19650,20550,4590831,0.03007518796992481
2011-05-02,20850,20900,20200,20450,1875815,-0.0048661800486617945
2011-05-03,20300,20350,19800,19950,1324711,-0.02444987775061125
2011-05-04,20000,20050,19250,19450,1813033,-0.02506265664160401
2011-05-06,19250,19750,19100,19350,1668548,-0.005141388174807249
2011-05-09,19450,19500,18850,18900,1535936,-0.023255813953488413
2011-05-11,19050,19200,18700,19100,1470796,0.010582010582010692
2011-05-12,19000,19050,18500,18500,1635490,-0.03141361256544506
2011-05-13,18600,18750,18050,18400,1547569,-0.00540540540540535
