Date,Open,High,Low,Close,Volume,Change
2011-01-03,590,590,569,575,3980,-0.008620689655172376
2011-01-04,578,580,578,580,2990,0.008695652173912993
2011-01-05,580,580,566,575,930,-0.008620689655172376
2011-01-06,575,579,564,578,4610,0.00521739130434784
2011-01-07,605,605,570,580,4450,0.0034602076124568004
2011-01-10,571,598,571,598,1960,0.03103448275862064
2011-01-11,595,595,590,590,250,-0.013377926421404673
2011-01-12,590,607,590,606,3630,0.027118644067796627
2011-01-13,610,610,594,607,3910,0.0016501650165017256
2011-01-14,607,610,586,606,7420,-0.0016474464579900872
2011-01-17,619,635,604,604,22344,-0.0033003300330033403
2011-01-18,604,604,578,586,7011,-0.0298013245033113
2011-01-19,585,598,579,598,3300,0.020477815699658786
2011-01-20,585,593,574,584,1710,-0.02341137123745818
2011-01-21,585,585,573,583,800,-0.001712328767123239
2011-01-24,583,583,560,583,1020,0.0
2011-01-25,583,585,567,584,1950,0.0017152658662091813
2011-01-26,584,591,557,579,2470,-0.008561643835616417
2011-01-27,577,579,571,579,640,0.0
2011-01-28,589,589,589,589,10,0.017271157167530138
2011-01-31,589,595,569,595,6330,0.01018675721561979
2011-02-01,570,570,570,570,70,-0.04201680672268904
2011-02-07,588,588,560,565,1310,-0.00877192982456143
2011-02-08,567,590,565,565,360,0.0
2011-02-09,565,565,541,544,1960,-0.03716814159292037
2011-02-10,547,575,537,565,1080,0.03860294117647056
2011-02-11,542,560,542,560,330,-0.008849557522123908
2011-02-14,550,557,550,552,770,-0.014285714285714235
2011-02-15,552,552,552,552,10,0.0
2011-02-16,560,560,560,560,10,0.01449275362318847
2011-02-17,532,558,502,539,9630,-0.03749999999999998
2011-02-18,527,550,525,546,2270,0.01298701298701288
2011-02-21,522,544,522,540,112,-0.01098901098901095
2011-02-22,535,535,514,535,100,-0.0092592592592593
2011-02-23,535,535,535,535,10,0.0
2011-02-24,533,534,517,531,900,-0.00747663551401867
2011-02-25,529,559,529,555,1690,0.04519774011299438
2011-02-28,531,548,521,545,2640,-0.018018018018018056
2011-03-02,523,557,523,557,950,0.022018348623853212
2011-03-03,557,557,555,556,870,-0.0017953321364452268
2011-03-04,537,570,537,569,2580,0.023381294964028854
2011-03-07,560,560,560,560,30,-0.01581722319859402
2011-03-08,550,575,547,550,1430,-0.017857142857142905
2011-03-09,545,549,541,547,940,-0.00545454545454549
2011-03-10,547,549,536,549,1330,0.003656307129798808
2011-03-11,541,555,531,548,4110,-0.0018214936247723523
2011-03-14,549,549,523,546,1380,-0.0036496350364964014
2011-03-15,536,546,519,535,1200,-0.020146520146520186
2011-03-16,511,537,511,536,340,0.0018691588785046953
2011-03-17,529,529,529,529,40,-0.013059701492537323
2011-03-18,528,535,519,535,940,0.011342155009451904
2011-03-21,541,541,530,537,1190,0.0037383177570093906
