Date,Open,High,Low,Close,Volume,Change
2016-09-07,2231,2428,2114,2115,2018724,
2016-09-08,2130,2146,2114,2126,235182,0.005200945626477438
2016-09-09,2125,2157,2114,2115,248390,-0.005174035747883332
2016-09-12,2125,2130,2120,2126,26932,0.005200945626477438
2016-09-13,2136,2141,2125,2126,8713,0.0
2016-09-19,2173,2173,2125,2136,52980,0.00470366886171214
2016-09-20,2146,2146,2120,2126,14972,-0.004681647940074862
2016-09-21,2120,2136,2120,2131,40982,0.002351834430855959
2016-09-22,2130,2141,2125,2126,15822,-0.002346316283434957
2016-09-23,2125,2130,2125,2131,5834,0.002351834430855959
2016-09-26,2125,2125,2120,2126,4642,-0.002346316283434957
2016-09-27,2125,2125,2120,2120,9551,-0.002822201317027262
2016-09-28,2120,2130,2120,2131,11261,0.005188679245283101
2016-09-29,2120,2130,2120,2126,12061,-0.002346316283434957
2016-09-30,2125,2125,2120,2126,12843,0.0
2016-10-04,2120,2125,2114,2126,2655,0.0
2016-10-05,2125,2125,2114,2126,7527,0.0
2016-10-06,2120,2120,2109,2120,16807,-0.002822201317027262
2016-10-07,2120,2120,2114,2115,3981,-0.002358490566037763
2016-10-10,2120,2125,2120,2126,2015,0.005200945626477438
2016-10-11,2189,2189,2125,2126,8012,0.0
2016-10-12,2130,2130,2130,2131,99,0.002351834430855959
2016-10-13,2152,2152,2130,2131,4550,0.0
2016-10-14,2168,2168,2130,2147,3529,0.0075082121069920404
2016-10-17,2146,2146,2136,2147,8179,0.0
2016-10-18,2146,2146,2130,2147,5502,0.0
2016-10-19,2152,2152,2120,2126,6274,-0.00978108989287374
2016-10-20,2120,2141,2120,2142,204,0.007525870178739513
2016-10-21,2125,2125,2120,2120,1094,-0.010270774976657293
2016-10-24,2125,2130,2114,2126,10174,0.002830188679245227
2016-10-25,2146,2146,2125,2147,12670,0.009877704609595472
2016-10-26,2157,2157,2125,2126,3,-0.00978108989287374
2016-10-27,2125,2146,2104,2142,14819,0.007525870178739513
2016-10-28,2152,2152,2109,2131,16603,-0.0051353874883286466
2016-10-31,2141,2141,2120,2142,16698,0.005161895823557083
2016-11-01,2125,2125,2099,2126,10563,-0.007469654528478031
2016-11-02,2125,2200,2120,2120,4844,-0.002822201317027262
2016-11-03,2136,2136,2120,2120,11,0.0
2016-11-04,2114,2130,2114,2131,1239,0.005188679245283101
2016-11-07,2120,2136,2120,2136,50,0.002346316283434957
2016-11-08,2162,2162,2114,2120,4525,-0.0074906367041198685
2016-11-09,2120,2125,2099,2115,27103,-0.002358490566037763
2016-11-10,2114,2120,2114,2120,25670,0.0023640661938533203
2016-11-11,2114,2125,2114,2120,31576,0.0
2016-11-14,2114,2125,2114,2115,6154,-0.002358490566037763
