Date,Open,High,Low,Close,Volume,Change
2013-07-17,13735,15788,13415,14009,4220159,
2013-07-18,14374,14511,12320,12960,1184244,-0.07488043400670996
2013-07-19,12959,13187,12503,12686,564263,-0.021141975308641925
2013-07-22,12868,13050,12366,13051,600938,0.028771874507330875
2013-07-23,13050,13279,12822,13142,297634,0.0069726457742702586
2013-07-24,13005,13142,12685,12686,244924,-0.034697915081418396
2013-07-25,12640,12731,12046,12047,216622,-0.0503704871511903
2013-07-26,12092,12412,11773,12230,211827,0.015190503859882076
2013-07-29,12229,12275,11636,11636,144490,-0.04856909239574814
2013-07-30,11681,12001,11134,11134,223945,-0.04314197318666213
2013-07-31,11316,11316,10951,11134,158224,0.0
2013-08-01,11179,11271,10860,10997,290164,-0.012304652416022965
2013-08-02,11043,12640,10951,11591,1244801,0.054014731290351836
2013-08-05,11636,11773,11316,11408,250983,-0.015788111465792398
2013-08-06,11499,11773,11362,11454,204960,0.0040322580645162365
2013-08-07,11362,11773,11043,11043,329849,-0.03588266107909899
2013-08-08,11179,11362,10586,10587,251409,-0.04129312686769904
2013-08-09,10678,10814,10541,10632,86054,0.004250495891187311
2013-08-12,10586,10814,10267,10267,114577,-0.03433032355154253
2013-08-13,10130,10449,10039,10222,98231,-0.004382974578747478
2013-08-14,10312,10906,10267,10404,231046,0.017804734885541018
2013-08-16,10267,10541,10221,10313,81540,-0.008746635909265721
2013-08-19,10176,10221,9491,9628,444778,-0.06642102201105404
2013-08-20,9719,10039,9354,9628,321122,0.0
2013-08-21,9582,9856,9126,9628,181986,0.0
2013-08-22,9582,10039,9400,9765,294051,0.014229331117573851
2013-08-23,9947,10221,9810,9994,190558,0.023451100870455655
2013-08-26,10039,10267,9810,10039,164369,0.00450270162097266
2013-08-27,9947,10997,9947,10404,728418,0.036358203008267864
2013-08-28,10267,10678,10221,10313,347674,-0.008746635909265721
2013-08-29,10449,10541,10084,10176,219821,-0.013284204402210786
2013-08-30,10221,10586,9765,9765,453983,-0.040389150943396235
2013-09-02,9856,10084,9765,9948,90137,0.018740399385560602
2013-09-03,9993,10221,9947,10130,85969,0.018295134700442306
2013-09-04,10221,10495,9902,9948,150187,-0.01796643632773942
2013-09-05,10039,10176,9810,9811,100135,-0.013771612384398835
2013-09-06,9902,9947,9628,9720,79893,-0.009275303231067178
2013-09-09,9719,9856,9400,9446,101411,-0.028189300411522678
2013-09-10,9491,9674,9400,9537,55078,0.009633707389371082
2013-09-11,9810,9947,9674,9765,99895,0.023906888958792116
2013-09-12,9810,10358,9765,10130,221312,0.03737839221710182
2013-09-13,10312,10769,10221,10450,356060,0.031589338598223105
2013-09-16,10404,10404,9947,9994,168630,-0.043636363636363584
2013-09-17,10039,10084,9719,9765,99289,-0.022913748248949317
2013-09-23,9674,9810,9582,9628,108129,-0.01402969790066566
2013-09-24,9628,9902,9537,9674,85371,0.004777731616119718
2013-09-25,9674,9810,9445,9492,90205,-0.01881331403762665
2013-09-26,9582,9674,9491,9674,48748,0.019174041297935096
2013-09-27,9674,10267,9674,10085,168424,0.04248501137068428
2013-09-30,10084,10267,9947,10222,76881,0.013584531482399687
2013-10-01,10130,10586,9993,10130,180099,-0.00900019565642729
2013-10-02,10358,10495,10267,10450,134482,0.031589338598223105
2013-10-04,10404,10449,10084,10176,65421,-0.02622009569377992
2013-10-07,10267,10723,10221,10359,163602,0.017983490566037652
2013-10-08,10358,10860,10221,10815,233410,0.044019693020561856
2013-10-10,10906,11545,10814,11271,417308,0.04216366158113738
2013-10-11,11499,11727,11088,11408,277907,0.012155088279655724
2013-10-14,11545,11590,10997,11180,143916,-0.01998597475455821
2013-10-15,11271,11727,10951,11728,221839,0.04901610017889091
2013-10-16,11681,11910,10723,10815,363744,-0.07784788540245569
2013-10-17,11088,11271,10449,11134,234595,0.029496070272769348
2013-10-18,11043,11225,10814,10815,75375,-0.028650978983294384
2013-10-21,11088,11088,10814,10861,71051,0.004253351826167373
