Date,Open,High,Low,Close,Volume,Change
2013-10-31,44443,51109,44443,47056,2006001,
2013-11-01,47387,47831,44721,45833,596191,-0.02599030941856506
2013-11-04,45665,46831,42999,46056,428278,0.004865489930835798
2013-11-05,46610,52722,46222,51389,716010,0.11579381622372753
2013-11-06,52222,52444,49776,50222,161367,-0.02270914008834579
2013-11-07,50222,52222,48722,52222,142409,0.03982318505834104
2013-11-08,51221,53331,50609,51556,83133,-0.01275324575849257
2013-11-11,53166,53722,48888,48889,117850,-0.05173015749864229
2013-11-12,49443,50275,46997,49611,95960,0.01476814825420858
2013-11-13,49444,49722,48222,48222,35770,-0.027997823063433458
2013-11-14,49054,49054,46500,46944,76612,-0.02650242627846211
2013-11-15,46944,47500,45000,45167,96957,-0.03785361281526922
2013-11-18,45944,46832,44776,45167,89498,0.0
2013-11-19,45832,46054,44500,44500,68920,-0.014767418690637024
2013-11-20,44666,45054,43388,44444,69232,-0.001258426966292081
2013-11-21,44054,44610,43388,43389,39706,-0.023737737377373724
2013-11-22,43722,47054,43722,45667,126178,0.05250178616700096
2013-11-25,45943,47387,45443,47333,97987,0.03648148553660202
2013-11-26,47275,48887,46387,47778,152898,0.009401474658272235
2013-11-27,47776,49110,47666,47722,72767,-0.0011720875716857426
2013-11-28,47665,48609,47275,47833,78748,0.0023259712501570995
2013-11-29,47832,49110,47222,49000,112234,0.02439738256015711
2013-12-02,47776,49944,47387,49000,309744,0.0
2013-12-03,48887,49609,47331,47778,123844,-0.02493877551020407
2013-12-04,47831,48331,46887,47056,49578,-0.015111557620662186
2013-12-05,46888,47388,46110,47000,34913,-0.0011900714042842875
2013-12-06,46722,47444,46444,46500,28775,-0.010638297872340385
2013-12-09,46610,47000,43722,44000,144493,-0.053763440860215006
2013-12-10,43610,44444,41944,43500,225567,-0.011363636363636354
2013-12-11,44166,45444,43444,44167,131173,0.015333333333333421
2013-12-12,43610,44166,42054,42222,113368,-0.04403740349129437
2013-12-13,42665,43665,42275,43333,83756,0.0263132963857704
2013-12-16,43331,44499,42831,42833,45623,-0.011538550296540717
2013-12-17,42887,43443,40387,40556,136437,-0.05315994677001379
2013-12-18,40609,43887,39943,43278,302908,0.06711707268961442
2013-12-19,43832,45666,43444,44722,160506,0.033365682332825
2013-12-20,44721,46109,44387,45833,75453,0.02484235946514013
2013-12-23,45554,45832,44776,45000,55683,-0.018174677634019143
2013-12-24,45110,46722,44722,46667,117792,0.037044444444444435
2013-12-26,49499,49775,46499,46611,715925,-0.0011999914286326963
2013-12-27,47331,52887,47053,50556,332419,0.08463667374654049
2013-12-30,51943,54721,50331,54556,265563,0.07912018355882577
2014-01-02,55499,55721,53053,53611,188953,-0.017321651147444772
2014-01-03,53163,53275,51387,53056,148401,-0.010352353061871655
2014-01-06,53054,53332,51610,53000,83864,-0.0010554885404101544
2014-01-07,52222,54888,51942,54722,123687,0.032490566037735924
2014-01-08,54722,55276,52388,52389,160425,-0.04263367566974896
2014-01-09,52275,53553,51221,52278,101988,-0.002118765389681032
2014-01-10,52666,53166,51776,53167,67257,0.01700524121045177
2014-01-13,53554,56000,52776,54889,239577,0.03238851167077317
2014-01-14,55443,56109,54441,55556,180769,0.012151797263568298
2014-01-15,59775,60443,54997,55556,237675,0.0
2014-01-16,56553,57553,55443,55556,93272,0.0
2014-01-17,56221,57443,55275,56111,68078,0.009989920080639259
2014-01-20,55666,58222,55554,58000,95531,0.03366541319883809
2014-01-21,58110,58444,56776,58222,50972,0.003827586206896605
2014-01-22,58222,64776,57444,63000,162053,0.08206519872213258
2014-01-23,63000,70222,61998,67667,241557,0.07407936507936519
2014-01-24,67999,71775,66665,68111,185881,0.006561544031802757
2014-01-27,66221,70109,66109,67111,113338,-0.014681916283713403
2014-01-28,67887,68331,63775,64111,108895,-0.04470206076500127
2014-01-29,64776,66444,64110,65667,79065,0.024270406014568424
2014-02-03,63888,64554,61666,63444,108850,-0.0338526200374617
2014-02-04,62222,63444,61444,62222,85589,-0.019261080638042993
2014-02-05,63110,67110,63110,66000,133221,0.06071807399312146
2014-02-06,66110,68110,65998,66667,127202,0.010106060606060563
2014-02-07,65331,68775,64775,68778,234214,0.031664841675791644
2014-02-10,69222,69888,67000,67222,141362,-0.0226235133327517
2014-02-11,67443,67775,64775,65556,149862,-0.024783553003481007
2014-02-12,65999,66109,61997,62333,280114,-0.04916407346390872
2014-02-13,63553,66221,62331,66111,303343,0.06060994978582768
2014-02-14,65775,66999,64887,65556,134566,-0.00839497209239004
2014-02-17,65999,66221,62775,63111,166777,-0.03729635731283176
2014-02-18,63000,63888,61999,63000,128944,-0.0017588059133907263
2014-02-19,63888,64554,62666,62889,125148,-0.0017619047619047423
2014-02-20,63776,65222,62332,65000,125608,0.0335670785033948
2014-02-21,65999,66775,64553,66111,158536,0.01709230769230774
2014-02-24,66554,67666,65554,66667,130747,0.008410098168232238
2014-02-25,67110,67444,66000,67000,80396,0.004994975025124804
2014-02-26,67222,71222,66776,71000,300725,0.05970149253731338
2014-02-27,71554,73110,70554,71222,174536,0.0031267605633802376
2014-02-28,71666,74110,71332,71667,166921,0.006248069416753266
2014-03-03,70888,73332,70888,71222,94469,-0.006209273445239805
2014-03-04,71110,72000,70888,71444,80882,0.003117014405661145
2014-03-05,72222,75776,72110,75444,237985,0.05598790661217179
2014-03-06,75222,76776,75222,75444,120308,0.0
2014-03-07,77776,78554,75554,76222,140800,0.01031228460845135
2014-03-10,75775,77553,74665,75111,102877,-0.014575844244443914
2014-03-11,75776,76110,73666,74667,118015,-0.0059112513480049644
2014-03-12,75553,77775,74999,75778,212074,0.014879397859830945
2014-03-13,76665,77775,75109,77778,114425,0.026392884478344536
2014-03-14,77222,78444,75554,75667,130646,-0.02714135102471138
2014-03-17,75666,75666,72000,73222,179302,-0.03231263298399567
2014-03-18,74221,74887,72999,73778,65945,0.007593346262052325
2014-03-19,74553,77553,74331,77333,148915,0.04818509582802455
2014-03-20,77554,79444,77222,79444,160027,0.0272975314548769
2014-03-21,80000,80222,78332,79444,75732,0.0
2014-03-24,79221,79221,74553,75333,207419,-0.05174714264135738
2014-03-25,74222,74332,69222,72000,416437,-0.04424355859981677
2014-03-26,73221,73221,69331,71556,171087,-0.006166666666666654
2014-03-27,71110,73000,69666,70000,136922,-0.02174520655151213
2014-03-28,70554,71444,68332,68889,104410,-0.015871428571428536
2014-03-31,68888,70222,66222,67889,276773,-0.014516105619184483
2014-04-01,68665,73553,67999,73556,382120,0.0834744951317592
2014-04-02,73887,74887,72221,73778,132539,0.003018108651911433
2014-04-03,74332,74332,69888,70444,140780,-0.04518962292282247
2014-04-04,69998,70666,67666,68667,196370,-0.025225711203225254
2014-04-07,67110,67110,63000,64000,352501,-0.06796568948694426
2014-04-08,63444,64888,61666,62222,281525,-0.02778124999999998
2014-04-09,63109,66331,62775,66111,340621,0.0625020089357462
2014-04-10,67222,68554,65110,67667,207907,0.023536174010376554
2014-04-11,65665,68331,64997,67111,120237,-0.008216708292077324
2014-04-14,67109,69443,66221,69111,131526,0.029801373843334256
2014-04-15,69110,69444,68000,68889,63032,-0.0032122238138646564
2014-04-16,68666,69888,67888,67889,67434,-0.014516105619184483
2014-04-17,68331,69221,66999,67333,72180,-0.008189839296498747
2014-04-18,67776,68776,66222,67444,83790,0.0016485230124900774
2014-04-21,66888,68000,64776,64889,99890,-0.03788328094419069
2014-04-22,65000,68000,63888,67889,126133,0.046232797546579496
2014-04-23,67776,69222,66998,68222,95331,0.004905065621823912
2014-04-24,68665,70553,67775,69556,144213,0.01955380962152975
2014-04-25,70109,70999,66221,67778,137031,-0.02556213698315024
2014-04-28,66665,68443,65665,67778,66571,0.0
2014-04-29,66665,69443,66665,67778,77719,0.0
2014-04-30,68775,71665,68331,70111,220638,0.03442119861902082
2014-05-02,70109,71331,69887,70556,90636,0.006347078204561374
2014-05-07,70331,72553,70331,72111,149175,0.02203923124893703
2014-05-08,72110,72110,66888,68222,411352,-0.05393074565600253
2014-05-09,69000,70110,67332,67444,131336,-0.011403945941191984
2014-05-12,67887,69775,66775,69333,87803,0.028008421801791084
2014-05-13,69444,70222,68888,69444,89903,0.0016009692354290728
2014-05-14,69775,69999,68331,69556,69613,0.0016128103219861245
2014-05-15,69331,71109,68665,70333,92831,0.011170855138305846
2014-05-16,68776,68888,65332,65889,356017,-0.06318513357883215
2014-05-19,67110,67332,66000,66000,106062,0.0016846514592723238
2014-05-20,66775,67443,63999,64556,104138,-0.02187878787878783
2014-05-21,64443,66443,64331,65556,87120,0.015490426916165756
2014-05-22,66776,69110,66222,68889,162340,0.05084202818963934
2014-05-23,69554,70888,69110,70889,173693,0.029032211238368966
2014-05-26,71888,71888,69000,69000,96688,-0.02664729365627949
2014-05-27,69554,71110,68998,70667,124533,0.024159420289855182
2014-05-28,71776,73000,70666,70889,173960,0.0031414946155914336
2014-05-29,71110,73888,69666,73667,220868,0.03918802635105578
2014-05-30,73221,75553,72443,75556,165001,0.025642417907611348
2014-06-02,76110,76776,72666,74000,159409,-0.02059399650590288
2014-06-03,73553,73999,71109,71778,96971,-0.030027027027026976
2014-06-05,72109,75999,71887,75556,220397,0.052634511967455166
