Date,Open,High,Low,Close,Volume,Change
2011-01-03,6160,6189,6060,6060,2257,-0.03809523809523807
2011-01-04,6100,6100,5850,5990,3800,-0.011551155115511524
2011-01-05,5910,6099,5910,6010,2118,0.0033388981636059967
2011-01-06,5960,6030,5940,5990,7831,-0.0033277870216306127
2011-01-07,5920,6030,5920,6030,7463,0.006677796327211993
2011-01-10,6030,6050,5930,6050,2250,0.0033167495854062867
2011-01-11,6000,6059,5960,6030,3370,-0.0033057851239669533
2011-01-12,5980,6040,5960,5960,2390,-0.011608623548922004
2011-01-13,5950,6010,5880,6000,2085,0.006711409395973256
2011-01-14,6000,6000,5899,5950,332,-0.008333333333333304
2011-01-17,5950,5950,5830,5870,2742,-0.013445378151260456
2011-01-18,5910,5910,5820,5860,267,-0.0017035775127768327
2011-01-19,5859,6190,5859,6170,28675,0.05290102389078499
2011-01-20,6200,6320,5900,6140,6776,-0.004862236628849326
2011-01-21,6140,6300,6110,6200,3024,0.009771986970684043
2011-01-24,6200,6200,6010,6080,1447,-0.01935483870967747
2011-01-25,6130,6200,5980,6050,841,-0.004934210526315819
2011-01-26,6080,6290,5970,6290,4679,0.03966942148760322
2011-01-27,6280,6330,6150,6270,6712,-0.0031796502384737746
2011-01-28,6270,6270,6040,6250,4444,-0.0031897926634768536
2011-01-31,6230,6230,6060,6120,2020,-0.02080000000000004
2011-02-01,6130,6130,5990,6040,2340,-0.013071895424836555
2011-02-07,6050,6160,6029,6140,2485,0.01655629139072845
2011-02-08,6140,6150,5980,6130,2027,-0.0016286644951140072
2011-02-09,6060,6070,5980,6010,3617,-0.019575856443719397
2011-02-10,6040,6080,5960,6080,1861,0.011647254575707144
2011-02-11,6080,6080,5960,6020,2809,-0.009868421052631526
2011-02-14,6019,6070,6010,6010,732,-0.0016611295681062677
2011-02-15,6010,6010,5960,5990,1368,-0.0033277870216306127
2011-02-16,5949,6080,5949,6060,3736,0.011686143572620988
2011-02-17,5979,6059,5899,5950,2485,-0.018151815181518205
2011-02-18,5910,6040,5910,6040,461,0.015126050420168013
2011-02-21,6100,6100,5850,5980,3184,-0.009933774834437137
2011-02-22,5970,5970,5790,5910,2299,-0.01170568561872909
2011-02-23,5830,5830,5750,5790,2080,-0.02030456852791873
2011-02-24,5740,5740,5680,5740,731,-0.008635578583765069
2011-02-25,5570,5860,5570,5800,182,0.010452961672473782
2011-02-28,5800,5829,5650,5820,506,0.0034482758620688614
2011-03-02,5810,5810,5660,5800,960,-0.0034364261168384758
2011-03-03,5800,5880,5780,5880,1117,0.01379310344827589
2011-03-04,5800,5870,5800,5870,194,-0.00170068027210879
2011-03-07,5730,5880,5730,5850,341,-0.0034071550255536653
2011-03-08,5850,5920,5810,5900,275,0.008547008547008517
2011-03-09,5899,6000,5899,5950,899,0.008474576271186418
2011-03-10,5910,5990,5910,5950,192,0.0
2011-03-11,5950,6179,5859,6050,1587,0.01680672268907557
2011-03-14,5930,6110,5930,6110,848,0.009917355371900749
