Date,Open,High,Low,Close,Volume,Change
2011-01-03,7864,7864,7589,7766,968462,0.0
2011-01-04,7690,7765,7464,7590,1372903,-0.022662889518413554
2011-01-05,7614,8691,7564,8317,7212037,0.09578392621870879
2011-01-06,8265,8966,8115,8968,6270359,0.07827341589515457
2011-01-07,8992,9218,8792,9068,4158454,0.011150758251561088
2011-01-10,8991,9217,8741,8993,3222167,-0.00827084252315835
2011-01-11,9043,9368,8892,9243,3773142,0.02779939953297017
2011-01-12,9292,9668,9142,9444,4304931,0.021746186303148285
2011-01-13,9518,9543,9317,9469,1358753,0.00264718339686576
2011-01-14,9467,9643,9092,9469,3022441,0.0
2011-01-17,9442,9693,9317,9444,2071883,-0.0026401943183018695
2011-01-18,9318,10295,9318,10245,7072716,0.08481575603557823
2011-01-19,10270,10370,9944,10220,3801294,-0.0024402147388969953
2011-01-20,10294,11146,10219,10897,8075023,0.06624266144814084
2011-01-21,10995,12323,10595,10972,15190710,0.006882628246306366
2011-01-24,11372,12600,11297,12600,24931403,0.14837768866204892
2011-01-25,13276,13476,10721,11172,51025161,-0.11333333333333329
2011-01-26,11022,11573,10470,11072,17271034,-0.0089509488005729
2011-01-27,11497,12249,11272,12224,18564151,0.10404624277456653
2011-01-28,11922,12198,11171,11774,9068061,-0.036812827225130906
2011-01-31,11698,12099,11322,11548,5866359,-0.019194836079497235
2011-02-01,11446,11597,11146,11323,3659851,-0.019483893314859668
2011-02-07,11547,12123,11471,11899,6084550,0.05086991080102443
2011-02-08,11898,11948,11347,11598,3822844,-0.025296243381796812
2011-02-09,11747,11747,11371,11423,2674381,-0.01508880841524396
2011-02-10,11573,11923,11322,11673,4482026,0.021885669263766117
2011-02-11,11823,12725,11748,12124,11038278,0.038636168936862836
2011-02-14,12274,12399,11873,12124,4177705,0.0
2011-02-15,12248,12599,12048,12350,4799312,0.01864071263609368
2011-02-16,12123,12448,11972,12300,4650968,-0.004048582995951455
2011-02-17,12525,12675,12149,12525,7536893,0.018292682926829285
2011-02-18,12324,12575,12149,12500,4054003,-0.001996007984031989
2011-02-21,12549,12699,12273,12400,4201028,-0.008000000000000007
2011-02-22,12398,12448,11697,11949,4182892,-0.03637096774193549
2011-02-23,11848,12199,11748,12049,2986643,0.008368901163277265
2011-02-24,11972,12098,11772,11799,2254567,-0.02074860984314053
2011-02-25,11748,13552,11748,13552,10095055,0.14857191287397242
2011-02-28,13326,14504,13051,13552,16633575,0.0
2011-03-02,13400,14027,13125,13778,7381626,0.016676505312869017
2011-03-03,13951,14227,13676,13978,7010619,0.01451589490492089
2011-03-04,14127,14703,13876,14279,7158382,0.021533838889683743
2011-03-07,14378,14604,14103,14228,3525415,-0.0035716786889837815
2011-03-08,14202,14202,13375,13878,7025426,-0.02459938150126506
2011-03-09,14228,14478,13552,13652,4227761,-0.01628476725752992
2011-03-10,13651,14853,13375,14479,7867596,0.060577204805156715
2011-03-11,14278,14979,14053,14579,3866627,0.006906554320049718
