Date,Open,High,Low,Close,Volume,Change
2018-11-14,25450,25800,20000,20100,2992520,
2018-11-15,20100,21050,18950,20250,889900,0.00746268656716409
2018-11-16,20450,20550,19350,19350,465586,-0.0444444444444444
2018-11-19,19100,19500,18650,18750,310994,-0.03100775193798455
2018-11-20,19000,19700,18650,19000,503318,0.01333333333333342
2018-11-21,19700,20250,18650,18850,630236,-0.007894736842105288
2018-11-22,18750,18750,17300,17300,331265,-0.08222811671087538
2018-11-23,17200,17700,16250,16250,324233,-0.06069364161849711
2018-11-26,16500,17000,16050,16300,179741,0.003076923076922977
2018-11-27,16350,17700,16200,17550,343257,0.07668711656441718
2018-11-28,17250,17800,17050,17400,164144,-0.008547008547008517
2018-11-29,17650,18350,17250,17250,134760,-0.008620689655172376
2018-11-30,17200,17450,17100,17100,60862,-0.008695652173912993
2018-12-03,17100,17500,17050,17100,72213,0.0
2018-12-04,17200,17350,17000,17200,59553,0.005847953216374213
2018-12-05,17000,17000,16500,16800,80589,-0.023255813953488413
2018-12-06,16650,17050,16200,16200,60450,-0.0357142857142857
2018-12-07,16250,16750,15650,15700,59595,-0.030864197530864224
2018-12-10,15500,15950,14900,15400,58581,-0.019108280254777066
2018-12-11,15400,15500,14750,14750,47849,-0.04220779220779225
2018-12-12,14650,15300,14600,15300,45312,0.03728813559322042
2018-12-13,15300,15400,15000,15100,28036,-0.013071895424836555
2018-12-14,15200,15200,14550,14600,37543,-0.0331125827814569
2018-12-17,14550,14850,14000,14300,41144,-0.020547945205479423
2018-12-18,14050,14600,14000,14300,31427,0.0
2018-12-19,14300,15750,14300,15600,102447,0.09090909090909083
2018-12-20,15350,16550,15000,15900,107400,0.019230769230769162
2018-12-21,15700,16550,15700,16400,73770,0.03144654088050314
2018-12-24,16500,17100,16250,16450,58293,0.0030487804878047697
2018-12-26,16000,16150,15400,15950,47641,-0.03039513677811545
2018-12-27,16300,16500,15750,15900,39278,-0.0031347962382445305
2018-12-28,15900,16200,15400,15850,43548,-0.0031446540880503138
2019-01-02,15850,16150,15100,15300,26147,-0.034700315457413256
2019-01-03,15300,15600,15000,15100,15963,-0.013071895424836555
2019-01-04,14900,15200,14400,15000,33968,-0.0066225165562914245
2019-01-07,15650,15650,14950,15100,21801,0.006666666666666599
2019-01-08,15100,15400,14500,15050,17370,-0.0033112582781457123
2019-01-09,15250,16300,14900,15900,75263,0.056478405315614655
2019-01-10,16250,17200,15900,16800,200381,0.05660377358490565
2019-01-11,16800,17050,16250,16700,59079,-0.005952380952380931
2019-01-14,16650,18350,16400,17900,377047,0.0718562874251496
2019-01-15,18250,19000,18050,18400,265540,0.027932960893854775
2019-01-16,18350,19000,17250,17700,244639,-0.03804347826086951
2019-01-17,17700,18000,16700,16750,100551,-0.053672316384180796
2019-01-18,16750,17300,16700,17000,58938,0.014925373134328401
2019-01-21,17000,17350,16450,16850,35653,-0.008823529411764675
2019-01-22,16650,17000,16600,16850,36203,0.0
2019-01-23,17000,18400,17000,18200,299201,0.0801186943620178
2019-01-24,18250,18500,17500,18300,583639,0.005494505494505475
2019-01-25,18300,19300,17900,19000,361681,0.03825136612021862
2019-01-28,19350,19350,18350,18450,179489,-0.02894736842105261
2019-01-29,18500,18950,17900,17950,84578,-0.027100271002710064
2019-01-30,17950,19100,17900,19000,125101,0.058495821727019504
2019-01-31,19400,19650,18400,18450,145568,-0.02894736842105261
2019-02-01,18600,18900,18000,18200,78963,-0.013550135501354976
2019-02-07,18400,18450,17950,18200,65965,0.0
2019-02-08,18300,18300,17850,18100,57113,-0.005494505494505475
2019-02-11,18100,18700,17550,18550,88222,0.024861878453038777
2019-02-12,18900,18900,17950,18400,57600,-0.008086253369272267
2019-02-13,18550,18550,17100,18000,94013,-0.021739130434782594
2019-02-14,18000,18200,17500,17800,53347,-0.011111111111111072
2019-02-15,17850,17850,17200,17400,81125,-0.022471910112359605
2019-02-18,17400,17900,17300,17750,48961,0.02011494252873569
2019-02-19,17800,18050,17350,17600,61349,-0.008450704225352101
2019-02-20,17750,18050,17500,17900,41868,0.017045454545454586
2019-02-21,18050,18050,17700,17950,32286,0.0027932960893854997
2019-02-22,18200,18200,17650,17850,29654,-0.005571030640668551
2019-02-25,18000,18000,17650,17900,41368,0.0028011204481792618
2019-02-26,17800,19250,17800,19150,294672,0.06983240223463683
2019-02-27,19450,19450,18750,19100,145867,-0.0026109660574412663
2019-02-28,19150,20250,18800,19200,376642,0.005235602094240788
2019-03-04,19900,20650,19500,19700,243273,0.02604166666666674
2019-03-05,19700,20100,19400,19800,81109,0.0050761421319796
2019-03-06,20200,20500,19250,19650,110209,-0.007575757575757569
2019-03-07,19400,20400,19400,19750,144751,0.0050890585241729624
2019-03-08,19750,20550,19350,19850,138594,0.005063291139240533
2019-03-11,20250,22650,20100,22650,1075934,0.1410579345088161
2019-03-12,22600,22900,22100,22700,398856,0.002207505518763808
2019-03-13,23700,25000,22850,23250,838069,0.02422907488986792
2019-03-14,23300,24150,23050,23900,253843,0.027956989247311936
