Date,Open,High,Low,Close,Volume,Change
2011-01-03,1553,1613,1520,1567,99319,0.0356906807666888
2011-01-04,1563,1593,1500,1537,135524,-0.01914486279514993
2011-01-05,1499,1559,1499,1513,78130,-0.01561483409238773
2011-01-06,1516,1633,1493,1577,212782,0.042300066093853284
2011-01-07,1576,1700,1576,1660,380807,0.05263157894736836
2011-01-10,1660,1666,1580,1637,199105,-0.013855421686747027
2011-01-11,1613,1643,1553,1600,112543,-0.022602321319486918
2011-01-12,1596,1663,1583,1600,149959,0.0
2011-01-13,1600,1636,1550,1627,126965,0.016874999999999973
2011-01-14,1630,1663,1593,1650,143732,0.0141364474492931
2011-01-17,1756,1790,1686,1703,577137,0.03212121212121222
2011-01-18,1693,1740,1676,1700,140127,-0.0017615971814445297
2011-01-19,1700,1710,1646,1653,112727,-0.027647058823529358
2011-01-20,1643,1676,1630,1657,84279,0.002419842710223774
2011-01-21,1636,1666,1579,1583,124102,-0.04465902232951113
2011-01-24,1599,1606,1573,1593,42826,0.006317119393556503
2011-01-25,1593,1633,1553,1553,81761,-0.025109855618330235
2011-01-26,1590,1590,1516,1517,47706,-0.023180940115904658
2011-01-27,1513,1553,1493,1507,106450,-0.0065919578114700395
2011-01-28,1530,1543,1476,1507,67284,0.0
2011-01-31,1486,1500,1456,1480,89315,-0.01791639017916391
2011-02-01,1466,1533,1466,1513,82627,0.022297297297297236
2011-02-07,1520,1576,1520,1527,103978,0.009253139458030413
2011-02-08,1533,1533,1466,1507,54846,-0.013097576948264522
2011-02-09,1506,1530,1470,1477,111762,-0.01990710019907105
2011-02-10,1453,1493,1453,1460,124604,-0.011509817197021044
2011-02-11,1483,1486,1386,1453,104626,-0.004794520547945158
2011-02-14,1463,1466,1390,1407,84810,-0.031658637302133474
2011-02-15,1386,1423,1330,1340,144264,-0.04761904761904767
2011-02-16,1316,1350,1316,1327,80624,-0.00970149253731345
2011-02-17,1333,1333,1196,1223,233286,-0.07837226827430299
2011-02-18,1206,1333,1173,1267,141296,0.035977105478331994
2011-02-21,1256,1299,1256,1283,56254,0.012628255722178405
2011-02-22,1286,1316,1240,1277,47632,-0.004676539360872978
2011-02-23,1240,1293,1240,1247,37095,-0.023492560689115094
2011-02-24,1226,1280,1203,1247,42310,0.0
2011-02-25,1213,1263,1203,1240,51062,-0.005613472333600655
2011-02-28,1239,1296,1213,1223,45919,-0.013709677419354804
2011-03-02,1233,1246,1203,1233,15396,0.00817661488143906
2011-03-03,1203,1263,1203,1207,33696,-0.02108678021086785
2011-03-04,1236,1240,1210,1237,40543,0.024855012427506207
2011-03-07,1223,1306,1223,1293,76181,0.045270816491511656
2011-03-08,1300,1323,1266,1307,58577,0.010827532869296164
2011-03-09,1350,1350,1290,1300,50852,-0.005355776587605221
2011-03-10,1286,1333,1283,1320,85142,0.01538461538461533
2011-03-11,1290,1460,1286,1450,156096,0.0984848484848484
2011-03-14,1473,1480,1366,1437,215666,-0.008965517241379284
2011-03-15,1443,1466,1226,1377,119990,-0.04175365344467641
2011-03-16,1413,1419,1326,1363,93678,-0.010167029774872938
2011-03-17,1323,1366,1266,1303,88674,-0.044020542920029326
2011-03-18,1296,1359,1296,1323,35414,0.01534919416730629
2011-03-21,1310,1390,1310,1357,92286,0.02569916855631149
2011-03-22,1356,1386,1326,1367,68291,0.00736919675755332
2011-03-23,1373,1413,1356,1367,66167,0.0
2011-03-24,1353,1416,1353,1390,98177,0.016825164594001407
2011-03-25,1416,1460,1396,1427,116117,0.02661870503597119
2011-03-28,1433,1440,1383,1400,67123,-0.01892081289418357
2011-03-29,1420,1430,1353,1380,63690,-0.014285714285714235
2011-03-30,1400,1400,1356,1397,50971,0.01231884057971011
2011-03-31,1380,1426,1373,1390,55774,-0.005010737294201872
2011-04-01,1406,1436,1373,1420,73676,0.021582733812949728
2011-04-04,1420,1500,1420,1460,182283,0.028169014084507005
2011-04-05,1489,1493,1439,1463,108143,0.00205479452054802
2011-04-06,1566,1680,1533,1680,673556,0.14832535885167464
2011-04-07,1743,1886,1686,1717,2056577,0.022023809523809446
2011-04-08,1736,1953,1646,1767,1834975,0.02912055911473499
2011-04-11,1766,1936,1733,1833,1448119,0.03735144312393879
2011-04-12,1856,1880,1780,1840,503967,0.003818876159301654
2011-04-13,1820,1860,1703,1713,462543,-0.06902173913043474
2011-04-14,1733,1856,1710,1820,576071,0.0624635143023935
2011-04-15,1840,1920,1760,1787,849206,-0.01813186813186818
2011-04-18,1786,1886,1763,1773,469851,-0.007834359261331802
2011-04-19,1773,1790,1666,1713,287665,-0.03384094754653133
2011-04-20,1760,1773,1680,1713,187714,0.0
2011-04-21,1686,1790,1686,1727,305552,0.008172796263864468
2011-04-22,1753,1796,1713,1713,249284,-0.00810654313839032
2011-04-25,1733,1786,1706,1733,232236,0.01167542323409232
2011-04-26,1733,1766,1606,1607,266469,-0.07270628967109061
2011-04-27,1610,1646,1500,1500,265294,-0.06658369632856254
2011-04-28,1503,1546,1476,1500,89447,0.0
2011-04-29,1499,1593,1499,1533,101143,0.02200000000000002
2011-05-02,1536,1596,1533,1563,83282,0.019569471624266255
2011-05-03,1503,1613,1503,1517,62926,-0.02943058221369166
2011-05-04,1506,1560,1506,1540,57506,0.015161502966380969
2011-05-06,1566,1566,1486,1497,81273,-0.027922077922077904
2011-05-09,1516,1570,1486,1567,74862,0.046760187040748136
2011-05-11,1590,1626,1563,1600,84293,0.02105934907466489
2011-05-12,1593,1643,1560,1637,134852,0.023125000000000062
2011-05-13,1706,1766,1666,1673,350836,0.02199144777031159
2011-05-16,1679,1749,1526,1533,232460,-0.08368200836820083
2011-05-17,1530,1600,1423,1460,230305,-0.04761904761904767
2011-05-18,1443,1530,1326,1400,208634,-0.04109589041095896
2011-05-19,1400,1453,1336,1347,93157,-0.03785714285714281
2011-05-20,1346,1373,1299,1343,70203,-0.0029695619896065173
2011-05-23,1356,1356,1260,1280,130168,-0.04690990320178701
2011-05-24,1240,1353,1240,1317,69342,0.02890624999999991
2011-05-25,1306,1363,1266,1267,86670,-0.03796507213363709
2011-05-26,1326,1330,1270,1280,55544,0.010260457774269982
2011-05-27,1286,1343,1280,1310,49202,0.0234375
2011-05-30,1310,1360,1250,1280,82522,-0.022900763358778664
2011-05-31,1273,1300,1270,1300,42437,0.015625
2011-06-01,1326,1326,1289,1313,40361,0.010000000000000009
2011-06-02,1270,1300,1270,1287,51890,-0.01980198019801982
2011-06-03,1300,1300,1243,1250,55544,-0.028749028749028738
2011-06-07,1213,1263,1206,1233,132475,-0.013599999999999945
2011-06-08,1216,1266,1216,1263,40891,0.024330900243308973
2011-06-09,1233,1273,1230,1230,26248,-0.026128266033254133
2011-06-10,1233,1266,1200,1220,38903,-0.008130081300813052
2011-06-13,1206,1240,1156,1167,98417,-0.04344262295081969
2011-06-14,1153,1176,1143,1173,51944,0.005141388174807249
