Date,Open,High,Low,Close,Volume,Change
2011-01-03,8610,8770,8600,8700,165276,0.01754385964912286
2011-01-04,8750,8920,8700,8860,296711,0.01839080459770126
2011-01-05,8950,8950,8730,8800,205409,-0.006772009029345383
2011-01-06,8850,8880,8710,8810,214890,0.001136363636363713
2011-01-07,8830,9240,8830,9100,664857,0.03291713961407483
2011-01-10,9200,9320,9090,9100,396169,0.0
2011-01-11,9120,9140,8940,9080,202806,-0.00219780219780219
2011-01-12,9080,9300,9050,9060,339301,-0.0022026431718061845
2011-01-13,9080,9140,8880,8950,322624,-0.012141280353200834
2011-01-14,9000,9100,8860,9080,224199,0.01452513966480451
2011-01-17,9090,9270,9000,9000,348483,-0.008810572687224627
2011-01-18,8950,9180,8880,8990,354518,-0.0011111111111110628
2011-01-19,9110,9450,9050,9350,926602,0.04004449388209119
2011-01-20,9320,9440,9260,9340,351750,-0.0010695187165775666
2011-01-21,9300,9300,8810,8850,517765,-0.05246252676659524
2011-01-24,8850,8920,8780,8860,262115,0.001129943502824915
2011-01-25,8920,9040,8920,8950,268977,0.010158013544018019
2011-01-26,8980,9190,8980,9120,233762,0.018994413407821265
2011-01-27,9180,9270,9060,9090,256814,-0.003289473684210509
2011-01-28,9130,9350,9060,9320,409833,0.0253025302530252
2011-01-31,9180,9440,9170,9340,525946,0.0021459227467810482
2011-02-01,9400,9400,8890,8900,539698,-0.047109207708779466
2011-02-07,9000,9170,8950,9100,257770,0.022471910112359605
2011-02-08,9220,10250,9180,10100,2126277,0.10989010989010994
2011-02-09,10100,10250,9930,10150,901854,0.004950495049504955
2011-02-10,10150,10400,9700,9800,796676,-0.03448275862068961
2011-02-11,9890,10100,9640,9780,677209,-0.0020408163265306367
2011-02-14,9990,10350,9960,10100,1009841,0.0327198364008181
2011-02-15,10100,10150,9840,9990,489520,-0.0108910891089109
2011-02-16,9990,10500,9900,9900,1221989,-0.009009009009009028
2011-02-17,10100,10200,9880,10050,690300,0.015151515151515138
2011-02-18,10200,10400,9620,9780,1160512,-0.0268656716417911
2011-02-21,9800,9870,9620,9630,383932,-0.015337423312883458
2011-02-22,9630,9630,9130,9130,687870,-0.05192107995846318
2011-02-23,9090,9230,8980,9050,443358,-0.008762322015334112
2011-02-24,9020,9250,8990,9060,289538,0.0011049723756906271
2011-02-25,9120,9240,9090,9180,248250,0.013245033112582849
2011-02-28,9200,9200,8730,8740,474722,-0.04793028322440085
2011-03-02,8700,8760,8550,8700,243243,-0.004576659038901587
2011-03-03,8760,8960,8760,8880,224733,0.020689655172413834
2011-03-04,8950,9000,8830,8880,274323,0.0
2011-03-07,8850,9090,8850,8980,262999,0.011261261261261257
2011-03-08,9020,9100,8980,9060,161799,0.008908685968819663
2011-03-09,9120,9130,8910,8950,228992,-0.012141280353200834
2011-03-10,9000,9200,8990,9120,194126,0.018994413407821265
2011-03-11,8970,9070,8960,9010,170928,-0.01206140350877194
2011-03-14,8890,8940,8430,8450,526269,-0.062153163152053326
2011-03-15,8410,8640,7800,8140,428397,-0.03668639053254441
2011-03-16,8130,8420,8130,8420,194011,0.03439803439803435
2011-03-17,8190,8340,8110,8270,158437,-0.017814726840855055
2011-03-18,8300,8530,8280,8470,159236,0.0241837968561065
2011-03-21,8510,8650,8510,8640,131211,0.02007083825265643
2011-03-22,8730,8730,8510,8550,176714,-0.01041666666666663
2011-03-23,8540,8690,8450,8550,202519,0.0
2011-03-24,8640,8670,8560,8620,138401,0.008187134502924076
2011-03-25,8690,8860,8670,8700,190852,0.009280742459396807
2011-03-28,8750,9040,8730,8950,295023,0.028735632183908066
2011-03-29,8900,9010,8830,8960,143526,0.0011173184357542443
2011-03-30,8960,9160,8850,9150,228012,0.021205357142857206
2011-03-31,9150,9480,9150,9410,321359,0.02841530054644803
2011-04-01,9370,9550,9280,9490,247719,0.008501594048884176
2011-04-04,9500,9550,9270,9310,179032,-0.018967334035827177
2011-04-05,9300,9490,9300,9480,179016,0.018259935553168738
2011-04-06,9480,9510,9340,9400,178395,-0.008438818565400852
2011-04-07,9420,9460,9200,9210,167001,-0.02021276595744681
2011-04-08,9230,9390,9160,9260,136889,0.005428881650380024
2011-04-11,9350,9490,9280,9450,203272,0.02051835853131756
2011-04-12,9430,9640,9350,9360,221756,-0.00952380952380949
2011-04-13,9380,9540,9300,9480,218810,0.012820512820512775
2011-04-14,9550,9570,9340,9400,236800,-0.008438818565400852
2011-04-15,9400,9800,9330,9500,542593,0.010638297872340496
2011-04-18,9550,9700,9460,9670,327997,0.017894736842105186
2011-04-19,9630,9730,9460,9600,359662,-0.007238883143743546
2011-04-20,9710,9860,9590,9590,349002,-0.0010416666666667185
2011-04-21,9680,9710,9380,9460,339209,-0.013555787278414999
2011-04-22,9470,9500,9220,9230,304264,-0.024312896405919715
2011-04-25,9230,9310,9100,9100,183214,-0.014084507042253502
2011-04-26,9130,9280,9050,9050,181519,-0.005494505494505475
2011-04-27,9130,9350,9100,9330,193019,0.030939226519337115
2011-04-28,9350,9490,9220,9330,156794,0.0
2011-04-29,9340,9400,9100,9160,175393,-0.018220793140407254
2011-05-02,9160,9250,9090,9160,192537,0.0
2011-05-03,9210,9250,8730,8730,310823,-0.04694323144104806
2011-05-04,8790,8940,8750,8810,197851,0.009163802978235935
2011-05-06,8810,8890,8650,8670,153853,-0.01589103291713967
2011-05-09,8660,8750,8560,8570,121503,-0.011534025374855816
2011-05-11,8590,8730,8550,8570,118970,0.0
2011-05-12,8550,8700,8490,8500,113191,-0.008168028004667427
2011-05-13,8500,8620,8490,8500,98269,0.0
2011-05-16,8490,8640,8490,8540,59298,0.004705882352941115
2011-05-17,8520,8600,8290,8360,153854,-0.021077283372365363
2011-05-18,8320,8400,8300,8320,133816,-0.004784688995215336
2011-05-19,8300,8400,8100,8160,254589,-0.019230769230769273
2011-05-20,8170,8290,8150,8200,90095,0.004901960784313708
2011-05-23,8200,8210,7700,7740,328899,-0.056097560975609806
2011-05-24,7650,7790,7560,7740,166917,0.0
2011-05-25,7720,7870,7570,7570,204609,-0.021963824289405687
2011-05-26,7660,7740,7650,7730,101269,0.021136063408190298
2011-05-27,7760,7800,7660,7730,108453,0.0
2011-05-30,7770,7810,7500,7500,130554,-0.02975420439844756
2011-05-31,7500,7640,7490,7600,144885,0.01333333333333342
2011-06-01,7630,7940,7630,7800,142880,0.026315789473684292
2011-06-02,7680,7700,7530,7590,151378,-0.02692307692307694
2011-06-03,7570,7720,7570,7670,67568,0.010540184453228019
2011-06-07,7670,7830,7670,7720,137725,0.006518904823989535
