Date,Open,High,Low,Close,Volume,Change
2011-01-03,13650,13700,13400,13450,28097,-0.011029411764705843
2011-01-04,13500,13550,13100,13300,20261,-0.01115241635687736
2011-01-05,13200,13300,12850,12950,29880,-0.02631578947368418
2011-01-06,13000,13100,12800,12900,12561,-0.0038610038610038533
2011-01-07,12900,13100,12750,13100,11090,0.015503875968992276
2011-01-10,13150,13350,13050,13350,15320,0.01908396946564883
2011-01-11,13200,13450,13150,13300,7744,-0.0037453183520599342
2011-01-12,13300,13300,13050,13200,17610,-0.007518796992481258
2011-01-13,13100,13200,12850,13050,16460,-0.011363636363636354
2011-01-14,13050,13200,12950,13000,10578,-0.003831417624521105
2011-01-17,13100,13100,12900,12950,6100,-0.0038461538461538325
2011-01-18,13000,13400,12900,13250,20290,0.02316602316602312
2011-01-19,13250,13250,13000,13000,10600,-0.018867924528301883
2011-01-20,13000,13100,12900,13050,6110,0.0038461538461538325
2011-01-21,13050,13200,12850,13050,14230,0.0
2011-01-24,13050,13150,12850,12850,4250,-0.01532567049808431
2011-01-25,12900,13000,12650,12850,45725,0.0
2011-01-26,12950,12950,12650,12700,8990,-0.011673151750972721
2011-01-27,12600,12700,12550,12600,10010,-0.007874015748031482
2011-01-28,12600,12800,12550,12650,5334,0.003968253968253954
2011-01-31,12550,12750,12550,12700,10680,0.0039525691699604515
2011-02-01,12700,12750,12550,12750,9600,0.003937007874015741
2011-02-07,12700,13050,12700,12950,18785,0.015686274509803866
2011-02-08,13000,13100,12900,13100,14875,0.01158301158301156
2011-02-09,13150,13200,12850,12950,9520,-0.011450381679389277
2011-02-10,13000,13000,12700,12800,3110,-0.01158301158301156
2011-02-11,12700,12900,12350,12450,11830,-0.02734375
2011-02-14,12500,12550,12250,12450,15090,0.0
2011-02-15,12350,12500,12300,12350,14100,-0.008032128514056214
2011-02-16,12450,12550,12350,12550,4461,0.0161943319838056
2011-02-17,12600,12600,12400,12500,10700,-0.003984063745019917
2011-02-18,12500,12600,12500,12600,8570,0.008000000000000007
2011-02-21,12600,12750,12550,12550,5260,-0.003968253968253954
2011-02-22,12750,12750,12450,12550,40780,0.0
2011-02-23,12700,12700,12500,12550,3626,0.0
2011-02-24,12500,12700,12150,12300,39624,-0.019920318725099584
2011-02-25,12400,12400,12150,12350,17680,0.004065040650406582
2011-02-28,12350,12400,11950,11950,18586,-0.03238866396761131
2011-03-02,11950,12050,11850,11950,11552,0.0
2011-03-03,11950,12300,11950,12300,3132,0.029288702928870203
2011-03-04,12300,12450,12250,12400,6700,0.008130081300812941
2011-03-07,12400,12400,12200,12350,8140,-0.0040322580645161255
2011-03-08,12300,12400,12250,12400,10850,0.004048582995951344
2011-03-09,12450,12450,12250,12400,16180,0.0
2011-03-10,12450,12450,12300,12300,7290,-0.008064516129032251
2011-03-11,12400,12400,12300,12400,5830,0.008130081300812941
2011-03-14,12350,12350,12000,12150,10100,-0.020161290322580627
2011-03-15,12100,12250,11850,12150,7990,0.0
2011-03-16,12100,12350,11900,12350,18030,0.016460905349794164
2011-03-17,12150,12250,12000,12100,7102,-0.020242914979757054
2011-03-18,12100,12250,12000,12200,13910,0.008264462809917328
2011-03-21,12250,12350,12100,12100,10583,-0.008196721311475419
2011-03-22,12150,12400,12150,12200,12920,0.008264462809917328
2011-03-23,12300,12350,12100,12200,11944,0.0
2011-03-24,12200,12300,12150,12150,11868,-0.004098360655737654
2011-03-25,12300,12300,12150,12300,15650,0.012345679012345734
2011-03-28,12450,12450,12250,12300,14248,0.0
2011-03-29,12300,12400,12250,12250,10306,-0.004065040650406471
2011-03-30,12050,12100,11950,12000,19302,-0.020408163265306145
2011-03-31,11950,12000,11800,12000,14121,0.0
2011-04-01,11950,12000,11900,12000,12365,0.0
2011-04-04,12000,12100,11800,12000,44175,0.0
2011-04-05,12000,12100,11950,12100,42150,0.008333333333333304
2011-04-06,12150,12300,12100,12250,11531,0.012396694214876103
2011-04-07,12250,12250,12000,12000,6420,-0.020408163265306145
2011-04-08,12000,12150,12000,12100,3305,0.008333333333333304
2011-04-11,12100,12150,11950,11950,4602,-0.012396694214875992
2011-04-12,11900,12000,11800,11850,8495,-0.008368200836820106
2011-04-13,11850,11850,11700,11750,11210,-0.008438818565400852
2011-04-14,11750,12100,11750,11800,38110,0.004255319148936065
2011-04-15,12000,12450,12000,12000,19650,0.016949152542372836
2011-04-18,12100,12100,11800,11850,14768,-0.012499999999999956
2011-04-19,11900,12000,11800,11850,16120,0.0
2011-04-20,11950,12100,11700,11700,13623,-0.012658227848101222
2011-04-21,11850,12000,11650,11950,17380,0.02136752136752129
2011-04-22,11950,12300,11900,12000,20790,0.004184100418409997
2011-04-25,12200,12200,11600,11750,11420,-0.02083333333333337
2011-04-26,11800,11800,11500,11700,8830,-0.004255319148936176
2011-04-27,11800,11900,11550,11700,14248,0.0
2011-04-28,11600,11800,11500,11500,24280,-0.017094017094017144
2011-04-29,11550,11600,11300,11450,6113,-0.004347826086956497
2011-05-02,11350,11800,11350,11600,6890,0.013100436681222627
2011-05-03,11650,11800,11550,11600,5690,0.0
2011-05-04,11750,11800,11550,11600,4578,0.0
2011-05-06,11750,11750,11650,11750,690,0.012931034482758674
2011-05-09,11750,11800,11600,11700,6946,-0.004255319148936176
2011-05-11,11750,11800,11650,11700,8078,0.0
2011-05-12,11750,11750,11550,11600,14770,-0.008547008547008517
2011-05-13,11700,11700,11600,11700,4917,0.008620689655172376
2011-05-16,11700,11850,11600,11700,4192,0.0
2011-05-17,11750,11750,11550,11700,3540,0.0
2011-05-18,11750,11850,11600,11700,7390,0.0
2011-05-19,11850,11950,11750,11800,2200,0.008547008547008517
2011-05-20,11900,11900,11700,11850,5110,0.004237288135593209
2011-05-23,11750,11900,11550,11700,2500,-0.012658227848101222
2011-05-24,11350,11750,11350,11750,3100,0.004273504273504258
2011-05-25,11850,11850,11650,11700,3804,-0.004255319148936176
2011-05-26,11600,11750,11550,11600,3262,-0.008547008547008517
2011-05-27,11650,11800,11300,11500,22200,-0.008620689655172376
2011-05-30,11650,11750,11450,11700,3640,0.017391304347825987
2011-05-31,11600,11750,11300,11300,19102,-0.03418803418803418
2011-06-01,11300,11400,10650,10850,39380,-0.03982300884955747
2011-06-02,10800,10800,10300,10550,18110,-0.027649769585253448
2011-06-03,10550,10700,10350,10550,8076,0.0
2011-06-07,10500,11050,10400,10500,14800,-0.004739336492891044
2011-06-08,10750,10850,10400,10600,3670,0.00952380952380949
2011-06-09,10650,10700,10550,10700,8492,0.009433962264151052
2011-06-10,10700,11050,10700,10750,14720,0.004672897196261738
2011-06-13,10850,10950,10650,10700,2511,-0.0046511627906976605
2011-06-14,10600,10850,10600,10750,5880,0.004672897196261738
