Date,Open,High,Low,Close,Volume,Change
2011-01-03,5709,5709,5348,5649,89,-0.010683012259194435
2011-01-04,5719,5719,5438,5559,139,-0.01593202336696764
2011-01-05,5559,5769,5468,5599,143,0.007195538765965015
2011-01-06,5599,5599,5358,5419,430,-0.03214859796392211
2011-01-07,5448,5488,5388,5469,66,0.009226794611551847
2011-01-10,5448,5448,5238,5278,487,-0.0349241177546169
2011-01-11,5338,5368,5268,5268,256,-0.0018946570670708152
2011-01-12,5368,5368,5258,5258,1253,-0.0018982536066818323
2011-01-13,5498,5498,5248,5278,377,0.0038037276530999975
2011-01-14,5478,5478,5238,5278,191,0.0
2011-01-17,5498,5498,5268,5288,507,0.0018946570670708152
2011-01-18,5368,5368,5258,5318,10,0.005673222390317756
2011-01-19,5448,5448,5268,5379,36,0.011470477623166664
2011-01-20,5418,5418,5117,5389,233,0.001859081613682756
2011-01-21,5398,5398,5238,5348,177,-0.007608090554833913
2011-01-24,5298,5318,5157,5298,678,-0.009349289454001486
2011-01-25,5368,5478,5238,5409,338,0.02095130237825593
2011-01-26,5830,5830,5298,5399,91,-0.0018487705675725996
2011-01-27,5609,5609,5298,5399,97,0.0
2011-01-28,5508,5508,5418,5439,11,0.007408779403593302
2011-01-31,5779,5779,5338,5379,5,-0.01103143960286812
2011-02-01,5458,5458,5268,5379,50,0.0
2011-02-07,5388,5398,5228,5379,95,0.0
2011-02-08,5408,5408,5217,5298,377,-0.015058561070831034
2011-02-09,5318,5378,5117,5188,323,-0.020762551906379767
2011-02-10,5117,5298,5027,5188,629,0.0
2011-02-11,5187,5238,4937,5118,380,-0.013492675404780274
2011-02-14,5298,5398,4967,5268,455,0.029308323563892236
2011-02-15,5408,5408,5027,5288,148,0.0037965072133636646
2011-02-16,5298,5308,5047,5298,262,0.0018910741301059186
2011-02-17,5298,5298,5057,5198,216,-0.01887504718761801
2011-02-18,5197,5238,5087,5198,383,0.0
2011-02-21,5197,5197,5117,5178,127,-0.0038476337052713028
2011-02-22,5177,5177,5017,5118,504,-0.011587485515643148
2011-02-23,5077,5268,5017,5268,1017,0.029308323563892236
2011-02-24,5398,5398,5137,5288,15,0.0037965072133636646
2011-02-25,5348,5348,5157,5298,89,0.0018910741301059186
2011-02-28,5448,5448,5217,5238,146,-0.011325028312570762
2011-03-02,5258,5378,5217,5288,116,0.009545628102329173
2011-03-03,5549,5549,5137,5268,799,-0.0037821482602118373
2011-03-04,5298,5298,5167,5278,574,0.0018982536066818323
2011-03-07,5278,5318,5127,5238,74,-0.007578628268283483
2011-03-08,5278,5318,5097,5318,174,0.015273004963726633
2011-03-09,5759,5759,5278,5399,372,0.0152312899586311
2011-03-10,5478,5478,5378,5419,9,0.00370438970179654
2011-03-11,5438,5719,5298,5348,1403,-0.013102048348403783
2011-03-14,5348,5579,5117,5118,472,-0.043006731488406835
2011-03-15,5248,5248,4947,4947,759,-0.03341148886283707
2011-03-16,5007,5127,5007,5108,277,0.03254497675358814
2011-03-17,5268,5268,5057,5108,13,0.0
2011-03-18,5117,5167,5077,5158,80,0.009788566953798039
2011-03-21,5107,5197,5047,5118,625,-0.007754943776657641
2011-03-22,5097,5519,5097,5188,19,0.013677217663149666
2011-03-23,5087,5217,5027,5118,648,-0.013492675404780274
2011-03-24,5217,5217,5187,5198,7,0.01563110590074257
2011-03-25,5398,5599,5147,5599,509,0.07714505579068875
2011-03-28,5519,5719,5338,5429,574,-0.030362564743704246
2011-03-29,5428,5438,5177,5198,1033,-0.04254927242586115
2011-03-30,5338,5338,5117,5278,390,0.015390534821084989
2011-03-31,5810,5810,5197,5379,46,0.019136036377415788
2011-04-01,5549,5549,5197,5198,206,-0.03364937720765937
2011-04-04,5378,5378,5268,5268,111,0.013466717968449338
2011-04-05,5388,5388,5147,5278,179,0.0018982536066818323
2011-04-06,5378,5408,5238,5399,702,0.02292535051155742
2011-04-07,5478,5478,5258,5268,119,-0.024263752546767936
2011-04-08,5318,5318,5177,5248,166,-0.0037965072133636646
2011-04-11,5378,5378,5177,5248,202,0.0
2011-04-12,5328,5328,5137,5248,61,0.0
2011-04-13,5268,5308,5197,5268,133,0.003810975609756184
2011-04-14,5298,5298,5217,5268,85,0.0
2011-04-15,5338,5338,5228,5288,105,0.0037965072133636646
2011-04-18,5278,5438,5197,5298,327,0.0018910741301059186
2011-04-19,5217,5308,5117,5258,193,-0.0075500188750471375
2011-04-20,5228,5358,5137,5268,597,0.0019018638265499987
2011-04-21,5177,5258,5087,5218,529,-0.009491268033409272
2011-04-22,5338,5338,5017,5178,625,-0.007665772326561848
2011-04-25,5268,5268,5037,5057,435,-0.023368095789880305
2011-04-26,5057,5197,4977,5198,1542,0.027882143563377593
2011-04-27,5258,5258,5047,5078,609,-0.023085802231627595
2011-04-28,5017,5137,4916,4957,538,-0.023828278849940876
2011-04-29,4987,5057,4926,4977,245,0.004034698406294224
2011-05-02,5167,5167,5107,5108,80,0.02632107695398833
2011-05-03,5147,5147,5037,5098,180,-0.0019577133907595634
2011-05-04,5167,5167,4937,4987,303,-0.0217732444095724
2011-05-06,5137,5137,4916,5037,243,0.010026067776218062
2011-05-09,5037,5087,4937,5017,160,-0.00397061743101057
2011-05-11,5027,5027,4916,4947,493,-0.01395256129160849
2011-05-12,4977,4997,4977,4997,141,0.010107135637760223
2011-05-13,5087,5087,4937,4947,428,-0.010006003602161306
2011-05-16,5007,5087,5007,5017,1357,0.014149989892864312
2011-05-17,5077,5077,4997,5067,450,0.009966115208291715
2011-05-18,5087,5087,5007,5067,919,0.0
2011-05-19,5087,5177,5047,5067,1415,0.0
2011-05-20,5248,5248,5077,5198,96,0.025853562265640395
2011-05-23,5258,5258,5057,5057,599,-0.027125817622162374
2011-05-24,5258,5258,5057,5057,2198,0.0
2011-05-25,5248,5248,5087,5208,272,0.02985960055368797
2011-05-26,5197,5197,5117,5168,391,-0.007680491551459334
2011-05-27,5248,5248,5197,5208,11,0.007739938080495445
2011-05-30,5157,5228,5157,5228,144,0.0038402457757296116
2011-05-31,5238,5519,5097,5128,776,-0.01912777352716144
2011-06-01,5599,5599,5207,5399,213,0.05284711388455543
2011-06-02,5599,5599,5147,5318,565,-0.015002778292276364
2011-06-03,5378,5378,5117,5218,210,-0.018804061677322292
2011-06-07,5217,5589,5037,5168,112,-0.009582215408202366
2011-06-08,5258,5258,5067,5198,168,0.005804953560371473
2011-06-09,5719,5719,4997,5108,414,-0.01731435167372064
2011-06-10,4997,5067,4997,5047,320,-0.011942051683633492
2011-06-13,5107,5107,4967,5057,139,0.001981375074301628
2011-06-14,5017,5368,4967,5098,524,0.008107573660272926
2011-06-15,5167,5167,4987,5088,520,-0.001961553550411943
2011-06-16,5087,5137,5027,5128,405,0.007861635220125729
2011-06-17,5117,5117,5017,5037,562,-0.017745709828393186
2011-06-20,5087,5137,5027,5027,823,-0.001985308715505285
2011-06-21,5207,5207,5017,5057,356,0.005967774020290362
2011-06-22,5508,5508,5047,5047,440,-0.001977456990310489
2011-06-23,5348,5800,5057,5800,23839,0.14919754309490796
2011-06-24,5880,6050,5398,5670,11521,-0.022413793103448265
2011-06-27,5438,5609,5217,5318,4048,-0.06208112874779537
2011-06-28,5318,5398,5117,5118,2682,-0.037608123354644585
2011-06-29,5117,5248,5107,5118,1017,0.0
2011-06-30,5177,5478,5057,5168,2300,0.009769441187964079
2011-07-01,5197,5358,5187,5348,1177,0.03482972136222906
2011-07-04,5408,5408,5258,5358,722,0.0018698578908002972
2011-07-05,5358,5398,5258,5348,1468,-0.0018663680477790656
2011-07-06,5348,5368,5258,5298,1321,-0.009349289454001486
2011-07-07,5448,5448,5238,5338,734,0.0075500188750472486
2011-07-08,5348,5348,5248,5258,875,-0.014986886474334993
2011-07-11,5278,5398,5268,5399,342,0.026816279954355204
2011-07-12,5438,5438,5228,5318,259,-0.015002778292276364
2011-07-13,5468,5468,5147,5358,557,0.0075216246709288725
2011-07-14,5368,5519,5348,5519,395,0.0300485255692422
2011-07-15,5508,5519,5258,5389,761,-0.023554991846349016
2011-07-18,5388,5388,5217,5348,1747,-0.007608090554833913
2011-07-19,5348,5368,5228,5288,304,-0.011219147344801783
2011-07-20,5358,5478,5268,5479,694,0.03611951588502271
2011-07-21,5478,5478,5298,5298,294,-0.03303522540609605
2011-07-22,5498,5498,5318,5379,140,0.01528878822197055
2011-07-25,5468,5468,5288,5409,472,0.00557724484104849
2011-07-26,5458,5458,5268,5358,1730,-0.00942872989462007
2011-07-27,5318,5408,5288,5409,800,0.009518477043672924
2011-07-28,5308,5539,5308,5338,1002,-0.013126271029765157
2011-07-29,5358,5529,5298,5389,436,0.009554140127388644
2011-08-01,5408,5539,5398,5449,1045,0.011133791055854436
2011-08-02,5549,5549,5328,5499,440,0.00917599559552218
2011-08-03,5488,5820,5378,5670,1089,0.03109656301145658
2011-08-04,5719,5860,5438,5499,3903,-0.030158730158730163
2011-08-05,4937,5338,4937,5017,2479,-0.08765230041825789
2011-08-08,5037,5187,4716,4867,998,-0.029898345624875478
2011-08-09,5057,5057,4595,4766,323,-0.020752003287446086
2011-08-10,5067,5067,4766,5007,18,0.050566512798992935
2011-08-11,5177,5177,4816,5088,126,0.016177351707609366
2011-08-12,5298,5298,4856,5017,615,-0.013954402515723219
2011-08-16,5017,5197,4886,5108,594,0.018138329679091125
2011-08-17,5017,5117,4906,5037,887,-0.013899765074393056
2011-08-18,5037,5157,4876,4957,590,-0.01588246972404206
2011-08-19,4816,4957,4726,4726,303,-0.046600766592697185
2011-08-22,4906,4906,4535,4696,468,-0.006347862886161626
2011-08-23,4776,4786,4666,4726,169,0.006388415672913039
2011-08-24,4706,4796,4696,4776,301,0.010579771476936006
2011-08-25,4916,4916,4746,4766,109,-0.0020938023450586263
2011-08-26,4796,4796,4726,4797,20,0.006504406210658731
2011-08-29,4967,4967,4676,4857,6,0.012507817385866149
2011-08-30,4997,4997,4776,4847,459,-0.002058884084826018
2011-08-31,4816,4856,4756,4776,124,-0.014648236022281824
2011-09-01,4716,4866,4716,4807,370,0.006490787269681775
2011-09-02,4816,4856,4786,4817,134,0.0020802995631370447
2011-09-05,4856,4856,4656,4837,28,0.0041519618019514315
2011-09-06,4876,4876,4696,4857,316,0.004134794293983779
2011-09-07,4736,4916,4736,4877,53,0.004117768169652036
2011-09-08,4997,4997,4736,4977,220,0.020504408447816314
2011-09-09,5047,5097,5017,5098,75,0.02431183443841678
2011-09-14,5107,5107,4977,5088,77,-0.001961553550411943
2011-09-15,5157,5157,5157,5158,1,0.013757861635220081
2011-09-16,4826,5147,4826,5017,137,-0.02733617681271816
2011-09-19,5007,5017,5007,5017,30,0.0
2011-09-20,5207,5207,4916,5088,203,0.01415188359577435
2011-09-21,4876,5177,4876,5178,299,0.017688679245283057
2011-09-22,5238,5238,4856,5118,41,-0.011587485515643148
2011-09-23,5157,5157,4886,5047,62,-0.013872606486908912
2011-09-26,4605,5097,4605,5098,3,0.010105012878937947
2011-09-27,5067,5067,4696,5057,97,-0.00804236955668891
2011-09-28,5187,5187,4836,5057,242,0.0
2011-09-29,5037,5137,4826,4827,161,-0.04548151077714058
2011-09-30,5177,5177,4876,5047,4,0.04557696291692559
2011-10-04,4997,4997,4746,4957,93,-0.017832375668714096
2011-10-05,5127,5127,4726,4947,27,-0.002017349203147112
2011-10-06,4716,5177,4716,5037,59,0.0181928441479684
2011-10-07,5197,5217,4876,5198,199,0.03196347031963476
2011-10-10,5368,5368,4896,5208,90,0.0019238168526356514
2011-10-11,5258,5258,5107,5218,104,0.0019201228878649168
2011-10-12,4896,5207,4896,5168,373,-0.009582215408202366
2011-10-13,5378,5378,5057,5148,86,-0.0038699690402477227
2011-10-14,5177,5368,5147,5188,15,0.007770007770007803
2011-10-17,5197,5288,5107,5258,39,0.013492675404780163
2011-10-18,5288,5288,5047,5248,416,-0.0019018638265499987
2011-10-19,5298,5308,5117,5258,152,0.001905487804878092
2011-10-20,5288,5318,5167,5298,306,0.007607455306199995
2011-10-21,5348,5348,5177,5218,7,-0.015100037750094386
2011-10-24,5288,5298,5097,5128,523,-0.017247987734764325
2011-10-25,5217,5217,5127,5168,30,0.007800312012480548
2011-10-26,5167,5298,5077,5298,102,0.025154798761609864
2011-10-27,5348,5348,5127,5308,143,0.0018875047187618677
2011-10-28,5368,5368,5027,5188,179,-0.022607385079125852
2011-10-31,5157,5187,5157,5158,263,-0.005782575173477245
2011-11-01,5177,5248,4876,5248,375,0.017448623497479554
2011-11-02,5238,5238,5047,5198,152,-0.009527439024390238
2011-11-03,5187,5187,5187,5188,1,-0.0019238168526356514
2011-11-04,5177,5177,5057,5128,160,-0.01156515034695449
2011-11-07,5027,5177,4977,5118,283,-0.0019500780031200815
2011-11-08,4957,5117,4957,5057,383,-0.011918718249316118
2011-11-09,5167,5167,5117,5118,2,0.012062487640893904
2011-11-10,5117,5117,4957,5057,27,-0.011918718249316118
2011-11-11,5057,5238,5057,5168,892,0.021949772592446015
2011-11-14,5167,5248,5157,5248,14,0.015479876160990669
2011-11-15,5147,5217,5017,5128,616,-0.02286585365853655
2011-11-16,5228,5228,4977,5118,970,-0.0019500780031200815
2011-11-17,5097,5097,4947,5067,9,-0.009964830011723325
2011-11-18,5067,5127,4967,5118,192,0.010065127294256904
2011-11-21,5107,5248,4926,5178,66,0.011723329425556761
2011-11-22,5248,5248,5228,5228,3,0.009656237929702494
2011-11-23,5248,5248,5027,5118,263,-0.02104055087987755
2011-11-24,5177,5177,5077,5108,776,-0.0019538882375927935
2011-11-25,5228,5228,4997,5047,922,-0.011942051683633492
2011-11-28,5047,5097,4896,4997,342,-0.009906875371507806
2011-11-29,5137,5137,4957,4957,679,-0.008004802881729
2011-11-30,4957,5037,4957,5017,191,0.012104095218882449
2011-12-01,5067,5107,4997,5078,869,0.012158660554115963
2011-12-02,5117,5217,5047,5218,117,0.027569909413154736
2011-12-05,5338,5338,5258,5288,7,0.013415101571483401
2011-12-06,5258,5258,5127,5248,160,-0.0075642965204235635
2011-12-07,5278,5358,5248,5358,820,0.02096036585365857
2011-12-08,5348,5689,5328,5499,1024,0.026315789473684292
2011-12-09,5498,5599,5378,5489,588,-0.0018185124568103062
2011-12-12,5589,5589,5398,5529,1248,0.007287301876480301
2011-12-13,5599,5609,5519,5569,244,0.007234581298607434
2011-12-14,5569,5609,5428,5559,268,-0.0017956545160711102
2011-12-15,5609,5609,5458,5559,356,0.0
2011-12-16,5589,5589,5589,5589,1,0.005396654074473872
2011-12-19,5609,5609,5217,5238,849,-0.0628019323671497
2011-12-20,5599,5599,5418,5549,33,0.059373806796487294
2011-12-21,5609,5609,5448,5549,276,0.0
2011-12-22,5589,5589,5549,5559,3,0.0018021265092809102
2011-12-23,5619,5669,5529,5599,968,0.007195538765965015
2011-12-26,5599,5599,5599,5599,3,0.0
2011-12-27,5609,5609,5448,5549,230,-0.008930166101089432
