Date,Open,High,Low,Close,Volume,Change
2011-01-03,3300,3300,3200,3250,17790,-0.0030674846625766694
2011-01-04,3260,3260,3180,3200,96650,-0.01538461538461533
2011-01-05,3280,3280,3195,3210,20890,0.0031250000000000444
2011-01-06,3170,3205,3170,3190,26722,-0.006230529595015577
2011-01-07,3190,3200,3150,3180,37357,-0.0031347962382445305
2011-01-10,3190,3210,3160,3195,35560,0.004716981132075526
2011-01-11,3190,3220,3150,3175,14576,-0.006259780907668211
2011-01-12,3195,3195,3130,3145,21842,-0.009448818897637823
2011-01-13,3130,3155,3125,3145,35213,0.0
2011-01-14,3180,3180,3135,3145,12745,0.0
2011-01-17,3145,3155,3115,3140,10280,-0.0015898251192368873
2011-01-18,3150,3150,3000,3090,57486,-0.015923566878980888
2011-01-19,3100,3135,3050,3060,33495,-0.009708737864077666
2011-01-20,3065,3100,3030,3085,43117,0.008169934640522847
2011-01-21,3090,3090,3035,3085,12910,0.0
2011-01-24,3065,3100,3050,3065,13580,-0.00648298217179899
2011-01-25,3065,3080,3035,3060,31210,-0.0016313213703099683
2011-01-26,3060,3090,3040,3040,19646,-0.006535947712418277
2011-01-27,3075,3075,3025,3060,17945,0.006578947368421018
2011-01-28,3060,3095,3015,3050,8140,-0.0032679738562091387
2011-01-31,3050,3065,2980,2980,27685,-0.022950819672131195
2011-02-01,3000,3100,2985,3020,84072,0.01342281879194629
2011-02-07,3035,3065,3000,3000,27141,-0.0066225165562914245
2011-02-08,3040,3040,3000,3005,23095,0.0016666666666667052
2011-02-09,3010,3020,2990,3000,27309,-0.0016638935108153063
2011-02-10,3000,3010,2985,3000,11311,0.0
2011-02-11,3030,3030,2960,2965,93610,-0.011666666666666714
2011-02-14,2970,2970,2920,2940,43500,-0.00843170320404718
2011-02-15,2915,2935,2900,2920,18700,-0.006802721088435382
2011-02-16,2920,2950,2890,2910,18451,-0.003424657534246589
2011-02-17,2900,2925,2830,2840,41033,-0.02405498281786944
2011-02-18,2840,2910,2820,2845,48908,0.0017605633802817433
2011-02-21,2850,3000,2830,2885,11912,0.014059753954305698
2011-02-22,2865,2875,2815,2875,15535,-0.0034662045060658286
2011-02-23,2820,2890,2820,2860,20327,-0.00521739130434784
2011-02-24,2835,2890,2820,2870,17640,0.0034965034965035446
2011-02-25,2870,2935,2850,2870,4882,0.0
2011-02-28,2865,2935,2800,2820,49253,-0.017421602787456414
2011-03-02,2820,2865,2805,2820,8991,0.0
2011-03-03,2845,2845,2800,2840,27321,0.007092198581560183
