Date,Open,High,Low,Close,Volume,Change
2011-01-03,670,670,650,651,9615,-0.007621951219512146
2011-01-04,649,667,640,667,18241,0.02457757296466978
2011-01-05,688,688,650,665,10024,-0.0029985007496251548
2011-01-06,665,673,642,651,11779,-0.021052631578947323
2011-01-07,657,657,632,641,20382,-0.015360983102918557
2011-01-10,648,651,630,637,21753,-0.006240249609984372
2011-01-11,638,640,628,635,11339,-0.0031397174254317317
2011-01-12,636,644,630,643,12678,0.012598425196850505
2011-01-13,656,656,633,643,4699,0.0
2011-01-14,644,645,605,615,67772,-0.043545878693623585
2011-01-17,617,620,599,599,15373,-0.026016260162601612
2011-01-18,604,610,600,610,14203,0.01836393989983298
2011-01-19,613,616,607,614,6305,0.006557377049180246
2011-01-20,605,616,596,599,27006,-0.02442996742671011
2011-01-21,601,607,580,581,37287,-0.03005008347245408
2011-01-24,582,585,580,584,18193,0.005163511187607606
2011-01-25,586,587,577,577,14164,-0.011986301369863006
2011-01-26,578,587,572,572,16904,-0.008665511265164683
2011-01-27,571,583,570,578,15151,0.010489510489510412
2011-01-28,578,590,574,590,26458,0.02076124567474058
2011-01-31,588,588,577,580,8581,-0.016949152542372836
2011-02-01,578,611,576,611,24014,0.053448275862068906
2011-02-07,621,621,581,598,6856,-0.021276595744680882
2011-02-08,602,603,594,598,4370,0.0
2011-02-09,605,605,530,587,9572,-0.018394648829431426
2011-02-10,590,596,550,594,12716,0.011925042589437718
2011-02-11,594,618,568,574,14049,-0.03367003367003363
2011-02-14,552,580,551,565,26633,-0.015679442508710784
2011-02-15,566,566,543,558,23967,-0.012389380530973493
2011-02-16,555,561,540,553,16975,-0.008960573476702538
2011-02-17,562,564,525,528,26098,-0.0452079566003617
2011-02-18,528,541,524,530,17457,0.0037878787878788955
2011-02-21,540,542,520,535,27903,0.009433962264151052
2011-02-22,534,536,520,523,21170,-0.02242990654205612
2011-02-23,524,530,520,523,14614,0.0
2011-02-24,529,529,517,525,14308,0.003824091778202643
2011-02-25,528,537,524,526,7679,0.0019047619047618536
2011-02-28,519,530,519,529,6996,0.005703422053231932
2011-03-02,525,533,525,530,6093,0.001890359168241984
2011-03-03,531,546,530,542,6476,0.02264150943396226
2011-03-04,578,578,544,544,11818,0.0036900369003689537
2011-03-07,555,555,543,548,1616,0.007352941176470562
2011-03-08,548,555,540,548,3534,0.0
2011-03-09,549,558,548,556,6699,0.014598540145985384
2011-03-10,560,560,548,551,4578,-0.008992805755395739
2011-03-11,551,555,539,544,11059,-0.012704174228675091
2011-03-14,545,550,536,547,18620,0.005514705882353033
2011-03-15,550,550,514,535,11765,-0.021937842778793404
2011-03-16,530,540,530,536,8469,0.0018691588785046953
2011-03-17,543,608,530,604,58676,0.12686567164179108
2011-03-18,603,611,579,589,40259,-0.024834437086092676
2011-03-21,606,606,578,580,12850,-0.015280135823429575
2011-03-22,584,618,582,609,24958,0.050000000000000044
2011-03-23,620,620,600,610,38793,0.0016420361247948545
2011-03-24,616,618,604,618,29248,0.013114754098360715
