Date,Open,High,Low,Close,Volume,Change
2011-01-03,8780,9890,8600,9890,335444,0.1499999999999999
2011-01-04,11350,11350,10900,11350,485020,0.14762386248736092
2011-01-05,11600,11800,9930,10350,1477895,-0.08810572687224671
2011-01-06,10400,10500,9020,9090,634658,-0.12173913043478257
2011-01-07,9150,10450,9020,10450,1082899,0.14961496149614972
2011-01-10,10450,11850,10100,10450,1799962,0.0
2011-01-11,10550,11150,10250,10600,515055,0.014354066985645897
2011-01-12,10900,12150,10800,12150,1416596,0.14622641509433953
2011-01-13,12950,13950,12500,13950,564158,0.14814814814814814
2011-01-14,14800,15350,13350,13650,1508007,-0.021505376344086002
2011-01-17,13700,15650,13000,15650,1380914,0.14652014652014644
2011-01-18,16450,17300,13350,13650,2561644,-0.12779552715654952
2011-01-19,13700,15400,13200,14650,1888039,0.07326007326007322
2011-01-20,14650,15850,14600,14850,736840,0.013651877133105783
2011-01-21,14850,15650,14550,14900,385590,0.0033670033670034627
2011-01-24,15050,15150,14000,14050,311205,-0.057046979865771785
2011-01-25,14100,16150,14100,16150,857935,0.14946619217081847
2011-01-26,15850,16400,14850,15200,537774,-0.05882352941176472
2011-01-27,15450,15950,15050,15300,239707,0.006578947368421018
2011-01-28,15400,15700,14950,15050,142700,-0.016339869281045805
2011-01-31,14750,15700,14500,15000,125601,-0.0033222591362126463
2011-02-01,15000,15450,14550,14600,122855,-0.026666666666666616
2011-02-07,14900,15100,14550,14600,106962,0.0
2011-02-08,14600,15250,14600,15250,78322,0.044520547945205546
2011-02-09,15300,15750,14950,15250,118023,0.0
2011-02-10,15250,15400,14950,15150,75490,-0.006557377049180357
2011-02-11,15200,15500,14500,14500,135181,-0.04290429042904287
2011-02-14,14550,14650,13800,13900,115424,-0.04137931034482756
2011-02-15,14000,14900,13650,13900,82360,0.0
2011-02-16,13750,14100,13300,13300,95272,-0.043165467625899234
2011-02-17,13100,14200,13100,13500,92255,0.015037593984962516
2011-02-18,13950,14850,13850,14350,186985,0.06296296296296289
2011-02-21,14400,14500,13750,13750,63640,-0.04181184668989546
2011-02-22,13800,14000,13400,13600,43980,-0.010909090909090868
2011-02-23,13550,13850,13000,13000,73841,-0.044117647058823484
2011-02-24,13000,14100,12150,12550,142146,-0.0346153846153846
2011-02-25,12550,13200,12500,13150,44210,0.047808764940239
2011-02-28,13350,13350,12550,12600,39555,-0.041825095057034245
2011-03-02,12150,12750,12150,12450,52932,-0.011904761904761862
2011-03-03,12450,13200,12450,12700,35967,0.02008032128514059
2011-03-04,12900,13000,12700,12800,42553,0.007874015748031482
2011-03-07,12700,13200,12650,12800,40242,0.0
2011-03-08,12900,13250,12750,12950,28750,0.01171875
2011-03-09,13000,13800,12850,13100,126712,0.01158301158301156
2011-03-10,13000,13500,13000,13100,42392,0.0
2011-03-11,13050,13150,12700,12700,34498,-0.03053435114503822
2011-03-14,12550,12850,11800,12000,72611,-0.055118110236220486
2011-03-15,11800,12450,10650,11200,94985,-0.06666666666666665
2011-03-16,11250,11700,11250,11550,42705,0.03125
2011-03-17,11100,11600,11100,11600,23360,0.0043290043290042934
2011-03-18,11650,12550,11600,12150,32864,0.047413793103448176
2011-03-21,12150,13000,12000,12600,93899,0.03703703703703698
2011-03-22,12850,13000,12450,12450,52462,-0.011904761904761862
2011-03-23,12600,12900,12450,12700,19558,0.02008032128514059
2011-03-24,12700,13100,12650,12850,29870,0.011811023622047223
