Date,Open,High,Low,Close,Volume,Change
2018-12-07,6000,7800,4850,4935,17930448,
2018-12-10,4800,6410,4470,6410,10693636,0.29888551165146904
2018-12-11,6060,7700,5640,6590,14625812,0.02808112324492984
2018-12-12,6480,7200,6320,6620,5869099,0.004552352048558417
2018-12-13,6590,6990,6400,6490,2552588,-0.01963746223564955
2018-12-14,6360,6370,5820,5830,1350465,-0.10169491525423724
2018-12-17,5800,6700,5490,5850,3638233,0.0034305317324185847
2018-12-18,6030,6420,5650,5690,2727937,-0.027350427350427364
2018-12-19,5820,5990,5400,5460,963885,-0.040421792618629215
2018-12-20,5380,5780,5150,5220,785341,-0.04395604395604391
2018-12-21,5220,5840,5120,5380,1861356,0.03065134099616862
2018-12-24,5360,5890,5330,5500,2291125,0.02230483271375472
2018-12-26,5380,5720,5320,5610,1015061,0.020000000000000018
2018-12-27,5560,6410,5520,5740,4297333,0.02317290552584672
2018-12-28,5870,5970,5630,5730,1284169,-0.0017421602787456303
2019-01-02,5810,5930,5550,5550,778357,-0.03141361256544506
2019-01-03,5620,5630,5160,5160,514617,-0.07027027027027022
2019-01-04,5100,5210,4890,5010,436712,-0.029069767441860517
2019-01-07,5260,5430,5120,5160,630109,0.029940119760478945
2019-01-08,5120,5230,4870,4910,464046,-0.04844961240310075
2019-01-09,4910,5030,4880,4880,242773,-0.006109979633401208
2019-01-10,4930,5030,4825,4965,418468,0.01741803278688514
2019-01-11,4965,5110,4885,4905,366739,-0.012084592145015116
2019-01-14,4910,4920,4725,4770,207145,-0.02752293577981646
2019-01-15,4775,5070,4735,4840,580258,0.01467505241090139
2019-01-16,4860,4940,4760,4760,207500,-0.016528925619834656
2019-01-17,4800,4800,4510,4535,247543,-0.047268907563025264
2019-01-18,4535,4625,4510,4530,122941,-0.0011025358324145973
2019-01-21,4580,4640,4510,4535,152457,0.001103752759381793
2019-01-22,4535,5040,4530,4750,1074183,0.04740904079382591
2019-01-23,4780,4955,4705,4720,415144,-0.0063157894736841635
2019-01-24,4785,4785,4670,4690,127022,-0.006355932203389814
2019-01-25,4730,4775,4680,4690,105677,0.0
2019-01-28,4685,4820,4585,4600,274420,-0.019189765458422214
2019-01-29,4600,4695,4560,4570,117238,-0.006521739130434745
2019-01-30,4570,4640,4530,4550,123190,-0.004376367614879695
2019-01-31,4640,4640,4520,4560,116843,0.00219780219780219
2019-02-01,4540,4580,4520,4530,91510,-0.006578947368421018
2019-02-07,4590,4590,4490,4505,69498,-0.0055187637969095205
2019-02-08,4510,4640,4470,4515,103527,0.002219755826859071
2019-02-11,4615,4665,4550,4590,110914,0.01661129568106312
2019-02-12,4590,4620,4545,4560,69700,-0.006535947712418277
2019-02-13,4600,4670,4570,4620,105205,0.013157894736842035
2019-02-14,4650,4725,4640,4715,185116,0.02056277056277067
2019-02-15,4715,4715,4620,4620,113937,-0.020148462354188768
2019-02-18,4650,4705,4580,4610,82060,-0.0021645021645021467
2019-02-19,4610,4690,4610,4665,87871,0.01193058568329719
2019-02-20,4685,4705,4645,4665,90373,0.0
2019-02-21,4670,4770,4635,4770,284269,0.022508038585209
2019-02-22,5050,6200,5020,5080,8832543,0.06498951781970641
2019-02-25,5080,5360,5050,5140,693235,0.011811023622047223
2019-02-26,5240,6050,5050,5550,5896259,0.07976653696498048
2019-02-27,5490,5900,5410,5480,1546407,-0.012612612612612595
2019-02-28,5920,6450,5330,5560,3345621,0.014598540145985384
2019-03-04,5570,5890,5570,5760,690489,0.03597122302158273
2019-03-05,5760,5810,5340,5470,949575,-0.05034722222222221
2019-03-06,5470,5530,5310,5370,641602,-0.018281535648994485
2019-03-07,5430,5500,5140,5160,426299,-0.03910614525139666
2019-03-08,5190,5490,5110,5300,504999,0.027131782945736482
2019-03-11,5300,5340,5120,5200,190557,-0.018867924528301883
2019-03-12,5210,5550,5200,5530,514468,0.06346153846153846
2019-03-13,5550,5570,5250,5290,296345,-0.04339963833634719
2019-03-14,5300,5380,5210,5210,197157,-0.015122873345935761
2019-03-15,5190,5260,4905,5000,299640,-0.040307101727447225
2019-03-18,4955,5110,4945,5050,134591,0.010000000000000009
2019-03-19,5090,5100,4970,5030,143334,-0.003960396039603964
2019-03-20,5090,5120,4910,4945,121556,-0.016898608349900646
2019-03-21,5000,5100,4945,4995,118774,0.010111223458038499
2019-03-22,5130,5210,5040,5190,214440,0.039039039039038936
2019-03-25,5070,5110,5020,5070,116350,-0.023121387283236983
2019-03-26,5070,5190,5050,5100,118116,0.00591715976331364
2019-03-27,5170,5300,5030,5300,184148,0.03921568627450989
2019-03-28,5280,5390,5170,5190,270701,-0.02075471698113207
2019-03-29,5190,5240,5050,5110,122098,-0.015414258188824692
2019-04-01,5070,5220,5070,5160,92518,0.009784735812133016
2019-04-02,5240,5460,5160,5400,431918,0.04651162790697683
2019-04-03,5430,5430,5290,5330,138323,-0.012962962962962954
2019-04-04,5330,5360,5190,5240,201229,-0.016885553470919357
2019-04-05,5240,5270,5150,5200,180941,-0.007633587786259555
2019-04-08,5220,5320,5200,5280,148610,0.01538461538461533
2019-04-09,5330,5340,5200,5200,127115,-0.015151515151515138
2019-04-10,5200,5200,5110,5180,107284,-0.0038461538461538325
2019-04-11,5180,5360,5170,5270,191831,0.01737451737451745
2019-04-12,5280,5290,5200,5230,77349,-0.007590132827324458
2019-04-15,5270,5270,5150,5220,130534,-0.0019120458891013214
2019-04-16,5170,5250,5070,5190,135198,-0.005747126436781658
2019-04-17,5130,5200,5080,5140,66220,-0.009633911368015391
2019-04-18,5250,5900,5250,5520,2540821,0.07392996108949412
2019-04-19,5460,5680,5400,5670,594641,0.02717391304347827
2019-04-22,5610,5710,5510,5620,325756,-0.00881834215167554
