Date,Open,High,Low,Close,Volume,Change
2011-01-03,12900,13200,12350,12900,590979,0.0078125
2011-01-04,12950,13950,12550,13050,1257061,0.011627906976744207
2011-01-05,13200,14850,12950,13750,2062890,0.05363984674329503
2011-01-06,14150,14600,12850,13150,1117355,-0.043636363636363584
2011-01-07,13350,13950,13200,13550,602943,0.03041825095057038
2011-01-10,13600,13900,13400,13450,371983,-0.0073800738007380184
2011-01-11,13450,13500,12950,13000,334560,-0.03345724907063197
2011-01-12,13150,13400,13000,13150,291178,0.011538461538461497
2011-01-13,13150,13150,12600,12600,294722,-0.041825095057034245
2011-01-14,12700,12950,12250,12250,198908,-0.02777777777777779
2011-01-17,12000,12300,11850,12000,200980,-0.020408163265306145
2011-01-18,12000,12000,11100,11400,436983,-0.050000000000000044
2011-01-19,11350,11950,11350,11700,166714,0.026315789473684292
2011-01-20,11650,11800,11100,11300,354054,-0.03418803418803418
2011-01-21,11300,11550,11000,11000,190456,-0.026548672566371723
2011-01-24,11000,11100,10350,10500,242389,-0.045454545454545414
2011-01-25,10600,11500,10350,11250,439385,0.0714285714285714
2011-01-26,11100,11350,10700,10750,162152,-0.0444444444444444
2011-01-27,10750,11000,10600,10800,154442,0.0046511627906977715
2011-01-28,10850,11250,10550,10750,213425,-0.00462962962962965
2011-01-31,10650,10900,10450,10700,118912,-0.0046511627906976605
2011-02-01,10900,11050,10650,10700,129227,0.0
2011-02-07,10750,11000,10600,10650,113013,-0.004672897196261627
2011-02-08,10700,10800,10450,10550,187650,-0.009389671361502372
2011-02-09,11200,11350,10500,10650,524141,0.009478672985782088
2011-02-10,10600,10700,9990,9990,186351,-0.06197183098591552
2011-02-11,9910,10050,9200,9350,238730,-0.06406406406406406
2011-02-14,9250,9560,9140,9150,100027,-0.021390374331550777
2011-02-15,9210,9210,7820,8370,257730,-0.08524590163934431
2011-02-16,8370,9110,8370,8630,150437,0.031063321385901954
2011-02-17,8540,8720,8240,8260,108560,-0.042873696407879525
2011-02-18,8300,8900,8070,8800,111248,0.06537530266343827
2011-02-21,8920,9600,8870,9250,211823,0.051136363636363535
2011-02-22,9290,9460,9070,9460,84868,0.022702702702702693
2011-02-23,9550,9840,9180,9180,143344,-0.029598308668076112
2011-02-24,9200,9300,8810,8820,70672,-0.039215686274509776
2011-02-25,8750,9250,8660,9000,60676,0.020408163265306145
2011-02-28,9000,9520,9000,9410,81511,0.04555555555555557
2011-03-02,9320,10100,9290,9780,165948,0.03931987247608926
2011-03-03,9960,10600,9800,10150,204331,0.03783231083844574
2011-03-04,10250,10300,9930,10000,118799,-0.014778325123152691
2011-03-07,10100,10550,9870,10200,128424,0.020000000000000018
2011-03-08,10350,11600,10250,11150,471934,0.09313725490196068
2011-03-09,11450,12150,11100,11200,388192,0.004484304932735439
2011-03-10,11400,11500,11050,11400,168263,0.017857142857142794
2011-03-11,11150,11300,10650,11050,161201,-0.030701754385964897
2011-03-14,11750,12700,11450,12700,1428421,0.1493212669683257
2011-03-15,13400,14600,12200,14600,3607514,0.14960629921259838
2011-03-16,14000,16700,13000,14600,5010109,0.0
2011-03-17,16350,16750,14100,16000,4546179,0.09589041095890405
2011-03-18,16400,17400,13600,13600,2994749,-0.15000000000000002
2011-03-21,13450,13650,12000,12500,2541182,-0.08088235294117652
2011-03-22,12500,12750,12050,12550,1743465,0.0040000000000000036
2011-03-23,12600,12900,12050,12650,1065647,0.007968127490039834
2011-03-24,13100,13650,12150,12150,1649419,-0.03952569169960474
2011-03-25,12300,12950,11900,12700,828542,0.04526748971193406
2011-03-28,13800,13900,12750,12800,1209146,0.007874015748031482
2011-03-29,13550,14700,13500,14700,2975268,0.1484375
2011-03-30,15150,16300,13100,13300,2854265,-0.09523809523809523
2011-03-31,13350,13700,12900,13300,809285,0.0
2011-04-01,13500,13600,12850,13300,507681,0.0
2011-04-04,13200,13250,12650,12800,514071,-0.03759398496240607
2011-04-05,13300,14450,13250,14400,1837549,0.125
2011-04-06,14550,14550,13250,13250,1034526,-0.07986111111111116
2011-04-07,13350,13650,12650,12650,680493,-0.04528301886792452
2011-04-08,12750,12900,12100,12200,410471,-0.035573122529644285
2011-04-11,12200,12250,11850,12150,249442,-0.004098360655737654
2011-04-12,12500,12600,11750,11750,345195,-0.03292181069958844
2011-04-13,11950,12450,11750,11950,223414,0.017021276595744705
2011-04-14,12000,12150,11650,11700,172338,-0.02092050209205021
2011-04-15,11800,11950,11500,11700,135019,0.0
2011-04-18,11900,12200,11700,11850,150059,0.012820512820512775
2011-04-19,11700,11900,11300,11350,135007,-0.04219409282700426
2011-04-20,11400,11500,10900,10900,205443,-0.03964757709251099
2011-04-21,11000,11050,10500,10600,196381,-0.02752293577981646
2011-04-22,10700,11300,10650,11000,244598,0.037735849056603765
2011-04-25,11250,11250,10550,10700,159163,-0.027272727272727226
2011-04-26,10950,12200,10700,11800,515753,0.10280373831775691
2011-04-27,11900,12150,11350,11650,237179,-0.012711864406779627
2011-04-28,11700,12300,11650,12000,268274,0.030042918454935563
2011-04-29,11900,12100,11350,11500,134681,-0.04166666666666663
2011-05-02,11500,12200,11350,11950,130224,0.03913043478260869
2011-05-03,12050,12550,11900,12350,216674,0.03347280334728042
2011-05-04,12200,12450,12000,12200,69217,-0.012145748987854255
2011-05-06,12000,12050,11700,11850,63592,-0.02868852459016391
2011-05-09,12000,13450,11600,12600,268996,0.06329113924050622
2011-05-11,12800,13050,12350,12500,103491,-0.007936507936507908
2011-05-12,12400,12900,12250,12600,75966,0.008000000000000007
2011-05-13,12600,12850,12200,12450,101894,-0.011904761904761862
2011-05-16,12450,13000,11850,11850,257796,-0.048192771084337394
2011-05-17,12000,12150,11250,11250,162149,-0.05063291139240511
2011-05-18,11300,11450,11200,11400,46941,0.01333333333333342
2011-05-19,11300,11400,10800,10950,87109,-0.03947368421052633
2011-05-20,11000,11200,10900,11000,41890,0.004566210045662045
2011-05-23,11000,11100,10350,10450,81896,-0.050000000000000044
2011-05-24,10150,11750,10150,10800,159078,0.03349282296650724
2011-05-25,10850,11300,10700,10750,58346,-0.00462962962962965
2011-05-26,10850,11000,10650,11000,36019,0.023255813953488413
2011-05-27,11250,11500,11000,11350,38770,0.031818181818181746
2011-05-30,11700,12150,11650,11800,103322,0.0396475770925111
2011-05-31,12000,12300,11800,11800,62347,0.0
2011-06-01,12150,12150,11500,11600,55091,-0.016949152542372836
2011-06-02,11300,12000,11200,11550,46795,-0.004310344827586188
2011-06-03,11550,11900,11500,11550,31060,0.0
2011-06-07,11750,11750,10950,11150,43336,-0.03463203463203468
2011-06-08,11300,11700,10900,11100,48151,-0.004484304932735439
2011-06-09,11600,12150,11450,11650,129708,0.04954954954954949
2011-06-10,11900,11900,11450,11450,25304,-0.01716738197424894
2011-06-13,11450,11450,10700,11000,58382,-0.0393013100436681
2011-06-14,11000,11250,10800,10800,45900,-0.018181818181818188
2011-06-15,11050,11150,10750,10750,62517,-0.00462962962962965
2011-06-16,10750,10850,10550,10800,31092,0.0046511627906977715
2011-06-17,10850,10900,10450,10500,61880,-0.02777777777777779
2011-06-20,10500,10600,10250,10300,69871,-0.01904761904761909
2011-06-21,10350,10650,10300,10450,52691,0.014563106796116498
2011-06-22,10550,11350,10550,10950,120621,0.04784688995215314
2011-06-23,10800,11450,10800,11300,87795,0.03196347031963476
2011-06-24,11300,11600,11000,11500,76738,0.017699115044247815
2011-06-27,11450,11700,11300,11450,66181,-0.004347826086956497
2011-06-28,11650,12050,11350,11350,64726,-0.008733624454148492
2011-06-29,11500,11500,11050,11200,89358,-0.013215859030836996
2011-06-30,11400,11400,11100,11250,63634,0.0044642857142858094
2011-07-01,11400,12850,11350,11650,595039,0.03555555555555556
2011-07-04,11900,12250,11750,12000,239991,0.030042918454935563
2011-07-05,12100,12200,11850,11950,78794,-0.004166666666666652
2011-07-06,11850,12650,11850,12400,227946,0.03765690376569042
2011-07-07,12500,13250,12000,12200,564418,-0.016129032258064502
2011-07-08,12300,12550,11750,11850,198240,-0.02868852459016391
2011-07-11,11850,12050,11700,11850,103281,0.0
2011-07-12,11750,11850,11500,11750,94685,-0.008438818565400852
2011-07-13,11850,12400,11600,12400,136016,0.05531914893617018
2011-07-14,12550,13250,12300,12850,302999,0.03629032258064524
2011-07-15,13050,13400,12550,12600,239523,-0.01945525291828798
2011-07-18,12750,13500,12650,13500,293604,0.0714285714285714
2011-07-19,13550,13800,13300,13550,253678,0.0037037037037037646
2011-07-20,13700,14100,13000,13000,349174,-0.040590405904059046
2011-07-21,13000,13250,12650,13200,198038,0.01538461538461533
2011-07-22,13250,13750,13150,13200,193059,0.0
2011-07-25,13150,13600,12800,13150,155401,-0.0037878787878787845
2011-07-26,13400,15100,13400,15100,792447,0.14828897338403046
2011-07-27,14950,15350,14450,15200,749204,0.0066225165562914245
2011-07-28,14900,16650,14700,15750,987115,0.03618421052631571
2011-07-29,15850,16150,14450,14450,413436,-0.08253968253968258
2011-08-01,14750,15500,14500,15300,267929,0.05882352941176472
2011-08-02,15100,15650,14550,14750,225823,-0.03594771241830064
2011-08-03,14200,15100,14050,14800,157983,0.003389830508474523
2011-08-04,14950,15800,14700,14700,291324,-0.006756756756756799
2011-08-05,13400,14200,13000,13500,245309,-0.08163265306122447
2011-08-08,13100,13800,11500,12250,311662,-0.09259259259259256
2011-08-09,11400,12100,10450,11550,273272,-0.05714285714285716
2011-08-10,12300,12900,12050,12600,161654,0.09090909090909083
2011-08-11,11650,13100,11650,12850,239396,0.01984126984126977
2011-08-12,13350,14000,12700,12850,237114,0.0
2011-08-16,13500,13850,13400,13650,159653,0.0622568093385214
2011-08-17,13600,14200,13350,13850,182514,0.0146520146520146
2011-08-18,13900,14200,12950,13250,284713,-0.04332129963898912
2011-08-19,12500,12700,12250,12500,166810,-0.05660377358490565
2011-08-22,12600,12800,11900,12350,126332,-0.01200000000000001
2011-08-23,12700,13200,12350,13200,106196,0.06882591093117418
2011-08-24,13450,13450,12600,12600,101190,-0.045454545454545414
2011-08-25,13000,13150,12300,12300,103349,-0.023809523809523836
2011-08-26,12200,12850,12050,12600,84367,0.024390243902439046
2011-08-29,13000,13000,12750,12850,58224,0.01984126984126977
2011-08-30,13100,13250,12650,12850,81673,0.0
2011-08-31,12850,13300,12700,13200,96839,0.027237354085603016
2011-09-01,13250,13700,13050,13250,152567,0.0037878787878788955
2011-09-02,13100,13250,12800,12900,79800,-0.026415094339622636
2011-09-05,12600,12950,12450,12500,82580,-0.03100775193798455
2011-09-06,12100,12400,11450,11500,127472,-0.07999999999999996
2011-09-07,11850,12200,11700,12200,52398,0.0608695652173914
2011-09-08,12200,12350,11750,11750,50957,-0.03688524590163933
2011-09-09,11750,12350,11750,12000,70551,0.02127659574468077
2011-09-14,12200,12450,11550,11550,68920,-0.03749999999999998
2011-09-15,12100,12150,11600,11900,95702,0.030303030303030276
2011-09-16,12250,13250,12200,12950,180996,0.08823529411764697
2011-09-19,12850,13400,12750,12750,168175,-0.015444015444015413
2011-09-20,12600,13150,12500,13000,115041,0.019607843137254832
2011-09-21,12900,13800,12900,13600,228480,0.04615384615384621
2011-09-22,13150,13900,13050,13750,158883,0.011029411764705843
2011-09-23,13300,13650,12650,12650,182463,-0.07999999999999996
2011-09-26,12800,13000,10850,11000,252613,-0.13043478260869568
2011-09-27,11500,12400,11450,12100,92081,0.10000000000000009
2011-09-28,12150,12300,11750,11750,76327,-0.02892561983471076
2011-09-29,11500,11900,11400,11750,101133,0.0
2011-09-30,11800,12350,11700,12200,83972,0.038297872340425476
2011-10-04,11500,11500,10600,11500,71876,-0.05737704918032782
2011-10-05,11750,11750,10850,11050,61076,-0.03913043478260869
2011-10-06,11400,11600,11350,11350,44826,0.02714932126696823
2011-10-07,11650,11750,11400,11450,54111,0.008810572687224738
2011-10-10,11450,11900,11450,11700,62829,0.02183406113537112
2011-10-11,12100,12350,11850,11950,113395,0.02136752136752129
