Date,Open,High,Low,Close,Volume,Change
2011-01-03,19352,20858,19304,20717,612543,0.08369514045090765
2011-01-04,20858,21282,20434,20953,476507,0.011391610754452941
2011-01-05,21000,22271,21000,22083,1014967,0.05393022478881315
2011-01-06,22035,25378,22035,22836,2453281,0.03409862790381735
2011-01-07,23542,24060,23071,23354,973072,0.02268348222105443
2011-01-10,23636,23683,22506,22836,565286,-0.022180354543118952
2011-01-11,22836,23307,22082,22883,525659,0.002058153792257933
2011-01-12,22883,23589,22600,23119,411899,0.01031333304199622
2011-01-13,23448,23872,22506,22742,426605,-0.016306933690903636
2011-01-14,22930,23401,22695,22789,234739,0.0020666608037991363
2011-01-17,23260,23354,21894,22130,290701,-0.028917460178156107
2011-01-18,21941,22836,21847,22601,282204,0.02128332580207859
2011-01-19,22600,22789,22035,22083,291214,-0.022919339852218945
2011-01-20,21847,22130,21470,21612,379782,-0.021328623828284154
2011-01-21,21565,22600,21282,21565,589487,-0.0021747177493984804
2011-01-24,21659,22035,21282,21659,156993,0.004358914908416445
2011-01-25,21988,22647,21800,22224,503513,0.02608615356202959
2011-01-26,22271,22459,21000,21094,860887,-0.05084593232541401
2011-01-27,21188,21282,20152,20482,687284,-0.029012989475680317
2011-01-28,20670,21282,20623,21047,455892,0.027585196758129094
2011-01-31,20623,20952,20246,20294,236734,-0.03577707036632294
2011-02-01,20529,20717,19869,19964,434214,-0.016260963831674413
2011-02-07,20717,22647,20529,22460,831805,0.1250250450811461
2011-02-08,22600,22883,22130,22742,617297,0.01255565449688345
2011-02-09,22789,22883,21800,22318,407822,-0.018643918740656074
2011-02-10,22412,22600,21376,21377,330652,-0.04216327627923644
2011-02-11,21329,22412,21235,21942,425706,0.02643027552977495
2011-02-14,21988,22506,21235,21518,346997,-0.019323671497584516
2011-02-15,21470,22742,21235,22601,452779,0.05032995631564274
2011-02-16,22600,23730,22271,22695,896948,0.0041591080040706
2011-02-17,23260,23354,21988,22130,594595,-0.024895351398986576
2011-02-18,22224,22977,21941,22978,351952,0.03831902394939002
2011-02-21,23071,23307,22553,22978,240613,0.0
2011-02-22,22553,22647,21753,21895,288045,-0.04713203934197929
2011-02-23,21565,22412,20905,21094,463062,-0.03658369490751312
2011-02-24,20858,21282,20529,20623,212037,-0.022328624253342144
2011-02-25,20811,21565,20670,21518,310618,0.04339814769917072
2011-02-28,21188,21612,21047,21094,169071,-0.019704433497536922
2011-03-02,20764,22035,20717,21659,323714,0.026784867734900963
2011-03-03,22082,22506,21753,22083,365045,0.01957615771734611
2011-03-04,22318,22459,21847,22365,325414,0.012770004075533192
2011-03-07,22271,22600,21941,22177,175312,-0.008405991504583099
2011-03-08,22459,23589,22412,23260,912527,0.04883437795914691
2011-03-09,23542,23636,21800,21895,595737,-0.058684436801375806
2011-03-10,21988,21988,21188,21800,416687,-0.004338890157570274
2011-03-11,21282,21894,21282,21848,182894,0.0022018348623853434
2011-03-14,21659,23165,21141,23166,635983,0.06032588795313076
2011-03-15,22930,22977,19869,21377,504272,-0.07722524389191054
2011-03-16,21706,22130,21188,21424,217228,0.0021986246900875805
2011-03-17,20529,21000,20246,20906,341811,-0.02417849141150108
2011-03-18,21235,21470,20999,21188,182333,0.013488950540514688
2011-03-21,21565,22412,21470,22318,299902,0.0533320747592978
2011-03-22,22318,22836,22130,22130,345914,-0.008423693879379912
2011-03-23,22224,22836,22224,22695,355938,0.025530953456845973
2011-03-24,22836,23683,22506,23684,884072,0.04357788059043832
2011-03-25,24013,24107,23071,23072,552373,-0.025840229690930583
2011-03-28,23354,24295,23024,23778,762304,0.030599861303744813
2011-03-29,24201,24578,23778,23872,667016,0.003953234081924384
2011-03-30,24248,24766,23307,23354,721923,-0.02169906166219837
2011-03-31,23683,24107,23401,23825,445263,0.020167851331677644
2011-04-01,24201,25755,24154,25756,1113783,0.08104931794333692
2011-04-04,25520,25708,25049,25379,591397,-0.01463736605062893
2011-04-05,25143,25237,24672,24861,560975,-0.020410575672800357
2011-04-06,24719,25002,23778,23919,908599,-0.03789067213708219
2011-04-07,23966,24437,23495,24390,608350,0.019691458673021467
2011-04-08,24672,24719,23778,23872,382902,-0.021238212382123867
2011-04-11,24201,24719,23919,24108,419102,0.009886058981233292
2011-04-12,24013,24295,23024,23307,347927,-0.03322548531607761
2011-04-13,23165,23966,23165,23966,197036,0.028274767237310705
2011-04-14,24107,24437,22977,23213,546298,-0.03141951097387963
2011-04-15,22977,23071,21941,22224,1117361,-0.04260543660879679
2011-04-18,22506,22506,21188,21188,1004130,-0.046616270698344175
2011-04-19,20811,21847,20387,21565,529335,0.017793090428544378
2011-04-20,21800,23024,21706,23025,790791,0.06770229538604222
2011-04-21,23260,23966,22506,23025,1017589,0.0
2011-04-22,23213,23401,22459,23307,504455,0.012247557003257414
2011-04-25,23401,23401,22224,22365,431607,-0.04041704209035912
2011-04-26,22224,22318,21188,21659,488559,-0.03156718086295551
2011-04-27,22130,22365,21517,21659,405730,0.0
2011-04-28,21565,21941,20764,20765,312186,-0.04127614386629119
2011-04-29,20811,21423,20529,21424,327450,0.0317360943895979
2011-05-02,21659,21941,21282,21424,210372,0.0
2011-05-03,21423,21706,20858,21094,209442,-0.015403286034354036
2011-05-04,21376,21894,21047,21848,226842,0.03574476154356687
2011-05-06,21612,22130,21423,22036,234827,0.008604906627609044
2011-05-09,22459,22600,21565,21612,268452,-0.019241241604646908
2011-05-11,21470,21612,21000,21283,157964,-0.015223024245789363
2011-05-12,20905,21800,20905,21659,146236,0.01766668232861912
2011-05-13,21470,22318,21470,22224,353625,0.02608615356202959
2011-05-16,22412,22789,22224,22365,335233,0.006344492440604643
2011-05-17,22412,22600,22035,22554,181230,0.008450704225352101
2011-05-18,22789,22789,21376,21565,309235,-0.04385031480003543
2011-05-19,21659,21941,20764,20765,165499,-0.03709714815673548
2011-05-20,20623,21047,20246,20341,222965,-0.020418974235492438
2011-05-23,20152,20199,18551,18646,448243,-0.08332923651737867
2011-05-24,18174,19069,18174,18787,227890,0.007561943580392638
2011-05-25,19304,20011,18928,18928,435708,0.007505189758875819
2011-05-26,19775,20434,19446,20435,477514,0.07961749788672856
2011-05-27,20576,21753,20529,21753,499024,0.06449718620014688
2011-05-30,21800,21894,21188,21659,198046,-0.004321243046936041
2011-05-31,21659,21753,21094,21753,183465,0.004339997229789061
2011-06-01,21894,21894,21282,21283,99190,-0.021606215234680315
2011-06-02,20811,21282,20482,20576,108564,-0.03321900108067477
2011-06-03,21282,21800,21094,21471,179028,0.04349727838258155
2011-06-07,21612,21941,21047,21047,171736,-0.01974756648502629
2011-06-08,20858,21376,20764,20906,57277,-0.00669929206062625
2011-06-09,21188,21753,20905,21706,193057,0.038266526356069974
2011-06-10,21753,21941,21282,21283,173090,-0.01948769925366256
2011-06-13,21000,21047,19964,20294,168965,-0.046469012827139
2011-06-14,19917,20623,19869,20247,238660,-0.0023159554548142225
2011-06-15,21235,21376,20482,20482,230618,0.011606657776460638
2011-06-16,20199,20623,19917,19917,119505,-0.027585196758129094
2011-06-17,20246,20340,19399,19540,139538,-0.018928553497012612
2011-06-20,19869,20340,19634,19776,131800,0.01207778915046065
2011-06-21,19775,20246,19116,19870,165101,0.004753236245954584
2011-06-22,20058,20529,19869,19870,133687,0.0
2011-06-23,20529,20623,20152,20152,121306,0.014192249622546615
2011-06-24,20340,21329,20340,21283,311333,0.056123461691147236
2011-06-27,21000,22035,20811,22036,329320,0.035380350514495174
2011-06-28,22600,22600,22130,22130,343708,0.004265746959520866
2011-06-29,22412,22506,21847,22177,143856,0.0021238138273835805
2011-06-30,21941,22130,21753,21800,157068,-0.016999594174144428
2011-07-01,22318,22318,21753,21848,199572,0.0022018348623853434
2011-07-04,21894,22506,21894,22318,251811,0.021512266569022387
2011-07-05,22224,22930,22130,22648,337737,0.014786271171251864
2011-07-06,22459,22600,22318,22460,121007,-0.008300953726598337
2011-07-07,22459,23354,22459,23354,540135,0.03980409617097069
2011-07-08,23542,23589,23024,23307,293778,-0.0020125032114413077
2011-07-11,23307,23919,23071,23731,409158,0.018191959497146692
2011-07-12,23307,23354,22647,23166,312727,-0.023808520500610997
2011-07-13,23071,23354,22600,22930,219469,-0.01018734352067685
2011-07-14,24013,24813,23730,24249,927117,0.05752289576973402
2011-07-15,24248,24813,23919,24296,707989,0.00193822425667034
2011-07-18,24766,25002,24390,24626,516076,0.013582482713203836
2011-07-19,24625,25614,24578,25379,747321,0.03057743847965555
2011-07-20,25802,25991,25284,25426,567176,0.001851924819732842
2011-07-21,25567,25755,25237,25426,280928,0.0
