Date,Open,High,Low,Close,Volume,Change
2017-08-03,6600,7140,5400,5680,11916912,
2017-08-04,5530,5940,5050,5100,3134912,-0.102112676056338
2017-08-07,5340,6630,5260,6630,2902999,0.30000000000000004
2017-08-08,7630,7690,6240,6320,8828732,-0.04675716440422317
2017-08-09,6260,6880,6000,6620,5206171,0.04746835443037978
2017-08-10,6880,6980,6270,6270,2359391,-0.052870090634441036
2017-08-11,6050,6680,5950,6330,2450454,0.009569377990430672
2017-08-14,6270,6360,5900,5970,1110964,-0.056872037914691975
2017-08-16,5940,6020,5520,5610,1231717,-0.06030150753768848
2017-08-17,5640,5720,5560,5650,621889,0.007130124777183555
2017-08-18,5550,5780,5510,5780,1200177,0.023008849557522026
2017-08-21,6080,6500,5660,5670,3201007,-0.01903114186851207
2017-08-22,5790,5870,5560,5660,786170,-0.0017636684303351524
2017-08-23,5690,5800,5610,5740,607258,0.014134275618374659
2017-08-24,5690,5750,5430,5430,658461,-0.05400696864111498
2017-08-25,5430,5460,5310,5330,434787,-0.018416206261510082
2017-08-28,5370,5390,5240,5240,266962,-0.016885553470919357
2017-08-29,5220,5670,5180,5290,768677,0.009541984732824416
2017-08-30,5330,5440,5250,5290,265812,0.0
2017-08-31,5340,5390,5240,5320,197491,0.005671077504725952
2017-09-01,5320,5540,5320,5370,367474,0.009398496240601517
2017-09-04,5140,5250,5130,5130,341223,-0.04469273743016755
2017-09-05,5130,5180,4925,4950,303826,-0.03508771929824561
2017-09-06,4910,5060,4870,4880,203858,-0.014141414141414121
2017-09-07,5000,5000,4860,4860,141573,-0.004098360655737654
2017-09-08,4860,4920,4645,4645,260363,-0.044238683127572065
2017-09-11,4645,4705,4475,4520,203831,-0.026910656620021567
2017-09-12,4550,5060,4510,4665,1016910,0.03207964601769908
2017-09-13,4700,4710,4520,4630,174195,-0.007502679528403
2017-09-14,4595,4790,4570,4585,125423,-0.009719222462203025
2017-09-15,4555,4620,4525,4570,116897,-0.0032715376226826187
2017-09-18,4595,4870,4575,4750,525885,0.03938730853391692
2017-09-19,5000,5490,4820,4820,2722917,0.01473684210526316
2017-09-20,4810,4865,4675,4675,329337,-0.030082987551867224
2017-09-21,4720,4740,4335,4400,275036,-0.05882352941176472
2017-09-22,4360,4445,4170,4175,186003,-0.051136363636363646
2017-09-25,4160,4290,3950,3950,166533,-0.053892215568862256
2017-09-26,3800,4045,3800,3970,155811,0.005063291139240533
2017-09-27,3980,4565,3980,4180,952145,0.05289672544080615
2017-09-28,4210,4275,4115,4220,92229,0.009569377990430672
2017-09-29,4200,4340,4150,4325,97005,0.024881516587677677
2017-10-10,4315,4315,4165,4225,67224,-0.023121387283236983
2017-10-11,4210,4480,4210,4370,238974,0.03431952662721893
2017-10-12,4440,4515,4400,4460,156244,0.020594965675057253
2017-10-13,4495,4495,4285,4290,77208,-0.03811659192825112
2017-10-16,4300,4585,4235,4335,212919,0.010489510489510412
2017-10-17,4340,4340,4215,4250,82624,-0.019607843137254943
2017-10-18,4265,4310,4140,4140,93148,-0.025882352941176467
2017-10-19,4100,4255,4080,4175,64950,0.008454106280193274
2017-10-20,4150,4465,4140,4385,271061,0.05029940119760479
2017-10-23,4385,4560,4325,4335,144138,-0.011402508551881407
2017-10-24,4305,4405,4300,4385,76818,0.011534025374855927
2017-10-25,4440,4450,4305,4350,70383,-0.007981755986317007
2017-10-26,4380,4460,4325,4335,73095,-0.0034482758620689724
2017-10-27,4300,5070,4300,4555,2679324,0.05074971164936559
2017-10-30,4610,4950,4515,4760,790698,0.04500548847420416
2017-10-31,4810,4815,4610,4625,307109,-0.028361344537815136
2017-11-01,4745,5150,4625,5010,1696893,0.08324324324324328
2017-11-02,4980,5250,4965,4975,721104,-0.006986027944111739
2017-11-03,5020,5030,4715,4780,324777,-0.039195979899497524
2017-11-06,4845,4920,4655,4910,249284,0.027196652719665204
2017-11-07,4940,5030,4850,4955,173377,0.009164969450101923
2017-11-08,4970,4995,4845,4855,81569,-0.020181634712411745
2017-11-09,4890,4890,4785,4860,78332,0.001029866117404632
2017-11-10,4900,4900,4780,4780,77913,-0.016460905349794275
2017-11-13,4790,4895,4750,4775,84395,-0.0010460251046024993
2017-11-14,4830,4955,4750,4920,202429,0.030366492146596924
2017-11-15,4920,4920,4380,4425,469982,-0.10060975609756095
2017-11-16,4475,4490,4310,4360,145058,-0.014689265536723117
2017-11-17,4365,4500,4330,4445,101973,0.019495412844036775
2017-11-20,4510,4510,4255,4275,183698,-0.038245219347581516
2017-11-21,4285,4285,4130,4155,194973,-0.028070175438596467
2017-11-22,4195,4225,4140,4190,96574,0.008423586040914532
2017-11-23,4190,4460,4190,4370,257480,0.042959427207637235
2017-11-24,4445,4560,4395,4425,180309,0.012585812356979309
2017-11-27,4425,4475,4350,4400,86320,-0.005649717514124242
2017-11-28,4500,4500,4250,4250,83327,-0.03409090909090906
2017-11-29,4260,4420,4250,4365,66860,0.027058823529411802
2017-11-30,4330,4390,4250,4260,57330,-0.02405498281786944
2017-12-01,4320,4455,4220,4455,85423,0.045774647887323994
2017-12-04,4500,4695,4385,4690,305539,0.052749719416386176
2017-12-05,4700,4790,4585,4660,310703,-0.006396588486140775
2017-12-06,4900,5100,4595,4620,780879,-0.008583690987124415
2017-12-07,4640,4695,4400,4410,163029,-0.045454545454545414
2017-12-08,4410,4675,4410,4490,186098,0.018140589569161092
2017-12-11,4480,4535,4385,4460,72918,-0.006681514476614692
2017-12-12,4300,4340,4170,4240,212999,-0.04932735426008972
2017-12-13,4240,4280,4190,4260,68722,0.004716981132075526
2017-12-14,4300,4320,4160,4265,39584,0.0011737089201877549
2017-12-15,4265,4330,4205,4215,47225,-0.011723329425556872
2017-12-18,4220,4400,4200,4355,102825,0.033214709371292894
2017-12-19,4390,4395,4115,4220,117715,-0.030998851894374235
2017-12-20,4340,4350,4210,4220,74639,0.0
2017-12-21,4205,4290,3985,4020,94415,-0.04739336492891
2017-12-22,3985,4115,3985,4090,32361,0.017412935323383172
2017-12-26,4030,4055,3900,3905,96869,-0.04523227383863082
2017-12-27,3910,4050,3900,4000,36104,0.02432778489116516
2017-12-28,4080,4080,3950,4000,24780,0.0
2018-01-02,4000,4150,4000,4060,40125,0.014999999999999902
2018-01-03,4145,4145,4070,4115,31112,0.013546798029556717
2018-01-04,4125,4200,4065,4180,70312,0.015795868772782606
2018-01-05,4210,4295,4160,4180,53303,0.0
2018-01-08,4180,4230,4075,4090,54109,-0.021531100478468845
2018-01-09,4090,4165,4055,4130,63100,0.009779951100244544
2018-01-10,4180,4180,4020,4070,46335,-0.014527845036319653
2018-01-11,4145,4370,4045,4200,121976,0.03194103194103204
2018-01-12,4200,4200,4120,4160,46564,-0.00952380952380949
2018-01-15,4150,4295,4115,4175,47457,0.0036057692307691624
2018-01-16,4190,4190,4090,4170,43526,-0.0011976047904191933
2018-01-17,4130,4740,4130,4405,1130343,0.05635491606714638
2018-01-18,4495,5720,4435,5720,3387075,0.29852440408626557
2018-01-19,6250,6480,5310,5670,4373183,-0.00874125874125875
2018-01-22,5670,5760,5470,5600,804152,-0.012345679012345734
2018-01-23,5600,5790,5480,5730,1127181,0.023214285714285632
2018-01-24,5730,5890,5500,5570,904125,-0.027923211169284423
2018-01-25,5470,5680,5470,5520,361844,-0.008976660682226245
2018-01-26,5590,5760,5500,5760,614831,0.04347826086956519
2018-01-29,6470,6690,5580,5580,2632968,-0.03125
2018-01-30,5520,5530,5320,5390,420042,-0.03405017921146958
2018-01-31,5340,5430,5150,5190,272599,-0.03710575139146566
2018-02-01,5190,5340,5180,5290,209182,0.019267822736030782
2018-02-02,5240,5330,4960,4965,243469,-0.061436672967863926
2018-02-05,4765,4900,4740,4760,181865,-0.0412890231621349
2018-02-06,4535,4895,4405,4630,182595,-0.027310924369747913
2018-02-07,4745,4810,4510,4510,151867,-0.02591792656587477
2018-02-08,4465,4620,4465,4620,153691,0.024390243902439046
2018-02-09,4470,4555,4420,4430,75952,-0.04112554112554112
2018-02-12,4440,4580,4430,4450,89458,0.004514672686230181
2018-02-13,4555,4620,4405,4420,108567,-0.006741573033707815
2018-02-14,4460,4525,4420,4525,55390,0.0237556561085972
2018-02-19,4520,4685,4520,4685,88214,0.0353591160220994
2018-02-20,4695,4890,4655,4870,201325,0.03948772678762014
