Date,Open,High,Low,Close,Volume,Change
2011-01-03,7150,7400,7150,7325,8430,0.010344827586206806
2011-01-04,7249,7375,7200,7325,4661,0.0
2011-01-05,7275,7350,7275,7300,7000,-0.0034129692832765013
2011-01-06,7375,7375,7250,7275,5390,-0.003424657534246589
2011-01-07,7175,7300,7175,7200,9680,-0.010309278350515427
2011-01-10,7175,7300,7175,7250,5720,0.00694444444444442
2011-01-11,7200,7324,7150,7250,11348,0.0
2011-01-12,7300,7300,7149,7175,7600,-0.010344827586206917
2011-01-13,7125,7275,7075,7200,7800,0.0034843205574912606
2011-01-14,7074,7250,7074,7150,7510,-0.00694444444444442
2011-01-17,7100,7200,7050,7075,8520,-0.010489510489510523
2011-01-18,7050,7175,6975,7075,6960,0.0
2011-01-19,7000,7124,6950,7050,12320,-0.0035335689045936647
2011-01-20,6975,7150,6925,7000,16777,-0.007092198581560294
2011-01-21,6925,7075,6900,7025,9010,0.0035714285714285587
2011-01-24,6925,7075,6900,6975,10347,-0.007117437722419906
2011-01-25,6900,7025,6900,6900,4401,-0.010752688172043001
2011-01-26,6849,7000,6849,6925,6615,0.0036231884057971175
2011-01-27,6875,7025,6650,7000,42700,0.010830324909747224
2011-01-28,6900,7150,6900,7125,9100,0.017857142857142794
2011-01-31,7025,7200,7025,7175,6530,0.007017543859649145
2011-02-01,7075,7225,7025,7100,2840,-0.010452961672473893
2011-02-07,7050,7200,7000,7050,4884,-0.007042253521126751
2011-02-08,7050,7075,7050,7075,2741,0.0035460992907800915
2011-02-09,7025,7100,6975,7100,3760,0.0035335689045936647
2011-02-10,7000,7175,6975,7075,5760,-0.0035211267605633756
2011-02-11,7150,7325,7050,7300,26299,0.03180212014134276
2011-02-14,7350,7450,7200,7300,22511,0.0
2011-02-15,7300,7449,7200,7225,3209,-0.010273972602739767
2011-02-16,7150,7324,7050,7050,8860,-0.02422145328719727
2011-02-17,7150,7150,6950,7100,3210,0.007092198581560183
2011-02-18,7000,7100,7000,7050,14691,-0.007042253521126751
2011-02-21,7050,7200,7025,7100,2783,0.007092198581560183
2011-02-22,7000,7150,7000,7025,53543,-0.010563380281690127
2011-02-23,7000,7150,6950,7025,3610,0.0
2011-02-24,7200,7350,7050,7250,19539,0.03202846975088969
2011-02-25,7250,7275,7100,7175,2507,-0.010344827586206917
2011-02-28,7050,7275,7000,7100,12260,-0.010452961672473893
2011-03-02,7100,7200,7000,7125,30970,0.0035211267605634866
2011-03-03,7100,7150,7025,7125,3340,0.0
2011-03-04,7100,7200,7024,7050,8040,-0.010526315789473717
2011-03-07,7000,7150,6900,7150,2070,0.014184397163120588
2011-03-08,7025,7150,6925,7100,7180,-0.006993006993006978
2011-03-09,7100,7150,7025,7100,2330,0.0
2011-03-10,7050,7200,7000,7100,3790,0.0
2011-03-11,7000,7125,7000,7125,3920,0.0035211267605634866
2011-03-14,7000,7125,6900,7075,4270,-0.007017543859649145
2011-03-15,7000,7124,6875,7050,6460,-0.0035335689045936647
2011-03-16,7024,7050,6875,7050,5170,0.0
2011-03-17,6925,7025,6900,7000,2190,-0.007092198581560294
2011-03-18,6949,7000,6949,6975,5540,-0.0035714285714285587
2011-03-21,6975,7025,6950,7000,9637,0.0035842293906809264
2011-03-22,6950,7025,6950,7000,3003,0.0
2011-03-23,7049,7125,6950,7125,12072,0.017857142857142794
2011-03-24,7150,7150,7049,7125,11146,0.0
2011-03-25,7149,7225,7075,7075,1981,-0.007017543859649145
2011-03-28,7025,7075,6975,7000,1795,-0.010600706713780883
2011-03-29,7050,7050,6925,7000,5040,0.0
2011-03-30,6949,7200,6949,7175,10269,0.02499999999999991
2011-03-31,7275,7275,7000,7050,7869,-0.017421602787456414
2011-04-01,7100,7225,7050,7200,6988,0.02127659574468077
2011-04-04,7250,7250,7100,7175,2674,-0.00347222222222221
2011-04-05,7174,7200,7125,7150,4072,-0.0034843205574912606
2011-04-06,7150,7175,7075,7125,10150,-0.0034965034965035446
2011-04-07,7125,7175,7025,7100,3780,-0.0035087719298245723
