Date,Open,High,Low,Close,Volume,Change
2017-11-29,14500,15900,11650,12500,1774104,
2017-11-30,12600,13450,12350,12500,657082,0.0
2017-12-01,12700,13050,12400,12550,290076,0.0040000000000000036
2017-12-04,12600,12800,12500,12550,126956,0.0
2017-12-05,12450,12600,12000,12400,160020,-0.01195219123505975
2017-12-06,12400,12500,11700,11700,187291,-0.056451612903225756
2017-12-07,11700,11950,11100,11600,126716,-0.008547008547008517
2017-12-08,11600,11800,11250,11250,77139,-0.030172413793103425
2017-12-11,11200,11250,10750,11150,99728,-0.008888888888888835
2017-12-12,11150,11650,10900,10900,89851,-0.022421524663677084
2017-12-13,10900,11100,10700,10800,90510,-0.00917431192660545
2017-12-14,10800,10800,10500,10700,117529,-0.0092592592592593
2017-12-15,10700,11050,10450,10450,221851,-0.02336448598130836
2017-12-18,10500,10500,10100,10100,154257,-0.03349282296650713
2017-12-19,10150,10300,9800,9950,99195,-0.014851485148514865
2017-12-20,9970,10050,9870,9940,22614,-0.0010050251256281673
2017-12-21,10050,10050,9850,9970,17378,0.003018108651911433
2017-12-22,9920,9960,9690,9810,60352,-0.016048144433299938
2017-12-26,9900,10200,9750,9950,45901,0.014271151885830724
2017-12-27,9950,10200,9910,10050,18485,0.01005025125628145
2017-12-28,10150,10450,10050,10150,31071,0.00995024875621886
2018-01-02,10300,10300,10000,10300,21671,0.014778325123152802
2018-01-03,10400,11200,10300,11150,58954,0.08252427184466016
2018-01-04,11350,11550,10850,11150,42323,0.0
2018-01-05,11500,11500,11150,11150,21716,0.0
2018-01-08,11450,11450,10900,10900,43879,-0.022421524663677084
2018-01-09,10950,11650,10950,11650,94499,0.0688073394495412
2018-01-10,11550,12200,11350,12200,52141,0.047210300429184615
2018-01-11,12200,12700,11900,12400,81247,0.016393442622950838
2018-01-12,12400,12750,12050,12150,44593,-0.020161290322580627
2018-01-15,12150,12350,12050,12300,21894,0.012345679012345734
2018-01-16,12200,12400,12150,12300,12320,0.0
2018-01-17,12350,12500,12150,12400,22459,0.008130081300812941
2018-01-18,12400,12800,12200,12700,25926,0.024193548387096753
2018-01-19,12800,12950,12550,12900,23320,0.015748031496062964
2018-01-22,13150,13500,12700,13100,56209,0.015503875968992276
2018-01-23,13350,13550,12850,13500,75201,0.03053435114503822
2018-01-24,13700,13700,13250,13450,21743,-0.0037037037037036535
2018-01-25,13350,13800,13200,13750,67526,0.02230483271375472
2018-01-26,13750,14250,13350,13600,32288,-0.010909090909090868
2018-01-29,13600,13700,13100,13600,44483,0.0
2018-01-30,13600,13650,13300,13600,41406,0.0
2018-01-31,13450,13750,13350,13400,22601,-0.014705882352941124
2018-02-01,13250,13950,13250,13850,21484,0.033582089552238736
2018-02-02,13850,14600,13650,13950,68492,0.0072202166064982976
2018-02-05,14000,14000,13200,13950,37666,0.0
2018-02-06,13850,13850,13400,13400,28438,-0.03942652329749108
2018-02-07,13450,14000,13450,13500,19010,0.00746268656716409
2018-02-08,13450,14150,13300,13750,37995,0.0185185185185186
2018-02-09,13750,14000,13450,13600,7291,-0.010909090909090868
2018-02-12,13600,13950,13350,13600,32815,0.0
2018-02-13,13600,13950,13550,13600,19227,0.0
2018-02-14,13500,13750,13400,13700,19814,0.007352941176470562
2018-02-19,13700,14150,13550,13950,25704,0.018248175182481674
2018-02-20,13950,14000,13800,13850,20482,-0.007168458781361964
2018-02-21,13850,14250,13750,13850,19586,0.0
2018-02-22,13850,14000,13750,13950,5851,0.0072202166064982976
2018-02-23,13850,14500,13750,14450,32631,0.03584229390680993
2018-02-26,14450,17700,14400,15400,198377,0.0657439446366781
2018-02-27,15450,15600,14950,15000,40308,-0.025974025974025983
2018-02-28,14950,15300,14650,15100,26479,0.006666666666666599
2018-03-02,14900,15450,14650,15200,16734,0.0066225165562914245
2018-03-05,15300,15400,14800,15400,22646,0.013157894736842035
2018-03-06,15450,15600,15150,15250,13470,-0.009740259740259716
2018-03-07,15200,15250,14900,15200,14500,-0.003278688524590123
