Date,Open,High,Low,Close,Volume,Change
2011-01-03,4280,4330,4225,4305,106516,0.0011627906976743319
2011-01-04,4350,4350,4240,4275,87882,-0.006968641114982632
2011-01-05,4250,4285,4200,4250,196312,-0.005847953216374324
2011-01-06,4220,4270,4220,4265,105553,0.003529411764705781
2011-01-07,4265,4790,4250,4585,1090483,0.0750293083235638
2011-01-10,4420,4540,4360,4420,402832,-0.03598691384950925
2011-01-11,4415,4415,4290,4300,198435,-0.02714932126696834
2011-01-12,4290,4375,4250,4320,173632,0.0046511627906977715
2011-01-13,4340,4450,4310,4330,135559,0.0023148148148148806
2011-01-14,4340,4425,4320,4320,110190,-0.002309468822170868
2011-01-17,4320,4390,4305,4370,87960,0.011574074074074181
2011-01-18,4370,4480,4360,4410,196099,0.009153318077803174
2011-01-19,4450,4550,4345,4345,115641,-0.01473922902494329
2011-01-20,4350,4415,4325,4380,106233,0.008055235903337232
2011-01-21,4380,4400,4300,4325,133187,-0.01255707762557079
2011-01-24,4295,4395,4295,4385,94175,0.01387283236994219
2011-01-25,4385,4430,4385,4410,124338,0.005701254275940704
2011-01-26,4430,4435,4390,4415,86777,0.0011337868480725266
2011-01-27,4420,4550,4420,4510,155300,0.021517553793884536
2011-01-28,4565,5180,4565,4830,5083734,0.07095343680709543
2011-01-31,4720,4790,4565,4740,611447,-0.018633540372670843
2011-02-01,4750,4770,4510,4535,423712,-0.043248945147679296
2011-02-07,4545,4615,4475,4615,222143,0.01764057331863289
2011-02-08,4595,4710,4530,4620,283805,0.0010834236186347823
2011-02-09,4630,4830,4550,4765,390664,0.031385281385281294
2011-02-10,4765,5130,4765,4910,615874,0.030430220356768123
2011-02-11,4960,5180,4865,5020,427598,0.022403258655804503
2011-02-14,5050,5170,4850,4900,306424,-0.0239043824701195
2011-02-15,4970,5060,4860,5020,214706,0.02448979591836742
2011-02-16,5020,5340,4935,4990,674684,-0.005976095617529875
2011-02-17,5030,5100,4805,4910,268677,-0.01603206412825653
2011-02-18,4920,5200,4860,5160,433294,0.050916496945010215
2011-02-21,5150,5220,5020,5110,202915,-0.009689922480620172
2011-02-22,5090,5200,5000,5120,156217,0.001956947162426559
2011-02-23,5090,5220,4830,4870,251095,-0.048828125
2011-02-24,4820,4850,4705,4720,152859,-0.030800821355236097
2011-02-25,4650,4795,4610,4750,155870,0.006355932203389925
2011-02-28,4750,4840,4680,4750,104106,0.0
2011-03-02,4735,4890,4680,4845,111916,0.020000000000000018
2011-03-03,4820,5040,4820,5000,102862,0.031991744066047545
2011-03-04,4970,5310,4970,5280,524370,0.05600000000000005
2011-03-07,5410,5480,5230,5330,417128,0.009469696969697017
2011-03-08,5460,5610,5270,5340,253483,0.0018761726078799779
2011-03-09,5390,5400,5260,5370,181712,0.00561797752808979
2011-03-10,5390,5440,5270,5370,153180,0.0
2011-03-11,5350,5580,5270,5430,331371,0.011173184357541999
2011-03-14,5300,5380,5130,5300,225158,-0.023941068139963217
2011-03-15,5290,5430,4690,5190,578013,-0.02075471698113207
2011-03-16,5200,5450,5090,5170,510857,-0.003853564547206201
2011-03-17,5500,5650,5140,5150,1622764,-0.003868471953578312
