Date,Open,High,Low,Close,Volume,Change
2011-01-03,138000,142000,137500,141500,5617,0.0253623188405796
2011-01-04,140000,143000,139000,141500,3749,0.0
2011-01-05,144000,144000,140500,142000,2949,0.0035335689045936647
2011-01-06,143500,143500,137000,139500,4236,-0.017605633802816878
2011-01-07,139500,144000,138000,139000,4319,-0.0035842293906810374
2011-01-10,139500,146000,139000,140000,9784,0.007194244604316502
2011-01-11,140500,144500,140500,144000,5886,0.02857142857142847
2011-01-12,148000,160000,146000,150000,62364,0.04166666666666674
2011-01-13,153000,153000,141500,145500,22572,-0.030000000000000027
2011-01-14,145500,147000,141000,143500,18933,-0.013745704467353903
2011-01-17,143000,145500,139500,144500,14692,0.006968641114982521
2011-01-18,145500,146500,144500,145000,4236,0.0034602076124568004
2011-01-19,145000,147000,141500,146000,12307,0.006896551724137945
2011-01-20,144500,147500,143500,147500,6165,0.010273972602739656
2011-01-21,147500,148500,145500,148000,10184,0.003389830508474523
2011-01-24,149000,150000,147000,150000,7032,0.013513513513513598
2011-01-25,150000,155000,150000,155000,8665,0.03333333333333344
2011-01-26,153500,158500,153500,156000,4224,0.006451612903225712
2011-01-27,154500,157000,154000,156500,4142,0.0032051282051281937
2011-01-28,158000,158500,156000,156000,4425,-0.0031948881789137795
2011-01-31,154500,156000,153000,153500,2600,-0.01602564102564108
2011-02-01,153500,154500,148500,150000,2650,-0.0228013029315961
2011-02-07,155000,156000,151500,155500,2785,0.036666666666666625
2011-02-08,157500,157500,155000,156000,5825,0.003215434083601254
2011-02-09,155000,157500,151000,156000,3061,0.0
2011-02-10,155500,158000,153000,157000,12755,0.0064102564102563875
2011-02-11,158500,160500,155000,158000,8315,0.006369426751592355
2011-02-14,161500,166000,157000,164500,13566,0.04113924050632911
2011-02-15,166000,170000,165000,167000,12834,0.015197568389057725
2011-02-16,168500,174000,166500,168000,14026,0.0059880239520957446
2011-02-17,166500,169000,160500,164500,8632,-0.02083333333333337
2011-02-18,162500,168500,162000,168500,6556,0.024316109422492405
2011-02-21,170000,179000,168500,175000,7739,0.03857566765578646
2011-02-22,176000,176000,160500,171500,7640,-0.020000000000000018
2011-02-23,171000,172500,167000,169000,5018,-0.014577259475218707
2011-02-24,167000,170000,163000,169000,8059,0.0
2011-02-25,169500,169500,165500,167500,2733,-0.00887573964497046
2011-02-28,169500,169500,162000,163000,3821,-0.0268656716417911
2011-03-02,161000,164000,160000,163000,5991,0.0
2011-03-03,162000,171000,162000,169500,10333,0.039877300613496924
2011-03-04,173500,173500,167500,169000,6527,-0.002949852507374673
2011-03-07,171000,171000,165000,169000,6668,0.0
2011-03-08,169000,174500,168000,171000,10196,0.01183431952662728
2011-03-09,173000,173000,169500,170500,2601,-0.0029239766081871066
2011-03-10,170500,174500,170500,174000,8370,0.02052785923753664
2011-03-11,174000,177000,171000,176500,4711,0.014367816091954033
2011-03-14,172000,176000,163000,170000,12684,-0.03682719546742208
2011-03-15,169000,172500,162000,169000,6202,-0.00588235294117645
2011-03-16,175000,175500,169000,172500,13932,0.020710059171597628
2011-03-17,171000,171000,167000,170500,7846,-0.011594202898550732
2011-03-18,166000,171000,166000,168500,7658,-0.011730205278592365
2011-03-21,171000,171000,167000,168000,3287,-0.0029673590504450953
2011-03-22,168000,171500,167500,168500,3858,0.0029761904761904656
2011-03-23,170500,170500,164000,167500,6319,-0.005934718100890191
2011-03-24,167500,169000,167000,168500,5445,0.005970149253731405
2011-03-25,169000,170000,165000,165000,6803,-0.020771513353115778
2011-03-28,165000,166500,163500,165000,6016,0.0
2011-03-29,163500,166000,161500,165000,7829,0.0
2011-03-30,164500,164500,160000,163500,10750,-0.009090909090909038
2011-03-31,163000,166000,162000,164500,9082,0.006116207951070374
2011-04-01,164500,170000,164500,169500,8277,0.03039513677811545
2011-04-04,172000,174500,166500,174500,9882,0.029498525073746285
2011-04-05,173500,174000,171000,173000,3649,-0.008595988538681931
2011-04-06,172500,172500,167500,170500,10026,-0.014450867052023142
2011-04-07,170000,170000,166500,169500,5490,-0.0058651026392961825
2011-04-08,170000,170000,166000,169500,6270,0.0
2011-04-11,169500,173000,167500,173000,4025,0.020648967551622377
2011-04-12,174000,174500,170000,174000,4142,0.005780346820809301
2011-04-13,174000,175000,172000,174500,1235,0.002873563218390718
2011-04-14,173000,177500,172500,177500,5245,0.017191977077363862
2011-04-15,179500,185000,177500,182500,11619,0.028169014084507005
2011-04-18,184500,192500,182000,188500,7941,0.03287671232876721
2011-04-19,190000,191000,187000,191000,7931,0.013262599469495928
2011-04-20,191500,192000,187000,191000,9864,0.0
2011-04-21,192500,196000,189000,195000,6650,0.020942408376963373
2011-04-22,192000,193500,190000,192000,6025,-0.01538461538461533
2011-04-25,192000,194000,187000,193000,5319,0.005208333333333259
2011-04-26,193000,198000,190000,195500,5139,0.012953367875647714
2011-04-27,195500,199500,194000,198500,6377,0.01534526854219953
2011-04-28,200000,209000,195000,201000,13740,0.012594458438287104
2011-04-29,200000,203000,199000,202500,6116,0.00746268656716409
2011-05-02,204000,204500,196500,197000,6953,-0.02716049382716046
2011-05-03,196000,199000,191000,198500,4044,0.0076142131979695105
2011-05-04,196500,196500,189500,191500,9856,-0.035264483627204024
2011-05-06,191500,192500,186000,192500,6310,0.005221932114882533
2011-05-09,192500,192500,185000,185000,5562,-0.038961038961038974
2011-05-11,183500,189500,182500,188500,5924,0.018918918918918948
2011-05-12,188500,195000,185500,195000,2179,0.034482758620689724
2011-05-13,195000,197500,190000,197500,3031,0.012820512820512775
2011-05-16,199500,200000,195000,197000,5674,-0.0025316455696202667
2011-05-17,197000,198500,195000,197500,8846,0.002538071065989911
2011-05-18,198500,198500,193000,197000,7001,-0.0025316455696202667
2011-05-19,197500,201500,193500,193500,5848,-0.017766497461928932
2011-05-20,193500,194500,189500,192500,3255,-0.0051679586563307955
2011-05-23,190500,194000,190000,190000,5809,-0.012987012987012991
2011-05-24,188000,195000,188000,194000,10561,0.021052631578947434
2011-05-25,194500,198000,186000,189500,16624,-0.023195876288659822
2011-05-26,189500,195000,186000,190000,4021,0.0026385224274405594
2011-05-27,190000,190500,186000,187500,5192,-0.013157894736842146
2011-05-30,191000,199000,186000,198500,6080,0.058666666666666645
2011-05-31,198500,199500,193000,199000,6382,0.0025188916876575096
2011-06-01,196000,200000,192000,195000,10132,-0.02010050251256279
2011-06-02,191500,197500,191000,195000,3998,0.0
2011-06-03,195500,197500,190500,194500,4657,-0.002564102564102555
2011-06-07,194500,196000,190000,195500,7599,0.005141388174807249
2011-06-08,193500,199000,193500,195500,7033,0.0
2011-06-09,195500,196000,192500,195500,4732,0.0
2011-06-10,198500,198500,190500,197000,6709,0.007672634271099765
2011-06-13,195500,195500,190500,193000,7294,-0.02030456852791873
2011-06-14,192000,195000,191000,194000,6770,0.005181347150259086
2011-06-15,197000,197500,191000,193000,7230,-0.005154639175257714
2011-06-16,192000,195000,190500,193000,5027,0.0
2011-06-17,192000,201500,190500,200000,5156,0.03626943005181338
2011-06-20,199500,202000,196500,202000,7353,0.010000000000000009
2011-06-21,201000,203500,199000,203000,6130,0.004950495049504955
2011-06-22,205000,207500,201000,201000,5369,-0.009852216748768461
2011-06-23,203500,203500,196500,199500,5767,-0.007462686567164201
2011-06-24,199500,200000,191500,191500,15674,-0.040100250626566414
2011-06-27,191000,193000,189000,193000,8147,0.007832898172323688
2011-06-28,192500,193500,190500,192500,7946,-0.002590673575129543
2011-06-29,192500,196000,192500,195000,6468,0.01298701298701288
2011-06-30,196000,196500,192500,195500,11101,0.002564102564102555
2011-07-01,197000,197000,188500,193000,13720,-0.012787723785166238
2011-07-04,193000,193000,185000,186500,15470,-0.033678756476683946
2011-07-05,188500,188500,184000,186500,12806,0.0
2011-07-06,186500,187500,182500,186500,8427,0.0
2011-07-07,187000,190500,185000,190500,4228,0.02144772117962468
2011-07-08,190500,192000,188000,191000,2987,0.002624671916010568
2011-07-11,188500,194000,188500,192000,5619,0.005235602094240788
2011-07-12,192000,192000,188000,191000,3228,-0.00520833333333337
2011-07-13,190500,192000,187500,189000,12101,-0.010471204188481686
2011-07-14,190000,190500,187000,190000,4003,0.005291005291005346
2011-07-15,190000,191000,187500,190000,10355,0.0
2011-07-18,190000,192000,189000,189000,3386,-0.0052631578947368585
2011-07-19,188500,191000,187000,189000,1953,0.0
2011-07-20,189000,191000,188500,188500,4324,-0.002645502645502673
2011-07-21,188500,190500,186500,190000,4959,0.007957559681697646
2011-07-22,192000,192000,188500,191000,4691,0.0052631578947368585
2011-07-25,191500,191500,189500,190500,7955,-0.002617801047120394
2011-07-26,191000,191000,188500,189000,5359,-0.007874015748031482
2011-07-27,189000,190500,188500,189000,3809,0.0
2011-07-28,187000,190000,186500,188000,6620,-0.005291005291005346
2011-07-29,189000,189500,183500,184500,5715,-0.018617021276595702
2011-08-01,184500,188000,184000,186500,10622,0.01084010840108407
2011-08-02,187000,187000,184000,185000,3479,-0.008042895442359255
2011-08-03,185000,185000,181000,182500,6474,-0.013513513513513487
2011-08-04,182000,183000,179000,179500,7411,-0.016438356164383605
2011-08-05,174000,179000,170000,178500,13085,-0.005571030640668551
2011-08-08,178000,178000,163500,175000,9646,-0.019607843137254943
2011-08-09,169000,175000,155500,174000,9868,-0.005714285714285672
2011-08-10,178000,178000,166500,168500,9445,-0.031609195402298895
2011-08-11,165500,169000,160500,167000,6529,-0.008902077151335286
2011-08-12,169000,169500,163500,165000,3897,-0.0119760479041916
2011-08-16,167000,169500,166000,169500,5153,0.027272727272727337
