Date,Open,High,Low,Close,Volume,Change
2011-01-03,8042,8042,7892,8008,606,-0.004722843649018094
2011-01-04,7967,8609,7739,7933,14492,-0.009365634365634312
2011-01-05,8042,8307,8042,8311,8545,0.047649060884911165
2011-01-06,8570,8570,8116,8236,13702,-0.00902418481530498
2011-01-07,8230,8346,8078,8348,1339,0.013598834385624148
2011-01-10,8346,8420,8194,8387,6524,0.00467177767129856
2011-01-11,8381,8534,8306,8537,3152,0.017884821747943258
2011-01-12,8609,9062,8346,8461,12257,-0.008902424739369752
2011-01-13,8459,8495,8346,8424,6859,-0.0043730055548989455
2011-01-14,8420,8534,8420,8461,6952,0.004392212725546019
2011-01-17,8420,8797,8420,8689,9078,0.026947169365323154
2011-01-18,8459,8949,8459,8765,12226,0.008746691218782354
2011-01-19,8836,8949,8609,8916,11171,0.0172276098117512
2011-01-20,8911,9175,8911,9141,14241,0.02523553162853287
2011-01-21,9062,9364,8797,8802,9210,-0.037085658024286206
2011-01-24,8609,9062,8534,8802,3134,0.0
2011-01-25,8836,9025,8570,8839,13425,0.004203590093160736
2011-01-26,8836,8836,8609,8765,10549,-0.008371987781423229
2011-01-27,8949,8949,8570,8839,8636,0.00844266970907026
2011-01-28,8987,8987,8684,8916,5466,0.008711392691481024
2011-01-31,8874,8987,8760,8916,8892,0.0
2011-02-01,9062,9139,8646,8689,10373,-0.025459847465231
2011-02-07,8684,9025,8684,8839,10159,0.01726320635285994
2011-02-08,9062,9062,8836,8839,7232,0.0
2011-02-09,8874,8949,8874,8916,5089,0.008711392691481024
2011-02-10,9025,9062,8570,8576,10459,-0.03813369223867202
2011-02-11,8911,8949,8760,8765,10447,0.022038246268656803
2011-02-14,8911,8911,8609,8689,10353,-0.00867084997147749
2011-02-15,8874,8874,8155,8689,2772,0.0
2011-02-16,8684,8684,8346,8689,97,0.0
2011-02-17,8911,8949,8723,8726,15791,0.004258257567038681
2011-02-18,8911,8987,8760,8765,19708,0.004469401787760674
2011-02-21,8760,8874,8760,8877,5805,0.01277809469480884
2011-02-22,8836,8911,8760,8802,16635,-0.008448800270361656
2011-02-23,8797,8836,8609,8839,20488,0.004203590093160736
2011-02-24,8609,8874,8609,8765,17187,-0.008371987781423229
2011-02-25,8836,8911,8760,8839,17678,0.00844266970907026
2011-02-28,8987,8987,8760,8765,20875,-0.008371987781423229
2011-03-02,8684,8836,8684,8765,20777,0.0
2011-03-03,8797,8911,8797,8877,18252,0.01277809469480884
2011-03-04,8987,9025,8911,8916,21708,0.004393376140588101
2011-03-07,8911,9025,8911,8916,19399,0.0
2011-03-08,9025,9025,8836,8953,2824,0.004149842978914409
2011-03-09,9025,9025,8911,8916,285,-0.004132692952083072
2011-03-10,9025,9212,8836,8916,39063,0.0
2011-03-11,8987,8987,8836,8916,22445,0.0
2011-03-14,8987,8987,8874,8916,30863,0.0
2011-03-15,9062,9062,8836,8916,36456,0.0
2011-03-16,8836,9062,8836,8916,40196,0.0
2011-03-17,8836,8987,8836,8877,40325,-0.004374158815612428
2011-03-18,8949,9025,8911,8916,35671,0.004393376140588101
2011-03-21,8836,9025,8836,8953,35655,0.004149842978914409
2011-03-22,8874,9062,8874,8991,43740,0.00424438735619348
2011-03-23,8949,9062,8949,8991,35148,0.0
2011-03-24,8911,9818,8911,9821,63851,0.09231453675898127
2011-03-25,9780,9892,9401,9708,9208,-0.011505956623561797
2011-03-28,9554,9780,9212,9748,13410,0.004120313143799015
2011-03-29,9742,9742,9401,9408,7867,-0.03487894952810833
2011-03-30,9401,9742,9401,9708,3462,0.03188775510204089
2011-03-31,9742,9818,9554,9821,4121,0.011639884631232
2011-04-01,9780,9780,9478,9633,545,-0.01914265349760713
