Date,Open,High,Low,Close,Volume,Change
2018-12-21,6450,6549,4990,5275,12342316,
2018-12-24,5250,6849,5100,6325,14701274,0.19905213270142186
2018-12-26,6225,6525,5625,5625,4109302,-0.11067193675889331
2018-12-27,5750,5800,5325,5425,2504566,-0.03555555555555556
2018-12-28,5750,7050,5750,7050,12638720,0.29953917050691237
2019-01-02,7375,9000,7050,8475,13116198,0.2021276595744681
2019-01-03,8600,9000,7575,7825,5308620,-0.07669616519174038
2019-01-04,7725,7950,7375,7900,3364232,0.009584664536741228
2019-01-07,7875,7950,7425,7425,1513180,-0.060126582278481
2019-01-08,7625,8699,7549,7775,8516250,0.047138047138047146
2019-01-09,8300,8625,7875,8050,4029038,0.03536977491961424
2019-01-10,7975,8125,7425,7425,1982570,-0.07763975155279501
2019-01-11,7425,7525,6974,7150,1483050,-0.03703703703703709
2019-01-14,6925,7050,6575,6675,947704,-0.06643356643356646
2019-01-15,6649,6900,6575,6725,992738,0.0074906367041198685
2019-01-16,6950,7025,6300,6400,1446352,-0.048327137546468446
2019-01-17,6425,6600,6225,6475,738200,0.01171875
2019-01-18,6450,6450,6025,6150,944966,-0.050193050193050204
2019-01-21,6049,6300,6000,6125,562582,-0.004065040650406471
2019-01-22,6150,6725,6075,6300,1238708,0.02857142857142847
2019-01-23,6325,6449,6125,6125,505662,-0.02777777777777779
2019-01-24,6325,6475,6200,6475,929292,0.05714285714285716
2019-01-25,6949,7325,6525,6575,2649398,0.015444015444015413
2019-01-28,6575,6650,6424,6650,389976,0.011406844106463865
2019-01-29,6600,6650,6450,6650,1324334,0.0
2019-01-30,7025,7075,6600,6600,1036166,-0.007518796992481258
2019-01-31,6524,6650,6424,6650,391530,0.007575757575757569
2019-02-01,6625,6825,6575,6675,362618,0.003759398496240518
2019-02-07,6675,7200,6675,7200,1442172,0.0786516853932584
2019-02-08,7149,7200,6949,7075,488856,-0.01736111111111116
2019-02-11,7049,7049,6649,6725,1205668,-0.04946996466431097
2019-02-12,6825,6900,6650,6900,1288798,0.026022304832713727
2019-02-13,6974,6974,6725,6750,596974,-0.021739130434782594
2019-02-14,6650,7075,6650,7000,876026,0.03703703703703698
2019-02-15,7000,7025,6774,6950,348506,-0.0071428571428571175
2019-02-18,6900,6975,6850,6900,341762,-0.007194244604316502
2019-02-19,6875,6949,6675,6775,427138,-0.018115942028985477
2019-02-20,6825,6975,6700,6875,663138,0.014760147601476037
2019-02-21,6749,6800,6275,6275,899154,-0.08727272727272728
2019-02-22,6224,6350,6175,6250,257174,-0.003984063745019917
2019-02-25,6275,6375,6200,6275,150848,0.0040000000000000036
2019-02-26,6300,6324,6024,6050,318726,-0.03585657370517925
2019-02-27,6125,6125,5900,6000,287710,-0.008264462809917328
2019-02-28,6025,6050,5550,5675,224506,-0.054166666666666696
2019-03-04,5700,5924,5700,5850,122162,0.03083700440528636
2019-03-05,5850,5900,5725,5850,182402,0.0
2019-03-06,5849,5900,5750,5825,109230,-0.004273504273504258
2019-03-07,5825,5825,5650,5700,173916,-0.02145922746781115
2019-03-08,5750,5850,5600,5650,168834,-0.00877192982456143
2019-03-11,5675,5675,5525,5625,117002,-0.004424778761061954
2019-03-12,5675,5750,5625,5725,126516,0.01777777777777767
2019-03-13,5750,5750,5575,5725,151316,0.0
2019-03-14,5750,6075,5675,6050,549888,0.05676855895196509
2019-03-15,6100,6100,5874,5950,384670,-0.016528925619834656
2019-03-18,5949,6375,5900,6375,665844,0.0714285714285714
2019-03-19,6500,6500,6275,6375,365810,0.0
2019-03-20,6350,6375,6075,6225,308922,-0.02352941176470591
