Date,Open,High,Low,Close,Volume,Change
2011-01-03,3293,3425,3293,3404,1346950,0.026537997587454676
2011-01-04,3435,3458,3337,3404,836154,0.0
2011-01-05,3370,3392,3282,3327,1145949,-0.022620446533490046
2011-01-06,3348,3348,3227,3239,1221077,-0.026450255485422347
2011-01-07,3249,3337,3249,3327,1005899,0.027168879283729463
2011-01-10,3348,3491,3315,3448,1234077,0.03636910129245563
2011-01-11,3468,3502,3304,3327,1394932,-0.035092807424593975
2011-01-12,3337,3381,3194,3239,1977745,-0.026450255485422347
2011-01-13,3249,3249,3019,3140,1713222,-0.030564989194195702
2011-01-14,3139,3227,3096,3140,941753,0.0
2011-01-17,3129,3139,3062,3107,979577,-0.010509554140127442
2011-01-18,3129,3172,2942,2986,1464822,-0.03894431927904729
2011-01-19,3019,3073,2854,2898,1341880,-0.029470864032150046
2011-01-20,2909,2931,2777,2811,1511788,-0.03002070393374745
2011-01-21,2798,3096,2788,2854,1569102,0.01529704731412318
2011-01-24,2854,2952,2821,2877,736355,0.008058864751226302
2011-01-25,2875,2963,2798,2821,1501479,-0.019464720194647178
2011-01-26,2832,2919,2798,2811,622057,-0.0035448422545196756
2011-01-27,2798,2842,2700,2712,964528,-0.03521878335112061
2011-01-28,2744,2744,2634,2668,968074,-0.016224188790560423
2011-01-31,2667,2689,2590,2624,684996,-0.016491754122938573
2011-02-01,2689,2689,2612,2646,366076,0.008384146341463339
2011-02-07,2656,2678,2601,2624,462113,-0.008314436885865417
2011-02-08,2634,2656,2536,2602,542269,-0.00838414634146345
2011-02-09,2601,2601,2469,2525,724898,-0.029592621060722468
2011-02-10,2480,2634,2480,2635,637920,0.0435643564356436
2011-02-11,2623,2656,2492,2492,1040895,-0.054269449715370066
2011-02-14,2459,2459,2118,2119,2485245,-0.1496789727126806
2011-02-15,1811,1811,1811,1811,78501,-0.14535158093440304
2011-02-16,1547,1712,1547,1549,18078894,-0.1446714522363335
2011-02-17,1580,1678,1526,1603,7401825,0.034861200774693346
2011-02-18,1591,1690,1536,1549,4236947,-0.03368683718028698
2011-02-21,1558,1591,1514,1549,1762227,0.0
2011-02-22,1558,1778,1547,1778,7470321,0.1478373143963847
2011-02-23,1745,1832,1635,1691,4539842,-0.048931383577052845
2011-02-24,1624,1701,1624,1658,1079104,-0.01951507983441747
2011-02-25,1657,1899,1657,1899,3300507,0.14535585042219545
2011-02-28,1899,1899,1624,1625,4813020,-0.14428646656134803
2011-03-02,1613,1865,1602,1867,3334433,0.14892307692307694
2011-03-03,1976,2129,1932,1965,7535047,0.05249062667380833
2011-03-04,1976,2217,1876,2097,3592682,0.0671755725190839
2011-03-07,2118,2404,2118,2405,3561019,0.14687649022412974
2011-03-08,2425,2700,2425,2635,5157972,0.09563409563409553
2011-03-09,2557,2722,2480,2525,1950072,-0.04174573055028463
2011-03-10,2436,2612,2425,2503,768521,-0.00871287128712872
2011-03-11,2492,2634,2492,2569,555495,0.026368357970435463
2011-03-14,2569,2601,2492,2525,852511,-0.017127286882055226
2011-03-15,2569,2569,2206,2415,802848,-0.0435643564356436
2011-03-16,2228,2415,2052,2075,4774375,-0.14078674948240166
2011-03-17,2074,2173,1822,1888,753601,-0.09012048192771083
2011-03-18,1888,1986,1799,1955,356728,0.03548728813559321
2011-03-21,1997,2041,1832,1965,1481312,0.005115089514066584
2011-03-22,1965,1965,1855,1888,551825,-0.03918575063613228
2011-03-23,1855,1942,1832,1943,956524,0.029131355932203284
2011-03-24,1953,2217,1909,2097,925245,0.0792588780236747
2011-03-25,2173,2173,2041,2097,943104,0.0
2011-03-28,2052,2129,1909,1988,955767,-0.05197901764425372
2011-03-29,1965,2019,1920,1976,415719,-0.006036217303822977
2011-03-30,2009,2019,1920,1976,433964,0.0
2011-03-31,2009,2009,1855,1921,669379,-0.027834008097165963
2011-04-01,1920,1953,1855,1878,469344,-0.022384174908901655
2011-04-04,1899,1965,1888,1899,511091,0.011182108626198062
2011-04-05,1920,1942,1855,1899,736517,0.0
2011-04-06,1865,1899,1778,1811,358343,-0.046340179041600815
2011-04-07,1822,1855,1789,1822,438502,0.006073992269464368
2011-04-08,1822,1865,1811,1845,370884,0.012623490669593895
2011-04-11,1888,1888,1799,1845,220721,0.0
2011-04-12,1844,1888,1789,1867,782399,0.011924119241192521
2011-04-13,1855,2030,1822,1943,881076,0.04070701660417786
2011-04-14,1942,2228,1920,2229,3694127,0.14719505918682452
2011-04-15,2315,2557,2315,2558,4239086,0.14759982054733056
2011-04-18,2744,2887,2502,2569,2601517,0.004300234558248572
2011-04-19,2536,2952,2536,2811,4735752,0.09420007785130391
2011-04-20,2821,3052,2722,2767,3204100,-0.01565279260049801
2011-04-21,2909,3008,2359,2723,3174434,-0.015901698590531255
2011-04-22,2711,2766,2557,2712,1004254,-0.004039662137348521
2011-04-25,2656,2733,2480,2723,1074667,0.004056047197640078
2011-04-26,2744,2842,2656,2734,1289893,0.00403966213734841
2011-04-27,2755,2931,2634,2854,1440828,0.043891733723482096
2011-04-28,2788,3282,2788,3283,4618983,0.15031534688156967
2011-04-29,0,0,0,3283,0,0.0
2011-05-02,0,0,0,3283,0,0.0
2011-05-03,0,0,0,3283,0,0.0
2011-05-04,0,0,0,3283,0,0.0
2011-05-06,0,0,0,3283,0,0.0
2011-05-09,0,0,0,3283,0,0.0
2011-05-11,0,0,0,3283,0,0.0
2011-05-12,0,0,0,3283,0,0.0
2011-05-13,0,0,0,3283,0,0.0
2011-05-16,0,0,0,3283,0,0.0
2011-05-17,0,0,0,3283,0,0.0
2011-05-18,0,0,0,3283,0,0.0
2011-05-19,3282,3775,2790,2790,485465,-0.1501675296984465
2011-05-20,2673,2673,2373,2373,322932,-0.1494623655913978
2011-05-23,2373,2373,2138,2171,83239,-0.08512431521281083
2011-05-24,2138,2307,1847,1876,130788,-0.1358820819898664
2011-05-25,1866,2044,1847,2017,115921,0.07515991471215355
2011-05-26,1979,2044,1871,2017,92549,0.0
2011-05-27,2035,2035,1927,1946,75989,-0.035200793257312846
2011-05-30,1894,2213,1857,1857,204463,-0.04573484069886946
2011-05-31,1875,1922,1754,1848,61860,-0.004846526655896577
2011-06-01,1890,1890,1641,1848,42146,0.0
2011-06-02,1763,1875,1739,1876,42444,0.015151515151515138
2011-06-03,1969,2157,1829,1923,169826,0.02505330490405111
2011-06-07,1922,2021,1730,1796,92581,-0.0660426417056682
2011-06-08,1796,1890,1683,1684,75363,-0.062360801781737196
2011-06-09,1627,1763,1627,1740,16911,0.03325415676959631
2011-06-10,1805,1997,1688,1773,253400,0.018965517241379404
2011-06-13,1688,1754,1617,1637,62970,-0.07670614777213758
2011-06-14,1627,1880,1608,1881,327452,0.14905314599877828
2011-06-15,1890,1913,1721,1763,231011,-0.06273258904837853
2011-06-16,1655,1800,1655,1763,83111,0.0
2011-06-17,1800,1880,1683,1824,140810,0.03460011344299496
2011-06-20,1782,1847,1763,1824,5062,0.0
2011-06-21,1824,1829,1735,1820,17993,-0.002192982456140302
2011-06-22,1871,1871,1725,1820,43476,0.0
2011-06-23,1819,1819,1744,1782,27784,-0.020879120879120916
2011-06-24,1721,1805,1721,1735,19024,-0.026374859708193088
2011-06-27,1763,1763,1594,1688,18810,-0.02708933717579254
2011-06-28,1725,1725,1603,1656,52406,-0.018957345971563955
2011-06-29,1669,1829,1669,1745,97548,0.05374396135265691
2011-06-30,1697,1810,1697,1777,34770,0.01833810888252141
2011-07-01,1824,1824,1688,1721,22867,-0.03151378728193588
2011-07-04,1763,1763,1660,1726,31722,0.0029052876234747504
2011-07-05,1688,1735,1655,1665,45591,-0.03534183082271147
2011-07-06,1749,1749,1641,1665,34657,0.0
2011-07-07,1669,1730,1660,1731,23594,0.03963963963963968
2011-07-08,1725,1988,1697,1988,332940,0.14846909300982092
2011-07-11,1988,2237,1739,1740,1296210,-0.12474849094567408
2011-07-12,1688,1739,1594,1604,122734,-0.07816091954022986
2011-07-13,1627,1843,1566,1843,184901,0.14900249376558605
2011-07-14,1857,1899,1702,1815,96676,-0.01519262072707539
2011-07-15,1810,1810,1688,1777,34929,-0.020936639118457334
2011-07-18,1599,1800,1599,1768,72177,-0.005064715813168252
2011-07-19,1711,1763,1627,1627,47504,-0.0797511312217195
2011-07-20,1636,1721,1613,1632,29830,0.003073140749846326
2011-07-21,1697,1697,1632,1632,28333,0.0
2011-07-22,1636,1641,1585,1632,16246,0.0
2011-07-25,1589,1646,1589,1632,20233,0.0
2011-07-26,1632,1632,1589,1590,21453,-0.02573529411764708
2011-07-27,1575,1622,1505,1534,50302,-0.035220125786163514
2011-07-28,1533,1533,1331,1402,150534,-0.08604954367666229
2011-07-29,1406,1430,1289,1294,91336,-0.07703281027104136
2011-08-01,1294,1472,1294,1369,32098,0.057959814528593556
2011-08-02,1331,1421,1322,1360,53136,-0.006574141709276837
2011-08-03,1369,1378,1289,1290,30572,-0.05147058823529416
2011-08-04,1266,1270,1205,1257,174240,-0.025581395348837188
2011-08-05,1177,1219,1149,1168,47123,-0.0708035003977725
2011-08-08,1134,1172,994,994,186116,-0.148972602739726
2011-08-09,864,923,848,849,148442,-0.14587525150905434
2011-08-10,872,966,848,918,110253,0.08127208480565362
2011-08-11,886,956,844,937,53071,0.020697167755991286
2011-08-12,929,1022,929,957,56239,0.02134471718249742
2011-08-16,956,1027,956,1022,31541,0.06792058516196442
2011-08-17,1069,1097,984,1074,14885,0.050880626223092085
2011-08-18,1111,1111,1027,1079,19370,0.004655493482309092
2011-08-19,1027,1031,937,1022,25717,-0.05282669138090823
2011-08-22,1022,1069,937,1069,18372,0.045988258317025466
2011-08-23,1078,1078,923,924,44140,-0.13564078578110383
2011-08-24,937,966,928,929,12823,0.005411255411255311
2011-08-25,961,961,911,943,10614,0.01506996770721214
2011-08-26,956,956,909,957,13165,0.014846235418875864
2011-08-29,937,942,899,902,37921,-0.05747126436781613
2011-08-30,905,984,903,904,37875,0.0022172949002217113
2011-08-31,922,936,894,936,17844,0.03539823008849563
2011-09-01,931,1073,919,1074,171916,0.14743589743589736
2011-09-02,1120,1233,1064,1233,496846,0.14804469273743015
2011-09-05,1238,1360,1088,1102,325117,-0.10624493106244937
2011-09-06,1102,1116,952,980,160330,-0.1107078039927405
2011-09-07,956,1041,947,975,106265,-0.005102040816326481
2011-09-08,1013,1120,1013,1121,50749,0.1497435897435897
2011-09-09,1186,1285,1111,1121,392240,0.0
2011-09-14,1172,1172,1050,1093,95107,-0.024977698483496846
2011-09-15,1125,1252,1088,1252,309543,0.14547118023787742
2011-09-16,1289,1289,1144,1163,211776,-0.07108626198083068
2011-09-19,1163,1181,1078,1088,68146,-0.06448839208942392
