Date,Open,High,Low,Close,Volume,Change
2011-01-03,434121,437789,429995,434580,41326,0.0021145451652551106
2011-01-04,433204,434580,423578,432746,99550,-0.004220166597634467
2011-01-05,430912,431371,417618,421744,101464,-0.025423689647044667
2011-01-06,422661,425870,412576,412576,88934,-0.021738305702037275
2011-01-07,412576,426328,412576,418536,112787,0.014445823314977124
2011-01-10,420369,423578,413492,423578,57381,0.012046753445342784
2011-01-11,420827,425411,414868,425412,77171,0.004329781055673276
2011-01-12,428620,429079,414868,417619,88370,-0.018318712213101662
2011-01-13,416243,419452,410742,411201,97808,-0.015368074728400738
2011-01-14,411200,411200,401115,403408,138318,-0.01895180216001424
2011-01-17,407991,410742,405699,407075,75030,0.009090052750565292
2011-01-18,405241,407075,392405,397907,97724,-0.02252164834489956
2011-01-19,398365,398365,383695,393323,124303,-0.011520279864390415
2011-01-20,393780,401115,393780,396531,71291,0.008156146475034598
2011-01-21,401574,402490,391488,391947,48782,-0.011560256322960871
2011-01-24,393780,401574,385529,401574,48914,0.02456199435127715
2011-01-25,398823,413492,398823,407075,101948,0.013698596024642962
2011-01-26,405699,407991,390571,390572,93893,-0.040540440950684764
2011-01-27,394239,409825,394239,409826,150507,0.04929692860727353
2011-01-28,411659,424036,411659,420369,146219,0.025725551819552717
2011-01-31,418077,418993,407991,415327,64069,-0.011994224122140351
2011-02-01,413034,414868,400657,410742,78529,-0.011039494181693033
2011-02-07,407075,412117,394697,395156,79002,-0.03794596121166083
2011-02-08,396989,399740,390572,391947,76331,-0.00812084341374042
2011-02-09,390572,396989,385987,389655,64390,-0.005847729412395086
2011-02-10,385070,389655,368109,372235,148118,-0.04470621447177636
2011-02-11,371776,381403,370401,371777,103091,-0.001230405523392486
2011-02-14,373152,390572,372693,389655,69330,0.0480879667112275
2011-02-15,384612,391947,380486,387363,63962,-0.0058821264965160935
2011-02-16,382778,389196,376819,380028,71620,-0.018935726953787535
2011-02-17,380945,389196,380945,389197,70525,0.02412716957697847
2011-02-18,386904,396073,386904,391030,49482,0.0047096971456614956
2011-02-21,387363,392405,380486,386905,71495,-0.010549062731759706
2011-02-22,385071,386446,375902,376819,50122,-0.026068414727129396
2011-02-23,370860,375902,367192,367651,95490,-0.024329983360711682
2011-02-24,367651,367651,357107,362150,78428,-0.014962559601361058
2011-02-25,358482,373610,358482,370860,71664,0.02405080767637724
2011-02-28,369943,369943,357107,359400,63579,-0.030901148681443114
2011-03-02,353898,357107,343354,346564,143953,-0.035715080690038925
2011-03-03,350231,352523,345188,350690,99154,0.011905448921411432
