Date,Open,High,Low,Close,Volume,Change
2018-07-27,30550,31800,28850,29000,2140343,
2018-07-30,29000,29800,28550,29200,247510,0.006896551724137945
2018-07-31,29500,30100,29000,29000,275150,-0.006849315068493178
2018-08-01,28850,29000,28300,28500,150711,-0.017241379310344862
2018-08-02,28600,30050,28350,29600,258694,0.03859649122807007
2018-08-03,29900,31300,29600,30200,299028,0.020270270270270174
2018-08-06,30200,30550,29550,30000,85050,-0.0066225165562914245
2018-08-07,30200,30750,29700,30300,109855,0.010000000000000009
2018-08-08,30450,30750,30100,30300,97684,0.0
2018-08-09,30500,30500,29450,29800,85264,-0.01650165016501648
2018-08-10,29950,30750,29600,30400,115758,0.020134228187919545
2018-08-13,30300,30750,29650,29800,78584,-0.019736842105263164
2018-08-14,29600,29950,29350,29400,60640,-0.01342281879194629
2018-08-16,29400,29400,28200,28800,93216,-0.020408163265306145
2018-08-17,28500,29050,28500,28850,63301,0.0017361111111111605
2018-08-20,29050,29050,27150,27150,167533,-0.05892547660311953
2018-08-21,27200,27200,25650,25950,249432,-0.04419889502762431
2018-08-22,26100,26250,25750,25850,87562,-0.003853564547206201
2018-08-23,26000,26950,25850,26400,134371,0.02127659574468077
2018-08-24,26400,27900,26400,27400,121937,0.037878787878787845
2018-08-27,27400,27750,26900,27150,117389,-0.009124087591240837
2018-08-28,27400,27500,26250,26550,85448,-0.02209944751381221
2018-08-29,26700,26750,26300,26450,66019,-0.0037664783427495685
2018-08-30,26500,27250,25950,27100,118482,0.02457466918714557
2018-08-31,27000,28200,26600,27950,110902,0.03136531365313644
2018-09-03,27600,28350,27500,27950,61338,0.0
2018-09-04,27900,28200,27300,27950,47324,0.0
2018-09-05,28500,28850,28150,28500,104072,0.019677996422182487
2018-09-06,28350,30000,28300,29500,204521,0.03508771929824572
2018-09-07,29200,30050,29150,30050,103295,0.01864406779661021
2018-09-10,30000,30000,28700,29050,93235,-0.03327787021630613
2018-09-11,29050,29450,28800,29350,64355,0.010327022375215211
2018-09-12,29500,29500,28150,28450,93047,-0.030664395229982988
2018-09-13,28450,29750,28150,29750,99237,0.04569420035149374
2018-09-14,29750,32800,29750,31700,346660,0.06554621848739495
2018-09-17,31500,33600,30900,33600,265318,0.05993690851735023
2018-09-18,33700,36650,33700,35000,476862,0.04166666666666674
2018-09-19,35200,36550,33950,34800,193805,-0.005714285714285672
2018-09-20,34800,37350,34500,37350,205873,0.07327586206896552
2018-09-21,38050,39600,36100,37200,224719,-0.004016064257028162
2018-09-27,37500,37500,35800,37050,123144,-0.0040322580645161255
2018-09-28,36800,38900,36150,38400,161850,0.036437246963562764
2018-10-01,37750,39150,37200,38150,109459,-0.00651041666666663
2018-10-02,38400,38650,34700,35250,168735,-0.07601572739187423
2018-10-04,35400,35950,33600,34250,172314,-0.028368794326241176
2018-10-05,33950,36100,33150,36050,157784,0.052554744525547425
2018-10-08,37400,37500,35950,35950,144997,-0.00277392510402219
2018-10-10,35950,36000,33600,35100,90807,-0.02364394993045893
2018-10-11,34050,34550,32500,32700,147165,-0.06837606837606836
2018-10-12,32600,34350,31850,34050,84527,0.041284403669724856
2018-10-15,34050,34050,33200,33300,68425,-0.022026431718061623
2018-10-16,33450,34600,33400,33750,46346,0.013513513513513598
2018-10-17,34300,36450,34150,35150,97448,0.04148148148148145
2018-10-18,35150,35850,33250,34050,104574,-0.031294452347083945
2018-10-19,33500,35400,33300,34800,55424,0.022026431718061623
2018-10-22,34800,34800,33800,34200,56861,-0.017241379310344862
2018-10-23,33850,35400,33550,34200,118410,0.0
2018-10-24,35100,37400,35100,36150,305673,0.05701754385964919
2018-10-25,35450,37500,34550,37000,218660,0.023513139695712226
2018-10-26,36800,38100,34850,36950,144997,-0.0013513513513513375
2018-10-29,36800,36950,31800,32650,148687,-0.11637347767253048
2018-10-30,31500,33500,30500,32750,152877,0.003062787136294043
2018-10-31,32900,33300,31900,32700,53234,-0.0015267175572518665
2018-11-01,33400,36200,33200,34400,172083,0.051987767584097844
2018-11-02,34800,36500,34700,35900,81391,0.043604651162790775
2018-11-05,35400,35900,34650,35300,39893,-0.01671309192200554
2018-11-06,35400,36200,34350,34600,49765,-0.019830028328611915
2018-11-07,35300,35350,33500,33850,56912,-0.021676300578034713
2018-11-08,34500,34950,33750,34200,57270,0.010339734121122657
2018-11-09,33500,34900,33400,34450,45316,0.007309941520467822
2018-11-12,34100,35550,33600,34850,47880,0.011611030478954953
2018-11-13,33500,35000,33100,34500,83179,-0.010043041606886627
2018-11-14,34500,36000,34050,35300,106434,0.023188405797101463
2018-11-15,34850,35300,34100,34700,71174,-0.016997167138810165
2018-11-16,34700,34900,33200,33350,128543,-0.0389048991354467
2018-11-19,33050,33900,33000,33700,49904,0.010494752623688264
2018-11-20,33100,34500,32700,33450,61529,-0.007418397626112738
2018-11-21,33450,33650,32550,33150,39808,-0.008968609865470878
2018-11-22,33250,33700,32750,32900,44927,-0.007541478129713397
2018-11-23,32450,33400,32350,33000,47421,0.003039513677811634
2018-11-26,32700,33000,32150,32450,45243,-0.01666666666666672
2018-11-27,32450,32850,32100,32400,49614,-0.0015408320493066618
2018-11-28,32700,33900,32350,33650,68533,0.03858024691358031
2018-11-29,34000,34750,33750,33750,74854,0.002971768202080227
2018-11-30,34050,34500,33500,33500,43106,-0.007407407407407418
2018-12-03,33850,34200,32600,32900,74468,-0.017910447761193993
2018-12-04,33250,33250,31400,31750,112558,-0.03495440729483279
2018-12-05,31000,31850,30850,31300,55218,-0.014173228346456734
2018-12-06,31500,31650,28850,30100,125454,-0.03833865814696491
2018-12-07,30900,31450,29650,31400,69362,0.04318936877076407
2018-12-10,31000,31850,30700,31850,58565,0.014331210191082855
2018-12-11,31850,32000,30750,31650,28605,-0.006279434850863463
2018-12-12,31600,33750,31500,33500,105282,0.05845181674565558
2018-12-13,33200,34800,33150,34100,62676,0.017910447761193993
2018-12-14,34500,35000,33850,34350,62899,0.007331378299120228
2018-12-17,34050,34850,33200,33850,56616,-0.01455604075691408
2018-12-18,33500,34500,33000,34500,33069,0.019202363367799125
2018-12-19,34400,35150,34000,35050,57539,0.01594202898550723
2018-12-20,35000,36200,34300,35350,65631,0.008559201141226769
2018-12-21,34950,35900,34500,34750,34504,-0.016973125884017004
2018-12-24,34600,35000,33800,34450,38070,-0.008633093525179825
2018-12-26,34200,34750,33300,34500,45271,0.0014513788098693414
2018-12-27,34950,35450,34100,34400,32588,-0.0028985507246376274
2018-12-28,34650,35600,34300,35400,57381,0.029069767441860517
2019-01-02,35600,37400,35600,36500,102336,0.031073446327683607
2019-01-03,36700,36700,36050,36500,21130,0.0
2019-01-04,36400,37350,35900,37000,46445,0.013698630136986356
2019-01-07,37000,37700,36550,37350,48682,0.009459459459459474
2019-01-08,36900,37200,35100,35650,79641,-0.045515394912985285
2019-01-09,35650,37300,35200,37250,87285,0.04488078541374474
2019-01-10,37000,39800,36650,38000,175860,0.020134228187919545
2019-01-11,37950,40000,37650,40000,158054,0.05263157894736836
2019-01-14,39950,41950,39200,41300,195857,0.03249999999999997
2019-01-15,41700,43600,39600,40700,296331,-0.014527845036319653
2019-01-16,40200,41450,39700,40200,114500,-0.012285012285012331
2019-01-17,40200,40200,38750,39450,147841,-0.018656716417910446
2019-01-18,39800,41600,38400,41250,109085,0.04562737642585546
2019-01-21,41200,41500,39050,39500,146173,-0.042424242424242475
